Time,dTEC,forecast,upper_MSE,ipplat,ipplon,Error_count,Error_RM
2023-02-07 00:40:02,-0.133615037,-0.10603485,,35.86993,38.93838,0,
2023-02-07 00:40:07,-0.135639191,-0.105507754,,35.87067,38.93842,0,
2023-02-07 00:40:12,-0.134216857,-0.10574646,,35.8714,38.93846,0,
2023-02-07 00:40:17,-0.132867225,-0.105401486,,35.87214,38.9385,0,
2023-02-07 00:40:22,-0.175534218,-0.10488725,,35.87288,38.93854,0,
2023-02-07 00:40:27,-0.1317703,-0.11571927,,35.87361,38.93858,0,
2023-02-07 00:40:32,-0.132950088,-0.10961329,,35.87435,38.93862,0,
2023-02-07 00:40:37,-0.127126065,-0.109411724,,35.87508,38.93866,0,
2023-02-07 00:40:42,-0.144140689,-0.10691099,,35.87582,38.93871,0,
2023-02-07 00:40:47,-0.128520906,-0.109468654,,35.87655,38.93875,0,
2023-02-07 00:40:52,-0.13831286,-0.106048144,,35.87728,38.9388,0,
2023-02-07 00:40:57,-0.14953741,-0.10732219,,35.87801,38.93884,0,
2023-02-07 00:41:02,-0.146912339,-0.110244446,,35.87874,38.93889,0,
2023-02-07 00:41:07,-0.141477966,-0.111238934,,35.87948,38.93894,0,
2023-02-07 00:41:12,-0.176004063,-0.11121775,,35.88021,38.93899,0,
2023-02-07 00:41:17,-0.144722167,-0.12089408,,35.88094,38.93903,0,
2023-02-07 00:41:22,-0.147044694,-0.11735164,,35.88167,38.93908,0,
2023-02-07 00:41:27,-0.162518849,-0.11842243,,35.8824,38.93914,0,
2023-02-07 00:41:32,-0.149774648,-0.12277812,,35.88313,38.93919,0,
2023-02-07 00:41:37,-0.156988829,-0.12133088,,35.88385,38.93924,0,
2023-02-07 00:41:42,-0.150547562,-0.12352412,,35.88458,38.93929,0,
2023-02-07 00:41:47,-0.155595075,-0.122596815,,35.90068,38.9599,0,
2023-02-07 00:41:52,-0.179178358,-0.123929344,,35.90141,38.95995,0,
2023-02-07 00:41:57,-0.141148988,-0.13104714,,35.90214,38.96001,0,0.0
2023-02-07 00:42:02,-0.163248837,-0.124078415,,35.90287,38.96007,0,0.0
2023-02-07 00:42:07,-0.150523195,-0.12850335,,35.9036,38.96012,0,0.0
2023-02-07 00:42:12,-0.160081682,-0.12576163,,35.90433,38.96018,0,0.0
2023-02-07 00:42:17,-0.146107465,-0.12764409,,35.90505,38.96024,0,0.0
2023-02-07 00:42:22,-0.143334277,-0.12423254,,35.90578,38.9603,0,0.0
2023-02-07 00:42:27,-0.12149063100000002,-0.12202823,,35.90651,38.96036,0,0.0
2023-02-07 00:42:32,-0.14284204,-0.11430093,,35.90724,38.96042,0,0.0
2023-02-07 00:42:37,-0.114551031,-0.115431,,35.90796,38.96049,0,0.0
2023-02-07 00:42:42,-0.114882465,-0.10669076,,35.90869,38.96055,0,0.0
2023-02-07 00:42:47,-0.116572756,-0.102324255,,35.90941,38.96061,0,0.0
2023-02-07 00:42:52,-0.108106383,-0.09878773,,35.91014,38.96068,0,0.0
2023-02-07 00:42:57,-0.093191514,-0.09367436,,35.91086,38.96074,0,0.0
2023-02-07 00:43:02,-0.079981319,-0.0867389,,35.91158,38.96081,0,0.0
2023-02-07 00:43:07,-0.060326294,-0.07909391,,35.91231,38.96088,0,0.0
2023-02-07 00:43:12,-0.076588173,-0.06932577,,35.91303,38.96095,0,0.0
2023-02-07 00:43:17,-0.05191565,-0.06585415,,35.91375,38.96101,0,0.0
2023-02-07 00:43:22,-0.054470995,-0.056776617,,35.91447,38.96108,0,0.0
2023-02-07 00:43:27,-0.060520576,-0.051690526,,35.91519,38.96115,0,0.0
2023-02-07 00:43:32,-0.040221073,-0.04834523,,35.91592,38.96122,0,0.0
