Time,dTEC,forecast,upper_MSE,ipplat,ipplon,Error_count,Error_RM
2023-02-01 21:40:02,-0.649708229,-0.58309907,,33.5943,34.32898,0,
2023-02-01 21:40:07,-0.670147625,-0.61087304,,33.59256,34.33002,0,
2023-02-01 21:40:12,-0.695388906,-0.6366527,,33.59083,34.33106,0,
2023-02-01 21:40:17,-0.723775254,-0.66737,,33.5891,34.3321,0,
2023-02-01 21:40:22,-0.774097891,-0.7011622,,33.58736,34.33314,0,
2023-02-01 21:40:27,-0.780771791,-0.7504064,,33.58563,34.33418,0,
2023-02-01 21:40:32,-0.812178093,-0.774959,,33.58389,34.33522,0,
2023-02-01 21:40:37,-0.847857009,-0.8078581,,33.58215,34.33626,0,
2023-02-01 21:40:42,-0.882624837,-0.8424869,,33.58042,34.33729,0,
2023-02-01 21:40:47,-0.903307176,-0.87864095,,33.57868,34.33832,0,
2023-02-01 21:40:52,-0.934098435,-0.90413874,,33.57694,34.33936,0,
2023-02-01 21:40:57,-0.959472952,-0.9337585,,33.5752,34.34039,0,
2023-02-01 21:41:02,-0.9899933019999999,-0.95893604,,33.57345,34.34142,0,
2023-02-01 21:41:07,-1.024235018,-0.98712265,,33.57171,34.34245,0,
2023-02-01 21:41:12,-1.051842404,-1.0177417,,33.56997,34.34348,0,
2023-02-01 21:41:17,-1.077266549,-1.0447999,,33.56822,34.34451,0,
2023-02-01 21:41:22,-1.100727546,-1.0688053,,33.56648,34.34554,0,
2023-02-01 21:41:27,-1.139367609,-1.090759,,33.56473,34.34656,0,
2023-02-01 21:41:32,-1.164497987,-1.1226498,,33.56298,34.34759,0,
2023-02-01 21:41:37,-1.198666187,-1.1463579,,33.56124,34.34861,0,
2023-02-01 21:41:42,-1.224934685,-1.1768967,,33.55949,34.34963,0,
2023-02-01 21:41:47,-1.255509452,-1.1998905,,33.55774,34.35066,0,
2023-02-01 21:41:52,-1.288494666,-1.2279876,,33.55224,34.35495,0,
2023-02-01 21:41:57,-1.317763936,-1.2560878,,33.5505,34.35596,0,0.0
2023-02-01 21:42:02,-1.349412116,-1.2823657,,33.54876,34.35698,0,0.0
2023-02-01 21:42:07,1.373813272,-1.3111835,1.373813272,33.54701,34.35799,1,1.0
2023-02-01 21:42:12,1.34286002,0.37201837,1.34286002,33.54527,34.359,1,2.0
2023-02-01 21:42:17,1.314745816,0.9061616,1.314745816,33.54352,34.36001,1,3.0
2023-02-01 21:42:22,1.294187021,0.9563154,1.294187021,33.54178,34.36102,1,4.0
2023-02-01 21:42:27,1.261221657,1.0583323,1.261221657,33.54003,34.36203,1,5.0
2023-02-01 21:42:32,1.19941358,1.090513,,33.53828,34.36304,0,5.0
2023-02-01 21:42:37,1.194328966,1.1148176,,33.53653,34.36405,0,5.0
2023-02-01 21:42:42,1.16513309,1.1853092,,33.53478,34.36505,0,5.0
2023-02-01 21:42:47,1.120537411,1.1728505,,33.53303,34.36606,0,5.0
2023-02-01 21:42:52,1.084295351,1.1117699,,33.53127,34.36706,0,5.0
2023-02-01 21:42:57,0.546717375,1.0615245,0.546717375,33.52952,34.36806,1,6.0
2023-02-01 21:43:02,1.037401481,0.18948996,1.037401481,33.52777,34.36906,1,7.0
2023-02-01 21:43:07,1.001161276,0.65424025,1.001161276,33.52601,34.37007,1,8.0
2023-02-01 21:43:12,0.961582163,0.93716335,,33.52426,34.37107,0,8.0
