Time,dTEC,forecast,upper_MSE,ipplat,ipplon,Error_count,Error_RM
2023-02-01 08:40:02,-0.074134205,-0.09232353,,43.84123,6.96135,0,
2023-02-01 08:40:07,-0.05585597400000001,-0.08153749,,43.84271,6.96294,0,
2023-02-01 08:40:12,-0.048062198,-0.06696795,,43.84419,6.96454,0,
2023-02-01 08:40:17,-0.020439753999999997,-0.05462119,,43.84568,6.96614,0,
2023-02-01 08:40:22,-0.010129755,-0.034169406,,43.84716,6.96774,0,
2023-02-01 08:40:27,0.005658228,-0.01714977,,43.84864,6.96934,0,
2023-02-01 08:40:32,0.023625658,0.00090355374,,43.85011,6.97095,0,
2023-02-01 08:40:37,0.029191311,0.021034626,,43.85159,6.97255,0,
2023-02-01 08:40:42,0.072641766,0.034299854,,43.85307,6.97416,0,
2023-02-01 08:40:47,0.09027298900000001,0.068450235,,43.85455,6.97576,0,
2023-02-01 08:40:52,0.098995223,0.09456629,,43.85602,6.97737,0,
2023-02-01 08:40:57,0.104671473,0.10864808,,43.8575,6.97898,0,
2023-02-01 08:41:02,0.133846298,0.11502437,,43.85897,6.98059,0,
2023-02-01 08:41:07,0.161826697,0.13568404,,43.86044,6.9822,0,
2023-02-01 08:41:12,0.17214530199999997,0.16097112,,43.86191,6.98381,0,
2023-02-01 08:41:17,0.19416396600000002,0.17624836,,43.86338,6.98542,0,
2023-02-01 08:41:22,0.213528261,0.19668172,,43.86485,6.98704,0,
2023-02-01 08:41:27,0.238445663,0.2177011,,43.86632,6.98865,0,
2023-02-01 08:41:32,0.240457852,0.24297251,,43.86779,6.99027,0,
2023-02-01 08:41:37,0.290288202,0.2530914,,43.86926,6.99188,0,
2023-02-01 08:41:42,0.301424183,0.29192117,,43.87072,6.9935,0,
2023-02-01 08:41:47,0.299461349,0.3211014,,43.87219,6.99512,0,
2023-02-01 08:41:52,0.352064545,0.3212438,,43.87366,6.99674,0,
2023-02-01 08:41:57,0.363320297,0.36338177,,43.87512,6.99836,0,0.0
2023-02-01 08:42:02,0.38536992,0.39245963,,43.87658,6.99999,0,0.0
2023-02-01 08:42:07,0.415845813,0.41022006,,43.87804,7.00161,0,0.0
2023-02-01 08:42:12,0.42134306299999996,0.4488836,,43.8795,7.00324,0,0.0
2023-02-01 08:42:17,0.445313349,0.4533893,,43.88096,7.00486,0,0.0
2023-02-01 08:42:22,0.476210547,0.4724684,,43.88242,7.00649,0,0.0
2023-02-01 08:42:27,0.505072832,0.50610775,,43.88388,7.00812,0,0.0
2023-02-01 08:42:32,0.52105689,0.53858566,,43.88534,7.00975,0,0.0
2023-02-01 08:42:37,0.538937223,0.56168187,,43.88679,7.01138,0,0.0
2023-02-01 08:42:42,0.564555657,0.5721614,,43.88825,7.01301,0,0.0
2023-02-01 08:42:47,0.587301256,0.5982357,,43.8897,7.01464,0,0.0
2023-02-01 08:42:52,0.607843534,0.62279415,,43.89116,7.01628,0,0.0
2023-02-01 08:42:57,0.623855363,0.6447263,,43.89261,7.01791,0,0.0
2023-02-01 08:43:02,0.650632494,0.6593037,,43.89371,7.0193,0,0.0
2023-02-01 08:43:07,0.656351071,0.6824279,,43.89516,7.02093,0,0.0
2023-02-01 08:43:12,0.687918445,0.6922753,,43.8966,7.02257,0,0.0
2023-02-01 08:43:17,0.695938096,0.71487945,,43.89805,7.0242,0,0.0
2023-02-01 08:43:22,0.717268854,0.7312393,,43.89949,7.02584,0,0.0
2023-02-01 08:43:27,0.734476516,0.7411794,,43.90094,7.02748,0,0.0
2023-02-01 08:43:32,0.776192272,0.7627739,,43.90238,7.02912,0,0.0
2023-02-01 08:43:37,0.79278133,0.7912367,,43.90382,7.03076,0,0.0
2023-02-01 08:43:42,0.800886937,0.8127753,,43.90526,7.0324,0,0.0
2023-02-01 08:43:47,0.844179313,0.81154156,,43.9067,7.03404,0,0.0
2023-02-01 08:43:52,0.8443483729999999,0.83910614,,43.90814,7.03568,0,0.0
2023-02-01 08:43:57,0.852113957,0.84494025,,43.90958,7.03733,0,0.0
2023-02-01 08:44:02,0.870719767,0.84439427,,43.91101,7.03898,0,0.0
2023-02-01 08:44:07,0.893537494,0.85606104,,43.91245,7.04062,0,0.0
2023-02-01 08:44:12,0.909002452,0.86958766,,43.91388,7.04227,0,0.0
2023-02-01 08:44:17,0.899203918,0.88056743,,43.91532,7.04392,0,0.0
2023-02-01 08:44:22,0.929195761,0.8734309,,43.91675,7.04557,0,0.0
2023-02-01 08:44:27,0.946986988,0.88488835,,43.91818,7.04722,0,0.0
2023-02-01 08:44:32,0.9670993780000001,0.8974514,,43.91962,7.04887,0,0.0
