Time,dTEC,forecast,upper_MSE,ipplat,ipplon,Error_count,Error_RM
2023-02-01 08:35:02,-0.706145131,-0.636257,,45.41208,8.53072,0,
2023-02-01 08:35:07,-0.713508219,-0.63731813,,45.41412,8.53294,0,
2023-02-01 08:35:12,-0.71757529,-0.641999,,45.41617,8.53516,0,
2023-02-01 08:35:17,-0.721047832,-0.6432308,,45.41821,8.53738,0,
2023-02-01 08:35:22,-0.725264374,-0.6459837,,45.42026,8.5396,0,
2023-02-01 08:35:27,-0.729032325,-0.64804727,,45.4223,8.54182,0,
2023-02-01 08:35:32,-0.725123208,-0.6498545,,45.42433,8.54404,0,
2023-02-01 08:35:37,-0.7234437,-0.6474526,,45.43284,8.55279,0,
2023-02-01 08:35:42,-0.724943667,-0.6474399,,45.43488,8.55503,0,
2023-02-01 08:35:47,-0.724537405,-0.6480846,,45.43692,8.55727,0,
2023-02-01 08:35:52,-0.72453868,-0.64780927,,45.43896,8.55951,0,
2023-02-01 08:35:57,-0.725119766,-0.6483672,,45.441,8.56175,0,
2023-02-01 08:36:02,-0.739888687,-0.6483437,,45.44303,8.564,0,
2023-02-01 08:36:07,-0.72131376,-0.65731037,,45.44506,8.56624,0,
2023-02-01 08:36:12,-0.712600335,-0.6424674,,45.44709,8.56849,0,
2023-02-01 08:36:17,-0.705745137,-0.6436152,,45.44912,8.57074,0,
2023-02-01 08:36:22,-0.693913111,-0.6356667,,45.45115,8.573,0,
2023-02-01 08:36:27,-0.690909964,-0.62999284,,45.45972,8.58186,0,
2023-02-01 08:36:32,-0.691070609,-0.6295718,,45.46175,8.58413,0,
2023-02-01 08:36:37,-0.669648709,-0.62850314,,45.46378,8.5864,0,
2023-02-01 08:36:42,-0.693414423,-0.61167693,,45.46581,8.58867,0,
2023-02-01 08:36:47,-0.668888847,-0.63587016,,45.46783,8.59094,0,
2023-02-01 08:36:52,-0.667711763,-0.6056091,,45.46986,8.59321,0,
2023-02-01 08:36:57,-0.646447781,-0.6191561,,45.47188,8.59548,0,0.0
2023-02-01 08:37:02,-0.629812187,-0.59046555,,45.4739,8.59776,0,0.0
2023-02-01 08:37:07,-0.581666585,-0.58786345,,45.47592,8.60004,0,0.0
2023-02-01 08:37:12,-0.538918643,-0.53309333,,45.47793,8.60232,0,0.0
2023-02-01 08:37:17,-0.506697941,-0.49937844,,45.48656,8.61131,0,0.0
2023-02-01 08:37:22,-0.487454614,-0.46041632,,45.48858,8.6136,0,0.0
2023-02-01 08:37:27,-0.447440193,-0.45543313,,45.4906,8.6159,0,0.0
2023-02-01 08:37:32,-0.454269256,-0.40628737,,45.49262,8.6182,0,0.0
2023-02-01 08:37:37,-0.394789571,-0.4335523,,45.49463,8.6205,0,0.0
2023-02-01 08:37:42,-0.356034335,-0.34621644,,45.49665,8.6228,0,0.0
2023-02-01 08:37:47,-0.352604823,-0.31878036,,45.49866,8.6251,0,0.0
2023-02-01 08:37:52,-0.402608428,-0.31397763,,45.50066,8.62741,0,0.0
2023-02-01 08:37:57,-0.315809707,-0.3948008,,45.50267,8.62971,0,0.0
2023-02-01 08:38:02,-0.226368917,-0.2860882,,45.50468,8.63202,0,0.0
2023-02-01 08:38:07,-0.251507361,-0.1750608,,45.51337,8.64113,0,0.0
2023-02-01 08:38:12,-0.189700928,-0.20066373,,45.51538,8.64345,0,0.0
2023-02-01 08:38:17,-0.14473913,-0.13369688,,45.51738,8.64578,0,0.0
2023-02-01 08:38:22,-0.135322745,-0.09636561,,45.51939,8.6481,0,0.0
2023-02-01 08:38:27,-0.058263348,-0.09232972,,45.52139,8.65043,0,0.0
2023-02-01 08:38:32,-0.038579355,-0.029940423,,45.52339,8.65276,0,0.0
2023-02-01 08:38:37,0.001211944,-0.0066340985,,45.52539,8.65509,0,0.0
2023-02-01 08:38:42,0.040455352,0.037785202,,45.52739,8.65743,0,0.0
2023-02-01 08:38:47,0.076797331,0.08265018,,45.52938,8.65976,0,0.0
2023-02-01 08:38:52,0.118790568,0.12429369,,45.53138,8.6621,0,0.0
2023-02-01 08:38:57,0.160326348,0.16940878,,45.54013,8.67133,0,0.0
2023-02-01 08:39:02,0.20256102,0.20672187,,45.54213,8.67368,0,0.0
2023-02-01 08:39:07,0.245479975,0.23772676,,45.54412,8.67603,0,0.0
2023-02-01 08:39:12,0.289066915,0.27716324,,45.54611,8.67839,0,0.0
2023-02-01 08:39:17,0.333303431,0.3205901,,45.5481,8.68074,0,0.0
2023-02-01 08:39:22,0.37816908,0.36738154,,45.55009,8.6831,0,0.0
2023-02-01 08:39:27,0.435525264,0.4152994,,45.55208,8.68546,0,0.0
