Time,dTEC,forecast,upper_MSE,ipplat,ipplon,Error_count,Error_RM
2023-02-06 03:05:02,-0.728623552,-0.6631291,,40.83201,-5.52376,0,
2023-02-06 03:05:07,-0.748491539,-0.6792722,,40.82992,-5.52276,0,
2023-02-06 03:05:12,-0.779032481,-0.6880594,,40.82784,-5.52177,0,
2023-02-06 03:05:17,-0.799452581,-0.7032973,,40.82575,-5.52077,0,
2023-02-06 03:05:22,-0.827219066,-0.71142054,,40.82366,-5.51978,0,
2023-02-06 03:05:27,-0.857907435,-0.7228231,,40.82157,-5.51879,0,
2023-02-06 03:05:32,-0.877575202,-0.7334656,,40.81948,-5.5178,0,
2023-02-06 03:05:37,-0.908446344,-0.7395875,-0.908446344,40.81739,-5.51681,1,
2023-02-06 03:05:42,-0.926869153,-0.74952084,-0.926869153,40.8153,-5.51582,1,
2023-02-06 03:05:47,-0.941551784,-0.75373936,-0.941551784,40.81321,-5.51484,1,
2023-02-06 03:05:52,-0.972052018,-0.7584097,-0.972052018,40.80942,-5.50809,1,
2023-02-06 03:05:57,-0.997191611,-0.76506203,-0.997191611,40.80733,-5.50711,1,
2023-02-06 03:06:02,-1.015588958,-0.76840675,-1.015588958,40.80525,-5.50613,1,
2023-02-06 03:06:07,-1.034688555,-0.7722669,-1.034688555,40.80316,-5.50516,1,
2023-02-06 03:06:12,-1.052707362,-0.7754743,-1.052707362,40.80108,-5.50418,1,
2023-02-06 03:06:17,-1.06980657,-0.77769977,-1.06980657,40.79899,-5.5032,1,
2023-02-06 03:06:22,-1.089482871,-0.7800951,-1.089482871,40.7969,-5.50223,1,
2023-02-06 03:06:27,-1.103501728,-0.78243434,-1.103501728,40.79481,-5.50126,1,
2023-02-06 03:06:32,-1.12190235,-0.7839424,-1.12190235,40.79272,-5.50029,1,
2023-02-06 03:06:37,-1.132833769,-0.78598154,-1.132833769,40.79063,-5.49932,1,
2023-02-06 03:06:42,-1.144241915,-0.7870598,-1.144241915,40.78854,-5.49835,1,
2023-02-06 03:06:47,-1.155507102,-0.78849757,-1.155507102,40.78645,-5.49738,1,
2023-02-06 03:06:52,-1.170579007,-0.78967714,-1.170579007,40.78436,-5.49641,1,
2023-02-06 03:06:57,-1.184270457,-0.79080576,-1.184270457,40.78227,-5.49545,1,17.0
2023-02-06 03:07:02,-1.188412716,-0.7918167,-1.188412716,40.78017,-5.49448,1,18.0
2023-02-06 03:07:07,-1.189431877,-0.7924002,-1.189431877,40.77808,-5.49352,1,19.0
2023-02-06 03:07:12,-1.193754753,-0.79327506,-1.193754753,40.77598,-5.49256,1,20.0
2023-02-06 03:07:17,-1.196704872,-0.79397404,-1.196704872,40.77388,-5.4916,1,21.0
2023-02-06 03:07:22,-1.198238871,-0.79446447,-1.198238871,40.77179,-5.49064,1,22.0
2023-02-06 03:07:27,-1.195546799,-0.7950693,-1.195546799,40.76969,-5.48968,1,23.0
2023-02-06 03:07:32,-1.194226115,-0.7954788,-1.194226115,40.76759,-5.48872,1,24.0
2023-02-06 03:07:37,-1.183268494,-0.79587394,-1.183268494,40.76549,-5.48776,1,24.0
2023-02-06 03:07:42,-1.178918727,-0.7957668,-1.178918727,40.76339,-5.48681,1,24.0
2023-02-06 03:07:47,-1.165911633,-0.7963856,-1.165911633,40.76129,-5.48586,1,24.0
2023-02-06 03:07:52,-1.153729967,-0.79591197,-1.153729967,40.75919,-5.4849,1,24.0
2023-02-06 03:07:57,-1.141959327,-0.7958174,-1.141959327,40.75709,-5.48395,1,24.0
2023-02-06 03:08:02,-1.132091273,-0.7957154,-1.132091273,40.75499,-5.483,1,24.0
2023-02-06 03:08:07,-1.123525037,-0.7953676,-1.123525037,40.75288,-5.48205,1,24.0
2023-02-06 03:08:12,-1.104240839,-0.79512227,-1.104240839,40.75078,-5.4811,1,24.0
2023-02-06 03:08:17,-1.078591511,-0.7937679,-1.078591511,40.74867,-5.48016,1,24.0
2023-02-06 03:08:22,-1.058165808,-0.7922539,-1.058165808,40.74657,-5.47921,1,24.0
2023-02-06 03:08:27,-1.036090435,-0.79076964,-1.036090435,40.74446,-5.47827,1,24.0
2023-02-06 03:08:32,-1.010824669,-0.7884415,-1.010824669,40.74235,-5.47732,1,24.0
2023-02-06 03:08:37,-0.9810207810000001,-0.78550076,-0.9810207810000001,40.74025,-5.47638,1,24.0
2023-02-06 03:08:42,-0.952643664,-0.7814911,-0.952643664,40.73814,-5.47544,1,24.0
2023-02-06 03:08:47,-0.919418256,-0.77705425,,40.73603,-5.4745,0,23.0
2023-02-06 03:08:52,-0.884638974,-0.7704383,,40.73392,-5.47356,0,22.0
2023-02-06 03:08:57,-0.849056736,-0.76234955,,40.73181,-5.47262,0,21.0
2023-02-06 03:09:02,-0.811379796,-0.7523523,,40.7297,-5.47169,0,20.0
2023-02-06 03:09:07,-0.774250876,-0.73865145,,40.72758,-5.47075,0,19.0
2023-02-06 03:09:12,-0.729378792,-0.72191936,,40.72547,-5.46982,0,18.0
2023-02-06 03:09:17,-0.682312893,-0.69526446,,40.72336,-5.46888,0,17.0
2023-02-06 03:09:22,-0.637376392,-0.65812,,40.72124,-5.46795,0,16.0
2023-02-06 03:09:27,-0.583547899,-0.6133302,,40.71913,-5.46702,0,15.0
2023-02-06 03:09:32,-0.529796859,-0.54891205,,40.71573,-5.46053,0,14.0
2023-02-06 03:09:37,-0.476531083,-0.47772932,,40.71362,-5.45961,0,13.0
2023-02-06 03:09:42,-0.416739288,-0.41009286,,40.71152,-5.45868,0,12.0
2023-02-06 03:09:47,-0.363211229,-0.3456702,,40.70941,-5.45776,0,11.0
2023-02-06 03:09:52,-0.299807638,-0.29385728,,40.7073,-5.45684,0,10.0
2023-02-06 03:09:57,-0.233617256,-0.22542734,,40.70519,-5.45592,0,9.0
2023-02-06 03:10:02,-0.169830375,-0.15497407,,40.70308,-5.455,0,8.0
2023-02-06 03:10:07,-0.109073468,-0.09644151,,40.70097,-5.45409,0,7.0
2023-02-06 03:10:12,-0.047600627,-0.05371314,,40.69886,-5.45317,0,6.0
2023-02-06 03:10:17,0.0261337,-0.012853349,,40.69675,-5.45226,0,5.0
2023-02-06 03:10:22,0.099874977,0.04626197,,40.69463,-5.45134,0,4.0
2023-02-06 03:10:27,0.181350443,0.12922157,,40.69252,-5.45043,0,3.0
2023-02-06 03:10:32,0.24630208,0.22340575,,40.6904,-5.44952,0,2.0
2023-02-06 03:10:37,0.319196379,0.30085725,,40.68829,-5.44861,0,1.0
2023-02-06 03:10:42,0.39727351,0.3733684,,40.68617,-5.4477,0,0.0
2023-02-06 03:10:47,0.46939158599999997,0.45080596,,40.68406,-5.44679,0,0.0
2023-02-06 03:10:52,0.548768136,0.529542,,40.68194,-5.44588,0,0.0
2023-02-06 03:10:57,0.625009978,0.6109631,,40.67982,-5.44498,0,0.0
2023-02-06 03:11:02,0.701613485,0.69301003,,40.6777,-5.44407,0,0.0
2023-02-06 03:11:07,0.778261262,0.769751,,40.67558,-5.44317,0,0.0
2023-02-06 03:11:12,0.854438523,0.84207356,,40.67346,-5.44227,0,0.0
2023-02-06 03:11:17,0.931717861,0.90271235,,40.67134,-5.44137,0,0.0
2023-02-06 03:11:22,1.011854932,0.95247114,,40.66922,-5.44047,0,0.0
2023-02-06 03:11:27,1.09564643,0.99141514,,40.6671,-5.43957,0,0.0
2023-02-06 03:11:32,1.174554472,1.0207928,1.174554472,40.66498,-5.43867,1,1.0
2023-02-06 03:11:37,1.251835777,1.0411427,1.251835777,40.66286,-5.43778,1,2.0
2023-02-06 03:11:42,1.331881755,1.0538492,1.331881755,40.66073,-5.43688,1,3.0
2023-02-06 03:11:47,1.415459291,1.059894,1.415459291,40.65861,-5.43598,1,4.0
2023-02-06 03:11:52,1.495523036,1.0585808,1.495523036,40.65648,-5.43509,1,5.0
2023-02-06 03:11:57,1.568939598,1.048364,1.568939598,40.65436,-5.4342,1,6.0
2023-02-06 03:12:02,1.642205835,1.032851,1.642205835,40.65223,-5.43331,1,7.0
