Time,dTEC,forecast,upper_MSE,ipplat,ipplon,Error_count,Error_RM
2023-02-02 15:00:02,0.478522966,0.36531267,,41.61936,21.99205,0,
2023-02-02 15:00:07,0.4283593620000001,0.380827,,41.62041,21.9908,0,
2023-02-02 15:00:12,0.405687927,0.36436418,,41.62145,21.98956,0,
2023-02-02 15:00:17,0.410500878,0.33913338,,41.6225,21.98832,0,
2023-02-02 15:00:22,0.405891285,0.3443737,,41.62355,21.98708,0,
2023-02-02 15:00:27,0.3624746079999999,0.34392455,,41.6246,21.98583,0,
2023-02-02 15:00:32,0.403401328,0.31699726,,41.62564,21.98459,0,
2023-02-02 15:00:37,0.325131789,0.33687004,,41.62669,21.98335,0,
2023-02-02 15:00:42,0.323257825,0.2871356,,41.62774,21.98211,0,
2023-02-02 15:00:47,0.3144268,0.2781321,,41.62879,21.98087,0,
2023-02-02 15:00:52,0.300669039,0.28650525,,41.62984,21.97962,0,
2023-02-02 15:00:57,0.22764306099999998,0.26767227,,41.62858,21.96407,0,
2023-02-02 15:01:02,0.21545071200000002,0.17090017,,41.62963,21.96284,0,
2023-02-02 15:01:07,0.22696049699999998,0.1687308,,41.63068,21.9616,0,
2023-02-02 15:01:12,0.22034151,0.2081656,,41.63172,21.96036,0,
2023-02-02 15:01:17,0.155879566,0.21299875,,41.63277,21.95912,0,
2023-02-02 15:01:22,0.13464433,0.12053574,,41.63381,21.95789,0,
2023-02-02 15:01:27,0.11269384399999999,0.095904976,,41.63486,21.95665,0,
2023-02-02 15:01:32,0.089802956,0.06544376,,41.63591,21.95541,0,
2023-02-02 15:01:37,0.058931748,0.059528764,,41.63695,21.95418,0,
2023-02-02 15:01:42,0.04430115900000001,0.040399335,,41.638,21.95294,0,
2023-02-02 15:01:47,0.02500811,0.032612912,,41.63904,21.9517,0,
2023-02-02 15:01:52,-0.003397571,0.012779386,,41.64009,21.95047,0,
2023-02-02 15:01:57,-0.049829828,-0.0066384794,,41.64114,21.94923,0,0.0
2023-02-02 15:02:02,-0.011091757,-0.048763685,,41.63984,21.93373,0,0.0
