Time,dTEC,forecast,upper_MSE,ipplat,ipplon,Error_count,Error_RM
2023-02-05 06:00:02,-0.073137595,-0.026104864,,35.25165,37.88583,0,
2023-02-05 06:00:07,0.036093385,-0.030689022,,35.25266,37.88502,0,
2023-02-05 06:00:12,-0.110671623,-0.01697726,,35.25368,37.8842,0,
2023-02-05 06:00:17,-0.0208081,-0.03318733,,35.2547,37.88339,0,
2023-02-05 06:00:22,-0.062837444,-0.023585685,,35.25571,37.88257,0,
2023-02-05 06:00:27,-0.255323963,-0.028702954,-0.255323963,35.25673,37.88176,1,
2023-02-05 06:00:32,-0.014920882,-0.065010235,,35.25775,37.88094,0,
2023-02-05 06:00:37,-0.017333345,-0.039107013,,35.25867,37.86733,0,
2023-02-05 06:00:42,-0.013191413,-0.037938885,,35.25968,37.86652,0,
2023-02-05 06:00:47,-0.14045407,-0.032175634,,35.2607,37.8657,0,
2023-02-05 06:00:52,-0.116611224,-0.048344217,,35.26171,37.86489,0,
2023-02-05 06:00:57,-0.184678708,-0.049749285,,35.26272,37.86408,0,
2023-02-05 06:01:02,-0.147933282,-0.069067135,,35.26374,37.86327,0,
2023-02-05 06:01:07,-0.052201638,-0.07451758,,35.26475,37.86246,0,
2023-02-05 06:01:12,-0.048133402,-0.064129435,,35.26577,37.86165,0,
2023-02-05 06:01:17,-0.168862134,-0.059743542,,35.26678,37.86084,0,
2023-02-05 06:01:22,-0.171128333,-0.0790959,,35.2678,37.86003,0,
2023-02-05 06:01:27,-0.07537544,-0.08693626,,35.26881,37.85922,0,
2023-02-05 06:01:32,-0.143420841,-0.07523915,,35.26982,37.85841,0,
2023-02-05 06:01:37,-0.106621871,-0.08785582,,35.27084,37.8576,0,
2023-02-05 06:01:42,-0.095885813,-0.083069846,,35.27185,37.85679,0,
2023-02-05 06:01:47,-0.045868909,-0.0804728,,35.27287,37.85598,0,
2023-02-05 06:01:52,-0.192300357,-0.06758583,,35.27388,37.85517,0,
2023-02-05 06:01:57,-0.168530316,-0.093072586,,35.2749,37.85436,0,1.0
2023-02-05 06:02:02,-0.164221913,-0.09644367,,35.27576,37.84078,0,1.0
2023-02-05 06:02:07,-0.120613245,-0.1044239,,35.27677,37.83997,0,1.0
2023-02-05 06:02:12,-0.07036938,-0.100515805,,35.27778,37.83917,0,1.0
2023-02-05 06:02:17,-0.157792367,-0.088161625,,35.27879,37.83836,0,1.0
2023-02-05 06:02:22,-0.133511235,-0.10238334,,35.2798,37.83755,0,1.0
2023-02-05 06:02:27,-0.142064001,-0.09937757,,35.28081,37.83675,0,0.0
2023-02-05 06:02:32,-0.176864672,-0.10304682,,35.28183,37.83594,0,0.0
2023-02-05 06:02:37,-0.021212251,-0.11445554,,35.28284,37.83513,0,0.0
2023-02-05 06:02:42,-0.154089742,-0.08131724,,35.28385,37.83433,0,0.0
2023-02-05 06:02:47,-0.136224153,-0.10022966,,35.28486,37.83352,0,0.0
2023-02-05 06:02:52,-0.065616501,-0.097349085,,35.28587,37.83272,0,0.0
2023-02-05 06:02:57,-0.014416818,-0.08186712,,35.28688,37.83191,0,0.0
2023-02-05 06:03:02,-0.153720158,-0.063381374,,35.2879,37.8311,0,0.0
2023-02-05 06:03:07,-0.036732595,-0.0821288,,35.28891,37.8303,0,0.0
2023-02-05 06:03:12,-0.136944236,-0.05967798,,35.28992,37.82949,0,0.0
2023-02-05 06:03:17,-0.157066222,-0.07394143,,35.29093,37.82869,0,0.0
2023-02-05 06:03:22,-0.019976734,-0.08186143,,35.29174,37.81514,0,0.0
2023-02-05 06:03:27,-0.101957997,-0.059789624,,35.29275,37.81434,0,0.0
2023-02-05 06:03:32,-0.034491288,-0.068129085,,35.29376,37.81354,0,0.0
2023-02-05 06:03:37,-0.199246939,-0.053867687,-0.199246939,35.29477,37.81274,1,1.0
2023-02-05 06:03:42,-0.160325342,-0.081562854,,35.29577,37.81193,0,1.0
2023-02-05 06:03:47,-0.140761958,-0.083740085,,35.29678,37.81113,0,1.0
2023-02-05 06:03:52,-0.002827316,-0.08849758,,35.29779,37.81033,0,1.0
2023-02-05 06:03:57,-0.075087024,-0.063860476,,35.2988,37.80953,0,1.0
2023-02-05 06:04:02,0.010518226,-0.066587836,,35.29981,37.80873,0,1.0
2023-02-05 06:04:07,0.057039659,-0.04473262,,35.30082,37.80792,0,1.0
2023-02-05 06:04:12,-0.041048598,-0.024160933,,35.30182,37.80712,0,1.0
2023-02-05 06:04:17,0.005815488,-0.028076,,35.30283,37.80632,0,1.0
2023-02-05 06:04:22,-0.045621156,-0.016164618,,35.30384,37.80552,0,1.0
2023-02-05 06:04:27,0.02110829,-0.019400634,,35.30485,37.80472,0,1.0
2023-02-05 06:04:32,0.068515533,-0.009318865,,35.30586,37.80392,0,1.0
2023-02-05 06:04:37,0.05688316,0.0022016354,,35.30687,37.80311,0,1.0
2023-02-05 06:04:42,-0.046689365,0.008209875,,35.30788,37.80231,0,1.0
2023-02-05 06:04:47,0.021035293,-0.0020877216,,35.30863,37.78881,0,1.0
2023-02-05 06:04:52,0.075562338,0.0047263415,,35.30964,37.78801,0,1.0
2023-02-05 06:04:57,0.064716833,0.013144988,,35.31064,37.78721,0,1.0
2023-02-05 06:05:02,0.106487701,0.017082067,,35.31165,37.78641,0,1.0
2023-02-05 06:05:07,0.037061719,0.028016623,,35.31266,37.78562,0,1.0
2023-02-05 06:05:12,0.020256509,0.023581816,,35.31366,37.78482,0,1.0
2023-02-05 06:05:17,0.082398541,0.021167263,,35.31467,37.78402,0,1.0
