Time,dTEC,forecast,upper_MSE,ipplat,ipplon,Error_count,Error_RM
2023-02-01 07:15:02,1.178679251,1.1946839,,32.38074,35.92827,0,
2023-02-01 07:15:07,1.285655602,1.1794766,,32.3807,35.92827,0,
2023-02-01 07:15:12,1.37294867,1.2564272,,32.38067,35.92827,0,
2023-02-01 07:15:17,1.289656315,1.3609649,,32.38063,35.92827,0,
2023-02-01 07:15:22,1.29829133,1.3029846,,32.38059,35.92827,0,
2023-02-01 07:15:27,1.235025465,1.2946808,,32.38056,35.92827,0,
2023-02-01 07:15:32,1.387988444,1.2489825,,32.38052,35.92827,0,
2023-02-01 07:15:37,1.422955986,1.332455,,32.38048,35.92827,0,
2023-02-01 07:15:42,1.556374819,1.4404489,,32.38044,35.92827,0,
2023-02-01 07:15:47,1.571533708,1.5153391,,32.38041,35.92827,0,
2023-02-01 07:15:52,-1.577484533,1.6042049,-1.577484533,32.38037,35.92827,1,
2023-02-01 07:15:57,-1.582190017,-1.5324911,,32.38033,35.92827,0,
2023-02-01 07:16:02,-1.613066765,-1.1422883,-1.613066765,32.3803,35.92827,1,
2023-02-01 07:16:07,-1.49314969,-1.2460794,-1.49314969,32.38026,35.92827,1,
2023-02-01 07:16:12,-1.662194573,-0.83079946,-1.662194573,32.38022,35.92827,1,
2023-02-01 07:16:17,-1.417946048,-1.5495946,,32.38018,35.92827,0,
2023-02-01 07:16:22,-1.442708581,-1.2263603,-1.442708581,32.38015,35.92827,1,
2023-02-01 07:16:27,-1.336709452,-1.3314904,,32.38011,35.92826,0,
2023-02-01 07:16:32,-1.39445474,-1.1057317,-1.39445474,32.38008,35.92826,1,
2023-02-01 07:16:37,-1.393619304,-1.2863364,,32.38004,35.92826,0,
2023-02-01 07:16:42,-1.248428764,-1.2843426,,32.38,35.92826,0,
2023-02-01 07:16:47,-1.221894488,-1.1691055,,32.37996,35.92826,0,
2023-02-01 07:16:52,-1.155854576,-1.1246239,,32.37993,35.92826,0,
2023-02-01 07:16:57,-1.228000844,-1.044926,-1.228000844,32.37989,35.92826,1,7.0
2023-02-01 07:17:02,-1.123171808,-1.132588,,32.37985,35.92826,0,7.0
2023-02-01 07:17:07,-1.156553676,-1.0512587,,32.37982,35.92826,0,7.0
2023-02-01 07:17:12,-1.045650329,-1.0961872,,32.37978,35.92826,0,7.0
2023-02-01 07:17:17,-1.000590311,-0.99002784,,32.37974,35.92826,0,7.0
2023-02-01 07:17:22,-1.172506819,-0.9465263,-1.172506819,32.37971,35.92826,1,8.0
2023-02-01 07:17:27,-0.937641691,-1.0770231,,32.37967,35.92826,0,8.0
2023-02-01 07:17:32,-1.005323395,-0.91261375,,32.37963,35.92826,0,8.0
2023-02-01 07:17:37,-0.968019023,-0.96074134,,32.3796,35.92826,0,8.0
2023-02-01 07:17:42,-0.86522328,-0.91865987,,32.37956,35.92826,0,8.0
2023-02-01 07:17:47,-0.907531475,-0.84464127,,32.37952,35.92826,0,8.0
2023-02-01 07:17:52,-0.969679519,-0.8565357,,32.37949,35.92826,0,7.0
2023-02-01 07:17:57,-0.815469918,-0.90639305,,32.37945,35.92826,0,7.0
2023-02-01 07:18:02,-0.721071763,-0.81353915,,32.37941,35.92826,0,6.0
2023-02-01 07:18:07,-0.692364733,-0.71898925,,32.37938,35.92826,0,5.0
2023-02-01 07:18:12,-0.637695085,-0.65795755,,32.37934,35.92826,0,4.0
2023-02-01 07:18:17,-0.695030656,-0.5937149,,32.3793,35.92825,0,4.0
2023-02-01 07:18:22,-0.693745862,-0.61267674,,32.37927,35.92825,0,3.0
2023-02-01 07:18:27,-0.692836691,-0.61952597,,32.37923,35.92825,0,3.0
2023-02-01 07:18:32,-0.541420708,-0.6317951,,32.37919,35.92825,0,2.0
2023-02-01 07:18:37,-0.613433056,-0.5447715,,32.37916,35.92825,0,2.0
2023-02-01 07:18:42,-0.541525455,-0.5587983,,32.37912,35.92825,0,2.0
2023-02-01 07:18:47,-0.561672203,-0.5118477,,32.37909,35.92825,0,2.0
