Time,dTEC,forecast,upper_MSE,ipplat,ipplon,Error_count,Error_RM
2023-02-06 10:35:02,0.921452223,0.42774573,0.921452223,37.05903,36.46706,1,
2023-02-06 10:35:07,1.441782396,0.6334735,1.441782396,37.06142,36.46766,1,
2023-02-06 10:35:12,1.935410101,0.8153049,1.935410101,37.0638,36.46825,1,
2023-02-06 10:35:17,2.232345327,0.9152224,2.232345327,37.06618,36.46884,1,
2023-02-06 10:35:22,2.295462973,0.9549204,2.295462973,37.06856,36.46944,1,
2023-02-06 10:35:27,2.220317855,0.9682938,2.220317855,37.07094,36.47003,1,
2023-02-06 10:35:32,2.044024709,0.9674473,2.044024709,37.07332,36.47063,1,
2023-02-06 10:35:37,1.904967203,0.9565918,1.904967203,37.0757,36.47123,1,
2023-02-06 10:35:42,1.55320494,0.9418307,1.55320494,37.07808,36.47183,1,
2023-02-06 10:35:47,1.185559468,0.8763018,1.185559468,37.08728,36.48377,1,
2023-02-06 10:35:52,1.071677288,0.7074333,1.071677288,37.08966,36.48438,1,
2023-02-06 10:35:57,0.47608086,0.6391413,0.47608086,37.09204,36.48498,1,
2023-02-06 10:36:02,0.161077614,0.11557325,,37.09442,36.48559,0,
2023-02-06 10:36:07,0.10656795800000002,-0.03056396,,37.0968,36.4862,0,
2023-02-06 10:36:12,-0.176853717,-0.096498445,,37.09918,36.48681,0,
2023-02-06 10:36:17,-0.49198502,-0.40636057,,37.10156,36.48742,0,
2023-02-06 10:36:22,-0.727662561,-0.5416566,-0.727662561,37.10393,36.48803,1,
2023-02-06 10:36:27,-0.862382933,-0.59909594,-0.862382933,37.1063,36.48864,1,
2023-02-06 10:36:32,-1.066325709,-0.63881147,-1.066325709,37.11558,36.50062,1,
2023-02-06 10:36:37,-1.12173043,-0.6227477,-1.12173043,37.11796,36.50124,1,
2023-02-06 10:36:42,-1.123970597,-0.6366187,-1.123970597,37.12034,36.50186,1,
2023-02-06 10:36:47,-1.152997663,-0.6513849,-1.152997663,37.12272,36.50248,1,
2023-02-06 10:36:52,-1.171507022,-0.6391008,-1.171507022,37.12509,36.5031,1,
2023-02-06 10:36:57,-1.191104002,-0.6391292,-1.191104002,37.12747,36.50372,1,20.0
