Time,dTEC,forecast,upper_MSE,ipplat,ipplon,Error_count,Error_RM
2023-02-06 10:35:02,0.177390781,0.055435278,,37.34963,35.09168,0,
2023-02-06 10:35:07,0.194462404,0.09630233,,37.34855,35.09524,0,
2023-02-06 10:35:12,0.260530889,0.12873136,,37.34746,35.09881,0,
2023-02-06 10:35:17,0.27225095,0.19283219,,37.34638,35.10238,0,
2023-02-06 10:35:22,0.490708217,0.22818643,0.490708217,37.34528,35.10594,1,
2023-02-06 10:35:27,0.883532243,0.3956706,0.883532243,37.34419,35.10951,1,
2023-02-06 10:35:32,1.238378507,0.67080736,1.238378507,37.3431,35.11307,1,
2023-02-06 10:35:37,1.609452416,0.86657083,1.609452416,37.342,35.11663,1,
2023-02-06 10:35:42,1.741120312,1.0137427,1.741120312,37.34883,35.12662,1,
2023-02-06 10:35:47,1.655024475,1.0686882,1.655024475,37.34772,35.1302,1,
2023-02-06 10:35:52,1.284854125,1.0692619,1.284854125,37.34661,35.13377,1,
2023-02-06 10:35:57,1.488587433,0.8969824,1.488587433,37.3455,35.13734,1,
2023-02-06 10:36:02,1.271943519,1.0382555,1.271943519,37.34438,35.14091,1,
2023-02-06 10:36:07,1.120452465,0.9199098,1.120452465,37.34326,35.14448,1,
2023-02-06 10:36:12,0.8494563129999999,0.89792943,,37.34214,35.14805,0,
2023-02-06 10:36:17,0.627617077,0.5941202,,37.34101,35.15161,0,
2023-02-06 10:36:22,0.302061743,0.49905917,0.302061743,37.33989,35.15518,1,
2023-02-06 10:36:27,0.12373528099999999,0.045781344,,37.33876,35.15874,0,
2023-02-06 10:36:32,-0.082072352,-0.09474312,,37.33762,35.1623,0,
2023-02-06 10:36:37,-0.20051920700000003,-0.34747022,-0.20051920700000003,37.33649,35.16586,1,
2023-02-06 10:36:42,-0.329879335,-0.2673189,,37.33535,35.16942,0,
2023-02-06 10:36:47,-0.606259778,-0.41170016,-0.606259778,37.33421,35.17298,1,
2023-02-06 10:36:52,-0.68121857,-0.63138735,,37.33307,35.17654,0,
2023-02-06 10:36:57,-0.8085907220000002,-0.5675384,-0.8085907220000002,37.33192,35.18009,1,14.0
2023-02-06 10:37:02,-0.956529224,-0.6847889,-0.956529224,37.33077,35.18365,1,15.0
2023-02-06 10:37:07,-1.140118032,-0.66519696,-1.140118032,37.32962,35.1872,1,16.0
2023-02-06 10:37:12,-1.111964066,-0.7104635,-1.111964066,37.32846,35.19075,1,17.0
2023-02-06 10:37:17,-1.127112203,-0.71954846,-1.127112203,37.32731,35.1943,1,18.0
2023-02-06 10:37:22,-1.169383272,-0.71967584,-1.169383272,37.32614,35.19785,1,18.0
2023-02-06 10:37:27,-1.086689047,-0.7119964,-1.086689047,37.32498,35.2014,1,18.0
2023-02-06 10:37:32,-0.992904242,-0.70885074,-0.992904242,37.32382,35.20495,1,18.0
2023-02-06 10:37:37,-0.8229065079999999,-0.7089288,,37.32265,35.2085,0,17.0
2023-02-06 10:37:42,-0.669318426,-0.6193129,,37.32148,35.21204,0,16.0
2023-02-06 10:37:47,-0.6192995,-0.50917965,,37.3203,35.21558,0,15.0
2023-02-06 10:37:52,-0.47143215799999993,-0.4593756,,37.31913,35.21913,0,14.0
2023-02-06 10:37:57,-0.3834627440000001,-0.2150386,-0.3834627440000001,37.31795,35.22267,1,14.0
2023-02-06 10:38:02,-0.262579515,-0.19121468,,37.31676,35.22621,0,13.0
2023-02-06 10:38:07,-0.223632636,-0.07714269,-0.223632636,37.31558,35.22974,1,13.0
2023-02-06 10:38:12,-0.12467318,-0.08803722,,37.31439,35.23328,0,13.0
2023-02-06 10:38:17,-0.18935412099999996,-0.025071984,-0.18935412099999996,37.3132,35.23682,1,14.0
2023-02-06 10:38:22,-0.07976233,-0.07308269,,37.3198,35.2472,0,13.0
2023-02-06 10:38:27,-0.051724577,-0.02553155,,37.31859,35.25075,0,13.0
2023-02-06 10:38:32,-0.121817527,-0.0064792335,,37.31739,35.25429,0,13.0
2023-02-06 10:38:37,-0.034216732,-0.04279489,,37.31618,35.25784,0,12.0
2023-02-06 10:38:42,-0.060932639,-0.015808806,,37.31498,35.26138,0,12.0
2023-02-06 10:38:47,-0.044025577,-0.021757292,,37.31376,35.26492,0,11.0
2023-02-06 10:38:52,-0.050022765,-0.017900372,,37.31255,35.26846,0,11.0
2023-02-06 10:38:57,-0.032221305,-0.02033834,,37.31133,35.272,0,10.0
2023-02-06 10:39:02,-0.037326183,-0.015648916,,37.31011,35.27554,0,9.0
