Time,dTEC,forecast,upper_MSE,ipplat,ipplon,Error_count,Error_RM
2023-02-06 11:20:02,-0.041051949,-0.025566861,,45.15416,6.46629,0,
2023-02-06 11:20:07,-0.07986455,-0.03185149,,45.15723,6.46567,0,
2023-02-06 11:20:12,-0.105957489,-0.055024896,,45.16031,6.46505,0,
2023-02-06 11:20:17,-0.131493197,-0.08351908,,45.16338,6.46443,0,
2023-02-06 11:20:22,-0.174723986,-0.118365325,,45.16645,6.46381,0,
2023-02-06 11:20:27,-0.192036233,-0.17132854,,45.16953,6.46319,0,
2023-02-06 11:20:32,-0.204345081,-0.2089178,,45.1726,6.46257,0,
2023-02-06 11:20:37,-0.229138231,-0.22898363,,45.17567,6.46196,0,
2023-02-06 11:20:42,-0.289041839,-0.25196573,,45.17874,6.46134,0,
2023-02-06 11:20:47,-0.308267614,-0.31395638,,45.18181,6.46073,0,
2023-02-06 11:20:52,-0.341038317,-0.34116736,,45.18488,6.46011,0,
2023-02-06 11:20:57,-0.365053062,-0.37127525,,45.18795,6.4595,0,
2023-02-06 11:21:02,-0.388318319,-0.38761392,,45.19102,6.45889,0,
2023-02-06 11:21:07,-0.404393417,-0.40769634,,45.19894,6.47457,0,
2023-02-06 11:21:12,-0.438689949,-0.4198481,,45.20201,6.47396,0,
2023-02-06 11:21:17,-0.463720282,-0.45333382,,45.20509,6.47335,0,
2023-02-06 11:21:22,-0.508954361,-0.4772062,,45.20816,6.47274,0,
2023-02-06 11:21:27,-0.520104826,-0.5222072,,45.21124,6.47213,0,
2023-02-06 11:21:32,-0.562980919,-0.5303294,,45.21431,6.47152,0,
2023-02-06 11:21:37,-0.594001098,-0.5702808,,45.21739,6.47091,0,
2023-02-06 11:21:42,-0.622405158,-0.59221745,,45.22046,6.4703,0,
2023-02-06 11:21:47,-0.672153245,-0.619837,,45.22353,6.4697,0,
2023-02-06 11:21:52,-0.699422275,-0.65396464,,45.2266,6.46909,0,
2023-02-06 11:21:57,-0.713116261,-0.67331827,,45.22968,6.46848,0,0.0
2023-02-06 11:22:02,-0.728229729,-0.6870472,,45.23274,6.46788,0,0.0
2023-02-06 11:22:07,-0.76432455,-0.69789076,,45.23581,6.46728,0,0.0
2023-02-06 11:22:12,-0.781761566,-0.7178458,,45.23888,6.46667,0,0.0
2023-02-06 11:22:17,-0.816090718,-0.72922623,,45.24195,6.46607,0,0.0
2023-02-06 11:22:22,-0.842138082,-0.74763435,,45.25001,6.48175,0,0.0
2023-02-06 11:22:27,-0.862710697,-0.75777954,,45.25309,6.48115,0,0.0
2023-02-06 11:22:32,-0.873572208,-0.7679282,,45.25616,6.48055,0,0.0
2023-02-06 11:22:37,-0.9037969,-0.77429634,,45.25924,6.47995,0,0.0
2023-02-06 11:22:42,-0.932205338,-0.78299177,-0.932205338,45.26231,6.47935,1,1.0
2023-02-06 11:22:47,-0.954939313,-0.78890216,-0.954939313,45.26539,6.47875,1,2.0
2023-02-06 11:22:52,-0.963571685,-0.7941888,-0.963571685,45.26846,6.47815,1,3.0
2023-02-06 11:22:57,-0.990410332,-0.79558426,-0.990410332,45.27153,6.47756,1,4.0
2023-02-06 11:23:02,-1.015034695,-0.7980484,-1.015034695,45.2746,6.47696,1,5.0
2023-02-06 11:23:07,-1.052239134,-0.7970865,-1.052239134,45.27768,6.47636,1,6.0
2023-02-06 11:23:12,-1.08198278,-0.7975045,-1.08198278,45.28075,6.47577,1,7.0
2023-02-06 11:23:17,-1.104401893,-0.79528344,-1.104401893,45.28382,6.47518,1,8.0
2023-02-06 11:23:22,-1.131053918,-0.79318774,-1.131053918,45.28688,6.47458,1,9.0
2023-02-06 11:23:27,-1.132950145,-0.7920825,-1.132950145,45.28995,6.47399,1,10.0
2023-02-06 11:23:32,-1.133639877,-0.7895754,-1.133639877,45.29815,6.48967,1,11.0
2023-02-06 11:23:37,-1.180085589,-0.7898788,-1.180085589,45.30122,6.48908,1,12.0
2023-02-06 11:23:42,-1.190570399,-0.7911214,-1.190570399,45.3043,6.48849,1,13.0
2023-02-06 11:23:47,-1.198732037,-0.7891935,-1.198732037,45.30738,6.4879,1,14.0
2023-02-06 11:23:52,-1.233449416,-0.79167724,-1.233449416,45.31045,6.48731,1,15.0
2023-02-06 11:23:57,-1.214909408,-0.7924244,-1.214909408,45.31352,6.48672,1,16.0
2023-02-06 11:24:02,-1.231001119,-0.79105693,-1.231001119,45.3166,6.48613,1,17.0
2023-02-06 11:24:07,-1.249618164,-0.7946154,-1.249618164,45.31967,6.48554,1,18.0
2023-02-06 11:24:12,-1.245988655,-0.79353726,-1.245988655,45.32274,6.48496,1,19.0
2023-02-06 11:24:17,-1.266858378,-0.7938844,-1.266858378,45.32581,6.48437,1,20.0
2023-02-06 11:24:22,-1.275889779,-0.79608315,-1.275889779,45.32888,6.48379,1,21.0
2023-02-06 11:24:27,-1.295302152,-0.7948203,-1.295302152,45.33195,6.48321,1,22.0
2023-02-06 11:24:32,-1.283547025,-0.7961943,-1.283547025,45.33502,6.48262,1,23.0
2023-02-06 11:24:37,-1.307197655,-0.796078,-1.307197655,45.33809,6.48204,1,24.0
2023-02-06 11:24:42,-1.293489119,-0.7972842,-1.293489119,45.34642,6.49772,1,24.0
2023-02-06 11:24:47,-1.287296505,-0.79649246,-1.287296505,45.34949,6.49713,1,24.0
2023-02-06 11:24:52,-1.291046915,-0.7979852,-1.291046915,45.35257,6.49655,1,24.0
2023-02-06 11:24:57,-1.287752458,-0.7984929,-1.287752458,45.35564,6.49598,1,24.0
2023-02-06 11:25:02,-1.274322555,-0.7980335,-1.274322555,45.35872,6.4954,1,24.0
2023-02-06 11:25:07,-1.261563734,-0.7990728,-1.261563734,45.36179,6.49482,1,24.0
2023-02-06 11:25:12,-1.236299642,-0.79923034,-1.236299642,45.36486,6.49424,1,24.0
2023-02-06 11:25:17,-1.243222941,-0.7992725,-1.243222941,45.36793,6.49367,1,24.0
2023-02-06 11:25:22,-1.233754622,-0.80031735,-1.233754622,45.371,6.49309,1,24.0
2023-02-06 11:25:27,-1.2219441090000003,-0.7993354,-1.2219441090000003,45.37408,6.49252,1,24.0
2023-02-06 11:25:32,-1.200142272,-0.7997788,-1.200142272,45.37714,6.49194,1,24.0
2023-02-06 11:25:37,-1.170600431,-0.7996291,-1.170600431,45.38021,6.49137,1,24.0
2023-02-06 11:25:42,-1.138998576,-0.7985876,-1.138998576,45.38328,6.4908,1,24.0
2023-02-06 11:25:47,-1.107592376,-0.7980299,-1.107592376,45.39173,6.50647,1,24.0
2023-02-06 11:25:52,-1.09653349,-0.7960936,-1.09653349,45.39481,6.5059,1,24.0
2023-02-06 11:25:57,-1.071153892,-0.79602283,-1.071153892,45.39788,6.50533,1,24.0
2023-02-06 11:26:02,-1.056940078,-0.7932593,-1.056940078,45.40096,6.50476,1,24.0
2023-02-06 11:26:07,-1.018848886,-0.79254717,-1.018848886,45.40404,6.50419,1,24.0
2023-02-06 11:26:12,-0.978374815,-0.7880595,-0.978374815,45.40711,6.50362,1,24.0
2023-02-06 11:26:17,-0.947688343,-0.78254867,-0.947688343,45.41018,6.50306,1,24.0
