Time,dTEC,ipplat,ipplon
2023-02-01 00:00:02,0.00189688,34.11799,34.88907
2023-02-01 00:00:07,-0.006321977,34.11908,34.89104
2023-02-01 00:00:12,-0.004731564,34.12017,34.89302
2023-02-01 00:00:17,-0.010422185,34.12126,34.895
2023-02-01 00:00:22,-0.010937145,34.12234,34.89698
2023-02-01 00:00:27,-0.005571749,34.12343,34.89896
2023-02-01 00:00:32,-0.000673305,34.12451,34.90094
2023-02-01 00:00:37,-0.003526118,34.12559,34.90292
2023-02-01 00:00:42,-0.003790495,34.12667,34.9049
2023-02-01 00:00:47,-0.003816741,34.12775,34.90689
2023-02-01 00:00:52,-0.011597162,34.12883,34.90887
2023-02-01 00:00:57,-0.00221606,34.1299,34.91086
2023-02-01 00:01:02,-0.008185738,34.13098,34.91284
2023-02-01 00:01:07,-0.006247494,34.13205,34.91483
2023-02-01 00:01:12,-0.008143625,34.13312,34.91682
2023-02-01 00:01:17,-0.016383426,34.13419,34.91881
2023-02-01 00:01:22,-0.007935187,34.13526,34.9208
2023-02-01 00:01:27,-0.013117195,34.13632,34.92279
2023-02-01 00:01:32,-0.017359733,34.13739,34.92478
2023-02-01 00:01:37,-0.013846081,34.13845,34.92677
2023-02-01 00:01:42,-0.017382513,34.13951,34.92876
2023-02-01 00:01:47,-0.006348299,34.14058,34.93076
2023-02-01 00:01:52,-0.006125701,34.14163,34.93275
2023-02-01 00:01:57,-0.012014981,34.14269,34.93475
2023-02-01 00:02:02,-0.011522389,34.14375,34.93675
2023-02-01 00:02:07,-0.012985173,34.1448,34.93874
2023-02-01 00:02:12,-0.008067574,34.14586,34.94074
2023-02-01 00:02:17,-0.009026824,34.14691,34.94274
2023-02-01 00:02:22,-0.009283152,34.14796,34.94474
2023-02-01 00:02:27,-0.024583777,34.14901,34.94674
2023-02-01 00:02:32,-0.011683911,34.15006,34.94874
2023-02-01 00:02:37,-0.049317759,34.1511,34.95074
2023-02-01 00:02:42,-0.007278519,34.15215,34.95275
2023-02-01 00:02:47,-0.01365938,34.15319,34.95475
2023-02-01 00:02:52,-0.008292523,34.15423,34.95676
2023-02-01 00:02:57,-0.006219122,34.16172,34.95846
2023-02-01 00:03:02,-0.00720434,34.16276,34.96047
2023-02-01 00:03:07,-0.001612334,34.1638,34.96249
2023-02-01 00:03:12,-0.004721251,34.16484,34.96451
2023-02-01 00:03:17,-0.01253423,34.16588,34.96652
2023-02-01 00:03:22,-0.003899401,34.16692,34.96854
2023-02-01 00:03:27,-0.010310885,34.16795,34.97056
2023-02-01 00:03:32,0.004191206,34.16899,34.97259
2023-02-01 00:03:37,0.00200077,34.17002,34.97461
2023-02-01 00:03:42,-0.001368288,34.17105,34.97663
2023-02-01 00:03:47,-0.009443053,34.17208,34.97865
2023-02-01 00:03:52,-0.0013056,34.17311,34.98068
2023-02-01 00:03:57,-0.003279997,34.17414,34.9827
2023-02-01 00:04:02,0.005082701,34.17516,34.98473
2023-02-01 00:04:07,0.011325444,34.17619,34.98676
2023-02-01 00:04:12,-0.005234808,34.17721,34.98878
2023-02-01 00:04:17,-0.006053084,34.17823,34.99081
2023-02-01 00:04:22,-0.007347407,34.17925,34.99284
2023-02-01 00:04:27,-0.004414788,34.18027,34.99487
2023-02-01 00:04:32,-0.013005232,34.18129,34.9969
2023-02-01 00:04:37,-0.014783734,34.1823,34.99893
2023-02-01 00:04:42,-0.020328281,34.18332,35.00097
2023-02-01 00:04:47,-0.03668885,34.18433,35.003
2023-02-01 00:04:52,-0.005578412,34.18534,35.00503
2023-02-01 00:04:57,-0.001971929,34.18635,35.00707
2023-02-01 00:05:02,0.006800647,34.18735,35.0091
2023-02-01 00:05:07,0.001702369,34.18836,35.01114
2023-02-01 00:05:12,-0.003166701,34.18936,35.01318
2023-02-01 00:05:17,-0.002634493,34.19037,35.01522
2023-02-01 00:05:22,-0.000931932,34.19137,35.01726
2023-02-01 00:05:27,0.001471068,34.19237,35.0193
2023-02-01 00:05:32,-0.000125403,34.19337,35.02134
2023-02-01 00:05:37,0.004383752,34.19436,35.02338
2023-02-01 00:05:42,0.000193638,34.19536,35.02542
2023-02-01 00:05:47,0.010100363,34.19635,35.02746
2023-02-01 00:05:52,-0.000914954,34.19735,35.02951
2023-02-01 00:05:57,0.007808806,34.19834,35.03155
2023-02-01 00:06:02,-0.002360227,34.19933,35.0336
2023-02-01 00:06:07,0.008323078,34.20032,35.03564
2023-02-01 00:06:12,0.007869859,34.2013,35.03769
2023-02-01 00:06:17,-0.012799742,34.20229,35.03974
2023-02-01 00:06:22,0.002017423,34.20327,35.04179
2023-02-01 00:06:27,0.001084503,34.20425,35.04384
2023-02-01 00:06:32,0.001793654,34.20523,35.04589
2023-02-01 00:06:37,0.007671034,34.20621,35.04794
2023-02-01 00:06:42,-0.003612196,34.21384,35.05012
2023-02-01 00:06:47,-0.013016871,34.21482,35.05218
2023-02-01 00:06:52,-0.017018824,34.2158,35.05424
2023-02-01 00:06:57,-0.059331886,34.21678,35.05631
2023-02-01 00:07:02,-0.002464885,34.21776,35.05837
2023-02-01 00:07:07,-0.010702648,34.21873,35.06044
2023-02-01 00:07:12,-0.006016,34.2197,35.0625
2023-02-01 00:07:17,-0.008850766,34.22068,35.06457
2023-02-01 00:07:22,-0.00416677,34.22164,35.06664
2023-02-01 00:07:27,-0.002537834,34.22261,35.06871
2023-02-01 00:07:32,-0.003731781,34.22358,35.07078
2023-02-01 00:07:37,-0.001870436,34.22454,35.07285
2023-02-01 00:07:42,-0.00306462,34.22551,35.07492
2023-02-01 00:07:47,-0.00990016,34.22647,35.07699
2023-02-01 00:07:52,0.000892119,34.22743,35.07906
2023-02-01 00:07:57,0.00792239,34.22839,35.08113
2023-02-01 00:08:02,-0.003613176,34.22935,35.08321
2023-02-01 00:08:07,0.01493459,34.2303,35.08528
2023-02-01 00:08:12,0.011859853,34.23126,35.08736
2023-02-01 00:08:17,0.016542779,34.23221,35.08944
2023-02-01 00:08:22,0.014645526,34.23316,35.09151
2023-02-01 00:08:27,0.020974253,34.23411,35.09359
2023-02-01 00:08:32,0.003332113,34.23506,35.09567
2023-02-01 00:08:37,0.011074257,34.23601,35.09775
2023-02-01 00:08:42,0.017642829,34.23695,35.09983
2023-02-01 00:08:47,-0.003521028,34.2379,35.10191
2023-02-01 00:08:52,0.006105821,34.23884,35.10399
2023-02-01 00:08:57,0.000692508,34.23978,35.10607
2023-02-01 00:09:02,0.00538816,34.24072,35.10816
2023-02-01 00:09:07,-0.008482103,34.24165,35.11024
2023-02-01 00:09:12,0.014314836,34.24259,35.11233
2023-02-01 00:09:17,0.004209086,34.24352,35.11441
2023-02-01 00:09:22,0.006328749,34.24446,35.1165
2023-02-01 00:09:27,0.007744924,34.24539,35.11859
2023-02-01 00:09:32,-0.000237298,34.24632,35.12067
2023-02-01 00:09:37,-0.005631834,34.24725,35.12276
2023-02-01 00:09:42,0.003548394,34.24817,35.12485
2023-02-01 00:09:47,0.001215456,34.2491,35.12694
2023-02-01 00:09:52,0.010401417,34.25002,35.12903
2023-02-01 00:09:57,0.010894331,34.25094,35.13112
2023-02-01 00:10:02,0.007826249,34.25186,35.13322
2023-02-01 00:10:07,0.014944212,34.25278,35.13531
2023-02-01 00:10:12,0.007690254,34.26054,35.13794
2023-02-01 00:10:17,0.012660401,34.26146,35.14005
2023-02-01 00:10:22,0.007998672,34.26238,35.14215
2023-02-01 00:10:27,0.018146079,34.26329,35.14426
2023-02-01 00:10:32,0.007378625,34.26421,35.14637
2023-02-01 00:10:37,0.006251305,34.26512,35.14847
2023-02-01 00:10:42,0.015233107,34.26603,35.15058
2023-02-01 00:10:47,0.010822012,34.26694,35.15269
2023-02-01 00:10:52,0.009467992,34.26785,35.1548
2023-02-01 00:10:57,0.019165012,34.26876,35.15691
2023-02-01 00:11:02,0.017817027,34.26967,35.15902
2023-02-01 00:11:07,0.022583989,34.27057,35.16113
2023-02-01 00:11:12,0.015366837,34.27147,35.16325
2023-02-01 00:11:17,0.012382507,34.27237,35.16536
2023-02-01 00:11:22,0.023268926,34.27328,35.16747
2023-02-01 00:11:27,-0.001567987,34.27417,35.16959
2023-02-01 00:11:32,0.00603268,34.27507,35.17171
2023-02-01 00:11:37,0.007994833,34.27596,35.17382
2023-02-01 00:11:42,0.00760937,34.27686,35.17594
2023-02-01 00:11:47,-0.002879818,34.27775,35.17806
2023-02-01 00:11:52,0.002144156,34.27864,35.18018
2023-02-01 00:11:57,0.003645171,34.27953,35.18229
2023-02-01 00:12:02,0.007264097,34.28042,35.18441
2023-02-01 00:12:07,0.002657803,34.2813,35.18654
2023-02-01 00:12:12,0.006749149,34.28218,35.18866
2023-02-01 00:12:17,0.005906991,34.28307,35.19078
2023-02-01 00:12:22,0.017523178,34.28395,35.1929
2023-02-01 00:12:27,0.004931556,34.28483,35.19502
2023-02-01 00:12:32,0.016783965,34.2857,35.19715
2023-02-01 00:12:37,0.00513524,34.28658,35.19928
2023-02-01 00:12:42,0.012289213,34.28746,35.2014
2023-02-01 00:12:47,0.016622711,34.28833,35.20353
2023-02-01 00:12:52,0.016726558,34.2892,35.20565
2023-02-01 00:12:57,0.011659574,34.29007,35.20778
2023-02-01 00:13:02,0.003012576,34.29094,35.20991
2023-02-01 00:13:07,0.023383378,34.2918,35.21204
2023-02-01 00:13:12,0.014555793,34.29267,35.21417
2023-02-01 00:13:17,0.010898629,34.29353,35.2163
2023-02-01 00:13:22,0.010765694,34.29439,35.21843
2023-02-01 00:13:27,-0.003705206,34.29525,35.22056
