Time,dTEC,ipplat,ipplon,anomaly,forecast
2023-02-01 12:14:07,0.03227785,35.91443,30.60372,,
2023-02-01 12:14:12,0.033319566,35.91435,30.60667,,
2023-02-01 12:14:17,0.0300926,35.91426,30.60963,,
2023-02-01 12:14:22,0.011788117,35.91417,30.61259,,
2023-02-01 12:14:27,0.007314257,35.91407,30.61555,,
2023-02-01 12:14:32,0.029832133,35.90476,30.63232,,
2023-02-01 12:14:37,0.043382829,35.90466,30.63527,,
2023-02-01 12:14:42,0.024228407,35.90456,30.63822,,
2023-02-01 12:14:47,0.020078901,35.90445,30.64117,,
2023-02-01 12:14:52,0.026940318,35.90435,30.64411,,
2023-02-01 12:14:57,0.010968642,35.90424,30.64706,,
2023-02-01 12:15:02,0.03347583,35.8949,30.66377,,
2023-02-01 12:15:07,0.029915814,35.89479,30.66671,,
2023-02-01 12:15:12,0.022531503,35.89468,30.66964,,
2023-02-01 12:15:17,0.063525779,35.89456,30.67258,,
2023-02-01 12:15:22,0.042436501,35.89444,30.67552,,
2023-02-01 12:15:27,0.056123507,35.88508,30.69217,,
2023-02-01 12:15:32,0.060231609,35.88496,30.69509,,
2023-02-01 12:15:37,0.063271597,35.88483,30.69802,,
2023-02-01 12:15:42,0.065347239,35.8847,30.70094,,
2023-02-01 12:15:47,0.066563283,35.88457,30.70387,,
2023-02-01 12:15:52,0.067022454,35.88443,30.70679,,
2023-02-01 12:15:57,0.066829457,35.87506,30.72338,,
2023-02-01 12:16:02,0.066087979,35.87492,30.72629,,
2023-02-01 12:16:07,0.064902687,35.87478,30.7292,,
2023-02-01 12:16:12,-0.489422771,35.87463,30.73212,,
2023-02-01 12:16:17,-0.307157764,35.87449,30.73503,,
2023-02-01 12:16:22,-0.170294678,35.87434,30.73795,,
2023-02-01 12:16:27,-0.072485916,35.86495,30.75446,,
2023-02-01 12:16:32,-0.007387894,35.86479,30.75737,,
2023-02-01 12:16:37,0.031345954,35.86464,30.76027,,
2023-02-01 12:16:42,0.050059184,35.86448,30.76317,,
2023-02-01 12:16:47,0.055099335,35.86432,30.76608,,
2023-02-01 12:16:52,0.052810937,35.86415,30.76898,,
