Time,dTEC,ipplat,ipplon
2023-02-01 13:45:27,-0.556895095,30.49495,39.99359
2023-02-01 13:45:32,-0.574426462,30.49499,39.99359
2023-02-01 13:45:37,-0.584067448,30.49503,39.99359
2023-02-01 13:45:42,-0.627866536,30.49507,39.99359
2023-02-01 13:45:47,-0.638583787,30.49511,39.99359
2023-02-01 13:45:52,-0.669078238,30.49515,39.99359
2023-02-01 13:45:57,-0.701935607,30.49519,39.99359
2023-02-01 13:46:02,-0.704933799,30.49523,39.99359
2023-02-01 13:46:07,-0.744798309,30.49528,39.99359
2023-02-01 13:46:12,-0.743945831,30.49532,39.99359
2023-02-01 13:46:17,-0.771451462,30.49536,39.99358
2023-02-01 13:46:22,-0.799557515,30.4954,39.99358
2023-02-01 13:46:27,-0.804502026,30.49544,39.99358
2023-02-01 13:46:32,-0.835381469,30.49548,39.99358
2023-02-01 13:46:37,-0.864437464,30.49552,39.99358
2023-02-01 13:46:42,-0.868142496,30.49556,39.99358
2023-02-01 13:46:47,-0.889951327,30.4956,39.99358
2023-02-01 13:46:52,-0.893174015,30.49564,39.99358
2023-02-01 13:46:57,-0.91656493,30.49568,39.99358
2023-02-01 13:47:02,-0.929440475,30.49572,39.99358
2023-02-01 13:47:07,-0.953709007,30.49576,39.99358
2023-02-01 13:47:12,-0.965764957,30.4958,39.99358
2023-02-01 13:47:17,-0.965216155,30.49584,39.99358
2023-02-01 13:47:22,-0.975774057,30.49588,39.99358
2023-02-01 13:47:27,-0.981900566,30.49592,39.99358
2023-02-01 13:47:32,-0.995555564,30.49596,39.99358
2023-02-01 13:47:37,-1.00261164,30.496,39.99358
2023-02-01 13:47:42,-1.00938762,30.49604,39.99357
2023-02-01 13:47:47,-1.027139098,30.49608,39.99357
2023-02-01 13:47:52,-1.044793468,30.49612,39.99357
2023-02-01 13:47:57,-1.039291863,30.49616,39.99357
2023-02-01 13:48:02,-1.040098284,30.4962,39.99357
2023-02-01 13:48:07,-1.053669942,30.49624,39.99357
2023-02-01 13:48:12,-1.035188693,30.49628,39.99357
2023-02-01 13:48:17,-1.04515618,30.49632,39.99357
2023-02-01 13:48:22,-1.045473071,30.49636,39.99357
2023-02-01 13:48:27,-1.0593826,30.4964,39.99357
2023-02-01 13:48:32,-1.044320715,30.49644,39.99357
2023-02-01 13:48:37,-1.034342916,30.49648,39.99357
2023-02-01 13:48:42,-1.038357802,30.49652,39.99357
2023-02-01 13:48:47,-1.041065519,30.49656,39.99357
2023-02-01 13:48:52,-1.029047805,30.4966,39.99357
2023-02-01 13:48:57,-1.021555837,30.49664,39.99357
2023-02-01 13:49:02,-1.010342983,30.49668,39.99357
2023-02-01 13:49:07,-1.006905751,30.49672,39.99356
2023-02-01 13:49:12,-0.973855736,30.49676,39.99356
2023-02-01 13:49:17,-0.994374975,30.4968,39.99356
2023-02-01 13:49:22,-0.960802901,30.49684,39.99356
2023-02-01 13:49:27,-0.933760688,30.49688,39.99356
2023-02-01 13:49:32,-0.942376614,30.49692,39.99356
2023-02-01 13:49:37,-0.911427006,30.49696,39.99356
2023-02-01 13:49:42,-0.889079702,30.497,39.99356
2023-02-01 13:49:47,-0.868272099,30.49704,39.99356
2023-02-01 13:49:52,-0.833011014,30.49708,39.99356
2023-02-01 13:49:57,-0.836873934,30.49712,39.99356
2023-02-01 13:50:02,-0.801587777,30.49716,39.99356
2023-02-01 13:50:07,-0.770155944,30.4972,39.99356
2023-02-01 13:50:12,-0.729411773,30.49724,39.99356
2023-02-01 13:50:17,-0.717425903,30.49728,39.99356
2023-02-01 13:50:22,-0.698941818,30.49732,39.99356
2023-02-01 13:50:27,-0.649515514,30.49736,39.99356
2023-02-01 13:50:32,-0.609808147,30.49739,39.99356
2023-02-01 13:50:37,-0.566425889,30.49743,39.99356
2023-02-01 13:50:42,-0.570374284,30.49747,39.99356
2023-02-01 13:50:47,-0.510490802,30.49751,39.99355
2023-02-01 13:50:52,-0.448831292,30.49755,39.99355
2023-02-01 13:50:57,-0.376240035,30.49759,39.99355
2023-02-01 13:51:02,-0.346080193,30.49763,39.99355
2023-02-01 13:51:07,-0.322876866,30.49767,39.99355
2023-02-01 13:51:12,-0.278207438,30.49771,39.99355
2023-02-01 13:51:17,-0.233948126,30.49775,39.99355
2023-02-01 13:51:22,-0.180718331,30.49779,39.99355
2023-02-01 13:51:27,-0.150974481,30.49783,39.99355
2023-02-01 13:51:32,-0.086924679,30.49787,39.99355
2023-02-01 13:51:37,-0.002697847,30.49791,39.99355
2023-02-01 13:51:42,0.033752732,30.49794,39.99355
2023-02-01 13:51:47,0.102305073,30.49798,39.99355
2023-02-01 13:51:52,0.148162752,30.49802,39.99355
2023-02-01 13:51:57,0.220644862,30.49806,39.99355
2023-02-01 13:52:02,0.275259786,30.4981,39.99355
2023-02-01 13:52:07,0.345904656,30.49814,39.99355
2023-02-01 13:52:12,0.415987928,30.49818,39.99354
2023-02-01 13:52:17,0.472566947,30.49822,39.99354
2023-02-01 13:52:22,0.519117623,30.49826,39.99354
2023-02-01 13:52:27,0.583555905,30.4983,39.99354
2023-02-01 13:52:32,0.672877361,30.49834,39.99354
2023-02-01 13:52:37,0.734142256,30.49838,39.99354
2023-02-01 13:52:42,0.807715335,30.49841,39.99354
2023-02-01 13:52:47,0.892357909,30.49845,39.99354
2023-02-01 13:52:52,0.947343647,30.49849,39.99354
2023-02-01 13:52:57,0.979889761,30.49853,39.99354
2023-02-01 13:53:02,1.096392904,30.49857,39.99354
2023-02-01 13:53:07,1.141189068,30.49861,39.99354
2023-02-01 13:53:12,1.203747284,30.49865,39.99354
2023-02-01 13:53:17,1.299734724,30.49869,39.99354
2023-02-01 13:53:22,1.36363261,30.49872,39.99354
2023-02-01 13:53:27,1.368670925,30.50449,39.98184
2023-02-01 13:53:32,1.453711223,30.50453,39.98184
2023-02-01 13:53:37,1.537099452,30.50457,39.98184
2023-02-01 13:53:42,1.618826871,30.50461,39.98184
2023-02-01 13:53:47,1.698882375,30.50464,39.98184
2023-02-01 13:53:52,1.777252126,30.50468,39.98184
2023-02-01 13:53:57,1.837719382,30.50472,39.98183
2023-02-01 13:54:02,1.950133832,30.50476,39.98183
2023-02-01 13:54:07,1.999842641,30.5048,39.98183
2023-02-01 13:54:12,2.095790987,30.50484,39.98183
2023-02-01 13:54:17,2.119177012,30.50488,39.98183
2023-02-01 13:54:22,2.212785075,30.50492,39.98183
2023-02-01 13:54:27,2.266035203,30.50495,39.98183
2023-02-01 13:54:32,2.331925254,30.50499,39.98183
2023-02-01 13:54:37,2.430782578,30.50503,39.98183
2023-02-01 13:54:42,2.446144587,30.50507,39.98183
2023-02-01 13:54:47,2.512323224,30.50511,39.98183
2023-02-01 13:54:52,2.59205714,30.50515,39.98183
2023-02-01 13:54:57,2.644087274,30.50518,39.98183
2023-02-01 13:55:02,2.680974637,30.50522,39.98183
2023-02-01 13:55:07,2.724679898,30.50526,39.98183
2023-02-01 13:55:12,2.782589677,30.5053,39.98183
2023-02-01 13:55:17,2.819549141,30.50534,39.98183
2023-02-01 13:55:22,2.871851105,30.50538,39.98183
2023-02-01 13:55:27,2.914678933,30.50541,39.98183
2023-02-01 13:55:32,2.953298747,30.50545,39.98183
2023-02-01 13:55:37,2.984749441,30.50549,39.98182
2023-02-01 13:57:07,2.962073167,30.50617,39.98182
2023-02-01 13:57:12,2.925433795,30.50621,39.98182
2023-02-01 13:57:17,2.883712675,30.50625,39.98182
2023-02-01 13:57:22,2.794941865,30.50629,39.98182
2023-02-01 13:57:27,2.719863255,30.50632,39.98181
2023-02-01 13:57:32,2.675271031,30.50636,39.98181
2023-02-01 13:57:37,2.563031955,30.5064,39.98181
2023-02-01 13:57:42,2.482910636,30.50644,39.98181
2023-02-01 13:57:47,2.411518906,30.50648,39.98181
2023-02-01 13:57:52,2.316775294,30.50651,39.98181
2023-02-01 13:57:57,2.207732097,30.50655,39.98181
2023-02-01 13:58:02,2.09156406,30.50659,39.98181
2023-02-01 13:58:07,1.977330642,30.50663,39.98181
2023-02-01 13:58:12,1.845185396,30.50666,39.98181
2023-02-01 13:58:17,1.747205333,30.5067,39.98181
2023-02-01 13:58:22,1.600799499,30.50674,39.98181
2023-02-01 13:58:27,1.449591736,30.50678,39.98181
2023-02-01 13:58:32,1.294435255,30.50681,39.98181
2023-02-01 13:58:37,1.131016995,30.50685,39.98181
2023-02-01 13:58:42,0.976651189,30.50689,39.98181
2023-02-01 13:58:47,0.777913021,30.50693,39.98181
2023-02-01 13:58:52,0.597487381,30.50696,39.98181
2023-02-01 13:58:57,0.378434622,30.507,39.98181
2023-02-01 13:59:02,0.196141103,30.50704,39.98181
2023-02-01 13:59:07,0.005194542,30.50708,39.98181
2023-02-01 13:59:12,-0.21466435,30.50711,39.98181
2023-02-01 13:59:17,-0.433392325,30.50715,39.98181
2023-02-01 13:59:22,-0.68070447,30.50719,39.9818
