Time,dTEC,ipplat,ipplon
2023-02-01 03:28:12,-0.026611528,35.33461,30.10645
2023-02-01 03:28:17,-0.012593903,35.33192,30.10548
2023-02-01 03:28:22,0.016952814,35.32924,30.10452
2023-02-01 03:28:27,0.039828686,35.32655,30.10355
2023-02-01 03:28:32,0.01085797,35.32386,30.10259
2023-02-01 03:28:37,0.01231861,35.32117,30.10162
2023-02-01 03:28:42,0.023252341,35.31848,30.10065
2023-02-01 03:28:47,-0.013159409,35.31579,30.09968
2023-02-01 03:28:52,0.029760079,35.3131,30.09872
2023-02-01 03:28:57,0.008877616,35.31041,30.09775
2023-02-01 03:29:02,0.011593806,35.30772,30.09678
2023-02-01 03:29:07,0.010275246,35.30503,30.0958
2023-02-01 03:29:12,0.028207729,35.30233,30.09483
2023-02-01 03:29:17,0.028443439,35.29964,30.09386
2023-02-01 03:29:22,0.027748059,35.29694,30.09289
2023-02-01 03:29:27,0.036988066,35.29425,30.09192
2023-02-01 03:29:32,0.011453332,35.28375,30.1074
2023-02-01 03:29:37,0.025038429,35.28106,30.10643
2023-02-01 03:29:42,0.022942824,35.27837,30.10545
2023-02-01 03:29:47,0.029849485,35.27568,30.10448
2023-02-01 03:29:52,0.024023875,35.27299,30.10351
2023-02-01 03:29:57,-0.00384864,35.2703,30.10253
2023-02-01 03:30:02,0.007270005,35.26761,30.10156
2023-02-01 03:30:07,0.030436575,35.26492,30.10058
2023-02-01 03:30:12,-0.011107962,35.26223,30.09961
2023-02-01 03:30:17,0.022324762,35.25953,30.09863
2023-02-01 03:30:22,0.003902021,35.25684,30.09765
2023-02-01 03:30:27,-0.010800312,35.25415,30.09668
2023-02-01 03:30:32,0.011283944,35.25145,30.0957
2023-02-01 03:30:37,-0.002809227,35.24876,30.09472
2023-02-01 03:30:42,-0.027310135,35.24606,30.09374
2023-02-01 03:30:47,0.002827014,35.24336,30.09276
2023-02-01 03:30:52,-0.027121578,35.24067,30.09178
2023-02-01 03:30:57,-0.0491607,35.23797,30.0908
2023-02-01 03:31:02,-0.030224037,35.22762,30.10632
2023-02-01 03:31:07,-0.021231362,35.22493,30.10534
2023-02-01 03:31:12,-0.039104342,35.22224,30.10436
2023-02-01 03:31:17,-0.025317232,35.21954,30.10338
2023-02-01 03:31:22,-0.031255478,35.21685,30.1024
