Time,dTEC,ipplat,ipplon
2023-02-01 05:02:37,0.002694815,36.83479,31.83872
2023-02-01 05:02:42,0.011147536,36.83414,31.84287
2023-02-01 05:02:47,0.009552631,36.83349,31.84702
2023-02-01 05:02:52,-0.001311224,36.83283,31.85116
2023-02-01 05:02:57,0.003444637,36.82127,31.86436
2023-02-01 05:03:02,-0.004178134,36.8206,31.86849
2023-02-01 05:03:07,-0.005706901,36.81993,31.87263
2023-02-01 05:03:12,-0.024863038,36.81926,31.87676
2023-02-01 05:03:17,-0.014397936,36.80769,31.88989
2023-02-01 05:03:22,0.020829998,36.80701,31.89401
2023-02-01 05:03:27,0.017432346,36.80633,31.89812
2023-02-01 05:03:32,0.020908672,36.80565,31.90224
2023-02-01 05:03:37,-0.013849476,36.79407,31.91531
2023-02-01 05:03:42,-0.006539565,36.79337,31.91941
2023-02-01 05:03:47,-0.041546078,36.79268,31.92351
2023-02-01 05:03:52,-0.023594515,36.79198,31.92761
2023-02-01 05:03:57,-0.011015393,36.78039,31.94061
2023-02-01 05:04:02,-0.011278245,36.77969,31.9447
2023-02-01 05:04:07,-0.025694622,36.77898,31.94878
2023-02-01 05:04:12,-0.007648095,36.77826,31.95286
2023-02-01 05:04:17,0.001527752,36.76667,31.9658
2023-02-01 05:04:22,0.001638311,36.76595,31.96987
2023-02-01 05:04:27,-0.010038039,36.76523,31.97394
2023-02-01 05:04:32,-0.014833941,36.7645,31.97801
2023-02-01 05:04:37,-0.026167057,36.76377,31.98208
2023-02-01 05:04:42,0.003602934,36.75216,31.99494
2023-02-01 05:04:47,-0.009134669,36.75143,31.99899
2023-02-01 05:04:52,0.008147415,36.75069,32.00304
2023-02-01 05:04:57,-0.008133553,36.74995,32.00709
2023-02-01 05:05:02,0.009300667,36.73833,32.01988
2023-02-01 05:05:07,0.012034297,36.73758,32.02392
2023-02-01 05:05:12,-0.005766464,36.73683,32.02796
2023-02-01 05:05:17,-0.007741437,36.73607,32.03199
2023-02-01 05:05:22,8.2539e-05,36.72445,32.04472
2023-02-01 05:05:27,-0.0073764,36.72369,32.04874
2023-02-01 05:05:32,0.003129864,36.72292,32.05276
2023-02-01 05:05:37,-0.018563572,36.72215,32.05678
2023-02-01 05:05:42,0.007847367,36.72138,32.0608
2023-02-01 05:05:47,0.023058734,36.70975,32.07345
2023-02-01 05:05:52,0.031152563,36.70897,32.07745
2023-02-01 05:05:57,0.040684865,36.70819,32.08145
2023-02-01 05:06:02,0.05165563,36.7074,32.08546
2023-02-01 05:06:07,0.041120828,36.69576,32.09804
2023-02-01 05:06:12,0.028525407,36.69497,32.10203
2023-02-01 05:06:17,0.016978294,36.69418,32.10602
2023-02-01 05:06:22,0.006092394,36.69338,32.11
2023-02-01 05:06:27,-0.005688408,36.68173,32.12253
2023-02-01 05:06:32,0.044244753,36.68093,32.1265
2023-02-01 05:06:37,0.044673719,36.68012,32.13046
2023-02-01 05:06:42,0.029817314,36.67931,32.13443
2023-02-01 05:06:47,0.05937034,36.6785,32.1384
2023-02-01 05:06:52,0.074026579,36.66684,32.15085
2023-02-01 05:06:57,0.052593795,36.66602,32.1548
2023-02-01 05:07:02,0.025597728,36.6652,32.15875
2023-02-01 05:07:07,0.027591104,36.66437,32.1627
2023-02-01 05:07:12,0.000220625,36.6527,32.17509
2023-02-01 05:07:17,0.011559978,36.65187,32.17902
2023-02-01 05:07:22,0.001585829,36.65104,32.18296
2023-02-01 05:07:27,4.6828e-05,36.6502,32.18689
2023-02-01 05:07:32,0.014914604,36.64936,32.19083
2023-02-01 05:07:37,-0.008643227,36.63768,32.20313
2023-02-01 05:07:42,-0.012490069,36.63684,32.20705
2023-02-01 05:07:47,-0.002459342,36.63599,32.21097
2023-02-01 05:07:52,0.001033518,36.63513,32.21489
2023-02-01 05:07:57,0.01859706,36.62345,32.22713
2023-02-01 05:08:02,0.008068818,36.62259,32.23103
2023-02-01 05:08:07,0.02068831,36.62173,32.23494
2023-02-01 05:08:12,0.023103041,36.62086,32.23884
