Time,dTEC,ipplat,ipplon,anomaly,forecast
2023-02-01 02:55:07,-0.008806892,28.37239,37.31599,,
2023-02-01 02:55:12,0.038720842,28.3759,37.31614,,
2023-02-01 02:55:17,0.053618587,28.3794,37.31629,,
2023-02-01 02:55:22,0.023450593,28.39489,37.31049,,
2023-02-01 02:55:27,0.008062408,28.39839,37.31063,,
2023-02-01 02:55:32,0.052144184,28.40189,37.31078,,
2023-02-01 02:55:37,0.020654374,28.41734,37.30496,,
2023-02-01 02:55:42,0.034838631,28.42084,37.3051,,
2023-02-01 02:55:47,0.023581609,28.42434,37.30524,,
2023-02-01 02:55:52,0.009034162,28.43976,37.29942,,
2023-02-01 02:55:57,0.015289647,28.44325,37.29955,,
2023-02-01 02:56:02,0.004662821,28.44674,37.29969,,
2023-02-01 02:56:07,-0.02889866,28.46213,37.29386,,
2023-02-01 02:56:12,-0.028823438,28.46561,37.29398,,
2023-02-01 02:56:17,-0.026598655,28.4691,37.29411,,
2023-02-01 02:56:22,-0.019503853,28.48445,37.28827,,
2023-02-01 02:56:27,-0.050869073,28.48794,37.2884,,
2023-02-01 02:56:32,-0.059682657,28.49142,37.28852,,
2023-02-01 02:56:37,-0.023988544,28.4949,37.28864,,
2023-02-01 02:56:42,-0.073387377,28.51022,37.28279,,
2023-02-01 02:56:47,-0.031062597,28.51369,37.2829,,
2023-02-01 02:56:52,-0.034970144,28.51717,37.28302,,
2023-02-01 02:56:57,0.004658538,28.53245,37.27716,,
2023-02-01 02:57:02,-0.01910419,28.53592,37.27727,,
2023-02-01 02:57:07,-0.009897173,28.5394,37.27738,,
2023-02-01 02:57:12,0.010725448,28.55465,37.27151,,
2023-02-01 02:57:17,0.009986528,28.55811,37.27162,,
2023-02-01 02:57:22,-0.006284877,28.56158,37.27173,,
2023-02-01 02:57:27,-0.015743913,28.56505,37.27183,,
2023-02-01 02:57:32,-0.020333624,28.58026,37.26595,,
2023-02-01 02:57:37,-0.00042936,28.58372,37.26605,,
2023-02-01 02:57:42,0.009188433,28.58718,37.26615,,
2023-02-01 02:57:47,0.002302004,28.60236,37.26026,,
2023-02-01 02:57:52,0.029235902,28.60582,37.26036,,
2023-02-01 02:57:57,0.009548475,28.60928,37.26045,,
2023-02-01 02:58:02,0.017463469,28.62442,37.25456,,
2023-02-01 02:58:07,0.020920928,28.62787,37.25465,,
2023-02-01 02:58:12,0.048094695,28.63132,37.25473,,
2023-02-01 02:58:17,0.011159512,28.63478,37.25482,,
2023-02-01 02:58:22,-0.005362583,28.64988,37.24892,,
2023-02-01 02:58:27,0.021650447,28.65333,37.249,,
2023-02-01 02:58:32,-0.028269761,28.65678,37.24908,,
2023-02-01 02:58:37,0.012560926,28.67184,37.24317,,
2023-02-01 02:58:42,0.003272238,28.67529,37.24325,,
2023-02-01 02:58:47,0.009927205,28.67873,37.24332,,
2023-02-01 02:58:52,0.015621455,28.69376,37.2374,,
2023-02-01 02:58:57,0.007725211,28.6972,37.23748,,
2023-02-01 02:59:02,0.024710398,28.70064,37.23755,,
2023-02-01 02:59:07,-0.010755865,28.70408,37.23762,,
2023-02-01 02:59:12,-0.007156558,28.71907,37.23169,,
2023-02-01 02:59:17,-0.023560267,28.72251,37.23176,,
2023-02-01 02:59:22,0.010759823,28.72594,37.23182,,
2023-02-01 02:59:27,0.034597524,28.7409,37.22588,,
2023-02-01 02:59:32,0.027939745,28.74433,37.22595,,
2023-02-01 02:59:37,0.029841294,28.74776,37.22601,,
2023-02-01 02:59:42,0.034861776,28.75119,37.22607,,
2023-02-01 02:59:47,0.023181793,28.7661,37.22012,,
2023-02-01 02:59:52,0.020255347,28.76953,37.22017,,
2023-02-01 02:59:57,0.041820737,28.77295,37.22023,,
2023-02-01 03:00:02,0.02919826,28.78784,37.21427,,
2023-02-01 03:00:07,0.050782611,28.79125,37.21432,,
2023-02-01 03:00:12,0.032155383,28.79467,37.21438,,
2023-02-01 03:00:17,0.045208968,28.79809,37.21443,,
2023-02-01 03:00:22,0.022131055,28.81294,37.20846,,
2023-02-01 03:00:27,0.024516032,28.81635,37.20851,,
2023-02-01 03:00:32,-0.029049712,28.81976,37.20855,,
2023-02-01 03:00:37,-0.017320595,28.82318,37.2086,,
2023-02-01 03:00:42,-0.020155531,28.83798,37.20262,,
2023-02-01 03:00:47,-0.015598537,28.84139,37.20266,,
2023-02-01 03:00:52,-0.033377934,28.8448,37.2027,,
2023-02-01 03:00:57,-0.028804139,28.85957,37.19671,,
2023-02-01 03:01:02,-0.004597973,28.86297,37.19675,,
2023-02-01 03:01:07,-0.004087859,28.86637,37.19679,,
2023-02-01 03:01:12,-0.016200018,28.86978,37.19682,,
2023-02-01 03:01:17,-0.029275973,28.8845,37.19082,,
2023-02-01 03:01:22,-0.038458147,28.8879,37.19086,,
2023-02-01 03:01:27,-0.022761865,28.8913,37.19089,,
2023-02-01 03:01:32,-0.031734751,28.8947,37.19091,,
2023-02-01 03:01:37,-0.01252623,28.90939,37.18491,,
2023-02-01 03:01:42,-0.024787727,28.91278,37.18494,,
2023-02-01 03:01:47,-0.016057467,28.91618,37.18496,,
2023-02-01 03:01:52,-0.006154375,28.93082,37.17895,,
2023-02-01 03:01:57,0.009584621,28.93421,37.17897,,
2023-02-01 03:02:02,0.001819598,28.9376,37.17899,,
2023-02-01 03:02:07,-0.02906107,28.94099,37.17901,,
2023-02-01 03:02:12,-0.02826381,28.9556,37.17299,,
2023-02-01 03:02:17,-0.011138747,28.95898,37.173,,
