Time,dTEC,ipplat,ipplon
2023-02-01 00:00:02,-0.005995182,39.11803,28.12045
2023-02-01 00:00:07,-0.007565948,39.11899,28.11962
2023-02-01 00:00:12,-0.006537819,39.11996,28.11878
2023-02-01 00:00:17,-0.009297344,39.12092,28.11795
2023-02-01 00:00:22,-0.043056077,39.12189,28.11711
2023-02-01 00:00:27,-0.009572481,39.12286,28.11628
2023-02-01 00:00:32,-0.014139723,39.12382,28.11544
2023-02-01 00:00:37,-0.033020478,39.12479,28.11461
2023-02-01 00:00:42,-0.011218025,39.12575,28.11378
2023-02-01 00:00:47,-0.013836049,39.12672,28.11294
2023-02-01 00:00:52,-0.019722237,39.12768,28.11211
2023-02-01 00:00:57,-0.032167384,39.12865,28.11128
2023-02-01 00:01:02,-0.016622786,39.12961,28.11045
2023-02-01 00:01:07,-0.022209542,39.13058,28.10962
2023-02-01 00:01:12,0.004658243,39.13154,28.10878
2023-02-01 00:01:17,0.005693166,39.12961,28.09542
2023-02-01 00:01:22,-0.008529081,39.13057,28.09459
2023-02-01 00:01:27,0.005706692,39.13153,28.09376
2023-02-01 00:01:32,-0.003541624,39.1325,28.09293
2023-02-01 00:01:37,-0.004075142,39.13346,28.09211
2023-02-01 00:01:42,-0.004825472,39.13442,28.09128
2023-02-01 00:01:47,-0.023655227,39.13538,28.09045
2023-02-01 00:01:52,-0.019434818,39.13634,28.08963
2023-02-01 00:01:57,0.015826442,39.1373,28.0888
2023-02-01 00:02:02,-0.009969655,39.13826,28.08798
2023-02-01 00:02:07,0.011188681,39.13923,28.08715
2023-02-01 00:02:12,0.014064343,39.14019,28.08633
2023-02-01 00:02:17,-0.001376976,39.14115,28.0855
2023-02-01 00:02:22,0.002939023,39.14211,28.08468
2023-02-01 00:02:27,-0.032215464,39.14307,28.08386
2023-02-01 00:02:32,0.003388068,39.14403,28.08303
2023-02-01 00:02:37,-0.023512479,39.145,28.08221
2023-02-01 00:02:42,-0.020785994,39.14596,28.08139
2023-02-01 00:02:47,-0.014756066,39.14692,28.08057
2023-02-01 00:02:52,-0.00706858,39.14788,28.07975
2023-02-01 00:02:57,0.000631284,39.14884,28.07892
2023-02-01 00:03:02,-0.024561349,39.1498,28.0781
2023-02-01 00:03:07,0.00125895,39.15076,28.07728
2023-02-01 00:03:12,-0.000878187,39.15172,28.07646
2023-02-01 00:03:17,-0.00794022,39.15268,28.07564
2023-02-01 00:03:22,-0.026508407,39.15364,28.07482
2023-02-01 00:03:27,-0.007226798,39.15461,28.07401
2023-02-01 00:03:32,-0.001097339,39.15557,28.07319
