Time,dTEC,ipplat,ipplon
2023-02-01 09:56:32,-0.072527826,40.28727,18.41107
2023-02-01 09:56:37,-0.066481715,40.2881,18.41476
2023-02-01 09:56:42,-0.072180035,40.28312,18.43436
2023-02-01 09:56:47,-0.06221261,40.28395,18.43804
2023-02-01 09:56:52,-0.084168792,40.28477,18.44171
2023-02-01 09:56:57,-0.078468261,40.28559,18.44539
2023-02-01 09:57:02,-0.071571123,40.28058,18.46495
2023-02-01 09:57:07,-0.067284606,40.28139,18.46862
2023-02-01 09:57:12,-0.06732266,40.2822,18.47229
2023-02-01 09:57:17,-0.071304755,40.28301,18.47596
2023-02-01 09:57:22,-0.066287279,40.28381,18.47963
2023-02-01 09:57:27,-0.060265139,40.27877,18.49913
2023-02-01 09:57:32,-0.059329953,40.27957,18.50279
2023-02-01 09:57:37,-0.064052556,40.28036,18.50646
2023-02-01 09:57:42,-0.063392696,40.28115,18.51012
2023-02-01 09:57:47,-0.06572553,40.27608,18.52957
2023-02-01 09:57:52,-0.062675428,40.27686,18.53323
2023-02-01 09:57:57,-0.07061247,40.27764,18.53689
2023-02-01 09:58:02,-0.073356042,40.27842,18.54055
2023-02-01 09:58:07,-0.065575842,40.27919,18.5442
2023-02-01 09:58:12,-0.080392872,40.27409,18.5636
2023-02-01 09:58:17,-0.071550343,40.27486,18.56724
2023-02-01 09:58:22,-0.081496574,40.27562,18.5709
2023-02-01 09:58:27,-0.078060689,40.27638,18.57455
2023-02-01 09:58:32,-0.082942118,40.27714,18.5782
2023-02-01 09:58:37,-0.086622099,40.272,18.59753
2023-02-01 09:58:42,-0.087767076,40.27275,18.60118
2023-02-01 09:58:47,-0.086185401,40.2735,18.60482
2023-02-01 09:58:52,-0.095581132,40.27424,18.60847
2023-02-01 09:58:57,-0.083783236,40.26908,18.62775
2023-02-01 09:59:02,-0.087755987,40.26982,18.63139
2023-02-01 09:59:07,-0.10167517,40.27055,18.63502
2023-02-01 09:59:12,-0.092719881,40.27128,18.63866
2023-02-01 09:59:17,-0.090926923,40.27201,18.6423
2023-02-01 09:59:22,-0.102195417,40.26682,18.66153
2023-02-01 09:59:27,-0.097779893,40.26754,18.66516
2023-02-01 09:59:32,-0.097474999,40.26826,18.66879
2023-02-01 09:59:37,-0.097281498,40.26897,18.67242
2023-02-01 09:59:42,-0.091676571,40.26968,18.67605
2023-02-01 09:59:47,-0.09436362,40.26446,18.69522
2023-02-01 09:59:52,-0.090302268,40.26516,18.69884
2023-02-01 09:59:57,-0.094718261,40.26586,18.70247
2023-02-01 10:00:02,-0.089525571,40.26656,18.70609
2023-02-01 10:00:07,-0.0986025,40.26726,18.70972
2023-02-01 10:00:12,-0.084947777,40.262,18.72882
2023-02-01 10:00:17,-0.088222364,40.26269,18.73244
2023-02-01 10:00:22,-0.094250461,40.26338,18.73606
2023-02-01 10:00:27,-0.095034202,40.26406,18.73968
2023-02-01 10:00:32,-0.089238264,40.26474,18.7433
2023-02-01 10:00:37,-0.089994164,40.25945,18.76234
2023-02-01 10:00:42,-0.079024766,40.26012,18.76595
2023-02-01 10:00:47,-0.073458985,40.26079,18.76956
2023-02-01 10:00:52,-0.062823984,40.26146,18.77318
2023-02-01 10:00:57,-0.069197884,40.26213,18.77679
2023-02-01 10:01:02,-0.05831366,40.25681,18.79578
2023-02-01 10:01:07,-0.059863252,40.25746,18.79938
2023-02-01 10:01:12,-0.043957761,40.25812,18.80298
2023-02-01 10:01:17,-0.046570857,40.25877,18.80659
2023-02-01 10:01:22,-0.025440381,40.25942,18.81019
2023-02-01 10:01:27,-0.025677047,40.25407,18.82912
2023-02-01 10:01:32,-0.011300548,40.25471,18.83272
2023-02-01 10:01:37,-0.011621957,40.25535,18.83631
2023-02-01 10:01:42,0.005341769,40.25599,18.83991
2023-02-01 10:01:47,0.012944385,40.25662,18.84351
2023-02-01 10:01:52,0.024704554,40.25124,18.86238
2023-02-01 10:01:57,0.029585245,40.25186,18.86597
2023-02-01 10:02:02,0.033110129,40.25249,18.86956
2023-02-01 10:02:07,0.043087174,40.25311,18.87315
2023-02-01 10:02:12,0.045433745,40.25373,18.87674
2023-02-01 10:02:17,0.047576997,40.24832,18.89554
2023-02-01 10:02:22,0.056373173,40.24893,18.89913
2023-02-01 10:02:27,0.065163302,40.24953,18.90271
2023-02-01 10:02:32,0.071285893,40.25014,18.9063
2023-02-01 10:02:37,0.076267035,40.25074,18.90988
2023-02-01 10:02:42,0.07439949,40.2453,18.92862
2023-02-01 10:02:47,0.096524093,40.24589,18.9322
2023-02-01 10:02:52,0.084015047,40.24649,18.93578
2023-02-01 10:02:57,0.089032521,40.24708,18.93935
2023-02-01 10:03:02,0.096351545,40.24766,18.94293
2023-02-01 10:03:07,0.103881312,40.24219,18.96161
2023-02-01 10:03:12,0.103630168,40.24277,18.96518
2023-02-01 10:03:17,0.108545315,40.24335,18.96875
2023-02-01 10:03:22,0.093693306,40.24392,18.97232
2023-02-01 10:03:27,0.100003343,40.2445,18.97589
2023-02-01 10:03:32,0.099686773,40.239,18.99452
2023-02-01 10:03:37,0.102073688,40.23956,18.99808
2023-02-01 10:03:42,0.11249692,40.24012,19.00164
2023-02-01 10:03:47,0.105642042,40.24068,19.0052
2023-02-01 10:03:52,0.103021962,40.24124,19.00876
2023-02-01 10:03:57,0.095645125,40.23571,19.02732
2023-02-01 10:04:02,0.088224807,40.23626,19.03088
2023-02-01 10:04:07,0.084238218,40.2368,19.03443
2023-02-01 10:04:12,0.078571094,40.23735,19.03799
2023-02-01 10:04:17,0.071489203,40.23789,19.04154
2023-02-01 10:04:22,0.075675535,40.23233,19.06004
2023-02-01 10:04:27,0.067933609,40.23287,19.06359
2023-02-01 10:04:32,0.069775465,40.2334,19.06714
2023-02-01 10:04:37,0.074160067,40.23393,19.07068
2023-02-01 10:04:42,0.062434701,40.23445,19.07423
2023-02-01 10:04:47,0.063154372,40.22887,19.09267
2023-02-01 10:04:52,0.069087407,40.22938,19.09621
2023-02-01 10:04:57,0.07395405,40.2299,19.09975
2023-02-01 10:05:02,0.069380165,40.23041,19.10329
2023-02-01 10:05:07,0.075545034,40.23092,19.10683
2023-02-01 10:05:12,0.072462854,40.23143,19.11037
2023-02-01 10:05:17,0.080579244,40.22581,19.12874
2023-02-01 10:05:22,0.085199837,40.22632,19.13227
2023-02-01 10:05:27,0.077227385,40.22681,19.1358
2023-02-01 10:05:32,0.083807255,40.22731,19.13933
2023-02-01 10:05:37,0.081146534,40.2278,19.14286
2023-02-01 10:05:42,0.084093625,40.22216,19.16117
2023-02-01 10:05:47,0.085606351,40.22264,19.16469
2023-02-01 10:05:52,0.093870852,40.22313,19.16822
2023-02-01 10:05:57,0.087568288,40.22361,19.17174
2023-02-01 10:06:02,0.090683939,40.22408,19.17527
2023-02-01 10:06:07,0.079423906,40.21841,19.19351
2023-02-01 10:06:12,0.07606051,40.21888,19.19703
2023-02-01 10:06:17,0.072979796,40.21935,19.20054
2023-02-01 10:06:22,0.071133933,40.21982,19.20406
2023-02-01 10:06:27,0.057388813,40.22028,19.20758
2023-02-01 10:06:32,0.055919657,40.22074,19.2111
2023-02-01 10:06:37,0.053021011,40.21504,19.22927
2023-02-01 10:06:42,0.043553448,40.21549,19.23278
2023-02-01 10:06:47,0.037034776,40.21594,19.23628
2023-02-01 10:06:52,0.031751631,40.21639,19.23979
2023-02-01 10:06:57,0.024087082,40.21684,19.2433
2023-02-01 10:07:02,0.017657934,40.2111,19.26141
2023-02-01 10:07:07,0.00998893,40.21154,19.26491
2023-02-01 10:07:12,0.006600448,40.21198,19.26841
2023-02-01 10:07:17,-0.000883791,40.21241,19.27191
2023-02-01 10:07:22,-0.006943828,40.21284,19.27542
2023-02-01 10:07:27,-0.018242555,40.21327,19.27892
2023-02-01 10:07:32,-0.025262923,40.20751,19.29696
2023-02-01 10:07:37,-0.028195635,40.20793,19.30045
2023-02-01 10:07:42,-0.032561941,40.20835,19.30394
2023-02-01 10:07:47,-0.047499244,40.20877,19.30743
2023-02-01 10:07:52,-0.04483609,40.20918,19.31093
2023-02-01 10:07:57,-0.051603474,40.20339,19.3289
2023-02-01 10:08:02,-0.06094953,40.2038,19.33239
2023-02-01 10:08:07,-0.063357233,40.2042,19.33587
2023-02-01 10:08:12,-0.072533299,40.2046,19.33936
2023-02-01 10:08:17,-0.077437879,40.205,19.34284
2023-02-01 10:08:22,-0.07845286,40.2054,19.34633
2023-02-01 10:08:27,-0.07272386,40.19958,19.36423
