Time,dTEC,ipplat,ipplon
2023-02-06 10:18:17,-0.126914401,36.60618,29.6976
2023-02-06 10:18:22,-0.121414719,36.61021,29.69649
2023-02-06 10:18:27,-0.110552112,36.61857,29.68006
2023-02-06 10:18:32,-0.136768483,36.62259,29.67895
2023-02-06 10:18:37,-0.120687479,36.6266,29.67784
2023-02-06 10:18:42,-0.10768348,36.63061,29.67673
2023-02-06 10:18:47,-0.120643599,36.63893,29.6603
2023-02-06 10:18:52,-0.071001677,36.64293,29.65919
2023-02-06 10:18:57,-0.077260279,36.64694,29.65808
2023-02-06 10:19:02,-0.071673691,36.65094,29.65696
2023-02-06 10:19:07,-0.064915917,36.65495,29.65584
2023-02-06 10:19:12,-0.044570675,36.6632,29.63942
2023-02-06 10:19:17,-0.065496397,36.66719,29.6383
2023-02-06 10:19:22,-0.056527226,36.67119,29.63718
2023-02-06 10:19:27,-0.067141011,36.67518,29.63605
2023-02-06 10:19:32,-0.063184311,36.67918,29.63493
2023-02-06 10:19:37,-0.073430389,36.68736,29.6185
2023-02-06 10:19:42,-0.038225214,36.69135,29.61738
2023-02-06 10:19:47,-0.071515457,36.69534,29.61625
2023-02-06 10:19:52,-0.067914494,36.69933,29.61513
2023-02-06 10:19:57,-0.055388405,36.70746,29.5987
2023-02-06 10:20:02,-0.059363972,36.71144,29.59757
2023-02-06 10:20:07,-0.062247681,36.71542,29.59644
2023-02-06 10:20:12,-0.049184722,36.7194,29.59531
2023-02-06 10:20:17,-0.062023992,36.72338,29.59418
2023-02-06 10:20:22,-0.072808092,36.73144,29.57775
2023-02-06 10:20:27,-0.054949331,36.73541,29.57662
2023-02-06 10:20:32,-0.038759728,36.73938,29.57548
2023-02-06 10:20:37,-0.036757011,36.74335,29.57435
2023-02-06 10:20:42,-0.034669623,36.74732,29.57321
2023-02-06 10:20:47,-0.026441721,36.75532,29.55679
2023-02-06 10:20:52,-0.036124179,36.75929,29.55565
2023-02-06 10:20:57,-0.042016593,36.76325,29.5545
2023-02-06 10:21:02,-0.030433279,36.76721,29.55336
2023-02-06 10:21:07,-0.023472283,36.77118,29.55222
2023-02-06 10:21:12,-0.033654377,36.77911,29.5358
2023-02-06 10:21:17,-0.029290069,36.78306,29.53465
2023-02-06 10:21:22,-0.0176296,36.78702,29.53351
2023-02-06 10:21:27,-0.039143956,36.79097,29.53236
2023-02-06 10:21:32,-0.040649864,36.79493,29.53121
2023-02-06 10:21:37,-0.040917799,36.8028,29.51479
2023-02-06 10:21:42,-0.015507992,36.80674,29.51364
2023-02-06 10:21:47,-0.02620743,36.81068,29.51249
2023-02-06 10:21:52,-0.021786861,36.81463,29.51134
2023-02-06 10:21:57,-0.013977801,36.81858,29.51018
2023-02-06 10:22:02,-0.024092538,36.82638,29.49377
2023-02-06 10:22:07,-0.030426136,36.83032,29.49261
2023-02-06 10:22:12,-0.027501442,36.83425,29.49146
2023-02-06 10:22:17,-0.013950089,36.83819,29.4903
2023-02-06 10:22:22,-0.026920505,36.84213,29.48914
2023-02-06 10:22:27,-0.014008914,36.84987,29.47273
2023-02-06 10:22:32,0.003865655,36.8538,29.47156
2023-02-06 10:22:37,-0.001647637,36.85772,29.4704
2023-02-06 10:22:42,0.004649556,36.86165,29.46924
2023-02-06 10:22:47,0.004183759,36.86558,29.46807
2023-02-06 10:22:52,-0.035305331,36.87325,29.45167
2023-02-06 10:22:57,0.00585315,36.87717,29.4505
2023-02-06 10:23:02,0.001346226,36.88109,29.44933
2023-02-06 10:23:07,-0.010107925,36.88501,29.44816
2023-02-06 10:23:12,0.010994025,36.88893,29.447
2023-02-06 10:23:17,0.022222545,36.89654,29.43059
2023-02-06 10:23:22,0.009699239,36.90045,29.42942
2023-02-06 10:23:27,0.031305841,36.90436,29.42825
2023-02-06 10:23:32,0.012938207,36.90828,29.42708
2023-02-06 10:23:37,0.013262312,36.91219,29.4259
2023-02-06 10:23:42,0.024459238,36.91973,29.4095
2023-02-06 10:23:47,0.016030175,36.92363,29.40832
2023-02-06 10:23:52,0.034907406,36.92753,29.40715
2023-02-06 10:23:57,0.032552309,36.93144,29.40597
2023-02-06 10:24:02,0.044319346,36.93534,29.40479
2023-02-06 10:24:07,0.041901056,36.93924,29.40361
2023-02-06 10:24:12,0.024181053,36.94671,29.38721
2023-02-06 10:24:17,0.049824014,36.9506,29.38603
2023-02-06 10:24:22,0.05215768,36.9545,29.38485
2023-02-06 10:24:27,0.048589842,36.95839,29.38366
2023-02-06 10:24:32,0.06004734,36.96228,29.38248
2023-02-06 10:24:37,0.061701057,36.96968,29.36609
2023-02-06 10:24:42,0.06157391,36.97357,29.3649
2023-02-06 10:24:47,0.043635846,36.97745,29.36372
2023-02-06 10:24:52,0.051302838,36.98134,29.36253
2023-02-06 10:24:57,0.069912874,36.98523,29.36134
2023-02-06 10:25:02,0.056843957,36.99256,29.34495
2023-02-06 10:25:07,0.069395096,36.99643,29.34376
2023-02-06 10:25:12,0.074915302,37.00031,29.34257
2023-02-06 10:25:17,0.087292582,37.00419,29.34138
2023-02-06 10:25:22,0.085804934,37.00806,29.34018
2023-02-06 10:25:27,0.088056342,37.01194,29.33898
2023-02-06 10:25:32,0.106761771,37.0192,29.3226
2023-02-06 10:25:37,0.11415916,37.02307,29.32141
2023-02-06 10:25:42,0.120226421,37.02693,29.32021
2023-02-06 10:25:47,0.121839432,37.0308,29.31901
2023-02-06 10:25:52,0.134451033,37.03467,29.31781
2023-02-06 10:25:57,0.12775702,37.03854,29.31661
2023-02-06 10:26:02,0.115255145,37.04572,29.30024
2023-02-06 10:26:07,0.119240106,37.04958,29.29903
2023-02-06 10:26:12,0.117621549,37.05344,29.29783
2023-02-06 10:26:17,0.099259058,37.0573,29.29663
2023-02-06 10:26:22,0.113627158,37.06116,29.29542
2023-02-06 10:26:27,0.114312305,37.06827,29.27905
2023-02-06 10:26:32,0.112300888,37.07212,29.27785
2023-02-06 10:26:37,0.100526222,37.07597,29.27664
2023-02-06 10:26:42,0.088649546,37.07982,29.27543
2023-02-06 10:26:47,0.092904023,37.08368,29.27422
2023-02-06 10:26:52,0.097064731,37.08753,29.27301
2023-02-06 10:26:57,0.087644666,37.09456,29.25665
2023-02-06 10:27:02,0.067187737,37.0984,29.25544
2023-02-06 10:27:07,0.071286764,37.10225,29.25422
2023-02-06 10:27:12,0.071005477,37.10609,29.25301
2023-02-06 10:27:17,0.061264512,37.10993,29.2518
2023-02-06 10:27:22,0.04578141,37.11378,29.25058
2023-02-06 10:27:27,0.052171615,37.12073,29.23422
2023-02-06 10:27:32,0.042185474,37.12457,29.23301
2023-02-06 10:27:37,0.039219233,37.1284,29.23179
2023-02-06 10:27:42,0.046754039,37.13223,29.23057
2023-02-06 10:27:47,0.042109935,37.13607,29.22935
2023-02-06 10:27:52,0.031743862,37.1399,29.22813
2023-02-06 10:27:57,0.056916657,37.14678,29.21178
2023-02-06 10:28:02,0.041370052,37.15061,29.21056
2023-02-06 10:28:07,0.047094674,37.15443,29.20934
2023-02-06 10:28:12,0.047693046,37.15826,29.20812
2023-02-06 10:28:17,0.039845582,37.16208,29.20689
2023-02-06 10:28:22,0.062268593,37.16591,29.20566
2023-02-06 10:28:27,0.050243282,37.17271,29.18932
2023-02-06 10:28:32,0.048158748,37.17653,29.1881
2023-02-06 10:28:37,0.047234982,37.18035,29.18687
2023-02-06 10:28:42,0.045740871,37.18416,29.18564
2023-02-06 10:28:47,0.043997198,37.18798,29.18441
2023-02-06 10:28:52,0.04202564,37.1918,29.18318
2023-02-06 10:28:57,0.039845771,37.19852,29.16685
2023-02-06 10:29:02,0.039964062,37.20233,29.16562
2023-02-06 10:29:07,0.015803884,37.20614,29.16439
2023-02-06 10:29:12,0.028189505,37.20994,29.16315
2023-02-06 10:29:17,0.036645095,37.21375,29.16192
2023-02-06 10:29:22,0.024553724,37.21756,29.16068
2023-02-06 10:29:27,0.032782366,37.22421,29.14436
2023-02-06 10:29:32,0.0190949,37.228,29.14312
2023-02-06 10:29:37,0.03550611,37.2318,29.14189
2023-02-06 10:29:42,0.017880687,37.2356,29.14065
2023-02-06 10:29:47,0.009823234,37.2394,29.13941
2023-02-06 10:29:52,0.025021261,37.2432,29.13817
2023-02-06 10:29:57,0.001883194,37.24977,29.12186
2023-02-06 10:30:02,-0.010316626,37.25356,29.12062
2023-02-06 10:30:07,-0.013142945,37.25735,29.11937
2023-02-06 10:30:12,0.011395415,37.26114,29.11813
2023-02-06 10:30:17,0.001898549,37.26493,29.11689
2023-02-06 10:30:22,-0.014453523,37.26872,29.11564
2023-02-06 10:30:27,-0.018692855,37.27251,29.1144
2023-02-06 10:30:32,-0.025485575,37.27899,29.09809
2023-02-06 10:30:37,-0.01469188,37.28277,29.09685
2023-02-06 10:30:42,-0.018771036,37.28655,29.0956
2023-02-06 10:30:47,-0.032639371,37.29033,29.09435
2023-02-06 10:30:52,-0.038111278,37.29412,29.0931
2023-02-06 10:30:57,-0.032647212,37.2979,29.09185
2023-02-06 10:31:02,-0.009597682,37.3043,29.07556
2023-02-06 10:31:07,-0.035642255,37.30807,29.07431
2023-02-06 10:31:12,-0.007146549,37.31184,29.07306
2023-02-06 10:31:17,-0.025008234,37.31562,29.07181
2023-02-06 10:31:22,-0.027830026,37.31939,29.07055
2023-02-06 10:31:27,-0.029821687,37.32316,29.0693
2023-02-06 10:31:32,-0.02989002,37.32694,29.06804
2023-02-06 10:31:37,-0.029848869,37.33325,29.05176
2023-02-06 10:31:42,-0.023261115,37.33701,29.0505
2023-02-06 10:31:47,-0.027739674,37.34078,29.04925
2023-02-06 10:31:52,-0.051206493,37.34454,29.04799
2023-02-06 10:31:57,-0.052796548,37.3483,29.04673
2023-02-06 10:32:02,-0.047760844,37.35207,29.04547
2023-02-06 10:32:07,-0.031799407,37.35583,29.04421
2023-02-06 10:32:12,-0.015667289,37.36206,29.02794
2023-02-06 10:32:17,-0.027132558,37.36581,29.02668
2023-02-06 10:32:22,-0.019267298,37.36956,29.02542
2023-02-06 10:32:27,-0.03059361,37.37332,29.02416
2023-02-06 10:32:32,-0.014769605,37.37707,29.02289
2023-02-06 10:32:37,-0.011099404,37.38083,29.02163
2023-02-06 10:32:42,-0.014501134,37.38459,29.02036
2023-02-06 10:32:47,-0.027320927,37.39072,29.0041
2023-02-06 10:32:52,-0.033331918,37.39446,29.00284
2023-02-06 10:32:57,-0.028623241,37.39821,29.00157
2023-02-06 10:33:02,-0.021018028,37.40196,29.00031
2023-02-06 10:33:07,-0.039651405,37.4057,28.99904
2023-02-06 10:33:12,-0.011591495,37.40945,28.99777
2023-02-06 10:33:17,-0.012510407,37.4132,28.9965
2023-02-06 10:33:22,-0.033806243,37.41924,28.98025
2023-02-06 10:33:27,-0.034613091,37.42298,28.97898
2023-02-06 10:33:32,-0.030378025,37.42671,28.97771
2023-02-06 10:33:37,-0.036551098,37.43045,28.97644
2023-02-06 10:33:42,-0.03357935,37.43419,28.97517
2023-02-06 10:33:47,-0.034918797,37.43793,28.97389
2023-02-06 10:33:52,-0.030317433,37.44166,28.97262
2023-02-06 10:33:57,-0.030638229,37.44762,28.95638
2023-02-06 10:34:02,-0.023141129,37.45135,28.95511
2023-02-06 10:34:07,-0.031360051,37.45507,28.95383
2023-02-06 10:34:12,-0.039433885,37.4588,28.95256
2023-02-06 10:34:17,-0.046191487,37.46253,28.95128
2023-02-06 10:34:22,-0.038139687,37.46626,28.95
2023-02-06 10:34:27,-0.040897277,37.46999,28.94872
2023-02-06 10:34:32,-0.035691018,37.47585,28.9325
2023-02-06 10:34:37,-0.019394634,37.47957,28.93122
2023-02-06 10:34:42,-0.023879813,37.48329,28.92994
2023-02-06 10:34:47,-0.043283207,37.48701,28.92866
2023-02-06 10:34:52,-0.039473428,37.49073,28.92738
2023-02-06 10:34:57,-0.040023047,37.49445,28.9261
2023-02-06 10:35:02,-0.035551599,37.49817,28.92481
