Time,dTEC,ipplat,ipplon
2023-02-01 04:37:37,0.062354291,39.19822,8.98806
2023-02-01 04:37:42,0.028289512,39.20086,8.98838
2023-02-01 04:37:47,0.012418355,39.2035,8.98869
2023-02-01 04:37:52,-0.00970196,39.20614,8.98901
2023-02-01 04:37:57,0.030322341,39.22258,8.98349
2023-02-01 04:38:02,0.085485377,39.22522,8.9838
2023-02-01 04:38:07,0.122413218,39.22785,8.98412
2023-02-01 04:38:12,0.085873879,39.23049,8.98443
2023-02-01 04:38:17,0.018172622,39.23313,8.98475
2023-02-01 04:38:22,0.026012557,39.24953,8.97921
2023-02-01 04:38:27,0.055102037,39.25216,8.97952
2023-02-01 04:38:32,0.051618864,39.25479,8.97983
2023-02-01 04:38:37,0.038595882,39.25743,8.98014
2023-02-01 04:38:42,0.023788584,39.27379,8.9746
2023-02-01 04:38:47,0.029054405,39.27642,8.9749
2023-02-01 04:38:52,0.032300226,39.27905,8.97521
2023-02-01 04:38:57,0.055618174,39.28168,8.97552
2023-02-01 04:39:02,0.06422362,39.28431,8.97582
2023-02-01 04:39:07,0.071512282,39.30063,8.97026
2023-02-01 04:39:12,0.053745923,39.30325,8.97057
2023-02-01 04:39:17,0.05299395,39.30588,8.97087
2023-02-01 04:39:22,0.037526719,39.3085,8.97117
2023-02-01 04:39:27,0.052938931,39.3248,8.9656
2023-02-01 04:39:32,0.058804936,39.32742,8.9659
2023-02-01 04:39:37,0.04337223,39.33004,8.9662
2023-02-01 04:39:42,0.029929357,39.33266,8.9665
2023-02-01 04:39:47,0.039328213,39.33528,8.96679
2023-02-01 04:39:52,0.02597004,39.35153,8.96121
2023-02-01 04:39:57,-0.004091868,39.35414,8.96151
2023-02-01 04:40:02,0.020625035,39.35676,8.9618
2023-02-01 04:40:07,0.043309146,39.35938,8.9621
2023-02-01 04:40:12,0.018833616,39.37559,8.9565
2023-02-01 04:40:17,0.041678949,39.37821,8.95679
2023-02-01 04:40:22,0.002555205,39.38082,8.95708
2023-02-01 04:40:27,-0.0052324,39.38343,8.95737
2023-02-01 04:40:32,-0.006598495,39.38605,8.95766
2023-02-01 04:40:37,-0.001544449,39.40222,8.95206
2023-02-01 04:40:42,-0.00326537,39.40483,8.95235
2023-02-01 04:40:47,-0.037990109,39.40744,8.95263
2023-02-01 04:40:52,-0.019560553,39.41005,8.95292
2023-02-01 04:40:57,-0.017280026,39.42619,8.9473
2023-02-01 04:41:02,0.013035511,39.42879,8.94759
2023-02-01 04:41:07,-0.004060137,39.4314,8.94787
2023-02-01 04:41:12,-0.008166297,39.434,8.94815
2023-02-01 04:41:17,-0.030308429,39.43661,8.94844
2023-02-01 04:41:22,-0.057326824,39.4527,8.94281
2023-02-01 04:41:27,-0.0972141,39.45531,8.94309
2023-02-01 04:41:32,-0.061601305,39.45791,8.94337
2023-02-01 04:41:37,-0.035805613,39.46051,8.94364
2023-02-01 04:41:42,-0.013248622,39.46311,8.94392
2023-02-01 04:41:47,-0.025190654,39.47917,8.93828
2023-02-01 04:41:52,-0.030503854,39.48176,8.93856
2023-02-01 04:41:57,-0.011092786,39.48436,8.93883
2023-02-01 04:42:02,-0.053920236,39.48696,8.93911
2023-02-01 04:42:07,-0.065681705,39.48956,8.93938
2023-02-01 04:42:12,-0.105136412,39.50557,8.93373
2023-02-01 04:42:17,-0.065818292,39.50817,8.934
2023-02-01 04:42:22,-0.053022293,39.51076,8.93428
2023-02-01 04:42:27,-0.036431775,39.51336,8.93455
2023-02-01 04:42:32,-0.052948508,39.52933,8.92888
2023-02-01 04:42:37,-0.048047774,39.53192,8.92915
2023-02-01 04:42:42,-0.029957562,39.53451,8.92942
2023-02-01 04:42:47,-0.033229267,39.5371,8.92969
2023-02-01 04:42:52,-0.01015419,39.53969,8.92996
2023-02-01 04:42:57,-0.023252135,39.55563,8.92428
2023-02-01 04:43:02,-0.017568611,39.55821,8.92454
2023-02-01 04:43:07,-0.035995326,39.5608,8.92481
2023-02-01 04:43:12,-0.012846989,39.56339,8.92507
2023-02-01 04:43:17,0.016660294,39.56598,8.92534
2023-02-01 04:43:22,0.015620116,39.58187,8.91965
2023-02-01 04:43:27,0.010602179,39.58445,8.91991
2023-02-01 04:43:32,0.014047688,39.58703,8.92017
2023-02-01 04:43:37,-0.003889847,39.58961,8.92043
2023-02-01 04:43:42,0.012959596,39.5922,8.92069
2023-02-01 04:43:47,0.034510046,39.60805,8.91499
2023-02-01 04:43:52,0.032024643,39.61063,8.91525
2023-02-01 04:43:57,0.01837694,39.6132,8.91551
2023-02-01 04:44:02,0.017706302,39.61578,8.91577
2023-02-01 04:44:07,0.017028109,39.61836,8.91602
2023-02-01 04:44:12,0.034558458,39.63417,8.91031
2023-02-01 04:44:17,0.038908562,39.63674,8.91056
2023-02-01 04:44:22,0.060170652,39.63932,8.91082
2023-02-01 04:44:27,0.052038481,39.6419,8.91107
2023-02-01 04:44:32,0.061986022,39.64447,8.91133
2023-02-01 04:44:37,0.055697268,39.66024,8.9056
2023-02-01 04:44:42,0.027764539,39.66281,8.90585
2023-02-01 04:44:47,0.032947777,39.66538,8.9061
2023-02-01 04:44:52,0.024474352,39.66795,8.90636
2023-02-01 04:44:57,0.00492776,39.67052,8.90661
2023-02-01 04:45:02,-0.004776175,39.68624,8.90087
2023-02-01 04:45:07,0.009697802,39.68881,8.90112
2023-02-01 04:45:12,0.032600677,39.69138,8.90136
2023-02-01 04:45:17,0.047243865,39.69394,8.90161
2023-02-01 04:45:22,0.074778317,39.69651,8.90186
2023-02-01 04:45:27,0.035527518,39.71219,8.89611
2023-02-01 04:45:32,0.040188586,39.71475,8.89635
2023-02-01 04:45:37,0.034938479,39.71732,8.8966
2023-02-01 04:45:42,0.057380189,39.71988,8.89684
2023-02-01 04:45:47,0.039118749,39.72244,8.89708
2023-02-01 04:45:52,0.01916763,39.73808,8.89132
2023-02-01 04:45:57,-0.005999956,39.74064,8.89156
2023-02-01 04:46:02,0.009915347,39.7432,8.89181
2023-02-01 04:46:07,-0.008532067,39.74576,8.89205
2023-02-01 04:46:12,-0.019273457,39.74832,8.89229
2023-02-01 04:46:17,-0.052628539,39.76391,8.88651
2023-02-01 04:46:22,-0.023752984,39.76646,8.88675
2023-02-01 04:46:27,-0.034415716,39.76902,8.88699
2023-02-01 04:46:32,-0.023745113,39.77158,8.88723
2023-02-01 04:46:37,-0.060605907,39.77413,8.88746
2023-02-01 04:46:42,-0.040410879,39.77669,8.8877
2023-02-01 04:46:47,-0.047771562,39.79223,8.88191
2023-02-01 04:46:52,-0.055425542,39.79478,8.88215
2023-02-01 04:46:57,-0.063138552,39.79733,8.88238
2023-02-01 04:47:02,-0.058233875,39.79989,8.88262
2023-02-01 04:47:07,-0.071928746,39.80244,8.88285
2023-02-01 04:47:12,-0.060315944,39.81794,8.87705
2023-02-01 04:47:17,-0.061456501,39.82048,8.87728
2023-02-01 04:47:22,-0.054668494,39.82303,8.87752
2023-02-01 04:47:27,-0.05462445,39.82558,8.87775
2023-02-01 04:47:32,-0.07559614,39.82813,8.87797
2023-02-01 04:47:37,-0.036329287,39.84358,8.87217
2023-02-01 04:47:42,-0.029560759,39.84613,8.8724
2023-02-01 04:47:47,-0.028262371,39.84867,8.87262
2023-02-01 04:47:52,-0.025148787,39.85121,8.87285
2023-02-01 04:47:57,-0.035026617,39.85376,8.87308
2023-02-01 04:48:02,-0.036978621,39.8563,8.8733
2023-02-01 04:48:07,-0.022543904,39.87171,8.86748
2023-02-01 04:48:12,-0.03943342,39.87425,8.86771
2023-02-01 04:48:17,-0.054742974,39.87679,8.86793
2023-02-01 04:48:22,-0.040504317,39.87933,8.86816
2023-02-01 04:48:27,-7.349e-06,39.88187,8.86838
2023-02-01 04:48:32,-0.007286522,39.89723,8.86255
2023-02-01 04:48:37,0.000176363,39.89976,8.86277
2023-02-01 04:48:42,-0.020393946,39.9023,8.86299
2023-02-01 04:48:47,-0.021050952,39.90484,8.86321
2023-02-01 04:48:52,-0.04010411,39.90737,8.86343
