Time,dTEC,ipplat,ipplon,anomaly,forecast
2023-02-01 06:20:52,-0.00837068,39.14528,5.07135,,
2023-02-01 06:20:57,0.057222475,39.14786,5.07157,,
2023-02-01 06:21:02,0.052511375,39.15043,5.07178,,
2023-02-01 06:21:07,0.045653442,39.153,5.07199,,
2023-02-01 06:21:12,0.042288385,39.16953,5.07741,,
2023-02-01 06:21:17,0.045705402,39.1721,5.07762,,
2023-02-01 06:21:22,0.050262778,39.17467,5.07783,,
2023-02-01 06:21:27,0.087923288,39.17724,5.07805,,
2023-02-01 06:21:32,0.069609699,39.19373,5.08347,,
2023-02-01 06:21:37,0.030105269,39.19629,5.08368,,
2023-02-01 06:21:42,0.015004548,39.19886,5.0839,,
2023-02-01 06:21:47,0.04263848,39.20143,5.08411,,
2023-02-01 06:21:52,0.062004805,39.20399,5.08432,,
2023-02-01 06:21:57,0.041843255,39.22044,5.08975,,
2023-02-01 06:22:02,0.021637663,39.22301,5.08996,,
2023-02-01 06:22:07,0.048862859,39.22557,5.09017,,
2023-02-01 06:22:12,0.043607571,39.22813,5.09039,,
2023-02-01 06:22:17,0.043005328,39.24455,5.09582,,
2023-02-01 06:22:22,0.065387262,39.24711,5.09603,,
2023-02-01 06:22:27,0.017210406,39.24967,5.09624,,
2023-02-01 06:22:32,0.057353698,39.25223,5.09646,,
2023-02-01 06:22:37,0.033516683,39.26862,5.10189,,
2023-02-01 06:22:42,0.017852311,39.27117,5.1021,,
2023-02-01 06:22:47,-0.00092196,39.27372,5.10232,,
2023-02-01 06:22:52,0.021143339,39.27628,5.10253,,
2023-02-01 06:22:57,0.011657888,39.27884,5.10274,,
2023-02-01 06:23:02,0.011171778,39.29518,5.10818,,
2023-02-01 06:23:07,0.029177015,39.29773,5.10839,,
2023-02-01 06:23:12,-0.011274082,39.30029,5.10861,,
2023-02-01 06:23:17,0.002270425,39.30284,5.10882,,
2023-02-01 06:23:22,0.019043289,39.31915,5.11426,,
2023-02-01 06:23:27,0.005904185,39.3217,5.11447,,
2023-02-01 06:23:32,-0.015055093,39.32425,5.11469,,
2023-02-01 06:23:37,0.003170469,39.3268,5.1149,,
2023-02-01 06:23:42,-0.024500887,39.34308,5.12034,,
2023-02-01 06:23:47,-0.0162798,39.34562,5.12056,,
2023-02-01 06:23:52,-0.031394579,39.34816,5.12078,,
2023-02-01 06:23:57,-0.016729409,39.35071,5.12099,,
2023-02-01 06:24:02,-0.044674344,39.35325,5.12121,,
2023-02-01 06:24:07,-0.020513211,39.36949,5.12665,,
2023-02-01 06:24:12,-0.048600004,39.37203,5.12687,,
2023-02-01 06:24:17,-0.039154188,39.37457,5.12708,,
2023-02-01 06:24:22,-0.008628492,39.37711,5.1273,,
2023-02-01 06:24:27,-0.046804912,39.39332,5.13274,,
2023-02-01 06:24:32,-0.072128909,39.39585,5.13296,,
2023-02-01 06:24:37,-0.061333108,39.39839,5.13318,,
2023-02-01 06:24:42,-0.024289496,39.40093,5.1334,,
2023-02-01 06:24:47,-0.041848623,39.40347,5.13362,,
2023-02-01 06:24:52,-0.0507881,39.41963,5.13906,,
