Time,dTEC,ipplat,ipplon
2023-02-01 07:27:12,-0.027852161,45.83349,0.81054
2023-02-01 07:27:17,-0.0187106,45.83415,0.8136
2023-02-01 07:27:22,-0.005395044,45.83482,0.81665
2023-02-01 07:27:27,-0.010415374,45.83548,0.81971
2023-02-01 07:27:32,-0.001326064,45.83614,0.82276
2023-02-01 07:27:37,0.001070819,45.83679,0.82582
2023-02-01 07:27:42,-0.008347682,45.83745,0.82887
2023-02-01 07:27:47,-0.02212982,45.83189,0.85237
2023-02-01 07:27:52,-0.018541537,45.83253,0.85542
2023-02-01 07:27:57,-0.007518069,45.83318,0.85846
2023-02-01 07:28:02,-0.006477043,45.83382,0.86151
2023-02-01 07:28:07,-0.016568577,45.83446,0.86456
2023-02-01 07:28:12,0.011793419,45.8351,0.86761
2023-02-01 07:28:17,-0.005346155,45.82951,0.89104
2023-02-01 07:28:22,0.006684107,45.83014,0.89408
2023-02-01 07:28:27,-0.000550975,45.83077,0.89712
2023-02-01 07:28:32,0.016882223,45.8314,0.90016
2023-02-01 07:28:37,0.010548639,45.83203,0.9032
2023-02-01 07:28:42,-0.004493082,45.83265,0.90625
2023-02-01 07:28:47,-0.004180384,45.83327,0.90929
2023-02-01 07:28:52,0.017541699,45.82764,0.93264
2023-02-01 07:28:57,0.010995842,45.82825,0.93567
2023-02-01 07:29:02,0.00133163,45.82887,0.93871
2023-02-01 07:29:07,-0.004930438,45.82948,0.94174
2023-02-01 07:29:12,0.001524242,45.83009,0.94478
2023-02-01 07:29:17,0.000514687,45.8307,0.94782
2023-02-01 07:29:22,0.023400027,45.82502,0.9711
2023-02-01 07:29:27,0.017864298,45.82563,0.97413
2023-02-01 07:29:32,0.013558751,45.82622,0.97715
2023-02-01 07:29:37,0.005050545,45.82682,0.98018
2023-02-01 07:29:42,0.01904145,45.82742,0.98321
2023-02-01 07:29:47,0.00926985,45.82801,0.98624
2023-02-01 07:29:52,0.002748235,45.8286,0.98927
2023-02-01 07:29:57,0.006928511,45.82289,1.01247
2023-02-01 07:30:02,-0.001785508,45.82347,1.01549
2023-02-01 07:30:07,-0.001659596,45.82406,1.01852
2023-02-01 07:30:12,0.005754183,45.82464,1.02154
2023-02-01 07:30:17,-0.005158522,45.82521,1.02456
2023-02-01 07:30:22,0.005655147,45.82579,1.02758
2023-02-01 07:30:27,-0.005272141,45.82636,1.0306
2023-02-01 07:30:32,-0.009685903,45.82062,1.05373
2023-02-01 07:30:37,0.00203945,45.82118,1.05674
2023-02-01 07:30:42,-0.003472579,45.82175,1.05976
2023-02-01 07:30:47,0.000790624,45.82231,1.06277
2023-02-01 07:30:52,-0.007395619,45.82287,1.06579
2023-02-01 07:30:57,-0.009170073,45.82343,1.0688
2023-02-01 07:31:02,-0.002745595,45.82399,1.07182
2023-02-01 07:31:07,-0.00936443,45.8182,1.09487
2023-02-01 07:31:12,-0.018158913,45.81875,1.09788
2023-02-01 07:31:17,-0.022608371,45.8193,1.10088
2023-02-01 07:31:22,0.001039681,45.81985,1.10389
2023-02-01 07:31:27,-0.021885366,45.82039,1.1069
2023-02-01 07:31:32,-0.030683407,45.82094,1.10991
2023-02-01 07:31:37,-0.017747033,45.81512,1.13289
2023-02-01 07:31:42,-0.012416223,45.81565,1.13589
2023-02-01 07:31:47,-0.015777048,45.81619,1.13889
2023-02-01 07:31:52,-0.019135474,45.81672,1.14189
2023-02-01 07:31:57,-0.022490654,45.81725,1.14489
2023-02-01 07:32:02,-0.021650639,45.81778,1.14789
2023-02-01 07:32:07,-0.01521737,45.8183,1.15089
2023-02-01 07:32:12,-0.019645881,45.81244,1.17379
2023-02-01 07:32:17,-0.0153751,45.81296,1.17678
2023-02-01 07:32:22,-0.040438451,45.81348,1.17978
2023-02-01 07:32:27,-0.030875951,45.814,1.18277
2023-02-01 07:32:32,-0.023168312,45.81451,1.18576
2023-02-01 07:32:37,-0.035323242,45.81502,1.18876
2023-02-01 07:32:42,-0.020146243,45.81553,1.19175
2023-02-01 07:32:47,-0.015826417,45.80964,1.21457
2023-02-01 07:32:52,-0.019257859,45.81014,1.21756
2023-02-01 07:32:57,-0.015847465,45.81064,1.22054
2023-02-01 07:33:02,-0.021649227,45.81114,1.22353
2023-02-01 07:33:07,-0.011628836,45.81164,1.22652
2023-02-01 07:33:12,-0.027895782,45.81213,1.2295
2023-02-01 07:33:17,-0.019154754,45.81263,1.23249
2023-02-01 07:33:22,-0.025612444,45.8067,1.25523
2023-02-01 07:33:27,-0.026776341,45.80718,1.25821
2023-02-01 07:33:32,-0.027768739,45.80767,1.26119
2023-02-01 07:33:37,-0.023310633,45.80815,1.26417
2023-02-01 07:33:42,-0.000361019,45.80863,1.26714
2023-02-01 07:33:47,-0.005647099,45.80911,1.27012
2023-02-01 07:33:52,-0.020694177,45.80959,1.2731
2023-02-01 07:33:57,-0.010727664,45.80362,1.29577
2023-02-01 07:34:02,-0.006329276,45.80409,1.29874
