Time,dTEC,ipplat,ipplon,anomaly,forecast
2023-02-01 07:42:52,-0.021828248,46.00123,0.91114,,
2023-02-01 07:42:57,-0.029960828,46.00119,0.91503,,
2023-02-01 07:43:02,-0.023428271,46.00115,0.91892,,
2023-02-01 07:43:07,-0.035543031,45.99528,0.94025,,
2023-02-01 07:43:12,-0.023665955,45.99523,0.94413,,
2023-02-01 07:43:17,-0.034433987,45.99518,0.94801,,
2023-02-01 07:43:22,-0.03187046,45.99514,0.95189,,
2023-02-01 07:43:27,-0.036153105,45.98924,0.97317,,
2023-02-01 07:43:32,-0.034718842,45.98919,0.97703,,
2023-02-01 07:43:37,-0.040131288,45.98913,0.9809,,
2023-02-01 07:43:42,-0.033545548,45.98907,0.98477,,
2023-02-01 07:43:47,-0.047131621,45.989,0.98864,,
2023-02-01 07:43:52,-0.043009297,45.98309,1.00985,,
2023-02-01 07:43:57,-0.03659736,45.98302,1.01371,,
2023-02-01 07:44:02,-0.04864468,45.98295,1.01756,,
2023-02-01 07:44:07,-0.036702322,45.98287,1.02142,,
2023-02-01 07:44:12,-0.04340994,45.97694,1.04258,,
2023-02-01 07:44:17,-0.032964277,45.97686,1.04642,,
2023-02-01 07:44:22,-0.04481887,45.97678,1.05027,,
2023-02-01 07:44:27,-0.036855541,45.97669,1.05412,,
2023-02-01 07:44:32,-0.022225404,45.97074,1.07522,,
2023-02-01 07:44:37,-0.034240865,45.97065,1.07905,,
2023-02-01 07:44:42,-0.039589615,45.97056,1.08289,,
2023-02-01 07:44:47,-0.030277136,45.97046,1.08673,,
2023-02-01 07:44:52,-0.026290702,45.9645,1.10777,,
2023-02-01 07:44:57,-0.023632672,45.9644,1.11159,,
2023-02-01 07:45:02,-0.015831397,45.96429,1.11542,,
2023-02-01 07:45:07,-0.005170916,45.96418,1.11925,,
2023-02-01 07:45:12,-0.013161357,45.9582,1.14023,,
2023-02-01 07:45:17,-0.011820838,45.95809,1.14405,,
2023-02-01 07:45:22,0.000183435,45.95797,1.14786,,
2023-02-01 07:45:27,-0.005321136,45.95785,1.15168,,
2023-02-01 07:45:32,-0.001113935,45.95773,1.15549,,
2023-02-01 07:45:37,-0.017080437,45.95174,1.17641,,
2023-02-01 07:45:42,-0.018385906,45.95161,1.18022,,
2023-02-01 07:45:47,-0.002365198,45.95148,1.18402,,
2023-02-01 07:45:52,-0.003662756,45.95134,1.18782,,
2023-02-01 07:45:57,0.007035985,45.94533,1.20868,,
2023-02-01 07:46:02,0.000226101,45.94519,1.21248,,
2023-02-01 07:46:07,0.017595477,45.94505,1.21627,,
2023-02-01 07:46:12,0.017646906,45.94491,1.22007,,
2023-02-01 07:46:17,0.004377793,45.93888,1.24087,,
2023-02-01 07:46:22,0.01110035,45.93873,1.24465,,
2023-02-01 07:46:27,0.008500196,45.93858,1.24844,,
2023-02-01 07:46:32,0.00457226,45.93842,1.25222,,
2023-02-01 07:46:37,-0.00334822,45.93827,1.256,,
2023-02-01 07:46:42,-0.016593701,45.93222,1.27674,,
2023-02-01 07:46:47,-0.007181831,45.93206,1.28051,,
2023-02-01 07:46:52,-0.013754452,45.9319,1.28428,,
2023-02-01 07:46:57,-0.018988999,45.93173,1.28806,,
2023-02-01 07:47:02,-0.016223201,45.92567,1.30874,,
2023-02-01 07:47:07,-0.02011378,45.92549,1.3125,,
2023-02-01 07:47:12,-0.009341156,45.92532,1.31626,,
2023-02-01 07:47:17,-0.018549639,45.92514,1.32002,,
2023-02-01 07:47:22,-0.006622339,45.91907,1.34064,,
2023-02-01 07:47:27,-0.007632559,45.91888,1.34439,,
2023-02-01 07:47:32,-0.0074938,45.9187,1.34814,,
2023-02-01 07:47:37,-0.015533359,45.91851,1.35189,,
2023-02-01 07:47:42,-0.01385763,45.91831,1.35564,,
2023-02-01 07:47:47,-0.004560405,45.91222,1.3762,,
2023-02-01 07:47:52,-0.003060074,45.91203,1.37994,,
2023-02-01 07:47:57,-0.006881826,45.91183,1.38368,,
2023-02-01 07:48:02,-0.009363047,45.91162,1.38742,,
2023-02-01 07:48:07,-0.018498426,45.90552,1.40791,,
2023-02-01 07:48:12,-0.004973251,45.90531,1.41164,,
2023-02-01 07:48:17,-0.000766708,45.9051,1.41537,,
2023-02-01 07:48:22,0.003448714,45.90489,1.4191,,
2023-02-01 07:48:27,-0.003177077,45.90467,1.42282,,
2023-02-01 07:48:32,0.001247027,45.89855,1.44325,,
2023-02-01 07:48:37,-0.00269487,45.89833,1.44697,,
2023-02-01 07:48:42,0.006888036,45.89811,1.45069,,
2023-02-01 07:48:47,0.001823541,45.89788,1.4544,,
2023-02-01 07:48:52,0.00709354,45.89765,1.45812,,
2023-02-01 07:48:57,0.003717422,45.89152,1.47848,,
2023-02-01 07:49:02,0.013341072,45.89128,1.48219,,
2023-02-01 07:49:07,0.016312968,45.89105,1.48589,,
2023-02-01 07:49:12,0.013468484,45.89081,1.4896,,
2023-02-01 07:49:17,0.023621786,45.88466,1.5099,,
2023-02-01 07:49:22,0.014634333,45.88441,1.5136,,
2023-02-01 07:49:27,0.009655578,45.88417,1.51729,,
2023-02-01 07:49:32,0.013825363,45.88392,1.52098,,
2023-02-01 07:49:37,0.022384725,45.88367,1.52468,,
2023-02-01 07:49:42,0.01344329,45.8775,1.54491,,
2023-02-01 07:49:47,0.024310476,45.87724,1.5486,,
2023-02-01 07:49:52,0.019390192,45.87698,1.55228,,
2023-02-01 07:49:57,0.014672334,45.87672,1.55596,,
2023-02-01 07:50:02,0.009776191,45.87055,1.57614,,
2023-02-01 07:50:07,0.003369439,45.87028,1.57981,,
2023-02-01 07:50:12,0.012012943,45.87001,1.58348,,
2023-02-01 07:50:17,0.016480958,45.86974,1.58716,,
2023-02-01 07:50:22,0.023435825,45.86946,1.59083,,
2023-02-01 07:50:27,0.018601174,45.86327,1.61093,,
2023-02-01 07:50:32,0.008449022,45.86299,1.6146,,
2023-02-01 07:50:37,0.014489474,45.86271,1.61826,,
2023-02-01 07:50:42,0.00569462,45.86242,1.62192,,
2023-02-01 07:50:47,-0.000613362,45.86214,1.62558,,
2023-02-01 07:50:52,0.001276393,45.85593,1.64562,,
2023-02-01 07:50:57,0.008508235,45.85564,1.64926,,
2023-02-01 07:51:02,0.007757498,45.85534,1.65291,,
2023-02-01 07:51:07,0.006828405,45.85504,1.65656,,
2023-02-01 07:51:12,0.003627262,45.85474,1.66021,,
2023-02-01 07:51:17,0.005577562,45.84852,1.68018,,
2023-02-01 07:51:22,-0.000455118,45.84822,1.68382,,
2023-02-01 07:51:27,-0.007808618,45.84791,1.68746,,
2023-02-01 07:51:32,0.006168911,45.8476,1.6911,,
2023-02-01 07:51:37,-0.008014402,45.84137,1.71101,,
2023-02-01 07:51:42,0.00484366,45.84106,1.71463,,
2023-02-01 07:51:47,-0.013124604,45.84074,1.71826,,
2023-02-01 07:51:52,-0.009762609,45.84042,1.72188,,
2023-02-01 07:51:57,-0.014384888,45.8401,1.72551,,
2023-02-01 07:52:02,-0.007004587,45.83385,1.74535,,
2023-02-01 07:52:07,-0.01826887,45.83352,1.74897,,
2023-02-01 07:52:12,-0.006871417,45.8332,1.75258,,
2023-02-01 07:52:17,-0.014309424,45.83286,1.7562,,
2023-02-01 07:52:22,-0.0122207,45.83253,1.75981,,
2023-02-01 07:52:27,-0.015453075,45.82627,1.77958,,
2023-02-01 07:52:32,-0.008017191,45.82593,1.78319,,
2023-02-01 07:52:37,0.003424292,45.82559,1.78679,,
2023-02-01 07:52:42,0.0055461,45.82524,1.79039,,
2023-02-01 07:52:47,0.006342842,45.8249,1.794,,
2023-02-01 07:52:52,0.007146411,45.81863,1.8137,,
2023-02-01 07:52:57,0.014428486,45.81828,1.81729,,
2023-02-01 07:53:02,0.007790429,45.81792,1.82088,,
2023-02-01 07:53:07,0.017398987,45.81756,1.82447,,
2023-02-01 07:53:12,0.018225893,45.81721,1.82806,,
2023-02-01 07:53:17,0.021722465,45.81092,1.8477,,
2023-02-01 07:53:22,0.025223205,45.81056,1.85128,,
2023-02-01 07:53:27,0.0207328,45.81019,1.85486,,
2023-02-01 07:53:32,0.032235127,45.80982,1.85844,,
2023-02-01 07:53:37,0.019945943,45.80945,1.86202,,
2023-02-01 07:53:42,0.021935196,45.80316,1.88158,,
2023-02-01 07:53:47,0.021451318,45.80278,1.88515,,
2023-02-01 07:53:52,0.00897613,45.8024,1.88871,,
2023-02-01 07:53:57,0.013823437,45.80202,1.89228,,
2023-02-01 07:54:02,0.013530836,45.80164,1.89585,,
2023-02-01 07:54:07,0.011524107,45.79533,1.91534,,
2023-02-01 07:54:12,0.015036122,45.79495,1.9189,,
2023-02-01 07:54:17,0.02368554,45.79456,1.92245,,
2023-02-01 07:54:22,0.00206571,45.79416,1.92601,,
2023-02-01 07:54:27,0.013564071,45.79377,1.92957,,
2023-02-01 07:54:32,0.007735949,45.78745,1.94899,,
2023-02-01 07:54:37,-0.000761936,45.78705,1.95253,,
2023-02-01 07:54:42,0.006724326,45.78665,1.95608,,
2023-02-01 07:54:47,0.008874534,45.78624,1.95962,,
2023-02-01 07:54:52,0.012159783,45.78584,1.96316,,
2023-02-01 07:54:57,0.009155658,45.77951,1.98252,,
2023-02-01 07:55:02,0.004405036,45.7791,1.98605,,
2023-02-01 07:55:07,0.010735791,45.77868,1.98958,,
2023-02-01 07:55:12,0.004658688,45.77827,1.99311,,
2023-02-01 07:55:17,-0.005045813,45.77785,1.99665,,
2023-02-01 07:55:22,-0.001627155,45.77743,2.00018,,
2023-02-01 07:55:27,0.008441914,45.77108,2.01945,,
2023-02-01 07:55:32,0.003650342,45.77066,2.02297,,
2023-02-01 07:55:37,0.009695475,45.77023,2.02649,,
2023-02-01 07:55:42,0.007731355,45.7698,2.03001,,
2023-02-01 07:55:47,0.007084524,45.76937,2.03353,,
2023-02-01 07:55:52,-0.005570478,45.76302,2.05273,,
2023-02-01 07:55:57,0.001745189,45.76258,2.05624,,
2023-02-01 07:56:02,0.003713466,45.76214,2.05975,,
2023-02-01 07:56:07,0.004331194,45.7617,2.06325,,
2023-02-01 07:56:12,0.014066915,45.76125,2.06676,,
2023-02-01 07:56:17,0.008173974,45.75489,2.08589,,
2023-02-01 07:56:22,0.023199518,45.75444,2.08939,,
2023-02-01 07:56:27,0.011935101,45.75399,2.09288,,
2023-02-01 07:56:32,0.012260376,45.75354,2.09638,,
2023-02-01 07:56:37,0.012943704,45.75308,2.09987,,
2023-02-01 07:56:42,-0.007906448,45.74671,2.11894,,
2023-02-01 07:56:47,0.007196391,45.74625,2.12242,,
2023-02-01 07:56:52,0.000954601,45.74579,2.1259,,
2023-02-01 07:56:57,0.010486669,45.74532,2.12939,,
2023-02-01 07:57:02,-0.002504311,45.74486,2.13287,,
2023-02-01 07:57:07,0.006057866,45.74439,2.13635,,
2023-02-01 07:57:12,-0.009617487,45.738,2.15533,,
2023-02-01 07:57:17,0.001137854,45.73753,2.1588,,
2023-02-01 07:57:22,-0.003744577,45.73705,2.16227,,
2023-02-01 07:57:27,-0.003517233,45.73658,2.16574,,
2023-02-01 07:57:32,-0.010172856,45.7361,2.16921,,
2023-02-01 07:57:37,-0.018001575,45.7297,2.18813,,
2023-02-01 07:57:42,-0.020341506,45.72922,2.19158,,
