Time,dTEC,ipplat,ipplon
2023-02-01 01:34:22,-0.003209504,39.63184,3.57088
2023-02-01 01:34:27,-0.00311012,39.63476,3.57134
2023-02-01 01:34:32,-0.007982716,39.64954,3.58075
2023-02-01 01:34:37,-0.006405163,39.65245,3.58121
2023-02-01 01:34:42,0.019135966,39.65536,3.58166
2023-02-01 01:34:47,0.022004787,39.65827,3.58212
2023-02-01 01:34:52,0.011529483,39.67301,3.59154
2023-02-01 01:34:57,0.013028022,39.67592,3.592
2023-02-01 01:35:02,0.023836287,39.67882,3.59246
2023-02-01 01:35:07,0.017305516,39.68172,3.59292
2023-02-01 01:35:12,0.026748582,39.69644,3.60234
2023-02-01 01:35:17,0.040173838,39.69933,3.6028
2023-02-01 01:35:22,0.048064593,39.70223,3.60327
2023-02-01 01:35:27,0.036335325,39.70513,3.60373
2023-02-01 01:35:32,0.028400452,39.71981,3.61316
2023-02-01 01:35:37,0.006971253,39.7227,3.61362
2023-02-01 01:35:42,0.024487965,39.7256,3.61409
2023-02-01 01:35:47,0.012522166,39.72849,3.61456
2023-02-01 01:35:52,0.009874098,39.74313,3.62399
2023-02-01 01:35:57,0.019209491,39.74602,3.62446
2023-02-01 01:36:02,0.004552013,39.74891,3.62492
2023-02-01 01:36:07,-0.003260075,39.7518,3.62539
2023-02-01 01:36:12,-0.007271876,39.7664,3.63483
2023-02-01 01:36:17,-0.00862479,39.76928,3.6353
2023-02-01 01:36:22,-0.017978003,39.77217,3.63577
2023-02-01 01:36:27,-0.014011168,39.77505,3.63625
2023-02-01 01:36:32,-0.026038228,39.78962,3.64569
2023-02-01 01:36:37,-0.027408941,39.7925,3.64616
2023-02-01 01:36:42,-0.010127888,39.79538,3.64664
2023-02-01 01:36:47,-0.004841567,39.79826,3.64711
2023-02-01 01:36:52,-0.007551898,39.81278,3.65656
2023-02-01 01:36:57,-0.003601113,39.81566,3.65703
2023-02-01 01:37:02,0.000158568,39.81853,3.65751
2023-02-01 01:37:07,0.010961019,39.82141,3.65799
2023-02-01 01:37:12,0.014910884,39.8359,3.66744
2023-02-01 01:37:17,0.009534063,39.83877,3.66792
2023-02-01 01:37:22,0.005490762,39.84164,3.6684
2023-02-01 01:37:27,0.016106085,39.84451,3.66888
2023-02-01 01:37:32,0.025390758,39.85896,3.67833
2023-02-01 01:37:37,0.028015166,39.86183,3.67882
2023-02-01 01:37:42,0.015984746,39.8647,3.6793
2023-02-01 01:37:47,0.011951952,39.86756,3.67978
2023-02-01 01:37:52,0.015917049,39.88198,3.68924
2023-02-01 01:37:57,0.007937009,39.88484,3.68973
2023-02-01 01:38:02,0.009390325,39.8877,3.69022
2023-02-01 01:38:07,-0.001481845,39.89056,3.6907
2023-02-01 01:38:12,-0.00416497,39.90494,3.70016
