Time,dTEC,ipplat,ipplon,anomaly,forecast
2023-02-01 05:59:22,0.006114926,38.94879,7.48871,,
2023-02-01 05:59:27,0.051256479,38.96518,7.48707,,
2023-02-01 05:59:32,-0.023492627,38.96852,7.48686,,
2023-02-01 05:59:37,-0.091570454,38.97187,7.48665,,
2023-02-01 05:59:42,-0.055037878,38.98822,7.48501,,
2023-02-01 05:59:47,0.047744407,38.99156,7.4848,,
2023-02-01 05:59:52,0.062171386,38.99491,7.48459,,
2023-02-01 05:59:57,-0.024025577,39.01123,7.48295,,
2023-02-01 06:00:02,-0.009902743,39.01457,7.48274,,
2023-02-01 06:00:07,0.076110297,39.01791,7.48253,,
2023-02-01 06:00:12,0.055848822,39.0342,7.48089,,
2023-02-01 06:00:17,0.015375677,39.03753,7.48068,,
2023-02-01 06:00:22,0.057109569,39.04087,7.48047,,
2023-02-01 06:00:27,0.094986364,39.05713,7.47883,,
2023-02-01 06:00:32,0.064749784,39.06046,7.47862,,
2023-02-01 06:00:37,0.015272902,39.06379,7.4784,,
2023-02-01 06:00:42,0.041770641,39.08002,7.47676,,
2023-02-01 06:00:47,0.171308268,39.08335,7.47655,,
2023-02-01 06:00:52,0.155430592,39.08667,7.47634,,
2023-02-01 06:00:57,0.042621757,39.10287,7.4747,,
2023-02-01 06:01:02,0.023701944,39.1062,7.47448,,
2023-02-01 06:01:07,0.079200361,39.10952,7.47427,,
2023-02-01 06:01:12,0.139994043,39.12569,7.47263,,
2023-02-01 06:01:17,0.127419146,39.129,7.47241,,
2023-02-01 06:01:22,0.088597445,39.13232,7.4722,,
2023-02-01 06:01:27,0.083891326,39.14846,7.47056,,
2023-02-01 06:01:32,0.093830489,39.15177,7.47034,,
2023-02-01 06:01:37,0.056107637,39.15509,7.47013,,
2023-02-01 06:01:42,0.054840475,39.1712,7.46849,,
2023-02-01 06:01:47,0.100934506,39.17451,7.46827,,
2023-02-01 06:01:52,0.091192528,39.17781,7.46806,,
2023-02-01 06:01:57,0.047424427,39.1939,7.46641,,
2023-02-01 06:02:02,0.029408876,39.1972,7.4662,,
2023-02-01 06:02:07,0.069470329,39.2005,7.46598,,
2023-02-01 06:02:12,0.105496717,39.2038,7.46576,,
2023-02-01 06:02:17,0.081606948,39.21985,7.46412,,
2023-02-01 06:02:22,0.016690398,39.22315,7.46391,,
2023-02-01 06:02:27,0.011416208,39.22644,7.46369,,
2023-02-01 06:02:32,0.090125783,39.24246,7.46205,,
2023-02-01 06:02:37,0.125478287,39.24575,7.46183,,
2023-02-01 06:02:42,0.039590237,39.24905,7.46161,,
2023-02-01 06:02:47,0.016468703,39.26503,7.45997,,
2023-02-01 06:02:52,0.082402601,39.26832,7.45975,,
2023-02-01 06:02:57,0.090190192,39.27161,7.45953,,
2023-02-01 06:03:02,0.052685076,39.28756,7.45789,,
2023-02-01 06:03:07,0.035703192,39.29085,7.45768,,
2023-02-01 06:03:12,0.036131309,39.29413,7.45746,,
2023-02-01 06:03:17,0.011913929,39.29742,7.45724,,
2023-02-01 06:03:22,0.05573748,39.31333,7.4556,,
2023-02-01 06:03:27,0.091081812,39.31661,7.45538,,
2023-02-01 06:03:32,0.066739597,39.3199,7.45516,,
2023-02-01 06:03:37,-0.009497876,39.33578,7.45352,,
2023-02-01 06:03:42,-0.001522906,39.33905,7.4533,,
2023-02-01 06:03:47,0.091835421,39.34233,7.45308,,
2023-02-01 06:03:52,0.102541427,39.35818,7.45144,,
2023-02-01 06:03:57,0.009568639,39.36146,7.45122,,
2023-02-01 06:04:02,-0.072588413,39.36473,7.451,,
2023-02-01 06:04:07,0.013985999,39.38055,7.44936,,
2023-02-01 06:04:12,0.120338304,39.38382,7.44914,,
2023-02-01 06:04:17,0.073564922,39.38708,7.44892,,
2023-02-01 06:04:22,-0.008919033,39.39035,7.4487,,
2023-02-01 06:04:27,0.022624443,39.40613,7.44706,,
2023-02-01 06:04:32,0.078824041,39.4094,7.44684,,
2023-02-01 06:04:37,0.112950837,39.41266,7.44662,,
2023-02-01 06:04:42,0.109041092,39.42841,7.44498,,
2023-02-01 06:04:47,0.065928746,39.43167,7.44476,,
2023-02-01 06:04:52,0.030347919,39.43493,7.44453,,
2023-02-01 06:04:57,0.07122991,39.43819,7.44431,,
2023-02-01 06:05:02,0.11069149,39.4539,7.44268,,
2023-02-01 06:05:07,0.079416807,39.45716,7.44245,,
2023-02-01 06:05:12,0.00700488,39.46041,7.44223,,
2023-02-01 06:05:17,0.055849897,39.47609,7.44059,,
2023-02-01 06:05:22,0.128986217,39.47934,7.44037,,
2023-02-01 06:05:27,0.067529566,39.48259,7.44015,,
2023-02-01 06:05:32,0.035821036,39.48584,7.43993,,
2023-02-01 06:05:37,0.074947684,39.50148,7.43829,,
2023-02-01 06:05:42,0.077234431,39.50473,7.43807,,
2023-02-01 06:05:47,0.033337562,39.50798,7.43784,,
2023-02-01 06:05:52,0.02601252,39.52359,7.43621,,
2023-02-01 06:05:57,0.028196213,39.52683,7.43599,,
2023-02-01 06:06:02,0.022366406,39.53007,7.43576,,
2023-02-01 06:06:07,0.033838024,39.53331,7.43554,,
2023-02-01 06:06:12,0.02912215,39.54888,7.43391,,
2023-02-01 06:06:17,-0.012224175,39.55212,7.43368,,
2023-02-01 06:06:22,-0.035873954,39.55536,7.43346,,
2023-02-01 06:06:27,0.002764266,39.5709,7.43183,,
2023-02-01 06:06:32,0.011592595,39.57413,7.4316,,
2023-02-01 06:06:37,-0.039373203,39.57736,7.43138,,
2023-02-01 06:06:42,-0.068546307,39.58059,7.43116,,
2023-02-01 06:06:47,0.012085954,39.59609,7.42953,,
2023-02-01 06:06:52,0.01676761,39.59932,7.4293,,
2023-02-01 06:06:57,-0.064040457,39.60255,7.42908,,
2023-02-01 06:07:02,-0.089363714,39.61802,7.42745,,
2023-02-01 06:07:07,-0.05472247,39.62124,7.42722,,
2023-02-01 06:07:12,-0.010740684,39.62446,7.427,,
2023-02-01 06:07:17,-0.020893962,39.62768,7.42678,,
2023-02-01 06:07:22,-0.101926255,39.64311,7.42515,,
2023-02-01 06:07:27,-0.117731162,39.64633,7.42492,,
2023-02-01 06:07:32,-0.05058843,39.64955,7.4247,,
2023-02-01 06:07:37,0.015386748,39.65277,7.42447,,
2023-02-01 06:07:42,-0.042669169,39.66816,7.42285,,
2023-02-01 06:07:47,-0.099164568,39.67137,7.42262,,
2023-02-01 06:07:52,-0.056351683,39.67459,7.4224,,
2023-02-01 06:07:57,0.010610704,39.68994,7.42077,,
2023-02-01 06:08:02,-0.024061634,39.69315,7.42055,,
2023-02-01 06:08:07,-0.075083171,39.69636,7.42032,,
2023-02-01 06:08:12,-0.090853629,39.69957,7.4201,,
2023-02-01 06:08:17,-0.023667273,39.71489,7.41847,,
2023-02-01 06:08:22,0.011011283,39.71809,7.41825,,
2023-02-01 06:08:27,-0.024981218,39.7213,7.41802,,
2023-02-01 06:08:32,-0.05434268,39.72451,7.4178,,
2023-02-01 06:08:37,-0.04143965,39.73978,7.41618,,
2023-02-01 06:08:42,0.029889777,39.74298,7.41595,,
2023-02-01 06:08:47,0.011468465,39.74618,7.41573,,
2023-02-01 06:08:52,-0.047634767,39.74939,7.4155,,
2023-02-01 06:08:57,-0.001968144,39.76462,7.41388,,
2023-02-01 06:09:02,0.053253466,39.76782,7.41366,,
2023-02-01 06:09:07,-0.001913248,39.77102,7.41343,,
2023-02-01 06:09:12,-0.032531237,39.78622,7.41181,,
2023-02-01 06:09:17,0.022734903,39.78941,7.41159,,
2023-02-01 06:09:22,0.079184737,39.7926,7.41136,,
2023-02-01 06:09:27,0.04880759,39.7958,7.41114,,
2023-02-01 06:09:32,-0.029258756,39.81096,7.40952,,
2023-02-01 06:09:37,-0.003915856,39.81414,7.4093,,
2023-02-01 06:09:42,0.055323396,39.81733,7.40907,,
2023-02-01 06:09:47,0.053438466,39.82052,7.40885,,
2023-02-01 06:09:52,0.017689385,39.83564,7.40723,,
2023-02-01 06:09:57,-0.012786255,39.83882,7.40701,,
2023-02-01 06:10:02,0.027630203,39.84201,7.40678,,
2023-02-01 06:10:07,0.053069679,39.84519,7.40656,,
2023-02-01 06:10:12,0.017190161,39.86027,7.40494,,
2023-02-01 06:10:17,-0.01439,39.86345,7.40472,,
2023-02-01 06:10:22,0.013627915,39.86663,7.4045,,
2023-02-01 06:10:27,0.051202295,39.86981,7.40427,,
2023-02-01 06:10:32,0.041476193,39.88485,7.40266,,
2023-02-01 06:10:37,-0.003672964,39.88802,7.40244,,
2023-02-01 06:10:42,0.008243617,39.89119,7.40221,,
2023-02-01 06:10:47,0.036335704,39.89437,7.40199,,
2023-02-01 06:10:52,0.052369234,39.90937,7.40038,,
2023-02-01 06:10:57,0.032978419,39.91254,7.40015,,
2023-02-01 06:11:02,-0.018916757,39.91571,7.39993,,
2023-02-01 06:11:07,0.026146267,39.91888,7.39971,,
2023-02-01 06:11:12,0.074381027,39.93384,7.3981,,
2023-02-01 06:11:17,0.052508336,39.937,7.39788,,
2023-02-01 06:11:22,-0.003428317,39.94016,7.39765,,
2023-02-01 06:11:27,0.007043238,39.94333,7.39743,,
2023-02-01 06:11:32,0.042253552,39.95825,7.39582,,
2023-02-01 06:11:37,0.019059053,39.96141,7.3956,,
2023-02-01 06:11:42,0.016123754,39.96457,7.39538,,
2023-02-01 06:11:47,0.022737751,39.96773,7.39516,,
2023-02-01 06:11:52,-0.001989578,39.9826,7.39355,,
