Time,dTEC,ipplat,ipplon
2023-02-01 09:29:42,0.013270995,43.24684,-9.4764
2023-02-01 09:29:47,-0.020627225,43.2437,-9.47678
2023-02-01 09:29:52,-0.050869967,43.24055,-9.47717
2023-02-01 09:29:57,-0.026823856,43.2374,-9.47756
2023-02-01 09:30:02,-0.034720031,43.23425,-9.47795
2023-02-01 09:30:07,-0.036488341,43.2311,-9.47835
2023-02-01 09:30:12,-0.017662748,43.22795,-9.47874
2023-02-01 09:30:17,-0.036492324,43.21718,-9.46357
2023-02-01 09:30:22,-0.02654425,43.21404,-9.46397
2023-02-01 09:30:27,-0.006474115,43.21089,-9.46436
2023-02-01 09:30:32,-0.011878918,43.20775,-9.46476
2023-02-01 09:30:37,-0.049992763,43.2046,-9.46516
2023-02-01 09:30:42,-0.028494859,43.20145,-9.46556
2023-02-01 09:30:47,0.010926478,43.1983,-9.46596
2023-02-01 09:30:52,-0.023860971,43.18759,-9.4508
2023-02-01 09:30:57,-0.01636133,43.18445,-9.4512
2023-02-01 09:31:02,-0.037006424,43.1813,-9.4516
2023-02-01 09:31:07,0.003288621,43.17816,-9.45201
2023-02-01 09:31:12,-0.056706924,43.17501,-9.45242
2023-02-01 09:31:17,-0.037299687,43.17187,-9.45282
2023-02-01 09:31:22,-0.038235895,43.16872,-9.45323
2023-02-01 09:31:27,-0.040671475,43.15807,-9.43807
2023-02-01 09:31:32,-0.041751852,43.15493,-9.43848
2023-02-01 09:31:37,-0.008546545,43.15178,-9.4389
2023-02-01 09:31:42,0.018017326,43.14864,-9.43931
2023-02-01 09:31:47,-0.023925952,43.1455,-9.43972
2023-02-01 09:31:52,-0.007982089,43.14235,-9.44014
2023-02-01 09:31:57,-0.020192089,43.1392,-9.44055
2023-02-01 09:32:02,-0.011941849,43.12862,-9.4254
2023-02-01 09:32:07,-0.021145862,43.12548,-9.42582
2023-02-01 09:32:12,0.010286389,43.12233,-9.42624
2023-02-01 09:32:17,0.006137927,43.11919,-9.42666
2023-02-01 09:32:22,0.001623483,43.11605,-9.42708
2023-02-01 09:32:27,-0.008587604,43.1129,-9.4275
2023-02-01 09:32:32,-0.026970785,43.10976,-9.42792
2023-02-01 09:32:37,-0.016217301,43.09923,-9.41278
2023-02-01 09:32:42,-0.017634685,43.09609,-9.4132
2023-02-01 09:32:47,-0.021325358,43.09295,-9.41363
2023-02-01 09:32:52,-0.014345932,43.08981,-9.41405
2023-02-01 09:32:57,-0.016684206,43.08667,-9.41448
2023-02-01 09:33:02,-0.017988569,43.08352,-9.41491
2023-02-01 09:33:07,-0.0108653,43.08038,-9.41534
2023-02-01 09:33:12,-0.002328763,43.07723,-9.41577
2023-02-01 09:33:17,0.009450888,43.06678,-9.40063
2023-02-01 09:33:22,-0.023877288,43.06364,-9.40107
2023-02-01 09:33:27,-0.04482682,43.0605,-9.4015
2023-02-01 09:33:32,-0.046926224,43.05736,-9.40194
2023-02-01 09:33:37,0.024074896,43.05422,-9.40237
2023-02-01 09:33:42,0.001235151,43.05108,-9.40281
2023-02-01 09:33:47,-0.017413438,43.04793,-9.40325
2023-02-01 09:33:52,-0.004079934,43.03754,-9.38811
2023-02-01 09:33:57,-0.004259489,43.0344,-9.38855
2023-02-01 09:34:02,0.014978759,43.03126,-9.38899
2023-02-01 09:34:07,-0.038116513,43.02812,-9.38943
2023-02-01 09:34:12,-0.032011019,43.02498,-9.38988
2023-02-01 09:34:17,0.012736445,43.02184,-9.39032
2023-02-01 09:34:22,-0.018658308,43.0187,-9.39077
2023-02-01 09:34:27,-0.043201049,43.01556,-9.39121
2023-02-01 09:34:32,0.005350764,43.00524,-9.37608
2023-02-01 09:34:37,-0.031948918,43.0021,-9.37653
2023-02-01 09:34:42,-0.033273826,42.99896,-9.37698
2023-02-01 09:34:47,-0.032888281,42.99582,-9.37743
2023-02-01 09:34:52,-0.011947492,42.99268,-9.37788
2023-02-01 09:34:57,-0.011378054,42.98954,-9.37833
2023-02-01 09:35:02,-0.026421553,42.9864,-9.37878
2023-02-01 09:35:07,-0.023004858,42.98326,-9.37924
2023-02-01 09:35:12,0.013338569,42.97301,-9.36411
2023-02-01 09:35:17,-0.00990382,42.96987,-9.36457
2023-02-01 09:35:22,-0.001552663,42.96674,-9.36502
2023-02-01 09:35:27,-0.020427687,42.9636,-9.36548
2023-02-01 09:35:32,-0.019321506,42.96046,-9.36594
2023-02-01 09:35:37,0.018707273,42.95732,-9.3664
2023-02-01 09:35:42,0.038074755,42.95418,-9.36686
2023-02-01 09:35:47,0.018603256,42.95104,-9.36732
2023-02-01 09:35:52,0.014543498,42.94086,-9.3522
2023-02-01 09:35:57,0.009334116,42.93772,-9.35266
2023-02-01 09:36:02,0.023152653,42.93459,-9.35312
2023-02-01 09:36:07,0.010123359,42.93145,-9.35359
2023-02-01 09:36:12,0.032301594,42.92831,-9.35405
2023-02-01 09:36:17,0.032580725,42.92517,-9.35452
2023-02-01 09:36:22,0.030567128,42.92203,-9.35499
2023-02-01 09:36:27,0.044344185,42.91889,-9.35546
2023-02-01 09:36:32,0.048784887,42.90879,-9.34034
2023-02-01 09:36:37,0.042746929,42.90565,-9.34081
2023-02-01 09:36:42,0.019187116,42.90252,-9.34128
2023-02-01 09:36:47,0.032546455,42.89938,-9.34175
2023-02-01 09:36:52,0.024195663,42.89624,-9.34223
2023-02-01 09:36:57,-0.01766744,42.89311,-9.3427
2023-02-01 09:37:02,-0.003005328,42.88997,-9.34318
2023-02-01 09:37:07,-0.00929247,42.88683,-9.34365
2023-02-01 09:37:12,-0.01501903,42.8768,-9.32853
2023-02-01 09:37:17,0.002467131,42.87366,-9.32901
2023-02-01 09:37:22,-0.016605442,42.87053,-9.32949
2023-02-01 09:37:27,-0.010371902,42.86739,-9.32997
2023-02-01 09:37:32,-0.015570597,42.86426,-9.33045
2023-02-01 09:37:37,0.006820929,42.86112,-9.33093
2023-02-01 09:37:42,-0.011153969,42.85798,-9.33142
2023-02-01 09:37:47,0.020351772,42.85484,-9.3319
2023-02-01 09:37:52,0.020627814,42.85171,-9.33238
2023-02-01 09:37:57,0.017275323,42.84175,-9.31727
2023-02-01 09:38:02,0.016312964,42.83862,-9.31775
2023-02-01 09:38:07,-0.001647892,42.83549,-9.31824
2023-02-01 09:38:12,0.027704624,42.83235,-9.31873
2023-02-01 09:38:17,0.030395185,42.82922,-9.31922
2023-02-01 09:38:22,0.024317162,42.82608,-9.31971
2023-02-01 09:38:27,0.037452429,42.82294,-9.3202
2023-02-01 09:38:32,0.025257961,42.81981,-9.32069
2023-02-01 09:38:37,0.050931131,42.81667,-9.32118
2023-02-01 09:38:42,0.026718615,42.8068,-9.30607
2023-02-01 09:38:47,0.038660486,42.80366,-9.30656
2023-02-01 09:38:52,0.02241672,42.80053,-9.30706
2023-02-01 09:38:57,0.036045389,42.7974,-9.30755
2023-02-01 09:39:02,-0.004302731,42.79426,-9.30805
2023-02-01 09:39:07,-0.00814827,42.79113,-9.30854
2023-02-01 09:39:12,0.001089346,42.78799,-9.30904
2023-02-01 09:39:17,0.021135686,42.78485,-9.30954
2023-02-01 09:39:22,0.010330721,42.78171,-9.31004
2023-02-01 09:39:27,0.004270518,42.77192,-9.29493
2023-02-01 09:39:32,-0.009798657,42.76879,-9.29543
2023-02-01 09:39:37,0.007526262,42.76566,-9.29594
2023-02-01 09:39:42,0.008275938,42.76253,-9.29644
2023-02-01 09:39:47,-0.03134397,42.75939,-9.29694
2023-02-01 09:39:52,-0.050230101,42.75626,-9.29745
2023-02-01 09:39:57,-0.016403,42.75312,-9.29795
2023-02-01 09:40:02,-0.028085513,42.74999,-9.29846
2023-02-01 09:40:07,-0.038450688,42.74685,-9.29897
2023-02-01 09:40:12,-0.018184178,42.73714,-9.28386
2023-02-01 09:40:17,-0.046092836,42.73401,-9.28437
2023-02-01 09:40:22,-0.029474122,42.73088,-9.28488
2023-02-01 09:40:27,-0.051703494,42.72775,-9.28539
2023-02-01 09:40:32,-0.04330182,42.72461,-9.2859
2023-02-01 09:40:37,-0.039675066,42.72148,-9.28641
2023-02-01 09:40:42,-0.039300604,42.71834,-9.28692
2023-02-01 09:40:47,-0.017052012,42.71521,-9.28744
2023-02-01 09:40:52,-0.02908367,42.71207,-9.28795
2023-02-01 09:40:57,-0.017718662,42.70245,-9.27284
2023-02-01 09:41:02,-0.033972079,42.69932,-9.27336
2023-02-01 09:41:07,-0.018263214,42.69619,-9.27388
2023-02-01 09:41:12,-0.033028367,42.69306,-9.2744
2023-02-01 09:41:17,-0.012405344,42.68992,-9.27491
2023-02-01 09:41:22,-0.058614455,42.68679,-9.27543
2023-02-01 09:41:27,-0.022608515,42.68366,-9.27595
2023-02-01 09:41:32,-0.014602947,42.68052,-9.27648
2023-02-01 09:41:37,-0.008138778,42.67739,-9.277
2023-02-01 09:41:42,-0.022061144,42.67425,-9.27752
2023-02-01 09:41:47,-0.014682985,42.66472,-9.26241
2023-02-01 09:41:52,-0.020648648,42.66159,-9.26294
2023-02-01 09:41:57,0.01295971,42.65846,-9.26346
2023-02-01 09:42:02,-0.000469071,42.65533,-9.26399
2023-02-01 09:42:07,0.00625974,42.6522,-9.26451
2023-02-01 09:42:12,0.008970765,42.64906,-9.26504
2023-02-01 09:42:17,-0.00223468,42.64593,-9.26557
2023-02-01 09:42:22,0.019660813,42.64279,-9.2661
2023-02-01 09:42:27,0.010887943,42.63966,-9.26663
2023-02-01 09:42:32,0.042829502,42.63652,-9.26716
2023-02-01 09:42:37,0.037439772,42.62708,-9.25205
2023-02-01 09:42:42,0.014515329,42.62395,-9.25258
2023-02-01 09:42:47,0.032304338,42.62082,-9.25312
2023-02-01 09:42:52,0.044169557,42.61769,-9.25365
2023-02-01 09:42:57,0.048968433,42.61456,-9.25418
2023-02-01 09:43:02,0.044035808,42.61143,-9.25472
2023-02-01 09:43:07,0.083622211,42.60829,-9.25526
2023-02-01 09:43:12,0.043425965,42.60516,-9.25579
2023-02-01 09:43:17,0.044131181,42.60202,-9.25633
2023-02-01 09:43:22,0.049760565,42.59889,-9.25687
2023-02-01 09:43:27,0.053841712,42.58954,-9.24176
2023-02-01 09:43:32,0.040003706,42.58641,-9.2423
2023-02-01 09:43:37,0.039464226,42.58328,-9.24284
2023-02-01 09:43:42,0.02652504,42.58015,-9.24338
2023-02-01 09:43:47,0.032023007,42.57702,-9.24392
2023-02-01 09:43:52,0.044155779,42.57389,-9.24446
2023-02-01 09:43:57,0.030181998,42.57076,-9.24501
2023-02-01 09:44:02,0.060722598,42.56762,-9.24555
2023-02-01 09:44:07,0.017376705,42.56449,-9.2461
2023-02-01 09:44:12,-0.012102663,42.56136,-9.24664
2023-02-01 09:44:17,-0.011726497,42.5521,-9.23153
2023-02-01 09:44:22,0.020789106,42.54897,-9.23208
2023-02-01 09:44:27,0.00416234,42.54584,-9.23263
2023-02-01 09:44:32,-0.024107507,42.54272,-9.23317
