Time,dTEC,ipplat,ipplon
2023-02-01 01:23:57,0.02676131,44.35704,-8.02584
2023-02-01 01:24:02,0.037892547,44.35494,-8.02289
2023-02-01 01:24:07,0.028966354,44.35283,-8.01995
2023-02-01 01:24:12,0.05992891,44.34024,-8.00611
2023-02-01 01:24:17,0.076302962,44.33812,-8.00318
2023-02-01 01:24:22,0.057001119,44.33601,-8.00026
2023-02-01 01:24:27,0.043419654,44.3339,-7.99733
2023-02-01 01:24:32,0.054890201,44.32132,-7.98355
2023-02-01 01:24:37,0.057047459,44.3192,-7.98064
2023-02-01 01:24:42,0.023531587,44.31708,-7.97773
2023-02-01 01:24:47,-0.001722794,44.30451,-7.96399
2023-02-01 01:24:52,-0.007975602,44.30239,-7.9611
2023-02-01 01:24:57,-0.004794297,44.30027,-7.9582
2023-02-01 01:25:02,-0.007994575,44.2877,-7.94451
2023-02-01 01:25:07,0.018352325,44.28558,-7.94163
2023-02-01 01:25:12,0.019182926,44.28346,-7.93876
2023-02-01 01:25:17,0.018514807,44.28133,-7.93588
2023-02-01 01:25:22,0.016543609,44.26878,-7.92224
2023-02-01 01:25:27,0.019322632,44.26665,-7.91938
2023-02-01 01:25:32,0.026266534,44.26452,-7.91652
2023-02-01 01:25:37,0.027026532,44.25198,-7.90293
2023-02-01 01:25:42,0.034099503,44.24985,-7.90008
2023-02-01 01:25:47,0.030888482,44.24771,-7.89724
2023-02-01 01:25:52,0.047073263,44.24558,-7.89441
2023-02-01 01:25:57,0.030519,44.23305,-7.88086
2023-02-01 01:26:02,0.032189106,44.23091,-7.87804
2023-02-01 01:26:07,0.028651954,44.22877,-7.87522
2023-02-01 01:26:12,0.040019676,44.21626,-7.86172
2023-02-01 01:26:17,0.017671863,44.21412,-7.85891
2023-02-01 01:26:22,0.017453269,44.21197,-7.8561
2023-02-01 01:26:27,-0.025267993,44.20983,-7.8533
2023-02-01 01:26:32,-0.001536049,44.19733,-7.83985
