Time,dTEC,ipplat,ipplon,anomaly,forecast
2023-02-01 14:33:27,0.080321026,41.2835,23.0216,,
2023-02-01 14:33:32,0.053981384,41.28461,23.0202,,
2023-02-01 14:33:37,0.044388233,41.28571,23.01881,,
2023-02-01 14:33:42,0.073869212,41.28682,23.01741,,
2023-02-01 14:33:47,0.067213929,41.28793,23.01602,,
2023-02-01 14:33:52,0.064142265,41.28904,23.01462,,
2023-02-01 14:33:57,0.072409469,41.29015,23.01323,,
2023-02-01 14:34:02,0.091780061,41.29126,23.01184,,
2023-02-01 14:34:07,0.050804231,41.29236,23.01044,,
2023-02-01 14:34:12,0.066056137,41.29347,23.00905,,
2023-02-01 14:34:17,0.053864405,41.29458,23.00765,,
2023-02-01 14:34:22,0.039611831,41.29569,23.00626,,
2023-02-01 14:34:27,0.051030979,41.2968,23.00486,,
2023-02-01 14:34:32,0.042995281,41.29791,23.00347,,
2023-02-01 14:34:37,0.038302137,41.29902,23.00207,,
2023-02-01 14:34:42,0.034130115,41.29781,22.96987,,
2023-02-01 14:34:47,0.031653651,41.29891,22.96848,,
2023-02-01 14:34:52,0.002198049,41.30002,22.9671,,
2023-02-01 14:34:57,0.015331083,41.30112,22.96571,,
2023-02-01 14:35:02,0.031097093,41.30222,22.96432,,
2023-02-01 14:35:07,0.035393089,41.30333,22.96293,,
2023-02-01 14:35:12,0.04702045,41.30443,22.96154,,
2023-02-01 14:35:17,0.029078523,41.30554,22.96016,,
2023-02-01 14:35:22,0.016585727,41.30664,22.95877,,
2023-02-01 14:35:27,0.034453847,41.30775,22.95738,,
2023-02-01 14:35:32,0.055653443,41.30885,22.95599,,
2023-02-01 14:35:37,0.024011343,41.30996,22.9546,,
2023-02-01 14:35:42,-0.011117554,41.31106,22.95322,,
2023-02-01 14:35:47,0.001502125,41.31217,22.95183,,
2023-02-01 14:35:52,0.031550024,41.31328,22.95044,,
2023-02-01 14:35:57,0.02097276,41.31438,22.94905,,
2023-02-01 14:36:02,0.011400925,41.31307,22.91695,,
2023-02-01 14:36:07,0.016135185,41.31417,22.91557,,
2023-02-01 14:36:12,0.004714679,41.31527,22.91419,,
2023-02-01 14:36:17,0.026933125,41.31637,22.91281,,
2023-02-01 14:36:22,-0.001116783,41.31747,22.91143,,
2023-02-01 14:36:27,0.008699924,41.31857,22.91004,,
2023-02-01 14:36:32,-0.007311404,41.31967,22.90866,,
2023-02-01 14:36:37,-0.021183639,41.32078,22.90728,,
2023-02-01 14:36:42,-0.026337572,41.32188,22.9059,,
2023-02-01 14:36:47,-0.006792616,41.32298,22.90452,,
2023-02-01 14:36:52,-0.0434003,41.32408,22.90314,,
2023-02-01 14:36:57,0.01096593,41.32518,22.90176,,
2023-02-01 14:37:02,-0.017860689,41.32629,22.90038,,
2023-02-01 14:37:07,0.003875962,41.32739,22.89899,,
2023-02-01 14:37:12,0.00164399,41.32849,22.89761,,
2023-02-01 14:37:17,-0.011858211,41.32959,22.89623,,
2023-02-01 14:37:22,-0.035456862,41.32817,22.86423,,
2023-02-01 14:37:27,0.021567805,41.32927,22.86286,,
2023-02-01 14:37:32,-0.024579153,41.33037,22.86148,,
2023-02-01 14:37:37,-0.014313989,41.33147,22.86011,,
2023-02-01 14:37:42,-0.014152264,41.33256,22.85873,,
2023-02-01 14:37:47,-0.008583049,41.33366,22.85736,,
2023-02-01 14:37:52,-0.050725219,41.33476,22.85598,,
2023-02-01 14:37:57,-0.068426159,41.33586,22.85461,,
2023-02-01 14:38:02,-0.059571656,41.33696,22.85323,,
2023-02-01 14:38:07,-0.039442403,41.33805,22.85186,,
