Time,dTEC,ipplat,ipplon
2023-02-01 02:39:07,0.003457329,40.10125,22.98017
2023-02-01 02:39:12,-0.001171895,40.10449,22.97942
2023-02-01 02:39:17,0.007971867,40.10986,22.95992
2023-02-01 02:39:22,0.001141215,40.11308,22.95917
2023-02-01 02:39:27,0.001839533,40.11631,22.95841
2023-02-01 02:39:32,-0.015785704,40.11953,22.95766
2023-02-01 02:39:37,-0.012249237,40.12275,22.9569
2023-02-01 02:39:42,-0.01316842,40.12598,22.95614
2023-02-01 02:39:47,-0.005146321,40.1292,22.95538
2023-02-01 02:39:52,-0.024611819,40.13242,22.95463
2023-02-01 02:39:57,0.00340989,40.13565,22.95387
2023-02-01 02:40:02,-0.001695703,40.13887,22.95311
2023-02-01 02:40:07,-0.010079519,40.14414,22.93362
2023-02-01 02:40:12,-0.003408595,40.14735,22.93286
2023-02-01 02:40:17,-0.00213028,40.15056,22.9321
2023-02-01 02:40:22,-0.012589639,40.15378,22.93134
2023-02-01 02:40:27,-0.000707248,40.157,22.93057
2023-02-01 02:40:32,-0.007377801,40.16021,22.92981
2023-02-01 02:40:37,-0.0048672,40.16342,22.92905
2023-02-01 02:40:42,0.002594133,40.16664,22.92828
2023-02-01 02:40:47,-0.044690733,40.16986,22.92752
2023-02-01 02:40:52,-0.004528745,40.17307,22.92676
2023-02-01 02:40:57,-0.012531463,40.17629,22.92599
2023-02-01 02:41:02,-0.01064626,40.18143,22.90651
2023-02-01 02:41:07,-0.020730724,40.18464,22.90574
2023-02-01 02:41:12,-0.032443156,40.18784,22.90498
2023-02-01 02:41:17,-0.024630468,40.19105,22.90421
2023-02-01 02:41:22,-0.008339087,40.19425,22.90344
2023-02-01 02:41:27,-0.003781155,40.19746,22.90268
2023-02-01 02:41:32,0.001500276,40.20066,22.90191
2023-02-01 02:41:37,0.01032554,40.20387,22.90114
2023-02-01 02:41:42,0.010943659,40.20708,22.90037
2023-02-01 02:41:47,0.016986341,40.21028,22.8996
2023-02-01 02:41:52,0.039970382,40.21532,22.88012
2023-02-01 02:41:57,0.023253667,40.21851,22.87935
2023-02-01 02:42:02,0.023713768,40.22171,22.87858
2023-02-01 02:42:07,0.027718944,40.22491,22.87781
2023-02-01 02:42:12,0.014821743,40.2281,22.87704
2023-02-01 02:42:17,0.017221503,40.2313,22.87627
2023-02-01 02:42:22,0.018936247,40.2345,22.87549
2023-02-01 02:42:27,0.007979491,40.2377,22.87472
