Time,dTEC,ipplat,ipplon,anomaly,forecast
2023-02-01 00:00:02,-0.006401121,40.93391,17.15906,,
2023-02-01 00:00:07,-0.00589856,40.93246,17.16032,,
2023-02-01 00:00:12,-0.002303109,40.93101,17.16158,,
2023-02-01 00:00:17,-0.004774745,40.92956,17.16283,,
2023-02-01 00:00:22,-0.007258438,40.92811,17.16408,,
2023-02-01 00:00:27,-0.005873155,40.92666,17.16534,,
2023-02-01 00:00:32,-0.001705856,40.9252,17.16659,,
2023-02-01 00:00:37,-0.000188495,40.92375,17.16784,,
2023-02-01 00:00:42,-0.004117023,40.9223,17.16909,,
2023-02-01 00:00:47,-0.003711384,40.92084,17.17034,,
2023-02-01 00:00:52,-0.003626518,40.91939,17.17159,,
2023-02-01 00:00:57,-0.009298359,40.91793,17.17283,,
2023-02-01 00:01:02,-0.006598837,40.91647,17.17408,,
2023-02-01 00:01:07,-0.006704878,40.91501,17.17532,,
2023-02-01 00:01:12,-0.0023204,40.91356,17.17657,,
2023-02-01 00:01:17,-0.008038321,40.9121,17.17781,,
2023-02-01 00:01:22,-0.010041551,40.91064,17.17905,,
2023-02-01 00:01:27,-0.004448998,40.90917,17.18029,,
2023-02-01 00:01:32,-0.004611566,40.90771,17.18153,,
2023-02-01 00:01:37,0.003908848,40.90625,17.18277,,
2023-02-01 00:01:42,-0.005590653,40.90478,17.184,,
2023-02-01 00:01:47,-0.00826996,40.90332,17.18524,,
2023-02-01 00:01:52,-0.002575962,40.90185,17.18648,,
2023-02-01 00:01:57,-0.002637542,40.90039,17.18771,,
2023-02-01 00:02:02,0.005362416,40.89892,17.18894,,
2023-02-01 00:02:07,-0.006051965,40.89745,17.19017,,
2023-02-01 00:02:12,-0.002263561,40.89599,17.1914,,
2023-02-01 00:02:17,-0.003918246,40.89452,17.19263,,
2023-02-01 00:02:22,-0.00961889,40.89305,17.19386,,
2023-02-01 00:02:27,-0.005705362,40.89158,17.19509,,
2023-02-01 00:02:32,-0.006302528,40.8901,17.19631,,
2023-02-01 00:02:37,-0.002253252,40.88863,17.19754,,
2023-02-01 00:02:42,-0.004732397,40.88716,17.19876,,
2023-02-01 00:02:47,0.002248176,40.88568,17.19998,,
2023-02-01 00:02:52,0.001613606,40.88421,17.20121,,
2023-02-01 00:02:57,0.000348037,40.88273,17.20243,,
2023-02-01 00:03:02,-0.007135391,40.88126,17.20365,,
2023-02-01 00:03:07,-0.001587534,40.87978,17.20486,,
2023-02-01 00:03:12,-0.001015248,40.8783,17.20608,,
2023-02-01 00:03:17,-0.00200439,40.87682,17.2073,,
2023-02-01 00:03:22,-0.001759815,40.87535,17.20851,,
2023-02-01 00:03:27,-0.001679378,40.87387,17.20972,,
2023-02-01 00:03:32,-0.002847936,40.87238,17.21094,,
2023-02-01 00:03:37,-0.000919344,40.8709,17.21215,,
2023-02-01 00:03:42,0.003950539,40.86942,17.21336,,
2023-02-01 00:03:47,0.003534858,40.86794,17.21457,,
2023-02-01 00:03:52,0.000472753,40.86645,17.21578,,
2023-02-01 00:03:57,0.004388365,40.86497,17.21698,,
2023-02-01 00:04:02,0.003174834,40.86348,17.21819,,
2023-02-01 00:04:07,0.003041297,40.862,17.2194,,
2023-02-01 00:04:12,0.013455891,40.86051,17.2206,,
2023-02-01 00:04:17,0.009427751,40.85902,17.2218,,
2023-02-01 00:04:22,0.010826009,40.85753,17.223,,
2023-02-01 00:04:27,0.017650795,40.85604,17.22421,,
2023-02-01 00:04:32,0.01546524,40.85455,17.2254,,
2023-02-01 00:04:37,0.016689469,40.85306,17.2266,,
2023-02-01 00:04:42,0.021788606,40.85157,17.2278,,
2023-02-01 00:04:47,0.020360774,40.85008,17.229,,
2023-02-01 00:04:52,0.01628909,40.84859,17.23019,,
2023-02-01 00:04:57,0.012831672,40.84709,17.23138,,
2023-02-01 00:05:02,0.012007633,40.8456,17.23258,,
2023-02-01 00:05:07,0.008695083,40.8441,17.23377,,
2023-02-01 00:05:12,0.013139131,40.84261,17.23496,,
2023-02-01 00:05:17,0.001431881,40.84111,17.23615,,
2023-02-01 00:05:22,0.007262434,40.83961,17.23734,,
2023-02-01 00:05:27,0.00796489,40.83811,17.23853,,
2023-02-01 00:05:32,0.003384343,40.83661,17.23971,,
2023-02-01 00:05:37,0.007646886,40.83511,17.2409,,
2023-02-01 00:05:42,0.003522608,40.83361,17.24208,,
2023-02-01 00:05:47,-0.002470406,40.83211,17.24326,,
2023-02-01 00:05:52,-0.002568073,40.83061,17.24445,,
2023-02-01 00:05:57,0.000433686,40.82911,17.24563,,
2023-02-01 00:06:02,0.006539946,40.8276,17.24681,,
2023-02-01 00:06:07,0.002388781,40.8261,17.24798,,
2023-02-01 00:06:12,0.003359259,40.82459,17.24916,,
2023-02-01 00:06:17,-0.001883552,40.82309,17.25034,,
2023-02-01 00:06:22,0.001407408,40.82158,17.25151,,
2023-02-01 00:06:27,0.004073201,40.82007,17.25269,,
2023-02-01 00:06:32,0.004095883,40.81856,17.25386,,
2023-02-01 00:06:37,-0.000387493,40.81706,17.25503,,
2023-02-01 00:06:42,0.000714123,40.81555,17.2562,,
2023-02-01 00:06:47,0.00693378,40.81404,17.25737,,
2023-02-01 00:06:52,0.006475521,40.81253,17.25854,,
2023-02-01 00:06:57,0.012377388,40.81101,17.25971,,
2023-02-01 00:07:02,0.00275142,40.8095,17.26088,,
2023-02-01 00:07:07,0.003522652,40.80799,17.26204,,
2023-02-01 00:07:12,0.00568712,40.80647,17.26321,,
2023-02-01 00:07:17,0.003501853,40.80496,17.26437,,
2023-02-01 00:07:22,0.00674588,40.80344,17.26553,,
2023-02-01 00:07:27,0.003776227,40.80193,17.26669,,
2023-02-01 00:07:32,0.000181918,40.80041,17.26785,,
2023-02-01 00:07:37,-0.001242025,40.79889,17.26901,,
2023-02-01 00:07:42,0.000435418,40.79738,17.27017,,
2023-02-01 00:07:47,0.001487264,40.79586,17.27132,,
2023-02-01 00:07:52,0.00222553,40.79434,17.27248,,
2023-02-01 00:07:57,0.00653123,40.79281,17.27363,,
2023-02-01 00:08:02,0.009125377,40.79129,17.27479,,
2023-02-01 00:08:07,-0.001014019,40.78977,17.27594,,
2023-02-01 00:08:12,0.004834054,40.78825,17.27709,,
2023-02-01 00:08:17,0.004777604,40.78673,17.27824,,
2023-02-01 00:08:22,0.005495638,40.7852,17.27939,,
2023-02-01 00:08:27,-0.002173836,40.78368,17.28054,,
2023-02-01 00:08:32,-0.000532813,40.78215,17.28168,,
2023-02-01 00:08:37,-0.000447287,40.78062,17.28283,,
2023-02-01 00:08:42,-5.4254e-05,40.7791,17.28397,,
2023-02-01 00:08:47,-0.000596709,40.77757,17.28511,,
2023-02-01 00:08:52,-0.005022648,40.77604,17.28626,,
2023-02-01 00:08:57,-0.003088067,40.77451,17.2874,,
2023-02-01 00:09:02,-0.001622964,40.77298,17.28854,,
2023-02-01 00:09:07,-0.004197333,40.77145,17.28968,,
2023-02-01 00:09:12,-0.006775171,40.76992,17.29081,,
2023-02-01 00:09:17,-0.003457474,40.76839,17.29195,,
2023-02-01 00:09:22,-0.009146237,40.76686,17.29309,,
2023-02-01 00:09:27,-0.009561455,40.76532,17.29422,,
2023-02-01 00:09:32,0.002594878,40.76379,17.29535,,
2023-02-01 00:09:37,-0.001552232,40.76225,17.29648,,
2023-02-01 00:09:42,-0.006013776,40.76072,17.29762,,
2023-02-01 00:09:47,-0.007684748,40.75918,17.29874,,
2023-02-01 00:09:52,-0.010290136,40.75764,17.29987,,
2023-02-01 00:09:57,-0.009948932,40.75611,17.301,,
2023-02-01 00:10:02,-0.005575124,40.75457,17.30213,,
2023-02-01 00:10:07,-0.005085698,40.75303,17.30325,,
2023-02-01 00:10:12,-0.00723864,40.75149,17.30438,,
2023-02-01 00:10:17,-0.004892935,40.74995,17.3055,,
2023-02-01 00:10:22,-0.005190567,40.74841,17.30662,,
2023-02-01 00:10:27,-0.010768515,40.74686,17.30774,,
2023-02-01 00:10:32,-0.003310761,40.74532,17.30886,,
2023-02-01 00:10:37,-0.014949282,40.74378,17.30998,,
2023-02-01 00:10:42,-0.007032056,40.74223,17.3111,,
2023-02-01 00:10:47,-0.011537057,40.74069,17.31222,,
2023-02-01 00:10:52,-0.008438258,40.73914,17.31333,,
2023-02-01 00:10:57,-0.013725632,40.7376,17.31444,,
2023-02-01 00:11:02,-0.008459149,40.73605,17.31556,,
2023-02-01 00:11:07,-0.010337777,40.7345,17.31667,,
2023-02-01 00:11:12,-0.009890482,40.73296,17.31778,,
2023-02-01 00:11:17,-0.002771229,40.73141,17.31889,,
2023-02-01 00:11:22,-0.006986982,40.72986,17.32,,
2023-02-01 00:11:27,-0.004996702,40.72831,17.32111,,
2023-02-01 00:11:32,-0.00285335,40.72676,17.32221,,
2023-02-01 00:11:37,-0.003663884,40.7252,17.32332,,
2023-02-01 00:11:42,-0.00525226,40.72365,17.32442,,
2023-02-01 00:11:47,-0.001565435,40.7221,17.32553,,
2023-02-01 00:11:52,-0.009990362,40.72054,17.32663,,
2023-02-01 00:11:57,-0.000564994,40.71899,17.32773,,
2023-02-01 00:12:02,-0.002164283,40.71744,17.32883,,
2023-02-01 00:12:07,-0.000351178,40.71588,17.32993,,
2023-02-01 00:12:12,-9.2629e-05,40.71432,17.33102,,
2023-02-01 00:12:17,-0.005425583,40.71277,17.33212,,
2023-02-01 00:12:22,-0.000825989,40.71121,17.33322,,
2023-02-01 00:12:27,-0.001195791,40.70965,17.33431,,
2023-02-01 00:12:32,-0.004517935,40.70809,17.3354,,
2023-02-01 00:12:37,-0.004737366,40.70653,17.3365,,
2023-02-01 00:12:42,0.000939972,40.70497,17.33759,,
2023-02-01 00:12:47,0.001182136,40.70341,17.33868,,
2023-02-01 00:12:52,0.002818182,40.70185,17.33976,,
2023-02-01 00:12:57,-0.002532832,40.70028,17.34085,,
2023-02-01 00:13:02,-0.002796849,40.69872,17.34194,,
2023-02-01 00:13:07,0.001663187,40.69716,17.34302,,
2023-02-01 00:13:12,-0.001831665,40.69559,17.34411,,
2023-02-01 00:13:17,-0.01200235,40.69403,17.34519,,
2023-02-01 00:13:22,-0.00758281,40.69246,17.34627,,
2023-02-01 00:13:27,-0.00394099,40.69089,17.34735,,
2023-02-01 00:13:32,-0.004492834,40.68933,17.34843,,
2023-02-01 00:13:37,-0.004579287,40.68776,17.34951,,
2023-02-01 00:13:42,-0.004823295,40.68619,17.35059,,
2023-02-01 00:13:47,-0.003206807,40.68462,17.35167,,
2023-02-01 00:13:52,-0.00159077,40.68305,17.35274,,
2023-02-01 00:13:57,-0.001218134,40.68148,17.35382,,
2023-02-01 00:14:02,4.715e-05,40.67991,17.35489,,
2023-02-01 00:14:07,0.000610129,40.67834,17.35596,,
2023-02-01 00:14:12,-0.00197115,40.67677,17.35703,,
2023-02-01 00:14:17,0.002587354,40.67519,17.3581,,
