Time,dTEC,ipplat,ipplon
2023-02-01 06:50:07,0.038095062,42.50272,10.76624
2023-02-01 06:50:12,0.054822698,42.50402,10.76996
2023-02-01 06:50:17,0.059442972,42.50533,10.77368
2023-02-01 06:50:22,0.066424705,42.50663,10.77741
2023-02-01 06:50:27,0.070059006,42.50312,10.79834
2023-02-01 06:50:32,0.052835189,42.50442,10.80206
2023-02-01 06:50:37,0.05320654,42.50571,10.80578
2023-02-01 06:50:42,0.048141987,42.507,10.80951
2023-02-01 06:50:47,0.050397019,42.50828,10.81323
2023-02-01 06:50:52,0.042651146,42.50473,10.83411
2023-02-01 06:50:57,0.045083695,42.50601,10.83782
2023-02-01 06:51:02,0.02781064,42.50728,10.84154
2023-02-01 06:51:07,0.042990734,42.50856,10.84526
2023-02-01 06:51:12,0.037326512,42.50983,10.84898
2023-02-01 06:51:17,0.032519976,42.50623,10.8698
2023-02-01 06:51:22,0.02171988,42.50749,10.87352
2023-02-01 06:51:27,0.023392192,42.50875,10.87723
2023-02-01 06:51:32,0.038870921,42.51001,10.88095
2023-02-01 06:51:37,0.024756826,42.51126,10.88466
2023-02-01 06:51:42,0.021406528,42.50762,10.90543
2023-02-01 06:51:47,0.000268265,42.50887,10.90914
2023-02-01 06:51:52,0.017878736,42.51011,10.91285
2023-02-01 06:51:57,0.024366386,42.51134,10.91656
2023-02-01 06:52:02,0.038845849,42.50768,10.93729
2023-02-01 06:52:07,0.037481365,42.50891,10.94099
2023-02-01 06:52:12,0.042017309,42.51013,10.9447
2023-02-01 06:52:17,0.051235125,42.51136,10.9484
2023-02-01 06:52:22,0.036582928,42.51258,10.95211
2023-02-01 06:52:27,0.055739222,42.50887,10.97278
2023-02-01 06:52:32,0.068159672,42.51008,10.97648
2023-02-01 06:52:37,0.062043429,42.51129,10.98018
2023-02-01 06:52:42,0.061566547,42.51249,10.98388
2023-02-01 06:52:47,0.068443353,42.5137,10.98759
2023-02-01 06:52:52,0.048601299,42.50995,11.0082
2023-02-01 06:52:57,0.047536108,42.51114,11.0119
2023-02-01 06:53:02,0.055730965,42.51234,11.0156
2023-02-01 06:53:07,0.042539702,42.51352,11.0193
2023-02-01 06:53:12,0.032899628,42.51471,11.023
2023-02-01 06:53:17,0.008918159,42.51092,11.04355
2023-02-01 06:53:22,0.01932686,42.5121,11.04724
2023-02-01 06:53:27,0.002451681,42.51328,11.05094
2023-02-01 06:53:32,-0.001541948,42.51445,11.05463
2023-02-01 06:53:37,-0.005026444,42.51562,11.05833
2023-02-01 06:53:42,-0.006478269,42.51179,11.07883
2023-02-01 06:53:47,-0.006658288,42.51295,11.08252
2023-02-01 06:53:52,-0.014893318,42.51411,11.08621
2023-02-01 06:53:57,-0.017857957,42.51526,11.0899
2023-02-01 06:54:02,-0.020310758,42.51642,11.09359
2023-02-01 06:54:07,-0.023583644,42.51255,11.11403
2023-02-01 06:54:12,-0.026724423,42.51369,11.11772
2023-02-01 06:54:17,-0.03315916,42.51483,11.1214
2023-02-01 06:54:22,-0.050501667,42.51597,11.12509
2023-02-01 06:54:27,-0.052863514,42.51711,11.12878
2023-02-01 06:54:32,-0.040054116,42.51824,11.13247
2023-02-01 06:54:37,-0.042529796,42.51433,11.15284
2023-02-01 06:54:42,-0.052295661,42.51545,11.15653
2023-02-01 06:54:47,-0.052029227,42.51658,11.16021
2023-02-01 06:54:52,-0.054484153,42.5177,11.1639
2023-02-01 06:54:57,-0.045383786,42.51881,11.16758
2023-02-01 06:55:02,-0.047189878,42.51486,11.1879
2023-02-01 06:55:07,-0.050575147,42.51597,11.19158
2023-02-01 06:55:12,-0.057252686,42.51707,11.19526
2023-02-01 06:55:17,-0.039811672,42.51818,11.19894
2023-02-01 06:55:22,-0.043366051,42.51928,11.20262
2023-02-01 06:55:27,-0.03574619,42.51529,11.22288
2023-02-01 06:55:32,-0.044553603,42.51638,11.22655
2023-02-01 06:55:37,-0.046945948,42.51747,11.23022
2023-02-01 06:55:42,-0.03359617,42.51855,11.2339
2023-02-01 06:55:47,-0.020684577,42.51964,11.23758
2023-02-01 06:55:52,-0.014493351,42.51561,11.25778
2023-02-01 06:55:57,-0.02358852,42.51668,11.26145
2023-02-01 06:56:02,-0.019417506,42.51775,11.26512
2023-02-01 06:56:07,-0.006929915,42.51882,11.26879
2023-02-01 06:56:12,0.00092977,42.51989,11.27246
2023-02-01 06:56:17,-0.028008844,42.51582,11.2926
2023-02-01 06:56:22,-0.006183358,42.51688,11.29627
2023-02-01 06:56:27,-0.023441436,42.51794,11.29994
2023-02-01 06:56:32,-0.012207966,42.51899,11.3036
2023-02-01 06:56:37,-0.006176313,42.52004,11.30727
2023-02-01 06:56:42,-0.016006931,42.52109,11.31094
2023-02-01 06:56:47,-0.018667594,42.51698,11.33101
2023-02-01 06:56:52,-0.014349486,42.51802,11.33468
2023-02-01 06:56:57,-0.022850138,42.51905,11.33834
2023-02-01 06:57:02,-0.012393454,42.52009,11.342
2023-02-01 06:57:07,-0.017587953,42.52112,11.34567
2023-02-01 06:57:12,-0.023814006,42.51697,11.36568
2023-02-01 06:57:17,-0.021732922,42.51799,11.36934
2023-02-01 06:57:22,-0.027906451,42.51901,11.37299
2023-02-01 06:57:27,-0.027297518,42.52003,11.37665
2023-02-01 06:57:32,-0.031518734,42.52104,11.38032
2023-02-01 06:57:37,-0.021345472,42.51686,11.40027
2023-02-01 06:57:42,-0.01219737,42.51786,11.40392
2023-02-01 06:57:47,-0.01873279,42.51887,11.40757
2023-02-01 06:57:52,-0.012209528,42.51987,11.41123
2023-02-01 06:57:57,-0.005572664,42.52087,11.41488
2023-02-01 06:58:02,-0.004343803,42.52186,11.41854
2023-02-01 06:58:07,0.001564738,42.51764,11.43842
2023-02-01 06:58:12,0.010057577,42.51862,11.44207
2023-02-01 06:58:17,0.015042248,42.51961,11.44572
2023-02-01 06:58:22,0.010806712,42.52059,11.44937
2023-02-01 06:58:27,0.016765757,42.52157,11.45302
2023-02-01 06:58:32,0.006839387,42.5173,11.47284
2023-02-01 06:58:37,0.016812833,42.51828,11.47649
2023-02-01 06:58:42,0.019654262,42.51924,11.48013
2023-02-01 06:58:47,0.02735456,42.52021,11.48378
2023-02-01 06:58:52,0.030775119,42.52118,11.48742
2023-02-01 06:58:57,0.05123409,42.52214,11.49107
2023-02-01 06:59:02,0.053514282,42.51783,11.51082
2023-02-01 06:59:07,0.065025111,42.51878,11.51446
2023-02-01 06:59:12,0.070155862,42.51973,11.5181
2023-02-01 06:59:17,0.067762689,42.52068,11.52174
2023-02-01 06:59:22,0.073262637,42.52162,11.52539
2023-02-01 06:59:27,0.071044758,42.51728,11.54508
2023-02-01 06:59:32,0.073099747,42.51821,11.54871
2023-02-01 06:59:37,0.055631477,42.51915,11.55235
2023-02-01 06:59:42,0.060706205,42.52008,11.55598
2023-02-01 06:59:47,0.045111908,42.52101,11.55962
2023-02-01 06:59:52,0.041206704,42.52194,11.56326
2023-02-01 06:59:57,0.050511608,42.51755,11.58288
2023-02-01 07:00:02,0.032859894,42.51847,11.58651
2023-02-01 07:00:07,0.044213753,42.51938,11.59014
2023-02-01 07:00:12,0.029368369,42.5203,11.59377
2023-02-01 07:00:17,0.024108444,42.52121,11.5974
2023-02-01 07:00:22,0.014726264,42.51678,11.61696
2023-02-01 07:00:27,0.002171632,42.51769,11.62059
2023-02-01 07:00:32,-0.000423129,42.51858,11.62421
2023-02-01 07:00:37,-0.009621011,42.51948,11.62784
2023-02-01 07:00:42,-0.014383553,42.52038,11.63147
2023-02-01 07:00:47,-0.019852457,42.52127,11.6351
2023-02-01 07:00:52,-0.027172061,42.51681,11.65458
2023-02-01 07:00:57,-0.025113723,42.51769,11.6582
2023-02-01 07:01:02,0.005888233,42.51857,11.66182
2023-02-01 07:01:07,-0.033226925,42.51945,11.66544
2023-02-01 07:01:12,-0.035788843,42.52032,11.66907
2023-02-01 07:01:17,-0.038689771,42.5212,11.67269
2023-02-01 07:01:22,-0.026893993,42.51669,11.69211
2023-02-01 07:01:27,-0.021913896,42.51756,11.69572
2023-02-01 07:01:32,-0.021467428,42.51842,11.69934
2023-02-01 07:01:37,-0.004427607,42.51928,11.70295
2023-02-01 07:01:42,-0.014768621,42.52014,11.70657
2023-02-01 07:01:47,-0.014231548,42.521,11.71019
2023-02-01 07:01:52,-0.004531891,42.51645,11.72954
2023-02-01 07:01:57,0.00614268,42.5173,11.73314
2023-02-01 07:02:02,0.001419437,42.51814,11.73675
2023-02-01 07:02:07,0.002996403,42.51898,11.74037
2023-02-01 07:02:12,0.002495591,42.51982,11.74398
2023-02-01 07:02:17,0.012478127,42.51524,11.76326
2023-02-01 07:02:22,0.034654684,42.51608,11.76686
2023-02-01 07:02:27,0.037995304,42.5169,11.77047
2023-02-01 07:02:32,0.042675141,42.51773,11.77408
2023-02-01 07:02:37,0.033653881,42.51856,11.77768
2023-02-01 07:02:42,0.029964492,42.51938,11.78129
2023-02-01 07:02:47,0.030462579,42.51476,11.8005
2023-02-01 07:02:52,0.034384389,42.51557,11.8041
2023-02-01 07:02:57,0.036397657,42.51638,11.8077
2023-02-01 07:03:02,0.014228627,42.51719,11.8113
2023-02-01 07:03:07,0.017176669,42.518,11.8149
2023-02-01 07:03:12,0.012688973,42.5188,11.8185
2023-02-01 07:03:17,0.007806323,42.51414,11.83764
2023-02-01 07:03:22,-0.005658849,42.51494,11.84123
2023-02-01 07:03:27,-0.012099695,42.51573,11.84482
2023-02-01 07:03:32,-0.019894135,42.51652,11.84842
2023-02-01 07:03:37,-0.032280362,42.5173,11.85202
2023-02-01 07:03:42,-0.041265704,42.51809,11.85561
2023-02-01 07:03:47,-0.034669851,42.51339,11.87468
2023-02-01 07:03:52,-0.032101334,42.51417,11.87826
2023-02-01 07:03:57,-0.030516725,42.51494,11.88185
2023-02-01 07:04:02,-0.026301436,42.51572,11.88544
2023-02-01 07:04:07,-0.034305227,42.51649,11.88903
2023-02-01 07:04:12,-0.033020124,42.51725,11.89262
2023-02-01 07:04:17,-0.035963422,42.51252,11.91162
2023-02-01 07:04:22,-0.025053499,42.51328,11.9152
2023-02-01 07:04:27,-0.020469978,42.51403,11.91878
2023-02-01 07:04:32,-0.002037277,42.51479,11.92236
2023-02-01 07:04:37,-0.008780014,42.51554,11.92595
2023-02-01 07:04:42,-0.0081495,42.51629,11.92953
2023-02-01 07:04:47,-0.002812747,42.51152,11.94845
2023-02-01 07:04:52,-0.010474455,42.51226,11.95203
2023-02-01 07:04:57,-0.005438704,42.513,11.9556
2023-02-01 07:05:02,-0.012263084,42.51373,11.95918
2023-02-01 07:05:07,-0.005632228,42.51446,11.96276
2023-02-01 07:05:12,0.003411533,42.5152,11.96634
2023-02-01 07:05:17,0.00420673,42.51039,11.98518
2023-02-01 07:05:22,-0.009910828,42.51111,11.98875
2023-02-01 07:05:27,-0.007534345,42.51183,11.99232
2023-02-01 07:05:32,0.006575768,42.51255,11.9959
2023-02-01 07:05:37,0.007671812,42.51326,11.99947
2023-02-01 07:05:42,-0.001011658,42.51398,12.00304
2023-02-01 07:05:47,0.015739265,42.50913,12.02181
2023-02-01 07:05:52,0.022517376,42.50983,12.02538
2023-02-01 07:05:57,0.020653662,42.51054,12.02894
2023-02-01 07:06:02,0.025375008,42.51124,12.03251
2023-02-01 07:06:07,0.004129663,42.51194,12.03607
2023-02-01 07:06:12,0.008882898,42.51263,12.03964
2023-02-01 07:06:17,-0.001292695,42.51332,12.04321
2023-02-01 07:06:22,-0.010789209,42.50844,12.0619
2023-02-01 07:06:27,-0.015610454,42.50912,12.06545
2023-02-01 07:06:32,-0.013853967,42.5098,12.06901
2023-02-01 07:06:37,-0.002475219,42.51048,12.07257
2023-02-01 07:06:42,-0.004317595,42.51116,12.07613
2023-02-01 07:06:47,0.002318115,42.51184,12.0797
2023-02-01 07:06:52,0.002773745,42.50691,12.09831
2023-02-01 07:06:57,0.002568688,42.50758,12.10186
2023-02-01 07:07:02,-0.008005947,42.50824,12.10541
2023-02-01 07:07:07,-0.008583095,42.5089,12.10897
2023-02-01 07:07:12,-0.009823372,42.50956,12.11252
2023-02-01 07:07:17,-0.012488838,42.51022,12.11608
2023-02-01 07:07:22,-0.010679254,42.50526,12.13461
2023-02-01 07:07:27,-0.004204793,42.50591,12.13816
2023-02-01 07:07:32,-0.00677159,42.50656,12.1417
2023-02-01 07:07:37,-0.010575642,42.5072,12.14525
2023-02-01 07:07:42,-0.013333075,42.50785,12.1488
2023-02-01 07:07:47,-0.008953081,42.50849,12.15235
2023-02-01 07:07:52,-0.012854697,42.50349,12.17081
2023-02-01 07:07:57,-0.008858107,42.50412,12.17435
2023-02-01 07:08:02,-0.001722422,42.50475,12.17789
2023-02-01 07:08:07,-0.001917446,42.50538,12.18143
2023-02-01 07:08:12,-0.002590445,42.50601,12.18497
2023-02-01 07:08:17,-0.008119793,42.50663,12.18851
2023-02-01 07:08:22,-0.007655419,42.50725,12.19206
2023-02-01 07:08:27,-0.01337995,42.50221,12.21043
2023-02-01 07:08:32,-0.009113288,42.50282,12.21396
2023-02-01 07:08:37,-0.006086164,42.50344,12.2175
2023-02-01 07:08:42,-0.006582892,42.50404,12.22103
2023-02-01 07:08:47,-0.008699599,42.50465,12.22457
2023-02-01 07:08:52,-0.020811772,42.50525,12.2281
2023-02-01 07:08:57,-0.027500414,42.50018,12.2464
2023-02-01 07:09:02,-0.012404919,42.50077,12.24993
2023-02-01 07:09:07,-0.025938395,42.50137,12.25346
2023-02-01 07:09:12,-0.031582774,42.50196,12.25698
2023-02-01 07:09:17,-0.028375771,42.50255,12.26051
2023-02-01 07:09:22,-0.022408207,42.50313,12.26404
2023-02-01 07:09:27,-0.025481499,42.50371,12.26757
2023-02-01 07:09:32,-0.024460707,42.4986,12.28578
2023-02-01 07:09:37,-0.02543643,42.49918,12.2893
2023-02-01 07:09:42,-0.027265913,42.49975,12.29282
2023-02-01 07:09:47,-0.017385146,42.50032,12.29635
2023-02-01 07:09:52,-0.010069849,42.50089,12.29987
2023-02-01 07:09:57,-0.002273602,42.50146,12.30339
2023-02-01 07:10:02,-0.000848342,42.49631,12.32153
2023-02-01 07:10:07,0.001821033,42.49687,12.32504
2023-02-01 07:10:12,-0.004924454,42.49743,12.32855
2023-02-01 07:10:17,0.003091106,42.49798,12.33207
2023-02-01 07:10:22,-0.005539619,42.49853,12.33558
2023-02-01 07:10:27,-0.012732094,42.49908,12.3391
2023-02-01 07:10:32,-0.010109646,42.49963,12.34261
2023-02-01 07:10:37,-0.006617751,42.49444,12.36066
2023-02-01 07:10:42,-0.001113265,42.49498,12.36417
2023-02-01 07:10:47,-0.004254725,42.49552,12.36768
2023-02-01 07:10:52,-0.011472543,42.49606,12.37118
2023-02-01 07:10:57,-0.001255359,42.49659,12.37469
2023-02-01 07:11:02,-0.009769362,42.49712,12.3782
