Time,dTEC,ipplat,ipplon,anomaly,forecast
2023-02-01 14:31:12,-0.016474889,43.79448,11.77926,,
2023-02-01 14:31:17,-0.015138198,43.79216,11.78078,,
2023-02-01 14:31:22,-0.015560735,43.78984,11.7823,,
2023-02-01 14:31:27,-0.012794483,43.78751,11.78382,,
2023-02-01 14:31:32,-0.018832513,43.77661,11.79997,,
2023-02-01 14:31:37,-0.026823077,43.77429,11.80148,,
2023-02-01 14:31:42,-0.030104815,43.77196,11.80299,,
2023-02-01 14:31:47,-0.027536446,43.76963,11.80449,,
2023-02-01 14:31:52,-0.023497069,43.7673,11.806,,
2023-02-01 14:31:57,-0.031502665,43.75643,11.82211,,
2023-02-01 14:32:02,-0.023323592,43.7541,11.82361,,
2023-02-01 14:32:07,-0.025784485,43.75177,11.8251,,
2023-02-01 14:32:12,-0.027100455,43.74944,11.82659,,
2023-02-01 14:32:17,-0.022571289,43.73859,11.84267,,
2023-02-01 14:32:22,-0.019431447,43.73626,11.84416,,
2023-02-01 14:32:27,-0.01558756,43.73393,11.84564,,
2023-02-01 14:32:32,-0.006471936,43.7316,11.84712,,
2023-02-01 14:32:37,-0.016260248,43.72076,11.86317,,
2023-02-01 14:32:42,-0.014877043,43.71843,11.86464,,
2023-02-01 14:32:47,-0.024404236,43.7161,11.86611,,
2023-02-01 14:32:52,-0.03475351,43.71377,11.86758,,
2023-02-01 14:32:57,-0.029935616,43.71143,11.86904,,
2023-02-01 14:33:02,-0.035478772,43.70062,11.88505,,
2023-02-01 14:33:07,-0.037427162,43.69829,11.88651,,
2023-02-01 14:33:12,-0.040790834,43.69596,11.88797,,
2023-02-01 14:33:17,-0.049547605,43.69362,11.88942,,
2023-02-01 14:33:22,-0.044091152,43.68284,11.9054,,
2023-02-01 14:33:27,-0.054498019,43.6805,11.90684,,
2023-02-01 14:33:32,-0.058116211,43.67817,11.90829,,
2023-02-01 14:33:37,-0.061608499,43.67583,11.90973,,
2023-02-01 14:33:42,-0.052982713,43.67349,11.91118,,
2023-02-01 14:33:47,-0.04746745,43.66273,11.92711,,
2023-02-01 14:33:52,-0.045633865,43.66039,11.92855,,
2023-02-01 14:33:57,-0.041581078,43.65806,11.92998,,
2023-02-01 14:34:02,-0.02921797,43.65572,11.93141,,
2023-02-01 14:34:07,-0.019775284,43.64498,11.94731,,
2023-02-01 14:34:12,-0.018392823,43.64264,11.94874,,
2023-02-01 14:34:17,-0.011745555,43.6403,11.95016,,
2023-02-01 14:34:22,-0.013919808,43.63796,11.95158,,
2023-02-01 14:34:27,-0.023011672,43.63562,11.95299,,
2023-02-01 14:34:32,-0.026648199,43.62491,11.96886,,
2023-02-01 14:34:37,-0.033014405,43.62257,11.97027,,
2023-02-01 14:34:42,-0.029736968,43.62022,11.97167,,
2023-02-01 14:34:47,-0.034328227,43.61788,11.97308,,
2023-02-01 14:34:52,-0.037650986,43.60719,11.98891,,
2023-02-01 14:34:57,-0.031900214,43.60485,11.99031,,
2023-02-01 14:35:02,-0.023547743,43.60251,11.99171,,
2023-02-01 14:35:07,-0.022872168,43.60016,11.9931,,
2023-02-01 14:35:12,-0.018451951,43.59782,11.9945,,
2023-02-01 14:35:17,-0.020184921,43.58716,12.01029,,
2023-02-01 14:35:22,-0.02293107,43.58481,12.01167,,
2023-02-01 14:35:27,-0.01907556,43.58247,12.01306,,
2023-02-01 14:35:32,-0.019848919,43.58012,12.01444,,
2023-02-01 14:35:37,-0.014209845,43.57777,12.01582,,
2023-02-01 14:35:42,-0.017005504,43.56714,12.03157,,
2023-02-01 14:35:47,-0.014529532,43.56479,12.03295,,
2023-02-01 14:35:52,-0.003925937,43.56244,12.03432,,
2023-02-01 14:35:57,-0.007275298,43.5601,12.03569,,
2023-02-01 14:36:02,-0.008967565,43.55774,12.03705,,
2023-02-01 14:36:07,-0.003481865,43.54714,12.05277,,
2023-02-01 14:36:12,-0.007758797,43.54479,12.05413,,
2023-02-01 14:36:17,-0.004475436,43.54244,12.05549,,
2023-02-01 14:36:22,0.006749867,43.54009,12.05684,,
2023-02-01 14:36:27,-0.003967617,43.52951,12.07253,,
2023-02-01 14:36:32,-0.001221197,43.52716,12.07388,,
2023-02-01 14:36:37,0.007566342,43.52481,12.07522,,
2023-02-01 14:36:42,0.004883231,43.52246,12.07657,,
2023-02-01 14:36:47,0.012430821,43.5201,12.07791,,
2023-02-01 14:36:52,0.01079398,43.50955,12.09356,,
2023-02-01 14:36:57,0.011204591,43.5072,12.0949,,
2023-02-01 14:37:02,0.011136654,43.50484,12.09623,,
2023-02-01 14:37:07,0.01588808,43.50249,12.09756,,
2023-02-01 14:37:12,0.018449596,43.50013,12.0989,,
2023-02-01 14:37:17,0.017161737,43.48961,12.1145,,
2023-02-01 14:37:22,0.020020251,43.48725,12.11583,,
2023-02-01 14:37:27,0.020935093,43.4849,12.11715,,
2023-02-01 14:37:32,0.018955328,43.48254,12.11847,,
2023-02-01 14:37:37,0.018079626,43.48018,12.11979,,
2023-02-01 14:37:42,0.012027265,43.46969,12.13536,,
2023-02-01 14:37:47,0.006890624,43.46733,12.13667,,
2023-02-01 14:37:52,0.007049089,43.46498,12.13798,,
2023-02-01 14:37:57,0.005460547,43.46262,12.13929,,
2023-02-01 14:38:02,0.000222483,43.46026,12.14059,,
2023-02-01 14:38:07,0.002757387,43.44979,12.15613,,
2023-02-01 14:38:12,0.008878444,43.44743,12.15743,,
2023-02-01 14:38:17,0.010782237,43.44507,12.15872,,
2023-02-01 14:38:22,0.020081548,43.44271,12.16002,,
2023-02-01 14:38:27,0.029734151,43.44035,12.16131,,
2023-02-01 14:38:32,0.034982416,43.42991,12.17681,,
2023-02-01 14:38:37,0.036779206,43.42755,12.1781,,
2023-02-01 14:38:42,0.038361377,43.42519,12.17938,,
2023-02-01 14:38:47,0.042966174,43.42283,12.18066,,
2023-02-01 14:38:52,0.027752134,43.42046,12.18194,,
2023-02-01 14:38:57,0.024509481,43.41006,12.1974,,
2023-02-01 14:39:02,0.020675628,43.4077,12.19868,,
2023-02-01 14:39:07,0.019868475,43.40533,12.19995,,
2023-02-01 14:39:12,0.017520509,43.40297,12.20122,,
2023-02-01 14:39:17,0.014013299,43.4006,12.20249,,
2023-02-01 14:39:22,0.018675301,43.39023,12.21791,,
2023-02-01 14:39:27,0.010758753,43.38786,12.21917,,
2023-02-01 14:39:32,0.007967575,43.3855,12.22043,,
2023-02-01 14:39:37,0.010873669,43.38313,12.22169,,
2023-02-01 14:39:42,0.010721617,43.38076,12.22295,,
2023-02-01 14:39:47,0.01074838,43.37042,12.23834,,
2023-02-01 14:39:52,-0.0008472,43.36805,12.23958,,
2023-02-01 14:39:57,-0.007313205,43.36569,12.24083,,
2023-02-01 14:40:02,-0.008458339,43.36332,12.24208,,
2023-02-01 14:40:07,-0.02274633,43.36095,12.24332,,
2023-02-01 14:40:12,-0.020861828,43.35063,12.25867,,
2023-02-01 14:40:17,-0.018222712,43.34827,12.25991,,
2023-02-01 14:40:22,-0.022061883,43.3459,12.26114,,
2023-02-01 14:40:27,-0.016579271,43.34353,12.26238,,
2023-02-01 14:40:32,-0.00310653,43.34116,12.26361,,
2023-02-01 14:40:37,-0.001059444,43.33878,12.26484,,
2023-02-01 14:40:42,-0.000729024,43.3285,12.28015,,
2023-02-01 14:40:47,0.00245349,43.32614,12.28137,,
2023-02-01 14:40:52,-0.004645773,43.32376,12.2826,,
2023-02-01 14:40:57,-0.01155661,43.32139,12.28381,,
2023-02-01 14:41:02,0.002485548,43.31902,12.28503,,
2023-02-01 14:41:07,-0.011867659,43.30877,12.30031,,
