Time,dTEC,ipplat,ipplon
2023-02-01 00:00:02,-0.006940172,41.01016,16.44878
2023-02-01 00:00:07,-0.007746561,41.01256,16.45007
2023-02-01 00:00:12,-0.001867664,41.01495,16.45137
2023-02-01 00:00:17,-0.008480132,41.01734,16.45267
2023-02-01 00:00:22,-0.001951629,41.01973,16.45398
2023-02-01 00:00:27,-0.001262831,41.02212,16.45528
2023-02-01 00:00:32,-0.007001429,41.02451,16.45659
2023-02-01 00:00:37,-0.004297123,41.0269,16.45789
2023-02-01 00:00:42,-0.010566627,41.02929,16.4592
2023-02-01 00:00:47,-0.010937662,41.03168,16.46052
2023-02-01 00:00:52,-0.013042962,41.03406,16.46183
2023-02-01 00:00:57,-0.022362268,41.03645,16.46314
2023-02-01 00:01:02,-0.016981328,41.03883,16.46446
2023-02-01 00:01:07,-0.016270901,41.04122,16.46578
2023-02-01 00:01:12,-0.018277749,41.0436,16.4671
2023-02-01 00:01:17,-0.013803644,41.04598,16.46842
2023-02-01 00:01:22,-0.008915359,41.04836,16.46975
2023-02-01 00:01:27,-0.015942675,41.05074,16.47107
2023-02-01 00:01:32,-0.019818377,41.05312,16.4724
2023-02-01 00:01:37,-0.026804251,41.0555,16.47373
2023-02-01 00:01:42,-0.021640088,41.05788,16.47506
2023-02-01 00:01:47,-0.036220679,41.06025,16.4764
2023-02-01 00:01:52,-0.021432818,41.06263,16.47773
2023-02-01 00:01:57,-0.020325299,41.065,16.47907
2023-02-01 00:02:02,-0.013723915,41.06737,16.48041
2023-02-01 00:02:07,-0.024325461,41.06974,16.48175
2023-02-01 00:02:12,-0.016324729,41.07212,16.48309
2023-02-01 00:02:17,-0.014962508,41.07449,16.48444
2023-02-01 00:02:22,-0.012805587,41.07686,16.48578
2023-02-01 00:02:27,-0.014549751,41.07922,16.48713
2023-02-01 00:02:32,-0.01510878,41.08159,16.48848
2023-02-01 00:02:37,-0.021332454,41.08396,16.48983
2023-02-01 00:02:42,-0.020110542,41.08632,16.49119
2023-02-01 00:02:47,-0.013204815,41.08869,16.49254
2023-02-01 00:02:52,-0.019011032,41.09105,16.4939
2023-02-01 00:02:57,-0.017568949,41.09341,16.49526
2023-02-01 00:03:02,-0.011229315,41.09577,16.49662
2023-02-01 00:03:07,-0.007426872,41.10013,16.49706
2023-02-01 00:03:12,-0.010859354,41.1025,16.49843
2023-02-01 00:03:17,-0.016831486,41.10487,16.4998
2023-02-01 00:03:22,-0.013603986,41.10724,16.50118
2023-02-01 00:03:27,-0.006458562,41.1096,16.50256
2023-02-01 00:03:32,-0.014378914,41.11197,16.50393
2023-02-01 00:03:37,-0.011339731,41.11433,16.50532
2023-02-01 00:03:42,-0.002233694,41.1167,16.5067
2023-02-01 00:03:47,-0.003694471,41.11906,16.50808
2023-02-01 00:03:52,-0.00182872,41.12142,16.50947
2023-02-01 00:03:57,0.00062291,41.12378,16.51085
2023-02-01 00:04:02,-0.011211217,41.12614,16.51224
2023-02-01 00:04:07,-0.003284726,41.1285,16.51364
2023-02-01 00:04:12,0.004246771,41.13086,16.51503
2023-02-01 00:04:17,-0.001921328,41.13322,16.51642
2023-02-01 00:04:22,-0.00202861,41.13557,16.51782
2023-02-01 00:04:27,-0.005662652,41.13793,16.51922
2023-02-01 00:04:32,-0.000105017,41.14028,16.52062
2023-02-01 00:04:37,-0.002381255,41.14264,16.52202
2023-02-01 00:04:42,0.001599096,41.14499,16.52343
2023-02-01 00:04:47,0.011637514,41.14734,16.52483
2023-02-01 00:04:52,0.005427487,41.14969,16.52624
2023-02-01 00:04:57,0.00214552,41.15204,16.52765
