Time,dTEC,ipplat,ipplon,anomaly,forecast
2023-02-01 03:43:02,0.027881233,43.92281,11.94767,,
2023-02-01 03:43:07,0.021040988,43.91914,11.94545,,
2023-02-01 03:43:12,-0.001843121,43.91546,11.94323,,
2023-02-01 03:43:17,0.020823667,43.91179,11.941,,
2023-02-01 03:43:22,0.025492117,43.90811,11.93878,,
2023-02-01 03:43:27,0.014119996,43.90444,11.93655,,
2023-02-01 03:43:32,0.006455072,43.90076,11.93432,,
2023-02-01 03:43:37,0.008757111,43.89708,11.9321,,
2023-02-01 03:43:42,-0.022578117,43.8934,11.92987,,
2023-02-01 03:43:47,-0.023218847,43.88119,11.94131,,
2023-02-01 03:43:52,-0.010958315,43.87752,11.93908,,
2023-02-01 03:43:57,-0.023728761,43.87385,11.93686,,
2023-02-01 03:44:02,0.001798571,43.87018,11.93463,,
2023-02-01 03:44:07,-0.013688566,43.8665,11.9324,,
2023-02-01 03:44:12,0.007950572,43.86283,11.93017,,
2023-02-01 03:44:17,-0.008540274,43.85915,11.92794,,
2023-02-01 03:44:22,-0.003911375,43.85548,11.92571,,
2023-02-01 03:44:27,-0.016685005,43.84335,11.9372,,
2023-02-01 03:44:32,-0.003253452,43.83968,11.93497,,
2023-02-01 03:44:37,-0.019345011,43.83601,11.93274,,
2023-02-01 03:44:42,-0.020377988,43.83234,11.93051,,
2023-02-01 03:44:47,-0.011823702,43.82867,11.92828,,
2023-02-01 03:44:52,-0.024970483,43.825,11.92606,,
2023-02-01 03:44:57,-0.008584675,43.82133,11.92382,,
2023-02-01 03:45:02,-0.012044636,43.81766,11.92159,,
2023-02-01 03:45:07,0.001132261,43.81398,11.91936,,
2023-02-01 03:45:12,-0.013357371,43.80195,11.93089,,
2023-02-01 03:45:17,-0.007305936,43.79828,11.92866,,
2023-02-01 03:45:22,-0.004961855,43.79462,11.92643,,
2023-02-01 03:45:27,0.008341432,43.79095,11.9242,,
2023-02-01 03:45:32,0.002687469,43.78728,11.92197,,
2023-02-01 03:45:37,-0.01019122,43.78361,11.91974,,
2023-02-01 03:45:42,0.014678869,43.77994,11.91751,,
2023-02-01 03:45:47,0.041321219,43.77627,11.91528,,
2023-02-01 03:45:52,0.023588296,43.7726,11.91304,,
2023-02-01 03:45:57,0.022291539,43.76065,11.92462,,
2023-02-01 03:46:02,0.011696368,43.75699,11.92239,,
2023-02-01 03:46:07,0.013147181,43.75332,11.92016,,
2023-02-01 03:46:12,-0.004787648,43.74966,11.91792,,
2023-02-01 03:46:17,0.00296323,43.74599,11.91569,,
2023-02-01 03:46:22,0.007405142,43.74233,11.91346,,
2023-02-01 03:46:27,0.01322939,43.73866,11.91122,,
2023-02-01 03:46:32,0.00909625,43.73499,11.90899,,
2023-02-01 03:46:37,0.026485975,43.73132,11.90676,,
2023-02-01 03:46:42,0.017885789,43.72765,11.90452,,
2023-02-01 03:46:47,0.033350893,43.71581,11.91615,,
2023-02-01 03:46:52,0.03807746,43.71215,11.91391,,
2023-02-01 03:46:57,0.020137637,43.70848,11.91168,,
2023-02-01 03:47:02,0.023917546,43.70482,11.90945,,
2023-02-01 03:47:07,0.023802278,43.70115,11.90721,,
2023-02-01 03:47:12,0.020379901,43.69749,11.90498,,
2023-02-01 03:47:17,0.026749453,43.69382,11.90274,,
2023-02-01 03:47:22,0.012211947,43.69016,11.90051,,
2023-02-01 03:47:27,0.034061365,43.68649,11.89827,,
2023-02-01 03:47:32,0.034221666,43.68282,11.89603,,
2023-02-01 03:47:37,0.040459778,43.67108,11.90771,,
2023-02-01 03:47:42,0.038891604,43.66742,11.90548,,
2023-02-01 03:47:47,0.049071018,43.66376,11.90324,,
2023-02-01 03:47:52,0.033650867,43.6601,11.90101,,
2023-02-01 03:47:57,0.029391973,43.65643,11.89877,,
2023-02-01 03:48:02,0.028667128,43.65277,11.89654,,
2023-02-01 03:48:07,0.0436001,43.6491,11.8943,,
2023-02-01 03:48:12,0.022960628,43.64544,11.89206,,
2023-02-01 03:48:17,0.016218427,43.64177,11.88982,,
2023-02-01 03:48:22,0.031194185,43.63811,11.88758,,
2023-02-01 03:48:27,0.026238566,43.62647,11.89932,,
2023-02-01 03:48:32,0.022275207,43.62281,11.89708,,
2023-02-01 03:48:37,0.00952472,43.61915,11.89485,,
2023-02-01 03:48:42,0.005976696,43.61549,11.89261,,
2023-02-01 03:48:47,0.006351697,43.61183,11.89037,,
2023-02-01 03:48:52,0.031376267,43.60817,11.88814,,
2023-02-01 03:48:57,0.009677924,43.60451,11.8859,,
2023-02-01 03:49:02,0.014779164,43.60084,11.88366,,
2023-02-01 03:49:07,0.021650462,43.59718,11.88142,,
2023-02-01 03:49:12,0.010541271,43.59352,11.87918,,
2023-02-01 03:49:17,0.015866026,43.58985,11.87694,,
2023-02-01 03:49:22,0.005166138,43.57833,11.88873,,
2023-02-01 03:49:27,0.004837003,43.57467,11.88649,,
2023-02-01 03:49:32,-0.003894005,43.57101,11.88425,,
2023-02-01 03:49:37,0.001070473,43.56735,11.88202,,
2023-02-01 03:49:42,-0.005888222,43.56369,11.87978,,
2023-02-01 03:49:47,-0.004432766,43.56003,11.87754,,
2023-02-01 03:49:52,0.013647149,43.55637,11.8753,,
2023-02-01 03:49:57,0.001227818,43.55271,11.87306,,
2023-02-01 03:50:02,-0.004498479,43.54905,11.87082,,
2023-02-01 03:50:07,0.010615525,43.54538,11.86857,,
2023-02-01 03:50:12,-3.7916e-05,43.54172,11.86633,,
2023-02-01 03:50:17,-0.006974559,43.53031,11.87818,,
2023-02-01 03:50:22,-0.018800171,43.52666,11.87594,,
2023-02-01 03:50:27,-0.007748531,43.523,11.8737,,
2023-02-01 03:50:32,-0.026615426,43.51934,11.87147,,
2023-02-01 03:50:37,-0.01204765,43.51568,11.86923,,
2023-02-01 03:50:42,0.006622994,43.51202,11.86698,,
2023-02-01 03:50:47,0.012188697,43.50837,11.86474,,
2023-02-01 03:50:52,0.008363644,43.50471,11.8625,,
2023-02-01 03:50:57,0.003751017,43.50104,11.86026,,
2023-02-01 03:51:02,0.00271499,43.49738,11.85802,,
2023-02-01 03:51:07,0.00076274,43.49372,11.85577,,
2023-02-01 03:51:12,0.005905436,43.49006,11.85353,,
2023-02-01 03:51:17,0.009475248,43.47877,11.86545,,
2023-02-01 03:51:22,-0.000261653,43.47512,11.86321,,
2023-02-01 03:51:27,0.009739902,43.47146,11.86097,,
2023-02-01 03:51:32,-0.002169915,43.4678,11.85872,,
2023-02-01 03:51:37,-0.003532931,43.46415,11.85648,,
2023-02-01 03:51:42,-0.025439971,43.46049,11.85424,,
2023-02-01 03:51:47,-0.011968855,43.45683,11.852,,
2023-02-01 03:51:52,-0.011417397,43.45317,11.84976,,
2023-02-01 03:51:57,-0.027698409,43.44951,11.84751,,
2023-02-01 03:52:02,-0.008934695,43.44585,11.84527,,
2023-02-01 03:52:07,0.000697948,43.44219,11.84302,,
2023-02-01 03:52:12,-0.01074527,43.43853,11.84078,,
2023-02-01 03:52:17,-0.00734613,43.43487,11.83853,,
2023-02-01 03:52:22,-0.001816406,43.42371,11.85052,,
2023-02-01 03:52:27,0.001543141,43.42006,11.84828,,
2023-02-01 03:52:32,-0.016041242,43.4164,11.84604,,
2023-02-01 03:52:37,-0.010965295,43.41275,11.8438,,
2023-02-01 03:52:42,-0.028006748,43.40909,11.84155,,
2023-02-01 03:52:47,-0.047809317,43.40544,11.83931,,
