Time,dTEC,ipplat,ipplon,anomaly,forecast
2023-02-01 05:23:57,-0.015153415,34.51295,39.19361,,
2023-02-01 05:24:02,0.023056144,34.51411,39.19268,,
2023-02-01 05:24:07,0.061494482,34.51527,39.19174,,
2023-02-01 05:24:12,0.066786108,34.51642,39.19081,,
2023-02-01 05:24:17,-0.012776592,34.51758,39.18988,,
2023-02-01 05:24:22,0.084393251,34.51874,39.18894,,
2023-02-01 05:24:27,0.037478981,34.5199,39.18801,,
2023-02-01 05:24:32,0.095375828,34.52105,39.18708,,
2023-02-01 05:24:37,-0.076364397,34.52221,39.18614,,
2023-02-01 05:24:42,0.172113601,34.52337,39.18521,,
2023-02-01 05:24:47,0.177320303,34.52453,39.18427,,
2023-02-01 05:24:52,0.025275576,34.52569,39.18334,,
2023-02-01 05:24:57,0.043608876,34.52684,39.1824,,
2023-02-01 05:25:02,-0.029738655,34.528,39.18147,,
2023-02-01 05:25:07,0.093847821,34.52916,39.18053,,
2023-02-01 05:25:12,0.13186143,34.53032,39.1796,,
2023-02-01 05:25:17,0.032124594,34.53511,39.1507,,
2023-02-01 05:25:22,-0.03449737,34.53626,39.14977,,
2023-02-01 05:25:27,0.003442752,34.53741,39.14884,,
2023-02-01 05:25:32,0.041355773,34.53857,39.14791,,
2023-02-01 05:25:37,-0.005840195,34.53972,39.14698,,
2023-02-01 05:25:42,-0.053301036,34.54087,39.14605,,
2023-02-01 05:25:47,-0.093976831,34.54203,39.14511,,
2023-02-01 05:25:52,-0.023045857,34.54318,39.14418,,
2023-02-01 05:25:57,0.04080072,34.54433,39.14325,,
2023-02-01 05:26:02,0.091920938,34.54548,39.14232,,
2023-02-01 05:26:07,0.044527752,34.54664,39.14139,,
2023-02-01 05:26:12,-0.029225876,34.54779,39.14046,,
2023-02-01 05:26:17,0.001805134,34.54894,39.13952,,
2023-02-01 05:26:22,0.092023879,34.5501,39.13859,,
2023-02-01 05:26:27,0.110047671,34.55125,39.13766,,
2023-02-01 05:26:32,0.062221245,34.5524,39.13672,,
2023-02-01 05:26:37,0.053836858,34.55709,39.10789,,
2023-02-01 05:26:42,0.032481291,34.55824,39.10696,,
2023-02-01 05:26:47,0.069837748,34.55939,39.10603,,
2023-02-01 05:26:52,-0.050322034,34.56053,39.1051,,
2023-02-01 05:26:57,0.085652906,34.56168,39.10417,,
2023-02-01 05:27:02,0.044132166,34.56283,39.10324,,
2023-02-01 05:27:07,-0.043268826,34.56398,39.10231,,
2023-02-01 05:27:12,-0.189712607,34.56513,39.10138,,
2023-02-01 05:27:17,0.017981625,34.56627,39.10045,,
2023-02-01 05:27:22,0.035720011,34.56742,39.09952,,
2023-02-01 05:27:27,0.05293543,34.56857,39.09859,,
2023-02-01 05:27:32,-0.159526692,34.56972,39.09766,,
