Time,dTEC,ipplat,ipplon
2023-02-01 21:55:12,0.006133622,36.06062,39.20802
2023-02-01 21:55:17,0.021841593,36.0618,39.20686
2023-02-01 21:55:22,-0.027788463,36.06299,39.20569
2023-02-01 21:55:27,-0.038168979,36.06417,39.20453
2023-02-01 21:55:32,0.030185107,36.06535,39.20336
2023-02-01 21:55:37,0.052707949,36.06653,39.2022
2023-02-01 21:55:42,0.094972197,36.06772,39.20103
2023-02-01 21:55:47,0.058265397,36.0689,39.19987
2023-02-01 21:55:52,-0.043780912,36.07008,39.1987
2023-02-01 21:55:57,-0.028079095,36.07126,39.19754
2023-02-01 21:56:02,-0.038467621,36.07245,39.19637
2023-02-01 21:56:07,0.023530739,36.07363,39.1952
2023-02-01 21:56:12,-0.105082193,36.07481,39.19404
2023-02-01 21:56:17,-0.069412298,36.076,39.19287
2023-02-01 21:56:22,0.071077542,36.07718,39.19171
2023-02-01 21:56:27,0.106505841,36.07836,39.19054
2023-02-01 21:56:32,0.030761609,36.07567,39.16098
2023-02-01 21:56:37,0.059836755,36.07685,39.15982
2023-02-01 21:56:42,0.068930087,36.07803,39.15866
2023-02-01 21:56:47,0.071673108,36.07921,39.1575
2023-02-01 21:56:52,-0.036992576,36.08038,39.15634
2023-02-01 21:56:57,0.051056136,36.08156,39.15518
2023-02-01 21:57:02,-0.057855054,36.08274,39.15402
2023-02-01 21:57:07,0.043344255,36.08392,39.15286
2023-02-01 21:57:12,0.052641065,36.08509,39.1517
2023-02-01 21:57:17,0.048769977,36.08627,39.15054
2023-02-01 21:57:22,-0.066511707,36.08745,39.14938
2023-02-01 21:57:27,0.067330915,36.08863,39.14823
2023-02-01 21:57:32,0.030534948,36.0898,39.14707
2023-02-01 21:57:37,-0.045518204,36.09098,39.14591
2023-02-01 21:57:42,-0.056006232,36.09216,39.14475
2023-02-01 21:57:47,-0.079428628,36.09334,39.14359
2023-02-01 21:57:52,0.00196352,36.09452,39.14243
2023-02-01 21:57:57,-0.087284373,36.09569,39.14127
2023-02-01 21:58:02,0.06624431,36.09687,39.14012
2023-02-01 21:58:07,-0.062271409,36.09805,39.13896
2023-02-01 21:58:12,-0.138385105,36.09923,39.1378
2023-02-01 21:58:17,0.034622451,36.0964,39.10834
2023-02-01 21:58:22,0.024297193,36.09757,39.10719
2023-02-01 21:58:27,0.079299757,36.09874,39.10604
2023-02-01 21:58:32,-0.042920211,36.09992,39.10489
2023-02-01 21:58:37,0.051546035,36.10109,39.10373
2023-02-01 21:58:42,-0.06411505,36.10226,39.10258
2023-02-01 21:58:47,-0.048406006,36.10343,39.10143
2023-02-01 21:58:52,0.066003832,36.1046,39.10028
2023-02-01 21:58:57,-0.043110763,36.10578,39.09912
2023-02-01 21:59:02,0.038136288,36.10695,39.09797
2023-02-01 21:59:07,-0.04467923,36.10812,39.09682
2023-02-01 21:59:12,-0.042191524,36.10929,39.09567
2023-02-01 21:59:17,-0.013393193,36.11047,39.09452
2023-02-01 21:59:22,0.04806157,36.11164,39.09336
2023-02-01 21:59:27,0.050510982,36.11281,39.09221
2023-02-01 21:59:32,0.046366367,36.11398,39.09106
2023-02-01 21:59:37,-0.062849543,36.11516,39.08991
2023-02-01 21:59:42,0.090448792,36.11633,39.08876
2023-02-01 21:59:47,0.033852323,36.1175,39.08761
2023-02-01 21:59:52,0.036234608,36.11867,39.08646
2023-02-01 21:59:57,-0.059639385,36.11985,39.0853
2023-02-01 22:00:02,-0.037777578,36.11688,39.05596
2023-02-01 22:00:07,-0.179745485,36.11805,39.05482
2023-02-01 22:00:12,0.02588089,36.11921,39.05367
2023-02-01 22:00:17,-0.017638145,36.12038,39.05252
2023-02-01 22:00:22,0.037070725,36.12155,39.05138
2023-02-01 22:00:27,0.032772628,36.12272,39.05023
2023-02-01 22:00:32,0.041856801,36.12388,39.04909
2023-02-01 22:00:37,0.030713792,36.12505,39.04794
2023-02-01 22:00:42,0.039533658,36.12622,39.0468
2023-02-01 22:00:47,-0.01723413,36.12738,39.04565
2023-02-01 22:00:52,0.063710308,36.12855,39.04451
2023-02-01 22:00:57,-0.039152738,36.12972,39.04336
2023-02-01 22:01:02,-0.003619164,36.13088,39.04222
2023-02-01 22:01:07,0.037582442,36.13205,39.04107
2023-02-01 22:01:12,-0.058743894,36.13322,39.03993
2023-02-01 22:01:17,0.048215665,36.13439,39.03878
2023-02-01 22:01:22,-0.152962835,36.13555,39.03764
2023-02-01 22:01:27,0.026121667,36.13672,39.0365
2023-02-01 22:01:32,0.054773041,36.13789,39.03535
2023-02-01 22:01:37,0.096101471,36.13906,39.03421
2023-02-01 22:01:42,-0.02663475,36.14022,39.03306
2023-02-01 22:01:47,-0.018003615,36.13712,39.00383
2023-02-01 22:01:52,-0.015967407,36.13828,39.00269
2023-02-01 22:01:57,0.045282203,36.13944,39.00156
2023-02-01 22:02:02,-0.051421442,36.1406,39.00042
2023-02-01 22:02:07,-0.06235309,36.14176,38.99928
2023-02-01 22:02:12,0.018363223,36.14293,38.99814
2023-02-01 22:02:17,-0.052057627,36.14409,38.997
2023-02-01 22:02:22,0.055190649,36.14525,38.99586
2023-02-01 22:02:27,0.01764805,36.14641,38.99473
2023-02-01 22:02:32,-0.039414614,36.14757,38.99359
2023-02-01 22:02:37,0.047818279,36.14874,38.99245
2023-02-01 22:02:42,-0.035592338,36.1499,38.99131
2023-02-01 22:02:47,0.02529298,36.15106,38.99018
2023-02-01 22:02:52,0.007666788,36.15222,38.98904
2023-02-01 22:02:57,-0.036529147,36.15338,38.9879
2023-02-01 22:03:02,0.02432195,36.15454,38.98676
2023-02-01 22:03:07,0.059073868,36.15571,38.98563
2023-02-01 22:03:12,-0.089977695,36.15687,38.98449
2023-02-01 22:03:17,-0.055481632,36.15803,38.98335
2023-02-01 22:03:22,0.005327775,36.15919,38.98222
2023-02-01 22:03:27,0.079524154,36.16036,38.98108
2023-02-01 22:03:32,0.068160643,36.16152,38.97994
2023-02-01 22:03:37,-0.159673913,36.16268,38.97881
2023-02-01 22:03:42,0.051987741,36.15942,38.9497
2023-02-01 22:03:47,0.007694371,36.16058,38.94857
2023-02-01 22:03:52,0.029436349,36.16174,38.94744
2023-02-01 22:03:57,-0.113349744,36.16289,38.94631
2023-02-01 22:04:02,0.02612738,36.16405,38.94518
2023-02-01 22:04:07,-0.149106482,36.1652,38.94405
2023-02-01 22:04:12,0.036188372,36.16636,38.94292
2023-02-01 22:04:17,-0.014492047,36.16752,38.94179
2023-02-01 22:04:22,-0.104662923,36.16867,38.94066
2023-02-01 22:04:27,-0.102942332,36.16983,38.93953
2023-02-01 22:04:32,-0.055160548,36.17099,38.9384
2023-02-01 22:04:37,-0.086352836,36.17214,38.93726
2023-02-01 22:04:42,0.026994242,36.1733,38.93614
2023-02-01 22:04:47,-0.030528472,36.17446,38.93501
2023-02-01 22:04:52,0.04332747,36.17561,38.93388
2023-02-01 22:04:57,-0.033707784,36.17677,38.93275
2023-02-01 22:05:02,0.04695962,36.17793,38.93162
2023-02-01 22:05:07,0.002590037,36.17908,38.93049
2023-02-01 22:05:12,-0.008876474,36.18024,38.92936
2023-02-01 22:05:17,0.051810344,36.1814,38.92823
2023-02-01 22:05:22,-0.084222348,36.18255,38.9271
2023-02-01 22:05:27,-0.06278519,36.18371,38.92597
2023-02-01 22:05:32,0.06347598,36.18487,38.92484
2023-02-01 22:05:37,-0.072554478,36.18146,38.89586
2023-02-01 22:05:42,0.040783094,36.18261,38.89474
2023-02-01 22:05:47,0.029322255,36.18376,38.89361
2023-02-01 22:05:52,0.043952061,36.18491,38.89249
2023-02-01 22:05:57,-0.019679436,36.18606,38.89137
2023-02-01 22:06:02,0.067346316,36.18722,38.89025
2023-02-01 22:06:07,0.062479563,36.18837,38.88912
2023-02-01 22:06:12,0.090286148,36.18952,38.888
2023-02-01 22:06:17,0.00897151,36.19067,38.88688
2023-02-01 22:06:22,0.034745884,36.19182,38.88576
2023-02-01 22:06:27,-0.048835304,36.19297,38.88464
2023-02-01 22:06:32,0.03164007,36.19412,38.88351
2023-02-01 22:06:37,0.099195423,36.19527,38.88239
2023-02-01 22:06:42,0.061464664,36.19642,38.88127
2023-02-01 22:06:47,-0.028905305,36.19758,38.88015
2023-02-01 22:06:52,0.097664612,36.19873,38.87903
2023-02-01 22:06:57,0.027288101,36.19988,38.87791
2023-02-01 22:07:02,-0.023337458,36.20103,38.87678
2023-02-01 22:07:07,0.004545705,36.20218,38.87566
2023-02-01 22:07:12,-0.013157449,36.20333,38.87454
2023-02-01 22:07:17,0.034487231,36.20448,38.87342
2023-02-01 22:07:22,-0.180151013,36.20564,38.8723
2023-02-01 22:07:27,0.038145151,36.20679,38.87118
2023-02-01 22:07:32,-0.045325656,36.20794,38.87006
2023-02-01 22:07:37,-0.069793222,36.20437,38.84121
2023-02-01 22:07:42,0.05687445,36.20552,38.84009
2023-02-01 22:07:47,-0.078974351,36.20666,38.83898
2023-02-01 22:07:52,0.008231653,36.20781,38.83786
2023-02-01 22:07:57,0.069126324,36.20896,38.83675
2023-02-01 22:08:02,-0.034017083,36.2101,38.83563
2023-02-01 22:08:07,0.02690257,36.21125,38.83452
2023-02-01 22:08:12,-0.04331139,36.21239,38.83341
2023-02-01 22:08:17,0.043957254,36.21354,38.83229
2023-02-01 22:08:22,-0.0852229,36.21468,38.83118
2023-02-01 22:08:27,0.100314639,36.21583,38.83006
2023-02-01 22:08:32,0.069638845,36.21698,38.82895
2023-02-01 22:08:37,0.104314878,36.21812,38.82784
2023-02-01 22:08:42,-0.018229914,36.21927,38.82672
2023-02-01 22:08:47,-0.035702496,36.22041,38.82561
2023-02-01 22:08:52,-0.047050251,36.22156,38.8245
2023-02-01 22:08:57,-0.025244471,36.2227,38.82338
2023-02-01 22:09:02,0.055567734,36.22385,38.82227
2023-02-01 22:09:07,-0.007913559,36.225,38.82116
2023-02-01 22:09:12,0.086089314,36.22614,38.82005
2023-02-01 22:09:17,-0.069259498,36.22729,38.81893
2023-02-01 22:09:22,0.090345638,36.22843,38.81782
2023-02-01 22:09:27,0.053010643,36.22958,38.81671
2023-02-01 22:09:32,-0.049647876,36.23073,38.8156
2023-02-01 22:09:37,0.044192771,36.227,38.78687
2023-02-01 22:09:42,0.040040762,36.22814,38.78577
2023-02-01 22:09:47,0.029087261,36.22928,38.78466
2023-02-01 22:09:52,0.037890817,36.23042,38.78356
2023-02-01 22:09:57,0.020385366,36.23157,38.78245
2023-02-01 22:10:02,-0.101928969,36.23271,38.78134
2023-02-01 22:10:07,0.044644818,36.23384,38.78024
2023-02-01 22:10:12,0.027181923,36.23498,38.77913
2023-02-01 22:10:17,-0.075347372,36.23612,38.77803
2023-02-01 22:10:22,0.0581065,36.23727,38.77692
2023-02-01 22:10:27,-0.090461004,36.23841,38.77582
2023-02-01 22:10:32,0.023277657,36.23955,38.77471
2023-02-01 22:10:37,-0.059689686,36.24069,38.77361
2023-02-01 22:10:42,0.041149185,36.24183,38.7725
2023-02-01 22:10:47,-0.113946024,36.24297,38.7714
2023-02-01 22:10:52,-0.065493019,36.24411,38.77029
2023-02-01 22:10:57,0.008825881,36.24525,38.76919
2023-02-01 22:11:02,-0.07384255,36.24639,38.76808
2023-02-01 22:11:07,0.046566647,36.24753,38.76698
2023-02-01 22:11:12,0.075326221,36.24867,38.76588
2023-02-01 22:11:17,0.084119913,36.24981,38.76477
2023-02-01 22:11:22,-0.051148148,36.25095,38.76367
2023-02-01 22:11:27,0.036637958,36.25209,38.76257
2023-02-01 22:11:32,0.045699841,36.25323,38.76146
2023-02-01 22:11:37,-0.004220197,36.25437,38.76036
2023-02-01 22:11:42,0.050693138,36.25551,38.75926
2023-02-01 22:11:47,0.020535629,36.25162,38.73067
2023-02-01 22:11:52,0.023056655,36.25276,38.72958
2023-02-01 22:11:57,0.058256086,36.25389,38.72848
2023-02-01 22:12:02,0.073956984,36.25502,38.72738
2023-02-01 22:12:07,0.063578006,36.25616,38.72628
2023-02-01 22:12:12,0.059318203,36.25729,38.72519
2023-02-01 22:12:17,0.04213942,36.25843,38.72409
2023-02-01 22:12:22,-0.152009003,36.25956,38.723
2023-02-01 22:12:27,-0.03779183,36.2607,38.7219
2023-02-01 22:12:32,0.069851369,36.26183,38.7208
2023-02-01 22:12:37,0.046119323,36.26297,38.71971
2023-02-01 22:12:42,0.101128255,36.2641,38.71861
2023-02-01 22:12:47,0.103731189,36.26524,38.71752
2023-02-01 22:12:52,0.066854445,36.26509,38.70957
2023-02-01 22:12:57,-0.14699456,36.26623,38.70847
2023-02-01 22:13:02,-0.032973408,36.26736,38.70738
2023-02-01 22:13:07,0.061779718,36.26849,38.70628
2023-02-01 22:13:12,-0.053814765,36.26963,38.70519
