Time,dTEC,ipplat,ipplon,anomaly,forecast
2023-02-01 00:00:02,-0.053386806,34.64746,29.13026,,
2023-02-01 00:00:07,-0.113120159,34.65002,29.13148,,
2023-02-01 00:00:12,0.076105707,34.65258,29.1327,,
2023-02-01 00:00:17,-0.010060789,34.65514,29.13392,,
2023-02-01 00:00:22,-0.023777355,34.6577,29.13514,,
2023-02-01 00:00:27,-0.037669419,34.66025,29.13636,,
2023-02-01 00:00:32,0.000662566,34.66281,29.13759,,
2023-02-01 00:00:37,0.033197628,34.66733,29.15393,,
2023-02-01 00:00:42,-0.028704226,34.66988,29.15515,,
2023-02-01 00:00:47,-0.059762804,34.67242,29.15638,,
2023-02-01 00:00:52,-0.059979233,34.67497,29.15761,,
2023-02-01 00:00:57,-0.055913455,34.67752,29.15884,,
2023-02-01 00:01:02,-0.047566724,34.68006,29.16007,,
2023-02-01 00:01:07,-0.011735208,34.68261,29.1613,,
2023-02-01 00:01:12,0.056938714,34.68515,29.16254,,
2023-02-01 00:01:17,-0.028583045,34.68769,29.16378,,
2023-02-01 00:01:22,0.069497919,34.69024,29.16502,,
2023-02-01 00:01:27,-0.029097099,34.69278,29.16626,,
2023-02-01 00:01:32,0.049797094,34.69718,29.18258,,
2023-02-01 00:01:37,-0.074803414,34.69971,29.18382,,
2023-02-01 00:01:42,0.069509061,34.70224,29.18506,,
2023-02-01 00:01:47,0.056389502,34.70477,29.1863,,
2023-02-01 00:01:52,-0.028847407,34.7073,29.18755,,
2023-02-01 00:01:57,-0.054821881,34.70983,29.1888,,
2023-02-01 00:02:02,0.063310067,34.71236,29.19005,,
2023-02-01 00:02:07,-0.06765677,34.71489,29.1913,,
2023-02-01 00:02:12,-0.080372997,34.71741,29.19255,,
2023-02-01 00:02:17,-0.05404501,34.71994,29.19381,,
2023-02-01 00:02:22,0.044700101,34.72247,29.19506,,
2023-02-01 00:02:27,-0.040321142,34.72675,29.21136,,
2023-02-01 00:02:32,0.045314289,34.72926,29.21261,,
2023-02-01 00:02:37,-0.019485564,34.73178,29.21387,,
2023-02-01 00:02:42,0.019700753,34.73429,29.21513,,
2023-02-01 00:02:47,-0.045484993,34.73681,29.21639,,
2023-02-01 00:02:52,-0.08456262,34.73932,29.21766,,
2023-02-01 00:02:57,-0.00516673,34.74183,29.21892,,
2023-02-01 00:03:02,-0.042657509,34.74434,29.22019,,
2023-02-01 00:03:07,-0.050094826,34.74685,29.22146,,
2023-02-01 00:03:12,-0.08910563,34.74936,29.22273,,
2023-02-01 00:03:17,-0.009882951,34.75188,29.224,,
2023-02-01 00:03:22,-0.035470999,34.75438,29.22528,,
2023-02-01 00:03:27,-0.100767964,34.75854,29.24154,,
2023-02-01 00:03:32,0.018208089,34.76104,29.24281,,
2023-02-01 00:03:37,-0.125804686,34.76353,29.24409,,
2023-02-01 00:03:42,-0.13842841,34.76603,29.24537,,
2023-02-01 00:03:47,-0.03282558,34.76853,29.24664,,
2023-02-01 00:03:52,-0.025694668,34.77102,29.24792,,
