Time,dTEC,ipplat,ipplon
2023-02-01 04:14:02,0.026324421,30.49742,31.81134
2023-02-01 04:14:07,0.03745367,30.49998,31.81153
2023-02-01 04:14:12,-0.076471424,30.51654,31.81627
2023-02-01 04:14:17,0.006538743,30.5191,31.81646
2023-02-01 04:14:22,-0.205667921,30.52165,31.81666
2023-02-01 04:14:27,0.001867093,30.52421,31.81685
2023-02-01 04:14:32,-0.006846302,30.54074,31.82158
2023-02-01 04:14:37,-0.002655188,30.54329,31.82178
2023-02-01 04:14:42,-0.096964144,30.54584,31.82197
2023-02-01 04:14:47,-0.093054341,30.5484,31.82217
2023-02-01 04:14:52,-0.088698445,30.55095,31.82236
2023-02-01 04:14:57,0.007294088,30.56745,31.82709
2023-02-01 04:15:02,-0.046091393,30.57,31.82728
2023-02-01 04:15:07,0.008593372,30.57254,31.82748
2023-02-01 04:15:12,0.006030352,30.5751,31.82767
2023-02-01 04:15:17,0.003675226,30.59156,31.8324
2023-02-01 04:15:22,-0.097420217,30.5941,31.83259
2023-02-01 04:15:27,-0.080559474,30.59665,31.83278
2023-02-01 04:15:32,-0.102742734,30.5992,31.83297
2023-02-01 04:15:37,-0.013551669,30.61563,31.8377
2023-02-01 04:15:42,-0.029213944,30.61817,31.83789
2023-02-01 04:15:47,-0.019053805,30.62071,31.83808
2023-02-01 04:15:52,-0.126674788,30.62326,31.83827
2023-02-01 04:15:57,-0.109761915,30.6258,31.83846
2023-02-01 04:16:02,-0.093116492,30.6422,31.84318
2023-02-01 04:16:07,-0.004114912,30.64474,31.84337
2023-02-01 04:16:12,-0.111866052,30.64728,31.84356
2023-02-01 04:16:17,-0.081923976,30.64982,31.84375
2023-02-01 04:16:22,0.000395469,30.66618,31.84848
2023-02-01 04:16:27,-0.048701051,30.66871,31.84866
2023-02-01 04:16:32,0.053056148,30.67125,31.84885
2023-02-01 04:16:37,0.043608862,30.67379,31.84904
2023-02-01 04:16:42,0.027310006,30.67633,31.84922
2023-02-01 04:16:47,-0.054598393,30.69265,31.85395
2023-02-01 04:16:52,-0.064389291,30.69518,31.85413
2023-02-01 04:16:57,0.01791427,30.69772,31.85432
2023-02-01 04:17:02,0.008049164,30.70026,31.8545
