Time,dTEC,ipplat,ipplon
2023-02-01 00:00:02,0.010085405,35.30095,33.61941
2023-02-01 00:00:07,0.011204309,35.3026,33.62008
2023-02-01 00:00:12,-0.000704433,35.30424,33.62075
2023-02-01 00:00:17,0.013478957,35.30589,33.62143
2023-02-01 00:00:22,-0.007099748,35.30753,33.6221
2023-02-01 00:00:27,-0.005932777,35.30918,33.62278
2023-02-01 00:00:32,-0.004182363,35.31082,33.62345
2023-02-01 00:00:37,-0.003564741,35.31246,33.62413
2023-02-01 00:00:42,-0.013852148,35.3141,33.62481
2023-02-01 00:00:47,-0.014037823,35.31575,33.62549
2023-02-01 00:00:52,-0.004122008,35.31739,33.62617
2023-02-01 00:00:57,-0.004338943,35.31903,33.62685
2023-02-01 00:01:02,-0.014688874,35.32067,33.62753
2023-02-01 00:01:07,-0.015980043,35.32231,33.62822
2023-02-01 00:01:12,-0.016522695,35.32395,33.6289
2023-02-01 00:01:17,-0.015407075,35.32559,33.62958
2023-02-01 00:01:22,-0.005278428,35.32723,33.63027
2023-02-01 00:01:27,-0.017029998,35.32886,33.63096
2023-02-01 00:01:32,-0.015889029,35.3305,33.63164
2023-02-01 00:01:37,-0.018774763,35.33214,33.63233
2023-02-01 00:01:42,-0.013114443,35.33378,33.63302
2023-02-01 00:01:47,-0.007447308,35.33541,33.63371
2023-02-01 00:01:52,0.002575403,35.33705,33.6344
2023-02-01 00:01:57,-0.013475548,35.33868,33.6351
2023-02-01 00:02:02,-0.012132395,35.34031,33.63579
2023-02-01 00:02:07,-0.01947637,35.34195,33.63648
2023-02-01 00:02:12,-0.005078704,35.34358,33.63718
2023-02-01 00:02:17,-0.008062624,35.34521,33.63787
2023-02-01 00:02:22,-0.011040355,35.34685,33.63857
2023-02-01 00:02:27,-0.014012118,35.34848,33.63926
2023-02-01 00:02:32,-0.016977131,35.35124,33.64128
2023-02-01 00:02:37,-0.01559061,35.35288,33.64199
2023-02-01 00:02:42,-0.014043765,35.35452,33.64269
2023-02-01 00:02:47,-0.012801804,35.35615,33.64339
2023-02-01 00:02:52,-0.019938931,35.35779,33.6441
2023-02-01 00:02:57,-0.014340347,35.35943,33.64481
2023-02-01 00:03:02,-0.012929246,35.36106,33.64551
2023-02-01 00:03:07,-0.011513822,35.3627,33.64622
2023-02-01 00:03:12,-0.009939261,35.36433,33.64693
2023-02-01 00:03:17,-0.004323746,35.36597,33.64764
2023-02-01 00:03:22,-0.007243458,35.3676,33.64835
2023-02-01 00:03:27,-0.00581257,35.36924,33.64906
2023-02-01 00:03:32,-0.008725252,35.37087,33.64978
2023-02-01 00:03:37,-0.011478671,35.3725,33.65049
2023-02-01 00:03:42,-0.001499986,35.37414,33.6512
2023-02-01 00:03:47,-5.6355e-05,35.37577,33.65192
2023-02-01 00:03:52,-0.007303928,35.3774,33.65264
2023-02-01 00:03:57,-0.010045855,35.37903,33.65335
2023-02-01 00:04:02,0.004445724,35.38066,33.65407
2023-02-01 00:04:07,-0.007140331,35.38229,33.65479
2023-02-01 00:04:12,-0.005684152,35.38392,33.65551
2023-02-01 00:04:17,-3.4868e-05,35.38554,33.65623
2023-02-01 00:04:22,0.014466396,35.38717,33.65695
2023-02-01 00:04:27,-0.00130348,35.3888,33.65767
2023-02-01 00:04:32,0.008698389,35.39042,33.6584
2023-02-01 00:04:37,0.001625892,35.39205,33.65912
2023-02-01 00:04:42,-0.001254077,35.39368,33.65985
2023-02-01 00:04:47,5.9379e-05,35.3953,33.66058
2023-02-01 00:04:52,0.006031162,35.39692,33.6613
2023-02-01 00:04:57,0.003000178,35.39855,33.66203
2023-02-01 00:05:02,0.004472337,35.40017,33.66276
2023-02-01 00:05:07,0.006100555,35.40179,33.66349
2023-02-01 00:05:12,0.011921748,35.40341,33.66422
2023-02-01 00:05:17,0.009049839,35.40504,33.66495
2023-02-01 00:05:22,0.010525754,35.40666,33.66568
2023-02-01 00:05:27,0.007655423,35.40828,33.66642
2023-02-01 00:05:32,0.013479779,35.4099,33.66715
2023-02-01 00:05:37,0.010455758,35.41152,33.66789
2023-02-01 00:05:42,0.003396301,35.41313,33.66862
2023-02-01 00:05:47,-0.008009649,35.41475,33.66936
2023-02-01 00:05:52,-0.002339145,35.41637,33.6701
2023-02-01 00:05:57,0.003487763,35.41798,33.67084
2023-02-01 00:06:02,0.004968028,35.4196,33.67158
2023-02-01 00:06:07,-0.002245394,35.42122,33.67232
2023-02-01 00:06:12,-0.000764546,35.42283,33.67306
2023-02-01 00:06:17,-0.003629464,35.42444,33.6738
2023-02-01 00:06:22,-0.002148186,35.42606,33.67455
2023-02-01 00:06:27,-0.005013746,35.42767,33.67529
2023-02-01 00:06:32,-0.003532173,35.42928,33.67604
2023-02-01 00:06:37,-0.001895497,35.4309,33.67678
2023-02-01 00:06:42,0.008124254,35.43251,33.67753
2023-02-01 00:06:47,-0.003433943,35.43412,33.67828
2023-02-01 00:06:52,0.006741889,35.43573,33.67903
2023-02-01 00:06:57,0.004031728,35.43734,33.67978
2023-02-01 00:07:02,-0.003179445,35.43895,33.68053
2023-02-01 00:07:07,-0.001697648,35.44056,33.68128
2023-02-01 00:07:12,-0.000215896,35.44216,33.68203
2023-02-01 00:07:17,-0.011930206,35.44377,33.68278
2023-02-01 00:07:22,-0.001754591,35.44538,33.68354
2023-02-01 00:07:27,0.004228937,35.44698,33.68429
2023-02-01 00:07:32,0.005554365,35.44859,33.68505
2023-02-01 00:07:37,0.002844682,35.45019,33.68581
2023-02-01 00:07:42,-0.008870121,35.4518,33.68656
2023-02-01 00:07:47,-0.007233055,35.4534,33.68732
2023-02-01 00:07:52,-0.010254128,35.455,33.68808
2023-02-01 00:07:57,7.4651e-05,35.45661,33.68884
2023-02-01 00:08:02,0.001555273,35.45821,33.6896
2023-02-01 00:08:07,0.003035731,35.45981,33.69037
2023-02-01 00:08:12,0.004516015,35.46141,33.69113
2023-02-01 00:08:17,0.005841117,35.46301,33.6919
2023-02-01 00:08:22,0.00313003,35.46461,33.69266
2023-02-01 00:08:27,0.000262743,35.46621,33.69343
2023-02-01 00:08:32,0.005933248,35.46781,33.69419
2023-02-01 00:08:37,0.011914535,35.46941,33.69496
2023-02-01 00:08:42,0.004700594,35.471,33.69573
2023-02-01 00:08:47,0.006179413,35.4726,33.6965
2023-02-01 00:08:52,0.003310981,35.4742,33.69727
2023-02-01 00:08:57,0.013327285,35.47579,33.69804
2023-02-01 00:09:02,0.006112312,35.47738,33.69882
2023-02-01 00:09:07,0.003398045,35.47898,33.69959
2023-02-01 00:09:12,-0.003817529,35.48057,33.70036
2023-02-01 00:09:17,0.00635257,35.48217,33.70114
2023-02-01 00:09:22,0.007829325,35.48376,33.70192
2023-02-01 00:09:27,0.000612716,35.48535,33.70269
2023-02-01 00:09:32,0.002243721,35.48694,33.70347
2023-02-01 00:09:37,-0.000782683,35.48853,33.70425
2023-02-01 00:09:42,-0.003654521,35.49012,33.70503
2023-02-01 00:09:47,-0.002179818,35.49171,33.70581
2023-02-01 00:09:52,0.003641397,35.4933,33.70659
2023-02-01 00:09:57,-0.007924906,35.49489,33.70737
2023-02-01 00:10:02,-0.010798759,35.49647,33.70816
2023-02-01 00:10:07,-0.000633194,35.49806,33.70894
2023-02-01 00:10:12,0.005340751,35.49965,33.70973
2023-02-01 00:10:17,0.00665704,35.50123,33.71051
2023-02-01 00:10:22,-0.000410368,35.50282,33.7113
2023-02-01 00:10:27,-0.003442515,35.5044,33.71209
2023-02-01 00:10:32,-0.001818444,35.50598,33.71288
2023-02-01 00:10:37,-0.009043201,35.50757,33.71367
2023-02-01 00:10:42,-0.007731837,35.50915,33.71446
2023-02-01 00:10:47,-0.0061094,35.51073,33.71525
2023-02-01 00:10:52,-0.008990944,35.51231,33.71604
2023-02-01 00:10:57,0.001166474,35.51389,33.71684
2023-02-01 00:11:02,0.002005798,35.51547,33.71763
2023-02-01 00:11:07,-0.000254032,35.51705,33.71843
2023-02-01 00:11:12,-0.00314008,35.51863,33.71922
2023-02-01 00:11:17,0.00701259,35.52021,33.72002
2023-02-01 00:11:22,0.00412491,35.52179,33.72082
2023-02-01 00:11:27,-0.003112189,35.52336,33.72162
2023-02-01 00:11:32,-0.00165678,35.52494,33.72242
2023-02-01 00:11:37,0.008491063,35.52651,33.72322
2023-02-01 00:11:42,0.005596263,35.52809,33.72402
2023-02-01 00:11:47,0.01139374,35.52966,33.72482
2023-02-01 00:11:52,0.004148412,35.53333,33.7274
2023-02-01 00:11:57,-0.003097804,35.53491,33.72821
2023-02-01 00:12:02,-0.001652996,35.53649,33.72902
2023-02-01 00:12:07,0.004135747,35.53807,33.72983
2023-02-01 00:12:12,0.005576334,35.53965,33.73064
2023-02-01 00:12:17,0.002668672,35.54123,33.73146
2023-02-01 00:12:22,0.008450665,35.54281,33.73227
2023-02-01 00:12:27,0.009729215,35.54439,33.73308
2023-02-01 00:12:32,0.006969221,35.54596,33.7339
2023-02-01 00:12:37,0.004050582,35.54754,33.73472
2023-02-01 00:12:42,0.001129192,35.54912,33.73553
2023-02-01 00:12:47,0.002551946,35.55069,33.73635
2023-02-01 00:12:52,0.008318735,35.55226,33.73717
2023-02-01 00:12:57,0.005388449,35.55384,33.73799
2023-02-01 00:13:02,0.002454975,35.55541,33.73881
2023-02-01 00:13:07,0.0040202,35.55698,33.73963
2023-02-01 00:13:12,0.005272009,35.55856,33.74045
2023-02-01 00:13:17,0.002328284,35.56013,33.74128
2023-02-01 00:13:22,0.012421907,35.5617,33.7421
2023-02-01 00:13:27,0.000932757,35.56327,33.74293
2023-02-01 00:13:32,-0.002177287,35.56484,33.74376
2023-02-01 00:13:37,-0.005136348,35.5664,33.74458
2023-02-01 00:13:42,0.005096451,35.56797,33.74541
2023-02-01 00:13:47,-0.006564015,35.56954,33.74624
2023-02-01 00:13:52,-0.000842873,35.57111,33.74707
2023-02-01 00:13:57,0.004874751,35.57267,33.7479
2023-02-01 00:14:02,0.001893728,35.57424,33.74873
2023-02-01 00:14:07,0.007601932,35.5758,33.74957
2023-02-01 00:14:12,-0.008428767,35.57736,33.7504
2023-02-01 00:14:17,0.001616501,35.57893,33.75123
2023-02-01 00:14:22,0.002806608,35.58049,33.75207
2023-02-01 00:14:27,-4.3578e-05,35.58205,33.75291
2023-02-01 00:14:32,0.014176815,35.58361,33.75374
2023-02-01 00:14:37,-0.001725345,35.58517,33.75458
2023-02-01 00:14:42,-0.000556186,35.58673,33.75542
2023-02-01 00:14:47,0.000762161,35.58829,33.75626
2023-02-01 00:14:52,0.006421568,35.58985,33.7571
2023-02-01 00:14:57,0.007727904,35.59141,33.75794
2023-02-01 00:15:02,-0.003856959,35.59296,33.75879
2023-02-01 00:15:07,-0.002563147,35.59452,33.75963
2023-02-01 00:15:12,-0.005622789,35.59608,33.76048
2023-02-01 00:15:17,-0.00434201,35.59763,33.76132
2023-02-01 00:15:22,-0.003067936,35.59919,33.76217
2023-02-01 00:15:27,0.00689231,35.60074,33.76302
2023-02-01 00:15:32,-0.000540395,35.60229,33.76387
2023-02-01 00:15:37,0.005059828,35.60385,33.76471
2023-02-01 00:15:42,-0.002233141,35.6054,33.76556
2023-02-01 00:15:47,-0.009842422,35.60695,33.76642
2023-02-01 00:15:52,-0.00861113,35.6085,33.76727
2023-02-01 00:15:57,-0.01173438,35.61005,33.76812
2023-02-01 00:16:02,-0.006171286,35.6116,33.76897
2023-02-01 00:16:07,-0.009154958,35.61315,33.76983
2023-02-01 00:16:12,0.013624494,35.61469,33.77069
2023-02-01 00:16:17,0.001775963,35.61624,33.77154
2023-02-01 00:16:22,-0.001385656,35.61779,33.7724
2023-02-01 00:16:27,-0.000209464,35.61933,33.77326
2023-02-01 00:16:32,0.005460438,35.62088,33.77412
2023-02-01 00:16:37,-0.010768048,35.62242,33.77498
2023-02-01 00:16:42,-0.009772016,35.62397,33.77584
2023-02-01 00:16:47,6.4441e-05,35.62551,33.7767
2023-02-01 00:16:52,-0.003148766,35.62705,33.77757
2023-02-01 00:16:57,-0.006370725,35.62859,33.77843
2023-02-01 00:17:02,-0.005254519,35.63013,33.7793
2023-02-01 00:17:07,-0.00414723,35.63167,33.78016
2023-02-01 00:17:12,-0.002893937,35.63321,33.78103
2023-02-01 00:17:17,-0.006306714,35.63475,33.7819
2023-02-01 00:17:22,-0.009572634,35.63629,33.78276
2023-02-01 00:17:27,-0.017040766,35.63783,33.78363
2023-02-01 00:17:32,-0.003094177,35.63936,33.78451
2023-02-01 00:17:37,-0.02361993,35.6409,33.78538
2023-02-01 00:17:42,-0.009537084,35.64244,33.78625
2023-02-01 00:17:47,-0.017196698,35.64397,33.78712
2023-02-01 00:17:52,0.001214176,35.6455,33.788
2023-02-01 00:17:57,-0.006465513,35.64704,33.78887
2023-02-01 00:18:02,-0.001113812,35.64857,33.78975
