Time,dTEC,ipplat,ipplon
2023-02-01 15:55:27,0.00671962,45.81791,7.46251
2023-02-01 15:55:32,0.006609436,45.81892,7.46113
2023-02-01 15:55:37,0.024126938,45.81994,7.45975
2023-02-01 15:55:42,0.025663223,45.82095,7.45837
2023-02-01 15:55:47,0.025320279,45.82196,7.457
2023-02-01 15:55:52,0.024978683,45.82298,7.45562
2023-02-01 15:55:57,0.021348505,45.82399,7.45424
2023-02-01 15:56:02,0.024245807,45.82501,7.45287
2023-02-01 15:56:07,0.012683437,45.82602,7.45149
2023-02-01 15:56:12,0.025511538,45.82704,7.45012
2023-02-01 15:56:17,0.010373739,45.82806,7.44875
2023-02-01 15:56:22,0.024852461,45.82907,7.44737
2023-02-01 15:56:27,0.032753412,45.83008,7.446
2023-02-01 15:56:32,0.011043892,45.8311,7.44462
2023-02-01 15:56:37,0.024122088,45.83212,7.44325
2023-02-01 15:56:42,0.031798376,45.83313,7.44188
2023-02-01 15:56:47,0.029841922,45.83415,7.44051
2023-02-01 15:56:52,0.033060279,45.83516,7.43914
2023-02-01 15:56:57,0.008078989,45.83618,7.43777
2023-02-01 15:57:02,0.014360882,45.8372,7.4364
2023-02-01 15:57:07,0.040389577,45.83821,7.43503
2023-02-01 15:57:12,0.030228081,45.83923,7.43366
2023-02-01 15:57:17,0.023903788,45.84024,7.43229
2023-02-01 15:57:22,0.023031581,45.84126,7.43092
2023-02-01 15:57:27,0.029619731,45.84228,7.42955
2023-02-01 15:57:32,0.023002097,45.84329,7.42818
2023-02-01 15:57:37,0.026025524,45.84431,7.42681
2023-02-01 15:57:42,0.001085149,45.84532,7.42545
2023-02-01 15:57:47,0.007408594,45.84634,7.42408
2023-02-01 15:57:52,0.02031777,45.84736,7.42271
2023-02-01 15:57:57,0.013489176,45.84838,7.42135
2023-02-01 15:58:02,0.00361,45.84939,7.41998
2023-02-01 15:58:07,0.021469118,45.85041,7.41862
2023-02-01 15:58:12,0.021000694,45.85142,7.41725
2023-02-01 15:58:17,-0.006726318,45.85244,7.41589
2023-02-01 15:58:22,-0.006950377,45.84311,7.38462
2023-02-01 15:58:27,0.009047349,45.84412,7.38326
2023-02-01 15:58:32,0.00248648,45.84513,7.3819
2023-02-01 15:58:37,0.002276125,45.84614,7.38055
2023-02-01 15:58:42,0.010295882,45.84716,7.37919
2023-02-01 15:58:47,0.019965042,45.84817,7.37784
2023-02-01 15:58:52,0.011541183,45.84918,7.37648
2023-02-01 15:58:57,0.014637673,45.85019,7.37513
2023-02-01 15:59:02,0.017737972,45.85121,7.37377
2023-02-01 15:59:07,0.01261593,45.85222,7.37242
2023-02-01 15:59:12,-0.010365011,45.85323,7.37107
2023-02-01 15:59:17,-0.007254321,45.85424,7.36972
2023-02-01 15:59:22,0.012311726,45.85526,7.36836
2023-02-01 15:59:27,-0.010894757,45.85627,7.36701
2023-02-01 15:59:32,0.00562164,45.85728,7.36566
2023-02-01 15:59:37,-0.027450585,45.8583,7.36431
2023-02-01 15:59:42,-0.004583438,45.85931,7.36296
2023-02-01 15:59:47,-0.012973136,45.86032,7.36161
2023-02-01 15:59:52,-0.030997298,45.86133,7.36026
2023-02-01 15:59:57,-0.014940154,45.86235,7.35891
2023-02-01 16:00:02,0.001353363,45.86336,7.35756
2023-02-01 16:00:07,-0.007029887,45.86437,7.35621
2023-02-01 16:00:12,-0.01024165,45.86539,7.35486
2023-02-01 16:00:17,-0.002171177,45.8664,7.35352
2023-02-01 16:00:22,-0.017133024,45.86741,7.35217
2023-02-01 16:00:27,-0.008827051,45.86843,7.35082
2023-02-01 16:00:32,-0.009216923,45.86944,7.34948
2023-02-01 16:00:37,-0.00420141,45.87046,7.34813
2023-02-01 16:00:42,-0.022454485,45.87147,7.34679
2023-02-01 16:00:47,-0.004514023,45.87248,7.34544
2023-02-01 16:00:52,-0.003026604,45.8735,7.3441
2023-02-01 16:00:57,-0.003185811,45.87451,7.34276
2023-02-01 16:01:02,-0.00854563,45.87552,7.34141
2023-02-01 16:01:07,0.004951253,45.87654,7.34007
2023-02-01 16:01:12,-0.029763253,45.87755,7.33873
2023-02-01 16:01:17,-0.00196264,45.87857,7.33738
2023-02-01 16:01:22,-0.010359399,45.87958,7.33604
2023-02-01 16:01:27,-0.010533227,45.8806,7.3347
2023-02-01 16:01:32,-0.000839418,45.88161,7.33336
2023-02-01 16:01:37,0.01049603,45.87206,7.30236
2023-02-01 16:01:42,0.002084821,45.87307,7.30103
2023-02-01 16:01:47,0.000250056,45.87408,7.29969
2023-02-01 16:01:52,0.011807439,45.87508,7.29836
2023-02-01 16:01:57,0.002605272,45.8761,7.29703
2023-02-01 16:02:02,-0.008338444,45.8771,7.2957
2023-02-01 16:02:07,-0.021475005,45.87811,7.29437
2023-02-01 16:02:12,-0.010807508,45.87912,7.29304
2023-02-01 16:02:17,-0.010396248,45.88013,7.2917
2023-02-01 16:02:22,-0.01391492,45.88114,7.29038
2023-02-01 16:02:27,0.023689782,45.88215,7.28905
2023-02-01 16:02:32,-0.012511834,45.88316,7.28772
2023-02-01 16:02:37,-0.022632358,45.88417,7.28639
2023-02-01 16:02:42,-0.001736681,45.88518,7.28506
2023-02-01 16:02:47,-0.013518089,45.88619,7.28373
2023-02-01 16:02:52,-0.000394367,45.8872,7.2824
2023-02-01 16:02:57,-0.005611501,45.88821,7.28108
2023-02-01 16:03:02,0.000679129,45.88922,7.27975
2023-02-01 16:03:07,-0.002910557,45.89023,7.27843
2023-02-01 16:03:12,-0.021081136,45.89124,7.2771
2023-02-01 16:03:17,-0.021399384,45.89226,7.27578
2023-02-01 16:03:22,0.002715628,45.89326,7.27445
2023-02-01 16:03:27,-0.01877497,45.89428,7.27313
2023-02-01 16:03:32,-0.007606947,45.89529,7.2718
2023-02-01 16:03:37,-0.001385168,45.8963,7.27048
2023-02-01 16:03:42,-0.009746194,45.89731,7.26916
2023-02-01 16:03:47,0.002799413,45.89832,7.26784
2023-02-01 16:03:52,-0.040133603,45.89933,7.26652
2023-02-01 16:03:57,-0.011158996,45.90034,7.2652
2023-02-01 16:04:02,-0.026147021,45.90135,7.26387
2023-02-01 16:04:07,-0.037856925,45.90236,7.26255
2023-02-01 16:04:12,-0.031951856,45.90337,7.26123
2023-02-01 16:04:17,-0.033815458,45.90438,7.25992
2023-02-01 16:04:22,-0.017829774,45.9054,7.2586
2023-02-01 16:04:27,-0.013373642,45.90641,7.25728
2023-02-01 16:04:32,-0.007520802,45.90742,7.25596
2023-02-01 16:04:37,-0.009437486,45.90843,7.25464
2023-02-01 16:04:42,-0.012677528,45.90944,7.25333
2023-02-01 16:04:47,-0.008847158,45.91045,7.25201
2023-02-01 16:04:52,-0.017386905,45.91146,7.25069
2023-02-01 16:04:57,-0.009959294,45.91248,7.24938
2023-02-01 16:05:02,0.006149649,45.91349,7.24806
2023-02-01 16:05:07,-0.007604996,45.9145,7.24675
2023-02-01 16:05:12,0.016464748,45.90471,7.21604
2023-02-01 16:05:17,0.004324663,45.90571,7.21474
2023-02-01 16:05:22,-0.006186067,45.90672,7.21343
