Time,dTEC,ipplat,ipplon
2023-02-01 15:38:02,0.068874318,39.50414,-2.00501
2023-02-01 15:38:07,0.070397087,39.50688,-2.00482
2023-02-01 15:38:12,0.060890717,39.50962,-2.00464
2023-02-01 15:38:17,0.064328599,39.52471,-1.99458
2023-02-01 15:38:22,0.041696593,39.52744,-1.99439
2023-02-01 15:38:27,0.032245335,39.53017,-1.9942
2023-02-01 15:38:32,0.030804727,39.5329,-1.99401
2023-02-01 15:38:37,0.037610445,39.54795,-1.98394
2023-02-01 15:38:42,0.018348532,39.55068,-1.98375
2023-02-01 15:38:47,0.030131803,39.55341,-1.98356
2023-02-01 15:38:52,0.020784241,39.55613,-1.98337
2023-02-01 15:38:57,0.011223897,39.55886,-1.98318
2023-02-01 15:39:02,0.011792392,39.57387,-1.9731
2023-02-01 15:39:07,0.000632416,39.57659,-1.9729
2023-02-01 15:39:12,-0.007213674,39.57932,-1.97271
2023-02-01 15:39:17,0.006351649,39.58204,-1.97251
2023-02-01 15:39:22,-0.001211723,39.59701,-1.96243
2023-02-01 15:39:27,0.001120475,39.59973,-1.96223
2023-02-01 15:39:32,-0.009919628,39.60244,-1.96203
2023-02-01 15:39:37,0.002097968,39.60516,-1.96183
2023-02-01 15:39:42,0.01084993,39.60788,-1.96163
2023-02-01 15:39:47,0.006700193,39.62281,-1.95154
2023-02-01 15:39:52,0.018869462,39.62552,-1.95133
2023-02-01 15:39:57,0.02597481,39.62823,-1.95113
2023-02-01 15:40:02,0.01861038,39.63095,-1.95093
2023-02-01 15:40:07,0.003044982,39.63366,-1.95072
2023-02-01 15:40:12,0.0298101,39.64855,-1.94062
2023-02-01 15:40:17,0.052134982,39.65125,-1.94041
2023-02-01 15:40:22,0.025128652,39.65396,-1.9402
2023-02-01 15:40:27,0.035752002,39.65667,-1.94
2023-02-01 15:40:32,0.042874794,39.67152,-1.92989
2023-02-01 15:40:37,0.035920563,39.67422,-1.92968
2023-02-01 15:40:42,0.015124017,39.67692,-1.92947
2023-02-01 15:40:47,0.021145035,39.67963,-1.92925
2023-02-01 15:40:52,0.02554497,39.68233,-1.92904
2023-02-01 15:40:57,0.029733448,39.69713,-1.91892
2023-02-01 15:41:02,0.025719569,39.69983,-1.91871
2023-02-01 15:41:07,0.015147709,39.70253,-1.91849
2023-02-01 15:41:12,0.013059918,39.70523,-1.91828
2023-02-01 15:41:17,0.014049824,39.71999,-1.90815
2023-02-01 15:41:22,0.010361131,39.72269,-1.90793
2023-02-01 15:41:27,0.005048818,39.72538,-1.90772
2023-02-01 15:41:32,-0.015284254,39.72808,-1.9075
2023-02-01 15:41:37,0.002243052,39.73077,-1.90728
2023-02-01 15:41:42,-0.006532645,39.74549,-1.89714
2023-02-01 15:41:47,0.004688852,39.74818,-1.89692
2023-02-01 15:41:52,-0.007338378,39.75087,-1.8967
2023-02-01 15:41:57,-0.007595573,39.75356,-1.89647
2023-02-01 15:42:02,-0.019586191,39.75625,-1.89625
2023-02-01 15:42:07,-0.010171505,39.77092,-1.8861
2023-02-01 15:42:12,-0.020482505,39.77361,-1.88588
2023-02-01 15:42:17,-0.020670794,39.77629,-1.88565
2023-02-01 15:42:22,-0.014262692,39.77898,-1.88542
2023-02-01 15:42:27,-0.026171731,39.78166,-1.88519
2023-02-01 15:42:32,-0.010097957,39.79629,-1.87504
2023-02-01 15:42:37,-0.021087128,39.79897,-1.87481
2023-02-01 15:42:42,-0.022095213,39.80165,-1.87458
2023-02-01 15:42:47,-0.020788992,39.80433,-1.87435
2023-02-01 15:42:52,-0.032397754,39.80701,-1.87411
2023-02-01 15:42:57,-0.029423499,39.8216,-1.86396
2023-02-01 15:43:02,-0.019623234,39.82427,-1.86372
2023-02-01 15:43:07,-0.034726476,39.82695,-1.86348
2023-02-01 15:43:12,-0.020206947,39.82962,-1.86325
2023-02-01 15:43:17,-0.026832175,39.8323,-1.86301
2023-02-01 15:43:22,-0.032039797,39.84684,-1.85284
2023-02-01 15:43:27,-0.041941254,39.84951,-1.8526
2023-02-01 15:43:32,-0.045490989,39.85218,-1.85236
2023-02-01 15:43:37,-0.024357452,39.85485,-1.85212
2023-02-01 15:43:42,-0.035888597,39.86935,-1.84195
2023-02-01 15:43:47,-0.036134678,39.87201,-1.8417
2023-02-01 15:43:52,-0.047659354,39.87468,-1.84146
2023-02-01 15:43:57,-0.036383884,39.87734,-1.84122
2023-02-01 15:44:02,-0.054485831,39.88001,-1.84097
2023-02-01 15:44:07,-0.034982355,39.89446,-1.83079
2023-02-01 15:44:12,-0.048383119,39.89712,-1.83054
2023-02-01 15:44:17,-0.054969087,39.89978,-1.83029
2023-02-01 15:44:22,-0.058501221,39.90244,-1.83004
2023-02-01 15:44:27,-0.050519281,39.9051,-1.82979
2023-02-01 15:44:32,-0.039250229,39.91951,-1.8196
2023-02-01 15:44:37,-0.035976023,39.92217,-1.81935
2023-02-01 15:44:42,-0.042577821,39.92482,-1.8191
2023-02-01 15:44:47,-0.031322976,39.92748,-1.81884
2023-02-01 15:44:52,-0.021337643,39.93014,-1.81859
2023-02-01 15:44:57,-0.02692967,39.9445,-1.80839
2023-02-01 15:45:02,-0.015460504,39.94715,-1.80814
2023-02-01 15:45:07,-0.00752519,39.9498,-1.80788
2023-02-01 15:45:12,-0.014406067,39.95245,-1.80762
2023-02-01 15:45:17,0.000325927,39.9551,-1.80736
2023-02-01 15:45:22,5.26e-06,39.95775,-1.8071
2023-02-01 15:45:27,0.013070002,39.97206,-1.7969
2023-02-01 15:45:32,0.014136129,39.97471,-1.79663
2023-02-01 15:45:37,0.017304619,39.97735,-1.79637
2023-02-01 15:45:42,0.015288957,39.98,-1.79611
2023-02-01 15:45:47,0.02007493,39.98265,-1.79584
2023-02-01 15:45:52,0.022730531,39.99691,-1.78563
2023-02-01 15:45:57,0.024195459,39.99955,-1.78536
2023-02-01 15:46:02,0.036925316,40.00219,-1.7851
2023-02-01 15:46:07,0.016969109,40.00483,-1.78483
2023-02-01 15:46:12,0.01156685,40.00747,-1.78456
2023-02-01 15:46:17,0.019543059,40.02169,-1.77434
2023-02-01 15:46:22,0.017393657,40.02432,-1.77407
2023-02-01 15:46:27,0.010523974,40.02696,-1.77379
2023-02-01 15:46:32,0.006924244,40.0296,-1.77352
2023-02-01 15:46:37,0.002833306,40.03223,-1.77325
2023-02-01 15:46:42,-0.013970795,40.0464,-1.76302
2023-02-01 15:46:47,-0.017635906,40.04903,-1.76274
2023-02-01 15:46:52,-0.002051572,40.05166,-1.76247
2023-02-01 15:46:57,0.005518171,40.0543,-1.76219
2023-02-01 15:47:02,0.001782091,40.05693,-1.76191
2023-02-01 15:47:07,-0.003624135,40.05956,-1.76163
2023-02-01 15:47:12,-0.007410727,40.07368,-1.7514
2023-02-01 15:47:17,0.011339303,40.0763,-1.75112
2023-02-01 15:47:22,0.01901615,40.07893,-1.75083
2023-02-01 15:47:27,0.014914314,40.08155,-1.75055
2023-02-01 15:47:32,0.028881603,40.08418,-1.75027
2023-02-01 15:47:37,0.026603332,40.09825,-1.74002
2023-02-01 15:47:42,0.030641722,40.10087,-1.73974
2023-02-01 15:47:47,0.029949801,40.10349,-1.73945
2023-02-01 15:47:52,0.025467205,40.10611,-1.73916
2023-02-01 15:47:57,0.044456678,40.10873,-1.73888
2023-02-01 15:48:02,0.035446269,40.12275,-1.72862
2023-02-01 15:48:07,0.039330539,40.12537,-1.72834
2023-02-01 15:48:12,0.034956353,40.12799,-1.72804
2023-02-01 15:48:17,0.028903885,40.1306,-1.72775
2023-02-01 15:48:22,0.029633919,40.13322,-1.72746
2023-02-01 15:48:27,0.011997546,40.13584,-1.72717
2023-02-01 15:48:32,0.010778766,40.1498,-1.71691
2023-02-01 15:48:37,0.019631288,40.15241,-1.71661
2023-02-01 15:48:42,0.01505153,40.15502,-1.71632
2023-02-01 15:48:47,0.03041342,40.15763,-1.71602
2023-02-01 15:48:52,0.025761495,40.16025,-1.71572
2023-02-01 15:48:57,0.021307502,40.17416,-1.70545
2023-02-01 15:49:02,0.023162098,40.17677,-1.70515
2023-02-01 15:49:07,0.013697552,40.17938,-1.70485
2023-02-01 15:49:12,0.018531741,40.18198,-1.70455
2023-02-01 15:49:17,0.015571154,40.18459,-1.70425
2023-02-01 15:49:22,0.007636093,40.1872,-1.70394
2023-02-01 15:49:27,0.015878769,40.20106,-1.69367
2023-02-01 15:49:32,0.010919905,40.20366,-1.69336
2023-02-01 15:49:37,0.009446438,40.20626,-1.69306
2023-02-01 15:49:42,0.007697616,40.20886,-1.69275
2023-02-01 15:49:47,0.010843499,40.21146,-1.69244
2023-02-01 15:49:52,-0.000623639,40.22528,-1.68216
2023-02-01 15:49:57,0.009020589,40.22787,-1.68185
2023-02-01 15:50:02,0.000479883,40.23047,-1.68154
2023-02-01 15:50:07,0.008440957,40.23306,-1.68123
2023-02-01 15:50:12,-0.00319366,40.23566,-1.68092
2023-02-01 15:50:17,0.009807372,40.23826,-1.6806
2023-02-01 15:50:22,0.002788112,40.25202,-1.67031
2023-02-01 15:50:27,-0.008974769,40.25461,-1.67
2023-02-01 15:50:32,0.000371815,40.2572,-1.66968
2023-02-01 15:50:37,-0.010067634,40.25979,-1.66936
2023-02-01 15:50:42,-0.022195798,40.26238,-1.66904
2023-02-01 15:50:47,-0.032487544,40.26497,-1.66872
2023-02-01 15:50:52,-0.034832224,40.27868,-1.65843
2023-02-01 15:50:57,-0.040276371,40.28126,-1.65811
2023-02-01 15:51:02,-0.037773705,40.28385,-1.65779
2023-02-01 15:51:07,-0.041896228,40.28643,-1.65746
2023-02-01 15:51:12,-0.049118324,40.28902,-1.65714
2023-02-01 15:51:17,-0.038522764,40.2916,-1.65681
2023-02-01 15:51:22,-0.052649697,40.30525,-1.64651
2023-02-01 15:51:27,-0.04026296,40.30783,-1.64618
2023-02-01 15:51:32,-0.04601787,40.31041,-1.64586
2023-02-01 15:51:37,-0.029019627,40.31299,-1.64553
2023-02-01 15:51:42,-0.022172115,40.31557,-1.6452
2023-02-01 15:51:47,-0.0393421,40.32918,-1.63489
2023-02-01 15:51:52,-0.02412253,40.33175,-1.63456
2023-02-01 15:51:57,-0.022108838,40.33432,-1.63422
2023-02-01 15:52:02,-0.008309736,40.3369,-1.63389
2023-02-01 15:52:07,-0.007143423,40.33947,-1.63356
