Time,dTEC,ipplat,ipplon
2023-02-01 11:27:32,0.013192937,40.83319,-3.87887
2023-02-01 11:27:37,0.004606148,40.8443,-3.86336
2023-02-01 11:27:42,0.010442037,40.8474,-3.8623
2023-02-01 11:27:47,-0.008892859,40.8505,-3.86124
2023-02-01 11:27:52,0.011512982,40.85359,-3.86018
2023-02-01 11:27:57,-0.013237934,40.86466,-3.84466
2023-02-01 11:28:02,-0.016902012,40.86775,-3.8436
2023-02-01 11:28:07,0.004899524,40.87084,-3.84253
2023-02-01 11:28:12,0.003817236,40.87393,-3.84146
2023-02-01 11:28:17,-0.001303531,40.88496,-3.82594
2023-02-01 11:28:22,0.00438525,40.88804,-3.82487
2023-02-01 11:28:27,0.005846189,40.89112,-3.8238
2023-02-01 11:28:32,-0.027186824,40.8942,-3.82272
2023-02-01 11:28:37,-0.004485314,40.90518,-3.8072
2023-02-01 11:28:42,0.006184771,40.90825,-3.80612
2023-02-01 11:28:47,0.002349266,40.91132,-3.80504
2023-02-01 11:28:52,-0.007044814,40.9144,-3.80396
2023-02-01 11:28:57,-0.007648476,40.91747,-3.80287
2023-02-01 11:29:02,-0.020426744,40.9284,-3.78735
2023-02-01 11:29:07,-0.005949766,40.93146,-3.78626
2023-02-01 11:29:12,-0.029961509,40.93453,-3.78517
2023-02-01 11:29:17,-0.031548659,40.93759,-3.78408
2023-02-01 11:29:22,-0.035837726,40.94848,-3.76856
2023-02-01 11:29:27,-0.00399624,40.95154,-3.76746
2023-02-01 11:29:32,-0.03367565,40.95459,-3.76637
2023-02-01 11:29:37,-0.015231928,40.95765,-3.76527
2023-02-01 11:29:42,-0.005009866,40.96849,-3.74974
2023-02-01 11:29:47,-0.021283276,40.97154,-3.74864
2023-02-01 11:29:52,0.021988009,40.97459,-3.74754
2023-02-01 11:29:57,0.036098836,40.97764,-3.74644
2023-02-01 11:30:02,0.039704133,40.98068,-3.74533
2023-02-01 11:30:07,0.033755607,40.99148,-3.7298
2023-02-01 11:30:12,0.039763247,40.99452,-3.7287
2023-02-01 11:30:17,0.052397123,40.99756,-3.72759
2023-02-01 11:30:22,0.059664788,41.00059,-3.72648
2023-02-01 11:30:27,0.069751577,41.01134,-3.71094
2023-02-01 11:30:32,0.031832807,41.01437,-3.70983
2023-02-01 11:30:37,0.062976079,41.0174,-3.70871
2023-02-01 11:30:42,0.064768181,41.02044,-3.7076
2023-02-01 11:30:47,0.070521084,41.02347,-3.70648
2023-02-01 11:30:52,0.067100146,41.03416,-3.69094
2023-02-01 11:30:57,0.050127112,41.03719,-3.68982
2023-02-01 11:31:02,0.074298415,41.04021,-3.6887
2023-02-01 11:31:07,0.076677678,41.04324,-3.68757
2023-02-01 11:31:12,0.064465914,41.05388,-3.67203
2023-02-01 11:31:17,0.075325126,41.0569,-3.6709
2023-02-01 11:31:22,0.071679511,41.05991,-3.66978
2023-02-01 11:31:27,0.08646016,41.06293,-3.66864
2023-02-01 11:31:32,0.080073059,41.06595,-3.66751
2023-02-01 11:31:37,0.066794691,41.07654,-3.65197
2023-02-01 11:31:42,0.094784335,41.07955,-3.65084
2023-02-01 11:31:47,0.086948473,41.08256,-3.6497
2023-02-01 11:31:52,0.080215485,41.08557,-3.64856
2023-02-01 11:31:57,0.069635855,41.09612,-3.63302
2023-02-01 11:32:02,0.081869071,41.09912,-3.63188
2023-02-01 11:32:07,0.053306928,41.10212,-3.63073
2023-02-01 11:32:12,0.077252226,41.10511,-3.62959
2023-02-01 11:32:17,0.078314877,41.10811,-3.62844
2023-02-01 11:32:22,0.070009702,41.11861,-3.6129
2023-02-01 11:32:27,0.076321139,41.1216,-3.61175
2023-02-01 11:32:32,0.048137836,41.12459,-3.6106
2023-02-01 11:32:37,0.04789576,41.12758,-3.60944
2023-02-01 11:32:42,0.047422197,41.13058,-3.60829
2023-02-01 11:32:47,0.057757754,41.14102,-3.59274
2023-02-01 11:32:52,0.05187216,41.144,-3.59159
2023-02-01 11:32:57,0.045945367,41.14698,-3.59043
2023-02-01 11:33:02,0.028175356,41.14997,-3.58926
2023-02-01 11:33:07,0.020833635,41.16037,-3.57372
2023-02-01 11:33:12,0.036102844,41.16334,-3.57256
2023-02-01 11:33:17,0.006217053,41.16632,-3.57139
2023-02-01 11:33:22,-0.00239013,41.16929,-3.57022
2023-02-01 11:33:27,0.015421135,41.17227,-3.56905
2023-02-01 11:33:32,-0.030576869,41.18261,-3.55351
2023-02-01 11:33:37,-0.020841622,41.18558,-3.55234
2023-02-01 11:33:42,-0.02846876,41.18854,-3.55116
2023-02-01 11:33:47,-0.033280574,41.19151,-3.54999
2023-02-01 11:33:52,-0.044984512,41.19447,-3.54881
2023-02-01 11:33:57,-0.040547471,41.20477,-3.53327
2023-02-01 11:34:02,-0.057468901,41.20773,-3.53209
2023-02-01 11:34:07,-0.049491997,41.21068,-3.5309
2023-02-01 11:34:12,-0.044027304,41.21364,-3.52972
2023-02-01 11:34:17,-0.047736711,41.2166,-3.52854
2023-02-01 11:34:22,-0.06080965,41.22684,-3.51299
2023-02-01 11:34:27,-0.043651997,41.22979,-3.5118
2023-02-01 11:34:32,-0.044803166,41.23273,-3.51061
2023-02-01 11:34:37,-0.051508511,41.23568,-3.50942
2023-02-01 11:34:42,-0.045704526,41.24588,-3.49388
2023-02-01 11:34:47,-0.032847638,41.24882,-3.49268
2023-02-01 11:34:52,-0.056971511,41.25176,-3.49149
2023-02-01 11:34:57,-0.021163743,41.2547,-3.49029
2023-02-01 11:35:02,-0.036513066,41.25764,-3.48909
2023-02-01 11:35:07,-0.034531342,41.26778,-3.47355
2023-02-01 11:35:12,-0.036305966,41.27071,-3.47235
2023-02-01 11:35:17,-0.040389663,41.27364,-3.47114
2023-02-01 11:35:22,-0.023367488,41.27657,-3.46994
2023-02-01 11:35:27,-0.019692024,41.27951,-3.46873
2023-02-01 11:35:32,-0.039831184,41.28959,-3.45319
2023-02-01 11:35:37,-0.062844309,41.29252,-3.45198
