Time,dTEC,ipplat,ipplon,IPP_alt,IPP_x,IPP_y,IPP_z,distance_to_earthquake
2023-02-01 19:41:22,0.018963193,34.35103,29.5777,350000,4835759.713937064,2744604.903047376,3776152.445549518,917.4009600498747
2023-02-01 19:41:27,-0.014537326,34.35324,29.57987,350000,4835528.832526667,2744716.0017646104,3776365.985375459,917.1315256989744
2023-02-01 19:41:32,-0.001009919,34.35545,29.58205,350000,4835297.463368346,2744827.926758048,3776579.5196448104,916.8613431530251
2023-02-01 19:41:37,0.013127565,34.35766,29.58422,350000,4835066.564569609,2744938.9901494198,3776793.0483572567,916.5919931067128
2023-02-01 19:41:42,0.00521229,34.35987,29.5864,350000,4834835.177986725,2745050.879734975,3777006.5715124733,916.3218949160436
2023-02-01 19:41:47,0.004274436,34.36208,29.58858,350000,4834603.782683818,2745162.7515953886,3777220.0891101444,916.0518389508411
2023-02-01 19:41:52,0.028015194,34.36428,29.59077,350000,4834372.47398134,2745275.775703393,3777432.63504464,915.7814769165298
2023-02-01 19:41:57,0.017596766,34.36648,29.59295,350000,4834141.635723136,2745387.93836807,3777645.1754711387,915.5119471408583
2023-02-01 19:42:02,0.026889362,34.36869,29.59514,350000,4833909.735108955,2745500.6007658327,3777858.6764445594,915.2412272610507
2023-02-01 19:42:07,0.0274862,34.37089,29.59732,350000,4833678.8794610035,2745612.7280562706,3778071.2058290793,914.9717815713359
2023-02-01 19:42:12,0.042674506,34.37308,29.59951,350000,4833448.110460549,2745726.0076723066,3778282.7636995045,914.7020287175721
2023-02-01 19:42:17,0.052429508,34.3705,29.61958,350000,4832634.217113939,2747503.190582852,3778033.5305671827,913.2302109569401
2023-02-01 19:42:22,0.051938438,34.37269,29.62177,350000,4832403.404893231,2747616.38210653,3778245.089409776,912.9604314761922
2023-02-01 19:42:27,0.038099529,34.37488,29.62396,350000,4832172.584008076,2747729.555978432,3778456.642793138,912.6906936592716
2023-02-01 19:42:32,0.057485014,34.37706,29.62614,350000,4831942.808495701,2747842.1955429427,3778667.224757112,912.4222289351552
2023-02-01 19:42:37,0.022541123,34.37924,29.62834,350000,4831712.065183002,2747956.504201044,3778877.8013109826,912.152225829806
2023-02-01 19:42:42,0.039143086,34.38142,29.63053,350000,4831481.792838342,2748069.95195286,3779088.372454444,911.8830539539897
2023-02-01 19:42:47,0.012595123,34.3836,29.63272,350000,4831251.511874043,2748183.3821308003,3779298.9381871894,911.6139234832709
2023-02-01 19:42:52,-0.012392549,34.38578,29.63492,350000,4831020.742623092,2748297.6379064284,3779509.498508911,911.3440445613048
2023-02-01 19:42:57,0.005321279,34.38796,29.63711,350000,4830790.444403734,2748411.03289444,3779720.053419305,911.0749969960527
2023-02-01 19:43:02,0.010103803,34.39013,29.63931,350000,4830560.232425166,2748525.5803180244,3779929.6371070305,910.8056413811393
2023-02-01 19:43:07,-0.005635789,34.38745,29.65933,350000,4829753.509075989,2750300.947546719,3779670.795645363,909.3429633764105
2023-02-01 19:43:12,0.013200676,34.38961,29.66152,350000,4829524.308150282,2750414.891963514,3779879.4147763774,909.0748116867481
2023-02-01 19:43:17,0.004262358,34.39178,29.66372,350000,4829294.044187585,2750529.334653958,3780088.9943867275,908.8054705980809
2023-02-01 19:43:22,-0.006678599,34.39394,29.66592,350000,4829064.346086627,2750644.086982564,3780297.602866801,908.5366113778447
2023-02-01 19:43:27,0.01810293,34.3961,29.66812,350000,4828834.639418666,2750758.8218106595,3780506.206033253,908.267793008409
2023-02-01 19:43:32,-0.015313947,34.39826,29.67032,350000,4828604.924185032,2750873.539137589,3780714.80388579,907.9990155237582
2023-02-01 19:43:37,0.013539855,34.40041,29.67252,350000,4828375.77491343,2750988.5663016574,3780922.4307301594,907.7307190279179
2023-02-01 19:43:42,-0.014715598,34.40257,29.67472,350000,4828146.042571678,2751103.248664481,3781131.0179785704,907.4620232182018
2023-02-01 19:43:47,-0.012523267,34.40472,29.67693,350000,4827916.396054727,2751219.0835738527,3781338.6342673176,907.1930186911941
2023-02-01 19:43:52,-0.003944135,34.40687,29.67914,350000,4827686.740975471,2751334.9009796665,3781546.2452900587,906.924054779444
2023-02-01 19:43:57,-0.000465212,34.40902,29.68134,350000,4827457.557553901,2751449.8583310186,3781753.8510464984,906.6559209111452
2023-02-01 19:44:02,-0.005344537,34.40623,29.7013,350000,4826659.024926744,2753222.846690309,3781484.445350053,905.2035618979247
2023-02-01 19:44:07,-0.003835178,34.40837,29.7035,350000,4826430.372748656,2753338.045677133,3781691.087070896,904.9358410761517
2023-02-01 19:44:12,-0.023568232,34.4105,29.70571,350000,4826201.806012693,2753454.3974036933,3781896.7579951086,904.6678115932621
2023-02-01 19:44:17,-0.020143831,34.41264,29.70792,350000,4825972.656296469,2753570.403985531,3782103.3893047883,904.3993824726925
2023-02-01 19:44:22,0.001936864,34.41478,29.71013,350000,4825743.498067699,2753686.3931383532,3782310.0153962607,904.1309937549227
2023-02-01 19:44:27,0.012402652,34.41691,29.71234,350000,4825514.905869428,2753802.6927383454,3782515.6707632756,903.8630847022865
2023-02-01 19:44:32,-0.001941699,34.41904,29.71455,350000,4825286.305198823,2753918.9749882277,3782721.3209601645,903.5952157306567
2023-02-01 19:44:37,0.007806539,34.42117,29.71677,350000,4825057.215387297,2754036.082018748,3782926.9659866425,903.3265980245768
2023-02-01 19:44:42,0.025502056,34.4233,29.71899,350000,4824828.117065328,2754153.171617983,3783132.6058424227,903.058020455526
2023-02-01 19:44:47,0.020873503,34.42542,29.7212,350000,4824600.065561322,2754269.729771066,3783337.2751182495,902.7907103699594
2023-02-01 19:44:52,0.00851449,34.42755,29.72342,350000,4824370.950261504,2754386.7845859355,3783542.9046560586,902.5222129863633
2023-02-01 19:44:57,0.039655585,34.42465,29.74331,350000,4823581.090154527,2756156.576340413,3783262.9382850043,901.0809794394569
2023-02-01 19:45:02,0.041488313,34.42676,29.74553,350000,4823353.080129349,2756274.2024111114,3783466.638904987,900.8133337924605
2023-02-01 19:45:07,0.048477154,34.42887,29.74775,350000,4823125.061678099,2756391.8112057787,3783670.3344501834,900.5457276523799
2023-02-01 19:45:12,0.050221544,34.43098,29.74996,350000,4822897.515903659,2756508.5609694063,3783874.024920317,900.2789493386437
2023-02-01 19:45:17,0.073578873,34.43309,29.75218,350000,4822669.480624692,2756626.1352498922,3784077.7103151097,900.0114223154744
2023-02-01 19:45:22,0.059711483,34.4352,29.75441,350000,4822440.955780938,2756744.5339271985,3784281.3906342825,899.743146602601
2023-02-01 19:45:27,0.072891669,34.43731,29.75663,350000,4822212.903638415,2756862.0736113475,3784485.0658775587,899.4756988193158
2023-02-01 19:45:32,0.078033676,34.43941,29.75886,350000,4821984.93649898,2756980.766143875,3784687.770795178,899.2079402474515
2023-02-01 19:45:37,0.0692387,34.44152,29.76108,350000,4821756.86751643,2757098.271269141,3784891.4359098882,898.940571643407
2023-02-01 19:45:42,0.085938886,34.44362,29.76331,350000,4821528.883534777,2757216.929241962,3785094.1307463935,898.6728919245517
2023-02-01 19:45:47,0.063242329,34.44572,29.76554,350000,4821300.891132666,2757335.569934092,3785296.8205539035,898.4052515839029
2023-02-01 19:45:52,0.06262607,34.4427,29.78536,350000,4820520.279963711,2759102.5191225116,3785005.3317227066,896.9755996488102
2023-02-01 19:45:57,0.044037099,34.4448,29.78759,350000,4820292.24358454,2759221.0757479477,3785208.0237334277,896.7079336057258
2023-02-01 19:46:02,0.043410353,34.44688,29.78982,350000,4820065.347870156,2759340.2729007816,3785408.780386517,896.4411826754534
2023-02-01 19:46:07,0.040961712,34.44897,29.79205,350000,4819837.869259543,2759459.1239826386,3785610.4972461066,896.1740328261075
2023-02-01 19:46:12,0.032569006,34.45105,29.79428,350000,4819610.956849199,2759578.2868445097,3785811.24400705,895.907359562499
2023-02-01 19:46:17,0.031972006,34.45314,29.79651,350000,4819383.4615094755,2759697.103554303,3786012.950926397,895.6402878248848
2023-02-01 19:46:22,0.007192431,34.45522,29.79874,350000,4819156.532408319,2759816.232122689,3786213.687794127,895.373692357431
2023-02-01 19:46:27,0.025292941,34.4573,29.80098,350000,4818929.113272911,2759936.1846251655,3786414.419726712,895.1063480019064
2023-02-01 19:46:32,0.023091143,34.45937,29.80322,350000,4818702.2604079265,2760056.4490654017,3786614.1817020564,894.8394792167558
2023-02-01 19:46:37,0.016420585,34.46145,29.80545,350000,4818475.306283064,2760175.526209325,3786814.9037872846,894.5730002056938
2023-02-01 19:46:42,-0.002326242,34.46352,29.80769,350000,4818248.436745888,2760295.7563917744,3787014.655962087,894.3062087086179
2023-02-01 19:46:47,0.001780097,34.4604,29.82745,350000,4817475.445328066,2762060.0715453853,3786713.5783515633,892.8864945033114
2023-02-01 19:46:52,0.00048398,34.46247,29.82969,350000,4817248.5314853545,2762180.218797775,3786913.33300612,892.6196783291402
2023-02-01 19:46:57,0.003254725,34.46453,29.83192,350000,4817022.665981669,2762299.837665261,3787112.1178089925,892.3541248342957
2023-02-01 19:47:02,0.013373594,34.46659,29.83416,350000,4816796.310093278,2762420.280247652,3787310.897770002,892.0878224848992
2023-02-01 19:47:07,0.01400979,34.46865,29.8364,350000,4816569.945912773,2762540.7057758034,3787509.6728888927,891.8215584594909
2023-02-01 19:47:12,0.01671346,34.47071,29.83865,350000,4816343.091266032,2762661.954859583,3787708.443165405,891.554545636195
2023-02-01 19:47:17,-0.008188312,34.47276,29.84089,350000,4816117.2851098385,2762782.67587395,3787906.243730233,891.2887944955539
2023-02-01 19:47:22,0.006523505,34.47482,29.84314,350000,4815890.4138394,2762903.8907674495,3788105.004344725,891.021858287006
2023-02-01 19:47:27,0.03585288,34.47687,29.84538,350000,4815664.591138857,2763024.5777489785,3788302.795293922,890.756183452497
2023-02-01 19:47:32,0.003731724,34.47892,29.84763,350000,4815438.277927299,2763146.0882053105,3788500.581446621,890.4897595665419
2023-02-01 19:47:37,0.009822892,34.48097,29.84988,350000,4815211.956423627,2763267.58160434,3788698.3628025656,890.2233738176271
2023-02-01 19:47:42,0.015781178,34.47774,29.86957,350000,4814447.642535993,2765028.7749594045,3788386.734393373,888.8148430983591
2023-02-01 19:47:47,-0.005095682,34.47978,29.87182,350000,4814221.851101496,2765150.5163942506,3788583.553721479,888.5488691851904
2023-02-01 19:47:52,-0.00856701,34.48182,29.87406,350000,4813996.53404749,2765271.4006469515,3788780.3682994084,888.2837196596303
2023-02-01 19:47:57,-0.001308185,34.48386,29.87631,350000,4813770.726134522,2765393.1081580096,3788977.1781269107,888.017821447731
2023-02-01 19:48:02,-0.016232647,34.48589,29.87856,350000,4813545.484575344,2765515.128811156,3789173.018484554,887.752396754782
2023-02-01 19:48:07,-0.02089589,34.48792,29.88081,350000,4813320.234803328,2765637.1325606387,3789368.8541377345,887.4870096191146
2023-02-01 19:48:12,-0.00738147,34.48995,29.88306,350000,4813094.976819731,2765759.1194058442,3789564.6850862014,887.2216600720077
