Time,dTEC,ipplat,ipplon,IPP_alt,IPP_x,IPP_y,IPP_z,distance_to_earthquake
2023-02-01 00:00:02,0.000548564,33.13257,34.71745,350000,4635540.879447779,3211889.827888975,3657582.4654468945,658.088145938006
2023-02-01 00:00:07,0.003014459,33.13067,34.71835,350000,4635590.309165936,3212031.85168379,3657396.2830129,658.2026853153607
2023-02-01 00:00:12,0.00327001,33.12876,34.71924,350000,4635640.816743872,3212173.429455218,3657209.1166642522,658.3185340655426
2023-02-01 00:00:17,0.000480558,33.12686,34.72013,350000,4635690.790265377,3212314.641767706,3657022.92625821,658.4336316221303
2023-02-01 00:00:22,-0.000785255,33.12495,34.72102,350000,4635741.281000877,3212456.217089512,3656835.751895972,658.5496001519664
2023-02-01 00:00:27,-0.002811691,33.12304,34.72191,350000,4635791.763298823,3212597.791180658,3656648.573516735,658.6656286388865
2023-02-01 00:00:32,-0.004076214,33.12113,34.7228,350000,4635842.237159216,3212739.3640407636,3656461.3911207076,658.7817170518006
2023-02-01 00:00:37,-0.000771692,33.11922,34.72369,350000,4635892.702582054,3212880.9356694445,3656274.204708098,658.8978653596195
2023-02-01 00:00:42,-0.002796593,33.11731,34.72458,350000,4635943.159567334,3213022.506066318,3656087.0142791164,659.014073531259
2023-02-01 00:00:47,-0.00444039,33.1154,34.72546,350000,4635994.168917912,3213163.2660974287,3655899.8198339697,659.1307786588789
2023-02-01 00:00:52,-0.001705658,33.11349,34.72635,350000,4636044.609052782,3213304.834020738,3655712.621372868,659.2471062794699
2023-02-01 00:00:57,0.001790728,33.11158,34.72723,350000,4636095.60160222,3213445.591559816,3655525.4188960213,659.363930424041
2023-02-01 00:01:02,-0.004394112,33.10967,34.72812,350000,4636146.024886672,3213587.157008035,3655338.2124036355,659.4803773693985
2023-02-01 00:01:07,-0.002447062,33.10775,34.729,350000,4636197.525927411,3213728.2761767865,3655150.0217256285,659.5981338863485
2023-02-01 00:01:12,-0.000854004,33.10584,34.72988,350000,4636248.493254808,3213869.0299598677,3654962.807181773,659.7151364570284
2023-02-01 00:01:17,-0.006494426,33.10393,34.73076,350000,4636299.452193908,3214009.782490774,3654775.5886230064,659.8321983043174
2023-02-01 00:01:22,-0.007376217,33.10201,34.73164,350000,4636350.927939223,3214150.8978602956,3654587.3858160772,659.9501335537252
2023-02-01 00:01:27,-0.008067869,33.1001,34.73252,350000,4636401.870069126,3214291.647875065,3654400.159207099,660.0673140863433
2023-02-01 00:01:32,-0.006475575,33.09818,34.73339,350000,4636453.889964175,3214431.951492465,3654211.9483082313,660.1858038714334
2023-02-01 00:01:37,0.000255667,33.09626,34.73427,350000,4636505.340405926,3214573.0630395906,3654023.733353149,660.3039176132085
2023-02-01 00:01:42,0.001846959,33.09435,34.73514,350000,4636556.818403614,3214713.0000313143,3653836.4946599207,660.4217109621643
2023-02-01 00:01:47,0.0064832,33.09243,34.73602,350000,4636608.251995434,3214854.1090288702,3653648.2716141674,660.5399434056756
2023-02-01 00:01:52,0.004836987,33.09051,34.73689,350000,4636660.238256051,3214994.4075003536,3653460.044512835,660.6586700834805
2023-02-01 00:01:57,0.005664515,33.08859,34.73776,350000,4636712.216112125,3215134.704677161,3653271.8133561346,660.7774558705985
2023-02-01 00:02:02,0.009117075,33.08667,34.73863,350000,4636764.185563654,3215275.000558915,3653083.578144277,660.8963007357092
2023-02-01 00:02:07,0.006174459,33.08475,34.7395,350000,4636816.146610634,3215415.2951452387,3652895.3388774777,661.015204647495
2023-02-01 00:02:12,0.006998854,33.08283,34.74037,350000,4636868.099253064,3215555.588435753,3652707.095555946,661.1341675746471
2023-02-01 00:02:17,0.011819247,33.0809,34.74124,350000,4636920.568325941,3215696.2444022307,3652517.867714199,661.254006114913
2023-02-01 00:02:22,0.016067222,33.07898,34.74211,350000,4636972.50412658,3215836.535089132,3652329.616262726,661.3730872027062
2023-02-01 00:02:27,0.013841562,33.07706,34.74297,350000,4637024.99281643,3215976.0151656033,3652141.360757159,661.4926606528409
2023-02-01 00:02:32,0.010662548,33.07513,34.74384,350000,4637077.436569317,3216116.66718855,3651952.1206685584,661.6126766690226
2023-02-01 00:02:37,0.013953757,33.07321,34.7447,350000,4637129.908490736,3216256.144631765,3651763.857034329,661.7323675415229
2023-02-01 00:02:42,0.009628969,33.07128,34.74557,350000,4637182.335360856,3216396.7940170923,3651574.608775156,661.8525017307975
2023-02-01 00:02:47,0.011964458,33.06936,34.74643,350000,4637234.7905138265,3216536.2688255436,3651386.3370131142,661.9723099001469
2023-02-01 00:02:52,0.0114426,33.06743,34.74729,350000,4637287.761917128,3216676.1062123873,3651197.080584229,662.092994661907
2023-02-01 00:02:57,0.013964065,33.0655,34.74815,350000,4637340.724899301,3216815.9422597927,3651007.8200601996,662.2137382369355
2023-02-01 00:03:02,0.011914627,33.06358,34.74901,350000,4637393.154919784,3216955.4130940745,3650819.536097488,662.3337219539601
2023-02-01 00:03:07,0.009291556,33.06165,34.74987,350000,4637446.10109245,3217095.2464725366,3650630.2674050303,662.4545828377471
2023-02-01 00:03:12,0.00628522,33.05972,34.75073,350000,4637499.03884398,3217235.078510431,3650440.994618074,662.5755024400779
2023-02-01 00:03:17,0.007654087,33.05779,34.75158,350000,4637552.529712152,3217374.0998018207,3650251.717736835,662.6969123426649
2023-02-01 00:03:22,0.005784126,33.05586,34.75244,350000,4637605.450645799,3217513.9291482125,3650062.4367615273,662.817949104565
2023-02-01 00:03:27,0.002007501,33.05393,34.75329,350000,4637658.924744749,3217652.9477287773,3649873.151692368,662.9394757392296
2023-02-01 00:03:32,0.00660328,33.05199,34.75414,350000,4637712.914815417,3217792.3287553415,3649682.8817460462,663.0618805750231
2023-02-01 00:03:37,0.004533426,33.05006,34.755,350000,4637765.810501653,3217932.154045972,3649493.588468619,663.1830929701433
2023-02-01 00:03:42,0.004553903,33.04813,34.75585,350000,4637819.259426174,3218071.168541662,3649304.291097988,663.3047945969114
2023-02-01 00:03:47,-0.001330223,33.04619,34.7567,350000,4637873.224224107,3218210.545448734,3649114.008787108,663.4273749955225
2023-02-01 00:03:52,-0.003030289,33.04426,34.75755,350000,4637926.656370931,3218349.5572093613,3648924.7032095077,663.5491930782719
2023-02-01 00:03:57,-0.000165733,33.04232,34.7584,350000,4637980.604325626,3218488.931358193,3648734.412649572,663.671890312564
2023-02-01 00:04:02,-0.003015791,33.04039,34.75924,350000,4638034.581451211,3218627.1308925673,3648545.09886587,663.794254701581
2023-02-01 00:04:07,-0.004156899,33.03783,34.76073,350000,4638085.052927044,3218840.861336151,3648293.982041085,663.9405018489565
2023-02-01 00:04:12,-0.005492494,33.03589,34.76157,350000,4638139.533850019,3218979.4217253444,3648103.67777728,664.0638289076179
2023-02-01 00:04:17,-0.008165113,33.03396,34.76241,350000,4638193.4823469175,3219117.6170037715,3647914.3503610673,664.1863919247224
2023-02-01 00:04:22,-0.007225491,33.03203,34.76326,350000,4638246.860653471,3219256.620425764,3647725.0188534455,664.3085833245208
2023-02-01 00:04:27,-0.007623164,33.0301,34.76409,350000,4638301.3543682825,3219394.0034104255,3647535.683254633,664.4316905467666
2023-02-01 00:04:32,-0.013545768,33.02816,34.76494,350000,4638355.239916864,3219533.3677551006,3647345.3625195324,664.5548200044345
2023-02-01 00:04:37,-0.013191737,33.02622,34.76577,350000,4638410.24090489,3219671.1116012395,3647155.0376511705,664.6788649388828
2023-02-01 00:04:42,-0.010748904,33.02429,34.76661,350000,4638464.147715758,3219809.2999370503,3646965.68973769,664.8017157790173
2023-02-01 00:04:47,-0.009834103,33.02235,34.76745,350000,4638518.5700429045,3219947.8505251575,3646775.3566247686,664.9254473720039
2023-02-01 00:04:52,-0.011208966,33.02042,34.76828,350000,4638573.02218376,3220085.226495411,3646586.0005096593,665.0488412400508
2023-02-01 00:04:57,-0.010495424,33.01848,34.76912,350000,4638627.427788695,3220223.77426875,3646395.659153047,665.1726879804169
2023-02-01 00:05:02,-0.013023507,33.01654,34.76995,350000,4638682.387063223,3220361.511030454,3646205.3136642682,665.297020162016
2023-02-01 00:05:07,-0.015176645,33.0146,34.77078,350000,4638737.337996373,3220499.2463638242,3646014.9640435413,665.4214096779752
2023-02-01 00:05:12,-0.010482864,33.01266,34.77162,350000,4638791.718480875,3220637.7898904285,3645824.610291084,665.54542914071
2023-02-01 00:05:17,-0.008650492,33.01072,34.77245,350000,4638846.652707214,3220775.5223756135,3645634.252407117,665.6699334098838
2023-02-01 00:05:22,-0.007775953,33.00878,34.77328,350000,4638901.578592156,3220913.25343136,3645443.8903918588,665.7944949184043
2023-02-01 00:05:27,-0.011856971,33.00684,34.7741,350000,4638957.058315077,3221050.1734066014,3645253.5242455285,665.9195404521205
2023-02-01 00:05:32,-0.010233669,33.0049,34.77493,350000,4639011.967541249,3221187.9015927804,3645063.153968343,666.0442161649873
2023-02-01 00:05:37,-0.013185366,33.00295,34.77576,350000,4639067.391939273,3221325.9918712433,3644871.7982384437,666.1697745770665
2023-02-01 00:05:42,-0.007958483,33.00101,34.77659,350000,4639122.2844499,3221463.7171844956,3644681.419678919,666.2945647648166
2023-02-01 00:05:47,-0.006735737,32.99907,34.77741,350000,4639177.730894553,3221600.6313772565,3644491.036989199,666.4198381341611
2023-02-01 00:05:52,-0.005710244,32.99712,34.77824,350000,4639233.130161408,3221738.7173062093,3644299.668783444,666.5455684806012
2023-02-01 00:05:57,-0.007356617,32.99518,34.77906,350000,4639288.559962515,3221875.6285949103,3644109.277812704,666.6709555970845
2023-02-01 00:06:02,-0.005041369,32.99323,34.77988,350000,4639344.504819715,3222012.9018969433,3643917.9012836856,666.7972259837238
2023-02-01 00:06:07,-0.00463741,32.99129,34.7807,350000,4639399.918001142,3222149.8102704464,3643727.5020328057,666.9227265424037
2023-02-01 00:06:12,0.00079575,32.98934,34.78152,350000,4639455.846173209,3222287.080633307,3643536.1171814096,667.0491107415289
2023-02-01 00:06:17,-0.000118296,32.98739,34.78234,350000,4639511.765986305,3222424.349520196,3643344.728158461,667.1755519076908
2023-02-01 00:06:22,0.002767349,32.98544,34.78316,350000,4639567.677440418,3222561.616930745,3643153.334964181,667.3020500089598
2023-02-01 00:06:27,0.00183828,32.9835,34.78398,350000,4639623.057349757,3222698.5194578953,3642962.9191343826,667.4277772881624
2023-02-01 00:06:32,0.001662896,32.98155,34.78479,350000,4639679.51460957,3222834.974149552,3642771.5176194976,667.5548134414498
2023-02-01 00:06:37,0.003954298,32.9796,34.78561,350000,4639735.401043451,3222972.2371308017,3642580.1119339457,667.6814817617334
2023-02-01 00:06:42,0.002811388,32.97765,34.78642,350000,4639791.841656984,3223108.6888378523,3642388.7020779536,667.808631027725
2023-02-01 00:06:47,0.000327972,32.97569,34.78724,350000,4639848.234451545,3223246.312213159,3642196.306430604,667.9362413423364
2023-02-01 00:06:52,-0.003115245,32.97374,34.78805,350000,4639904.65838604,3223382.7609223705,3642004.8882130096,668.063503809128
2023-02-01 00:06:57,-0.000665655,32.97179,34.78886,350000,4639961.074009278,3223519.20813308,3641813.465825643,668.1908226320676
2023-02-01 00:07:02,-0.002792946,32.96984,34.78967,350000,4640017.481321249,3223655.653844923,3641622.039268724,668.3181977793834
2023-02-01 00:07:07,-0.002644307,32.96789,34.79048,350000,4640073.880321949,3223792.0980575355,3641430.608542478,668.4456292193181
2023-02-01 00:07:12,0.000541578,32.96593,34.79129,350000,4640130.793902322,3223928.9040713627,3641238.191918968,668.573946585796
2023-02-01 00:07:17,-8.8177e-05,32.96398,34.7921,350000,4640187.176247722,3224065.345272647,3641046.752833353,668.7014907303632
2023-02-01 00:07:22,0.005745447,32.96202,34.7929,350000,4640244.635836539,3224201.338375338,3640854.3278080565,668.8303438857242
2023-02-01 00:07:27,0.002623771,32.96006,34.79371,350000,4640301.524342965,3224338.1398191727,3640661.898571461,668.9588307406267
2023-02-01 00:07:32,-0.000696983,32.95811,34.79451,350000,4640358.444489718,3224473.7665897217,3640470.4469377846,669.0869659969541
2023-02-01 00:07:37,0.007965609,32.95615,34.79532,350000,4640415.3162990585,3224610.564985723,3640278.009300751,669.2155655530375
2023-02-01 00:07:42,0.006149872,32.9542,34.79612,350000,4640472.219861794,3224746.188711611,3640086.5493099443,669.3438126643526
2023-02-01 00:07:47,0.006418935,32.95224,34.79692,350000,4640529.637822206,3224882.17413316,3639894.103273373,669.4729466274588
2023-02-01 00:07:52,0.003823728,32.95028,34.79772,350000,4640587.04745328,3225018.158008592,3639701.6530266306,669.6021366712313
2023-02-01 00:07:57,0.000648282,32.94832,34.79852,350000,4640644.44875501,3225154.140337548,3639509.1985699427,669.7313827636424
2023-02-01 00:08:02,0.003554932,32.94636,34.79932,350000,4640701.841727385,3225290.121119662,3639316.7399035343,669.8606848726672
2023-02-01 00:08:07,0.000741713,32.9444,34.80012,350000,4640759.226370401,3225426.1003545746,3639124.2770276316,669.9900429662988
2023-02-01 00:08:12,0.007246563,32.94244,34.80091,350000,4640817.165650757,3225561.2680665744,3638931.8099424616,670.1198779649433
2023-02-01 00:08:17,0.000417121,32.94048,34.80171,350000,4640874.533658753,3225697.2441959796,3638739.3386482513,670.2493477554074
2023-02-01 00:08:22,0.00366703,32.93852,34.8025,350000,4640932.4563513985,3225832.4087816305,3638546.863145224,670.3792940352487
2023-02-01 00:08:27,0.006336431,32.93655,34.8033,350000,4640990.330123374,3225968.7449254957,3638353.401383471,670.5097082690146
2023-02-01 00:08:32,0.005760172,32.93459,34.80409,350000,4641048.236195524,3226103.9063712764,3638160.91744202,670.6397659147054
2023-02-01 00:08:37,0.002699798,32.93263,34.80488,350000,4641106.133985581,3226239.0662475685,3637968.429292432,670.7698790015595
2023-02-01 00:08:42,-0.001322041,32.93066,34.80568,350000,4641163.982685518,3226375.3976750574,3637774.954820278,670.9004611116023
2023-02-01 00:08:47,0.005115807,32.9287,34.80647,350000,4641221.863855027,3226510.554409319,3637582.458233627,671.0306853722648
2023-02-01 00:08:52,0.002597293,32.92673,34.80726,350000,4641280.258977359,3226646.0726339067,3637388.975281823,671.16179891492
2023-02-01 00:08:57,0.001401474,32.92477,34.80804,350000,4641338.686729364,3226780.416148227,3637196.470259017,671.2925534180656
2023-02-01 00:09:02,0.004002905,32.9228,34.80883,350000,4641397.065212697,3226915.931184063,3637002.978828473,671.4237780158634
2023-02-01 00:09:07,0.002406546,32.92083,34.80962,350000,4641455.435348243,3227051.444623985,3636809.483148117,671.5550582869517
2023-02-01 00:09:12,0.002513557,32.91886,34.8104,350000,4641514.360386301,3227186.1463706,3636615.9832181768,671.686813045361
2023-02-01 00:09:17,0.0012781,32.9169,34.81119,350000,4641572.191779129,3227321.293607552,3636423.46130433,671.8173693954799
2023-02-01 00:09:22,0.000984341,32.91493,34.81197,350000,4641631.100225206,3227455.992142164,3636229.9528974793,671.9492346027798
2023-02-01 00:09:27,0.001251644,32.91296,34.81275,350000,4641690.000370615,3227590.689058953,3636036.4402417336,672.081155004855
2023-02-01 00:09:32,0.00131858,32.91099,34.81354,350000,4641748.328870926,3227726.194495529,3635842.9233373203,672.2127124214649
