Time,dTEC,ipplat,ipplon,IPP_alt,IPP_x,IPP_y,IPP_z,distance_to_earthquake
2023-02-01 02:43:57,-0.009631833,35.43613,30.16669,350000,4744476.086589637,2757659.6343395105,3880324.8734396347,828.9525895762393
2023-02-01 02:44:02,-0.03169734,35.4253,30.17834,350000,4744550.588316603,2758993.7176411557,3879291.906306192,828.3600152957256
2023-02-01 02:44:07,-0.035610178,35.42141,30.17642,350000,4744871.201322175,2758967.3918155367,3878920.8440063144,828.6378597265023
2023-02-01 02:44:12,-0.041091892,35.41752,30.17449,350000,4745192.277497842,2758940.206663852,3878549.764015366,828.916701597059
2023-02-01 02:44:17,-0.031545325,35.41362,30.17257,350000,4745513.440197724,2758914.1594412653,3878177.712333659,829.1952542669801
2023-02-01 02:44:22,-0.042898814,35.40972,30.17064,350000,4745835.065962104,2758887.2526782085,3877805.642873273,829.4748049524198
2023-02-01 02:44:27,-0.037662296,35.40583,30.16872,350000,4746155.605426013,2758860.8021086706,3877434.509728513,829.7534275947311
2023-02-01 02:44:32,-0.020717402,35.40193,30.16679,350000,4746477.19430755,2758833.8327619648,3877062.404761548,830.0333675716116
2023-02-01 02:44:37,-0.016471963,35.39803,30.16487,350000,4746798.283215307,2758807.660543742,3876690.2820211034,830.312699486408
2023-02-01 02:44:42,0.005925295,35.39413,30.16294,350000,4747119.835156193,2758780.628566216,3876318.1415089136,830.5930284936445
2023-02-01 02:44:47,0.024409549,35.39023,30.16102,350000,4747440.887126192,2758754.3938320456,3875945.9832267165,830.8727491227651
2023-02-01 02:44:52,0.023945579,35.38633,30.15909,350000,4747762.402113634,2758727.299229129,3875573.807176244,831.153466382312
2023-02-01 02:44:57,0.049638866,35.38243,30.15716,350000,4748083.898617189,2758700.173287498,3875201.6133592334,831.4343774581149
2023-02-01 02:45:02,0.039981596,35.37853,30.15524,350000,4748404.895154312,2758673.8447615523,3874829.40177742,831.7146796836049
2023-02-01 02:45:07,0.057457555,35.37462,30.15331,350000,4748726.940648422,2758646.9966024607,3874456.2179754926,831.9963022697907
2023-02-01 02:45:12,0.025719236,35.37072,30.15139,350000,4749047.900170725,2758620.6055216403,3874083.97082374,832.2769917828326
2023-02-01 02:45:17,0.030486529,35.36005,30.16312,350000,4749108.053810181,2759956.0371606345,3873065.4500401956,831.6837323555719
2023-02-01 02:45:22,0.01064233,35.35615,30.1612,350000,4749428.952092429,2759929.6245633294,3872693.1365493024,831.9652071145584
