Time,dTEC,ipplat,ipplon,IPP_alt,IPP_x,IPP_y,IPP_z,distance_to_earthquake
2023-02-01 00:24:02,0.017690338,33.94668,20.84763,350000,5221134.436243903,1988291.1169413228,3736989.205206569,1671.8222473702162
2023-02-01 00:24:07,0.017375946,33.96151,20.85623,350000,5219930.095218256,1988729.6628728644,3738428.8251051884,1670.5630947740617
2023-02-01 00:24:12,0.019701203,33.96446,20.85648,350000,5219741.184926701,1988683.771708601,3738715.1663586004,1670.440770383292
2023-02-01 00:24:17,0.02485699,33.96741,20.85673,350000,5219552.261276361,1988637.8736535346,3739001.4978115633,1670.3185043357832
2023-02-01 00:24:22,0.008668535,33.98222,20.86534,350000,5218348.30879909,1989077.228371161,3740438.8306349055,1669.0610434296752
2023-02-01 00:24:27,0.006923002,33.98516,20.86559,350000,5218159.921909138,1989031.4975720374,3740724.132671263,1668.9394521721856
2023-02-01 00:24:32,0.000966035,33.98811,20.86584,350000,5217970.9104363425,1988985.5268983936,3741010.3953335304,1668.817580213834
2023-02-01 00:24:37,-0.003300933,33.99105,20.8661,350000,5217782.149840845,1988940.6930506618,3741295.6778571405,1668.6952289153196
2023-02-01 00:24:42,2.3561e-05,34.00582,20.87471,350000,5216580.097236011,1989380.3541160433,3742728.7355084014,1667.4412850502629
2023-02-01 00:24:47,-0.005620756,34.00876,20.87496,350000,5216391.609786947,1989334.5440955006,3743013.959343007,1667.3201447068434
2023-02-01 00:24:52,-0.004814646,34.0117,20.87522,350000,5216202.761884244,1989289.6376209382,3743299.1734321234,1667.1981860556903
2023-02-01 00:24:57,-0.008027126,34.01465,20.87548,350000,5216013.289037057,1989244.4909403194,3743585.3478411646,1667.0759485481358
2023-02-01 00:25:02,-0.012592606,34.02938,20.88409,350000,5214813.140099466,1989684.4605729096,3745014.13287012,1665.8255124604611
2023-02-01 00:25:07,-0.013180584,34.03231,20.88435,350000,5214624.817025352,1989639.7149660036,3745298.3087201617,1665.7042826334564
2023-02-01 00:25:12,-0.009415666,34.03525,20.8846,350000,5214436.216061819,1989593.8188791673,3745583.444718703,1665.5836516466868
2023-02-01 00:25:17,-0.006228642,34.03819,20.88486,350000,5214247.25460513,1989548.825995285,3745868.5709649595,1665.4622023295997
2023-02-01 00:25:22,-0.013535081,34.05289,20.89348,350000,5213048.054035198,1989989.7831232867,3747294.0558855603,1664.214051658807
2023-02-01 00:25:27,-0.015528946,34.05582,20.89374,350000,5212859.631215739,1989944.9582953183,3747578.154000718,1664.093271555881
2023-02-01 00:25:32,-0.018872012,34.05875,20.894,350000,5212671.195256591,1989900.1265859944,3747862.242424581,1663.972549451047
2023-02-01 00:25:37,-0.024896037,34.06169,20.89426,350000,5212482.133782812,1989855.054222144,3748147.2906917864,1663.8515514383444
2023-02-01 00:25:42,-0.009425273,34.07634,20.90288,350000,5211285.457016229,1990296.5581212637,3749567.5387786627,1662.607222420981
2023-02-01 00:25:47,-0.011672029,34.07927,20.90314,350000,5211096.934784032,1990251.6541360274,3749851.55930945,1662.486891986209
2023-02-01 00:25:52,-0.015074688,34.0822,20.90341,350000,5210908.05206063,1990207.6527427426,3750135.570142968,1662.3657427621745
2023-02-01 00:25:57,-0.020964979,34.08513,20.90367,350000,5210719.503567767,1990162.734958381,3750419.5712784682,1662.2455285688293
2023-02-01 00:26:02,-0.012400581,34.09975,20.9123,350000,5209523.782185605,1990605.2295344556,3751836.5241439096,1661.0034670148154
2023-02-01 00:26:07,-0.013175047,34.10268,20.91256,350000,5209335.1607898865,1990560.2463817294,3752120.467174987,1660.8835865676201
2023-02-01 00:26:12,0.000697087,34.1056,20.91282,350000,5209147.139262745,1990515.4905824678,3752403.431463609,1660.7640953943155
