Time,dTEC,ipplat,ipplon,IPP_alt,IPP_x,IPP_y,IPP_z,distance_to_earthquake
2023-02-01 11:21:22,-0.060937079,34.3419,27.71029,350000,4923162.803275926,2585846.2464117785,3775270.206294661,1069.0441464418734
2023-02-01 11:21:27,-0.041807972,34.35586,27.70026,350000,4922799.187094077,2584555.8504724074,3776619.1339886812,1069.3189681506817
2023-02-01 11:21:32,-0.042044057,34.35952,27.7,350000,4922596.874417885,2584421.1374712577,3776972.7559985365,1069.1954374494228
2023-02-01 11:21:37,-0.060277193,34.36319,27.69974,350000,4922393.955603807,2584286.1087221247,3777327.3288836987,1069.0716560972921
2023-02-01 11:21:42,-0.03784514,34.37711,27.68971,350000,4922031.881590966,2582996.9917190704,3778672.054555207,1069.352094359814
2023-02-01 11:21:47,-0.038494558,34.38077,27.68944,350000,4921829.875123408,2582861.401285809,3779025.588046593,1069.2303063341546
2023-02-01 11:21:52,-0.047753016,34.38443,27.68918,350000,4921627.396598108,2582726.6612423104,3779379.10628704,1069.1078357391018
2023-02-01 11:21:57,-0.006765987,34.39832,27.67914,350000,4921266.733913921,2581437.658114999,3780720.5981947244,1069.3942972649838
2023-02-01 11:22:02,-0.028745853,34.40197,27.67887,350000,4921065.168369774,2581302.3568126927,3781073.0776093425,1069.2738149213465
2023-02-01 11:22:07,-0.015533909,34.40563,27.6786,350000,4920862.996008077,2581166.7397817043,3781426.5074824947,1069.1530866182725
2023-02-01 11:22:12,-0.011907363,34.40928,27.67833,350000,4920661.388065288,2581031.421380873,3781778.956501957,1069.0328943653078
2023-02-01 11:22:17,-0.016497338,34.42312,27.66828,350000,4920303.209295162,2579743.147140171,3783115.2280264655,1069.3267556645576
2023-02-01 11:22:22,-0.025584877,34.42677,27.66801,350000,4920101.478594497,2579607.8196257316,3783467.6042986866,1069.2073287133846
2023-02-01 11:22:27,-0.011796941,34.43042,27.66774,350000,4919899.72672573,2579472.483582959,3783819.965385072,1069.0880468316332
2023-02-01 11:22:32,-0.028121418,34.44423,27.65768,350000,4919542.965644924,2578184.3258363977,3785153.007827776,1069.3878776356
