Time,dTEC,ipplat,ipplon,IPP_alt,IPP_x,IPP_y,IPP_z,distance_to_earthquake
2023-02-01 15:32:07,0.071977247,46.25935,12.7055,350000,4545430.424382239,1024815.486607811,4838092.857721089,2395.9899908354523
2023-02-01 15:32:12,0.020025831,46.26037,12.70401,350000,4545372.772697978,1024678.2762725106,4838175.554968045,2396.132381125904
2023-02-01 15:32:17,0.099223967,46.26139,12.70252,350000,4545315.115500864,1024541.0693018505,4838258.250690619,2396.2747702153333
2023-02-01 15:32:22,0.090053108,46.26241,12.70103,350000,4545257.452791044,1024403.8656960678,4838340.944888786,2396.417158103431
2023-02-01 15:32:27,0.108616866,46.26343,12.69954,350000,4545199.784568676,1024266.6654554005,4838423.637562518,2396.5595447898877
2023-02-01 15:32:32,0.072310611,46.26445,12.69806,350000,4545141.932089531,1024130.2618570178,4838506.328711789,2396.7011920588966
2023-02-01 15:32:37,0.053611079,46.26547,12.69657,350000,4545084.25286647,1023993.0683372262,4838589.018336571,2396.8435763581265
2023-02-01 15:32:42,0.139154365,46.26649,12.69508,350000,4545026.568131322,1023855.8781832613,4838671.70643684,2396.9859594547893
2023-02-01 15:32:47,0.084381232,46.26751,12.69359,350000,4544968.877884236,1023718.6913953602,4838754.3930125665,2397.128341348572
2023-02-01 15:32:52,0.009390607,46.26853,12.69211,350000,4544911.003476629,1023582.3012103892,4838837.078063724,2397.269983891653
2023-02-01 15:32:57,0.034281188,46.26955,12.69062,350000,4544853.302230079,1023445.1211452587,4838919.761590287,2397.412363395737
2023-02-01 15:33:02,0.037360641,46.27057,12.68913,350000,4544795.595472057,1023307.9444469046,4839002.443592228,2397.5547416960144
2023-02-01 15:33:07,0.038677502,46.27159,12.68765,350000,4544737.704625658,1023171.5643219448,4839085.124069521,2397.69638069566
2023-02-01 15:33:12,0.034162382,46.27261,12.68616,350000,4544679.986869089,1023034.3943477812,4839167.803022139,2397.838756604384
2023-02-01 15:33:17,0.039506767,46.27363,12.68468,350000,4544622.085072194,1022898.0209273067,4839250.480450055,2397.9803932458694
2023-02-01 15:33:22,0.015459119,46.27465,12.68319,350000,4544564.356317693,1022760.8576782797,4839333.156353241,2398.1227667618036
2023-02-01 15:33:27,0.002678379,46.27567,12.68171,350000,4544506.443570913,1022624.490963233,4839415.830731673,2398.264401043893
2023-02-01 15:33:32,0.003043069,46.27669,12.68023,350000,4544448.52536132,1022488.127596199,4839498.503585321,2398.406034154334
