Time,dTEC,ipplat,ipplon,IPP_alt,IPP_x,IPP_y,IPP_z,distance_to_earthquake
2023-02-01 07:50:42,-0.276407987,38.96005,6.33234,350000,5206312.370135235,577756.8881028818,4208941.794390599,2847.545820160035
2023-02-01 07:50:47,-0.282951227,38.96237,6.33223,350000,5206143.661863859,577728.0479798118,4209153.081088837,2847.5283683705993
2023-02-01 07:50:52,-0.292872336,38.96469,6.33212,350000,5205974.944933753,577699.2075559773,4209364.360948339,2847.5109381647635
2023-02-01 07:50:57,-0.294379544,38.96702,6.332,350000,5205805.588103005,577669.3770123065,4209576.544613525,2847.4942717483186
2023-02-01 07:51:02,-0.28716871,38.96934,6.33189,350000,5205636.853814124,577640.5360139395,4209787.810765028,2847.476884784844
2023-02-01 07:51:07,-0.290030118,38.98717,6.33355,350000,5204314.529756353,577646.4439829265,4211411.235686259,2847.1290937770805
2023-02-01 07:51:12,-0.297225879,38.98948,6.33344,350000,5204146.453960852,577617.6742881568,4211621.532061003,2847.1120140825783
2023-02-01 07:51:17,-0.280817722,38.9918,6.33332,350000,5203977.737934884,577587.9147377766,4211832.731981584,2847.095698810896
2023-02-01 07:51:22,-0.259129594,38.99412,6.33321,350000,5203808.912440363,577559.0631821796,4212043.925058992,2847.0785474502263
2023-02-01 07:51:27,-0.267871961,38.99644,6.33309,350000,5203640.179088743,577529.303119999,4212255.111292872,2847.0622753002767
2023-02-01 07:51:32,-0.280192702,39.01423,6.33476,350000,5202319.922952486,577536.2739380685,4213874.281706179,2846.716116487408
2023-02-01 07:51:37,-0.26986041,39.01654,6.33464,350000,5202151.848694988,577506.5855137034,4214084.498589957,2846.7001500250585
2023-02-01 07:51:42,-0.270411292,39.01885,6.33453,350000,5201983.665059965,577477.8047711654,4214294.708685726,2846.6833475040544
2023-02-01 07:51:47,-0.243038868,39.02117,6.33442,350000,5201814.739924002,577448.9423732975,4214505.8219494065,2846.6664529652166
2023-02-01 07:51:52,-0.22562567,39.02349,6.3343,350000,5201645.906914847,577419.1718174645,4214716.928365482,2846.6504374119577
