Time,dTEC,ipplat,ipplon,IPP_alt,IPP_x,IPP_y,IPP_z,distance_to_earthquake
2023-02-01 04:51:57,-0.01758458,39.65584,10.32443,350000,5102665.70385828,929559.2444989475,4272000.591556685,2499.4924754515296
2023-02-01 04:52:02,-0.035377019,39.65936,10.32417,350000,5102411.039722568,929488.929617509,4272318.026143316,2499.4983032509613
2023-02-01 04:52:07,-0.032380334,39.67412,10.31523,350000,5101470.226169873,928495.1585182286,4273648.913032563,2500.1953812347033
2023-02-01 04:52:12,0.018338936,39.67764,10.31496,350000,5101215.611275721,928423.9820279409,4273966.26459799,2500.2023351504095
2023-02-01 04:52:17,-0.005025095,39.68115,10.31468,350000,5100961.874372487,928352.0480757827,4274282.698674218,2500.2102484116976
2023-02-01 04:52:22,0.012257242,39.68468,10.31441,350000,5100706.4838402895,928280.7355134061,4274600.91975664,2500.217271980087
2023-02-01 04:52:27,0.01616017,39.69939,10.30546,350000,5099768.707719987,927287.0885359738,4275926.81800638,2500.9168248685464
2023-02-01 04:52:32,0.00083827,39.7029,10.30519,350000,5099514.67655598,927216.0728595022,4276243.153532615,2500.9242075172083
2023-02-01 04:52:37,-0.004870221,39.70642,10.30491,350000,5099260.051171105,927144.0322476772,4276560.374323363,2500.9324586680677
2023-02-01 04:52:42,-0.013046105,39.7211,10.29596,350000,5098323.77566465,926151.1015287194,4277883.156690514,2501.633315463266
2023-02-01 04:52:47,-0.009270328,39.7246,10.29568,350000,5098070.510731502,926079.3579395731,4278198.492864174,2501.641921896441
2023-02-01 04:52:52,-0.010494873,39.72811,10.2954,350000,5097816.48949096,926007.4795715496,4278514.714105323,2501.650541613192
2023-02-01 04:52:57,-0.028021162,39.74276,10.28644,350000,5096881.879492027,925014.375319006,4279834.383027461,2502.3535471135638
2023-02-01 04:53:02,-0.033401053,39.74626,10.28616,350000,5096628.483036854,924942.6601610696,4280149.621247122,2502.3624756998306
2023-02-01 04:53:07,-0.033259444,39.74976,10.28588,350000,5096375.066907769,924870.9440366467,4280464.843634294,2502.3714611520763
2023-02-01 04:53:12,-0.048055963,39.76438,10.27691,350000,5095442.125210674,923877.6666035758,4281781.401356744,2503.0766049890917
2023-02-01 04:53:17,-0.039404976,39.76787,10.27662,350000,5095189.496005688,923805.224397716,4282095.641379249,2503.0867517133047
2023-02-01 04:53:22,-0.041990181,39.77137,10.27634,350000,5094935.948648695,923733.5368817246,4282410.765985756,2503.096058145842
2023-02-01 04:53:27,-0.055032606,39.78595,10.26736,350000,5094005.415462617,922740.2203879182,4283723.314606705,2503.803370935556
2023-02-01 04:53:32,-0.055929612,39.78944,10.26708,350000,5093752.494393957,922668.696122403,4284037.457270586,2503.812981745751
2023-02-01 04:53:37,-0.041758691,39.79293,10.26679,350000,5093499.714795999,922596.2819304895,4284351.584177723,2503.82350379963
2023-02-01 04:53:42,-0.057336059,39.79643,10.26649,350000,5093246.338871524,922522.8443169306,4284666.595336242,2503.83489635016
2023-02-01 04:53:47,-0.052779965,39.81096,10.25752,350000,5092318.542466692,921531.4310412547,4285974.172169164,2504.542901587183
2023-02-01 04:53:52,-0.035495381,39.81445,10.25722,350000,5092065.793171353,921458.1571608434,4286288.201891181,2504.5545958962666
2023-02-01 04:53:57,-0.030813207,39.81794,10.25693,350000,5091812.863466909,921385.7712089116,4286602.215848003,2504.565492046163
2023-02-01 04:54:02,-0.031134767,39.83244,10.24794,350000,5090886.906312337,920393.2966772905,4287906.689518543,2505.276454583534
2023-02-01 04:54:07,-0.037044908,39.83592,10.24765,350000,5090634.604321358,920321.0742355747,4288219.72269335,2505.287650083245
2023-02-01 04:54:12,-0.046985302,39.8394,10.24735,350000,5090382.443487707,920247.9625233867,4288532.740185969,2505.299755844403
2023-02-01 04:54:17,-0.060761739,39.85387,10.23836,350000,5089458.007141252,919256.2042053763,4289834.113115105,2506.0119560690828
2023-02-01 04:54:22,-0.031025835,39.85735,10.23806,350000,5089205.735956266,919183.1227573084,4290147.0496997,2506.0243203545006
2023-02-01 04:54:27,-0.044876622,39.86082,10.23776,350000,5088954.184124927,919110.1740108774,4290459.071419413,2506.0367784234454
2023-02-01 04:54:32,-0.046392253,39.8643,10.23745,350000,5088702.034445252,919036.20294797,4290771.976669155,2506.0501083547256
2023-02-01 04:54:37,-0.0437571,39.87873,10.22846,350000,5087779.770336661,918045.3252627099,4292069.287024761,2506.7637753422505
2023-02-01 04:54:42,-0.035607952,39.8822,10.22815,350000,5087528.249547785,917971.5181629143,4292381.212605359,2506.777399576078
2023-02-01 04:54:47,-0.057213215,39.88567,10.22785,350000,5087276.549169363,917898.5983283778,4292693.122578316,2506.7902256193765
2023-02-01 04:54:52,-0.088309111,39.90006,10.21884,350000,5086356.87250221,916906.7942497736,4293986.438553343,2507.5068519028423
2023-02-01 04:54:57,-0.097720176,39.90353,10.21854,350000,5086105.062608059,916833.9048473872,4294298.268175855,2507.519933690381
2023-02-01 04:55:02,-0.092071964,39.907,10.21823,350000,5085853.393363665,916760.1270817808,4294610.082183609,2507.533924485798
2023-02-01 04:55:07,-0.079548741,39.92135,10.20922,350000,5084935.987350743,915769.1724245708,4295899.406555273,2508.2517908607592
