Time,dTEC,ipplat,ipplon,IPP_alt,IPP_x,IPP_y,IPP_z,distance_to_earthquake
2023-02-01 04:16:02,0.06400352,42.93705,-9.75327,350000,4861656.772511635,-835671.0810171453,4560802.649060293,4124.170723852106
2023-02-01 04:16:07,0.042578385,42.93717,-9.74963,350000,4861700.410896628,-835360.5959849445,4560812.945355036,4123.882789907975
2023-02-01 04:16:12,0.012029826,42.93729,-9.746,350000,4861743.883688119,-835050.957311588,4560823.24162992,4123.595639859972
2023-02-01 04:16:17,0.006049695,42.93741,-9.74236,350000,4861787.482427824,-834740.4679371665,4560833.537884944,4123.307701019975
2023-02-01 04:16:22,0.012454511,42.93752,-9.73873,350000,4861831.702545202,-834430.9599877928,4560842.97610127,4123.020688249495
2023-02-01 04:16:27,0.005926265,42.93085,-9.7188,350000,4862646.496152507,-832829.6390557279,4560270.646812809,4121.548153917431
2023-02-01 04:16:32,0.027200117,42.93096,-9.71518,350000,4862690.450368987,-832520.9291298245,4560280.0860242685,4121.261882897265
2023-02-01 04:16:37,-0.005957901,42.93107,-9.71155,350000,4862734.530217537,-832211.3682639508,4560289.525219042,4120.9748228836825
2023-02-01 04:16:42,0.008100415,42.93117,-9.70793,350000,4862779.231988508,-831902.7884755206,4560298.10629072,4120.688688870784
2023-02-01 04:16:47,-0.006386759,42.92448,-9.68805,350000,4863593.9802913675,-830305.3581139547,4559724.002199027,4119.219988797637
2023-02-01 04:16:52,-0.009636371,42.92458,-9.68444,350000,4863638.417205456,-829997.5762884027,4559732.584179398,4118.934596675653
2023-02-01 04:16:57,-0.046192194,42.92467,-9.68082,350000,4863683.766243712,-829689.0775045017,4559740.3079499435,4118.648557255221
2023-02-01 04:17:02,-0.064659826,42.92476,-9.67721,350000,4863728.950947974,-829381.4251822215,4559748.031709321,4118.363301835594
2023-02-01 04:17:07,-0.028872785,42.92485,-9.67359,350000,4863774.260880549,-829072.9215690069,4559755.755457529,4118.077257129042
2023-02-01 04:17:12,-0.043146212,42.91814,-9.65378,350000,4864588.580613467,-827481.0307885687,4559179.876496538,4116.613924399705
2023-02-01 04:17:17,-0.019918268,42.91822,-9.65018,350000,4864634.26891571,-827174.3077746173,4559186.742781226,4116.329550151993
2023-02-01 04:17:22,0.005974969,42.9183,-9.64657,350000,4864680.08218466,-826866.73323762,4559193.609057092,4116.044386425274
2023-02-01 04:17:27,0.0167772,42.91838,-9.64297,350000,4864725.731735566,-826560.005264495,4559200.475324134,4115.7600067928
2023-02-01 04:17:32,0.015119414,42.91846,-9.63936,350000,4864771.506145702,-826252.425754813,4559207.341582354,4115.4748376656735
2023-02-01 04:17:37,-0.010388019,42.91172,-9.61962,350000,4865586.193063875,-824666.208559779,4558628.828386101,4114.017016546776
2023-02-01 04:17:42,0.04481066,42.91179,-9.61602,350000,4865632.49139921,-824359.5600500663,4558634.837005211,4113.73273105007
2023-02-01 04:17:47,-0.009068704,42.91186,-9.61243,350000,4865678.626576804,-824053.758197888,4558640.8456175625,4113.449229733298
2023-02-01 04:17:52,0.013948625,42.91192,-9.60883,350000,4865725.673084795,-823747.2377698615,4558645.995851347,4113.165080214913
2023-02-01 04:17:57,0.015067872,42.90517,-9.58914,350000,4866539.548224633,-822164.7780699152,4558066.563427774,4111.710957950043
2023-02-01 04:18:02,-0.000953447,42.90523,-9.58555,350000,4866586.332875178,-821859.0549518801,4558071.714214842,4111.427550579314
2023-02-01 04:18:07,0.042025179,42.90528,-9.58197,350000,4866633.741675634,-821554.3113996431,4558076.006533609,4111.145068864343
2023-02-01 04:18:12,0.031122453,42.90533,-9.57838,350000,4866681.274724572,-821248.7157348236,4558080.298848928,4110.861797181738
2023-02-01 04:18:17,0.034674377,42.90538,-9.5748,350000,4866728.645298623,-820943.9667425635,4558084.591160803,4110.579309709297
2023-02-01 04:18:22,0.016322247,42.89861,-9.55517,350000,4867542.259801773,-819366.1981490453,4557503.380781897,4109.129775076426
2023-02-01 04:18:27,0.03869116,42.89865,-9.55159,350000,4867590.299702336,-819061.5294218345,4557506.815002136,4108.847384083633
2023-02-01 04:18:32,0.041057012,42.89869,-9.54802,350000,4867638.177630686,-818757.7074529198,4557510.249220168,4108.565777380581
2023-02-01 04:18:37,0.037885501,42.89873,-9.54444,350000,4867686.179440042,-818453.0331255883,4557513.683435997,4108.283380504005
2023-02-01 04:18:42,0.039645028,42.89877,-9.54087,350000,4867734.019383063,-818149.2055756651,4557517.11764962,4108.001767935349
2023-02-01 04:18:47,0.020255796,42.89197,-9.5213,350000,4868548.167564856,-816576.2602406184,4556933.26966026,4106.556964373174
2023-02-01 04:18:52,0.007508216,42.892,-9.51774,350000,4868596.534990759,-816273.3619530319,4556935.84560015,4106.276235480428
2023-02-01 04:18:57,0.011870806,42.89203,-9.51418,350000,4868644.883570448,-815970.4608071995,4556938.421538799,4105.995503605258
