Time,dTEC,ipplat,ipplon,anomaly,forecast,IPP_alt,IPP_x,IPP_y,IPP_z,distance_to_earthquake
2023-02-01 14:40:57,0.048549841,42.23799,22.73445,,,350000,4600826.552649123,1927818.6329045468,4500486.059503881,1499.3743202112412
2023-02-01 14:41:02,0.030494714,42.23908,22.73294,,,350000,4600798.163252943,1927664.198620414,4500580.627237002,1499.5291782511504
2023-02-01 14:41:07,0.028700564,42.24018,22.73144,,,350000,4600768.704239108,1927510.265050365,4500676.060925271,1499.6836007085394
2023-02-01 14:41:12,0.041398998,42.24128,22.72994,,,350000,4600739.238614256,1927356.3336299686,4500771.492967291,1499.8380246399413
2023-02-01 14:41:17,0.037369127,42.24238,22.72844,,,350000,4600709.766378487,1927202.4043595225,4500866.923363022,1499.992450044097
2023-02-01 14:41:22,-0.002428334,42.24348,22.72694,,,350000,4600680.287531905,1927048.4772393226,4500962.352112431,1500.1468769197538
2023-02-01 14:41:27,-0.015713065,42.24457,22.72544,,,350000,4600651.528754034,1926894.8566254384,4501056.91170378,1500.3009632541111
2023-02-01 14:41:32,0.015609965,42.24567,22.72394,,,350000,4600622.036709597,1926740.933794091,4501152.337175406,1500.455393029532
2023-02-01 14:41:37,-0.024800503,42.24677,22.72244,,,350000,4600592.5380546525,1926587.013113881,4501247.761000602,1500.6098242727
2023-02-01 14:41:42,-0.03729441,42.24787,22.72095,,,350000,4600562.696563234,1926433.8975348014,4501343.183179333,1500.7634783211217
2023-02-01 14:41:47,-0.034800583,42.24896,22.71945,,,350000,4600533.9114875235,1926280.2854582989,4501437.7362595955,1500.9175703462877
2023-02-01 14:41:52,-0.008859926,42.25006,22.71795,,,350000,4600504.393052001,1926126.371215595,4501533.155160259,1501.0720059649102
2023-02-01 14:41:57,0.017962579,42.25116,22.71645,,,350000,4600474.868006382,1925972.459125217,4501628.57241435,1501.2264430462787
2023-02-01 14:42:02,-0.025168826,42.25226,22.71495,,,350000,4600445.336350769,1925818.5491874616,4501723.988021834,1501.3808815891427
2023-02-01 14:42:07,-0.009425669,42.25336,22.71345,,,350000,4600415.798085265,1925664.6414026257,4501819.401982676,1501.5353215922528
2023-02-01 14:42:12,-0.025800548,42.25446,22.71195,,,350000,4600386.253209973,1925510.7357710064,4501914.814296839,1501.6897630543565
2023-02-01 14:42:17,-0.035190728,42.25556,22.71045,,,350000,4600356.701724991,1925356.8322929004,4502010.224964285,1501.8442059742029
2023-02-01 14:42:22,-0.059456237,42.25666,22.70896,,,350000,4600326.807619061,1925203.7338771317,4502105.633984983,1501.997871842356
2023-02-01 14:42:27,-0.042661666,42.25776,22.70746,,,350000,4600297.242941879,1925049.8347017865,4502201.041358895,1502.152317693101
2023-02-01 14:42:32,-0.065658866,42.25886,22.70596,,,350000,4600267.671655316,1924895.9376808463,4502296.447085985,1502.3067649978414
2023-02-01 14:42:37,-0.072277842,42.25995,22.70446,,,350000,4600238.820766946,1924742.3469949157,4502390.983863816,1502.4608711931337
2023-02-01 14:42:42,-0.018334958,42.25401,22.67317,,,350000,4601721.178699966,1922410.2443137148,4501875.782185531,1504.6943083664257
2023-02-01 14:42:47,-0.078928327,42.2551,22.67168,,,350000,4601691.915725145,1922257.467189624,4501970.326158227,1504.8475550995597
