Time,dTEC,ipplat,ipplon,IPP_alt,IPP_x,IPP_y,IPP_z,distance_to_earthquake
2023-02-01 00:00:02,-0.000366163,41.87589,21.82657,350000,4657181.150073809,1865245.2227519492,4468981.238577508,1559.5173168378492
2023-02-01 00:00:07,-0.001003005,41.87687,21.82557,350000,4657142.542792666,1865135.4400116543,4469066.7439060025,1559.6252166266968
2023-02-01 00:00:12,-0.002764415,41.87785,21.82456,350000,4657104.257237155,1865024.845820872,4469152.247937226,1559.7339156837686
2023-02-01 00:00:17,-0.019047934,41.87883,21.82356,350000,4657065.642371536,1864915.0658224728,4469237.750671147,1559.8418208319085
2023-02-01 00:00:22,0.013133248,41.87982,21.82255,350000,4657026.622993755,1864804.1835966362,4469324.124564697,1559.9508135264057
2023-02-01 00:00:27,-0.006109418,41.8808,21.82155,350000,4656988.000524805,1864694.4063477393,4469409.624690706,1560.058724077568
2023-02-01 00:00:32,-0.01331906,41.88178,21.82055,350000,4656949.37427336,1864584.6304668796,4469495.123519337,1560.1666373150115
2023-02-01 00:00:37,-0.026358722,41.88276,21.81955,350000,4656910.744239467,1864474.8559541872,4469580.621050567,1560.2745532378622
2023-02-01 00:00:42,-0.010210332,41.88374,21.81854,350000,4656872.435816197,1864364.2700322536,4469666.1172843715,1560.3832683069859
2023-02-01 00:00:47,0.000340665,41.88473,21.81754,350000,4656833.071903548,1864254.207507878,4469752.484611345,1560.4914781338562
2023-02-01 00:00:52,-0.025730386,41.88571,21.81654,350000,4656794.430484394,1864144.437114302,4469837.97823698,1560.599402135443
2023-02-01 00:00:57,-0.033662956,41.88669,21.81554,350000,4656755.785282982,1864034.6680894182,4469923.470565111,1560.7073288189283
2023-02-01 00:01:02,-0.027218663,41.88767,21.81454,350000,4656717.136299357,1863924.9004333564,4470008.961595714,1560.8152581834372
2023-02-01 00:01:07,-0.029901509,41.88865,21.81354,350000,4656678.483533567,1863815.134146248,4470094.451328762,1560.9231902280947
2023-02-01 00:01:12,-0.009983663,41.88964,21.81254,350000,4656639.100595445,1863705.0785084357,4470180.812088518,1561.0314137439452
2023-02-01 00:01:17,-0.01729238,41.88756,21.79742,350000,4657281.860676608,1862536.5841354541,4469999.365728355,1562.1756018042388
2023-02-01 00:01:22,-0.000122515,41.88854,21.79643,350000,4657242.850268931,1862427.6421669482,4470084.855607049,1562.282703581968
2023-02-01 00:01:27,-0.045436066,41.88952,21.79543,350000,4657204.16115357,1862317.8887196484,4470170.344188165,1562.390604547442
2023-02-01 00:01:32,-0.004695548,41.8905,21.79443,350000,4657165.468256543,1862208.1366426854,4470255.83147168,1562.4985081903505
2023-02-01 00:01:37,-0.047358157,41.89148,21.79344,350000,4657126.4465803495,1862099.19875812,4470341.317457567,1562.605618078147
2023-02-01 00:01:42,-0.040398744,41.89246,21.79244,350000,4657087.746139289,1861989.4494154677,4470426.802145803,1562.7135270927326
2023-02-01 00:01:47,-0.071719218,41.89343,21.79145,350000,4657049.443508673,1861880.8047259573,4470511.413263419,1562.8203538818618
2023-02-01 00:01:52,-0.048954423,41.89442,21.79045,350000,4657010.008972411,1861770.7676440843,4470597.767629213,1562.9285567721583
2023-02-01 00:01:57,-0.034387938,41.89539,21.78946,350000,4656971.698874239,1861662.1256620304,4470682.37617788,1563.0353888721907
2023-02-01 00:02:02,-0.018855123,41.89637,21.78846,350000,4656932.983364706,1861552.3817824612,4470767.855688492,1563.143308572585
2023-02-01 00:02:07,-0.022334435,41.89735,21.78747,350000,4656893.939190736,1861443.4520554894,4470853.333901327,1563.2504346291491
2023-02-01 00:02:12,-0.035896048,41.89833,21.78648,350000,4656854.891273642,1861334.523686324,4470938.810816356,1563.357563395111
2023-02-01 00:02:17,-0.002428911,41.89931,21.78548,350000,4656816.164458541,1861224.7839073716,4471024.286433554,1563.4654911457762
2023-02-01 00:02:22,-0.033338057,41.90029,21.78449,350000,4656777.109036321,1861115.8582610183,4471109.760752898,1563.5726253084279
2023-02-01 00:02:27,-0.030617385,41.90127,21.7835,350000,4656738.049871113,1861006.9339728558,4471195.233774359,1563.679762177872
2023-02-01 00:02:32,-0.030697665,41.90225,21.78251,350000,4656698.986962961,1860898.0110430128,4471280.705497917,1563.7869017532398
