Time,dTEC,ipplat,ipplon,anomaly,forecast,IPP_alt,IPP_x,IPP_y,IPP_z,distance_to_earthquake
2023-02-01 13:22:27,0.005176642,34.35744,39.16894,,,350000,4310534.374525998,3511696.7029597745,3776771.792354401,488.81923329951206
2023-02-01 13:22:32,-0.011228862,34.35869,39.16776,,,350000,4310542.684305007,3511555.7800497487,3776892.5643654135,488.7008182835994
2023-02-01 13:22:37,-0.040638937,34.35994,39.16657,,,350000,4310551.600909994,3511414.1042796248,3777013.334598534,488.58223982749996
2023-02-01 13:22:42,-0.004553653,34.36118,39.16538,,,350000,4310561.023590912,3511272.845169573,3777133.1369131175,488.46445627798164
2023-02-01 13:22:47,-0.132595998,34.36243,39.1642,,,350000,4310569.3152513,3511131.9206793443,3777253.903604507,488.34615550605565
2023-02-01 13:22:52,-0.03944088,34.36368,39.16301,,,350000,4310578.213663616,3510990.2433251357,3777374.66851783,488.2276918646217
2023-02-01 13:22:57,-0.008635126,34.36493,39.16182,,,350000,4310587.105995051,3510848.5654419777,3777495.431653031,488.10926665349547
2023-02-01 13:23:02,-0.117167482,34.36617,39.16063,,,350000,4310596.504502547,3510707.304230921,3777615.2269262522,487.9916358530508
2023-02-01 13:23:07,0.003847387,34.36742,39.15945,,,350000,4310604.771987902,3510566.377635904,3777735.9865192636,487.8734878852751
2023-02-01 13:23:12,-0.098491104,34.36867,39.15826,,,350000,4310613.646126386,3510424.698171745,3777856.7443339783,487.75517781092077
2023-02-01 13:23:17,-0.003717457,34.36992,39.15707,,,350000,4310622.514183895,3510283.0181796686,3777977.50037034,487.63690627467224
2023-02-01 13:23:22,-0.060377094,34.37116,39.15588,,,350000,4310631.888517597,3510141.754871703,3778097.2886012862,487.5194286513886
2023-02-01 13:23:27,-0.012053355,34.37679,39.12704,,,350000,4312109.586480664,3507736.7790505886,3778641.1437982223,486.5242719151257
2023-02-01 13:23:32,-0.107875503,34.37803,39.12586,,,350000,4312118.257423605,3507596.2616512463,3778760.922332194,486.40759096423153
2023-02-01 13:23:37,-0.105294719,34.37928,39.12467,,,350000,4312127.0218597995,3507454.5741092963,3778881.665050416,486.28999838679704
2023-02-01 13:23:42,0.021544896,34.38052,39.12349,,,350000,4312135.6807890935,3507314.055675973,3779001.440069337,486.173394411155
2023-02-01 13:23:47,-0.107398682,34.38176,39.1223,,,350000,4312144.9458534345,3507172.784116934,3779121.213337707,486.0566342157481
2023-02-01 13:23:52,-0.118427401,34.383,39.12112,,,350000,4312153.592793894,3507032.264653356,3779240.984855469,485.94010717023235
2023-02-01 13:23:57,-0.004725128,34.38425,39.11993,,,350000,4312162.333029185,3506890.5750312493,3779361.7205006685,485.82266987957496
2023-02-01 13:24:02,-0.114133657,34.38549,39.11875,,,350000,4312170.967955817,3506750.054535721,3779481.4885029257,485.7062200238465
2023-02-01 13:24:07,0.025523292,34.38673,39.11756,,,350000,4312180.208918965,3506608.7809093306,3779601.2547544045,485.5896147200916
2023-02-01 13:24:12,-0.018678925,34.38798,39.11638,,,350000,4312188.31899067,3506467.842347241,3779721.98509068,485.4724880574204
2023-02-01 13:24:17,-0.051238881,34.38922,39.11519,,,350000,4312197.547890601,3506326.567687396,3779841.7478263136,485.3559604374823
2023-02-01 13:24:22,-0.028067078,34.39046,39.114,,,350000,4312206.770759046,3506185.2925117095,3779961.5088110007,485.2394717072796
2023-02-01 13:24:27,-0.01322695,34.39171,39.11282,,,350000,4312214.862734896,3506044.35239768,3780082.2338378383,485.1224616592663
2023-02-01 13:24:32,-0.103505859,34.39724,39.08404,,,350000,4313691.632626695,3503647.3593142964,3780616.300006523,484.156420030254
2023-02-01 13:24:37,0.022855896,34.39848,39.08286,,,350000,4313700.147175728,3503506.8299437133,3780736.049665172,484.04076750978237
2023-02-01 13:24:42,0.011200083,34.39972,39.08167,,,350000,4313709.267194787,3503365.547180495,3780855.7975724526,483.9249657791578
2023-02-01 13:24:47,-0.072663469,34.40096,39.08049,,,350000,4313717.769753916,3503225.0167918964,3780975.543728308,483.80939138601485
2023-02-01 13:24:52,-0.077609868,34.4022,39.07931,,,350000,4313726.266330319,3503084.4858954097,3781095.2881326834,483.6938560131646
2023-02-01 13:24:57,-0.076259163,34.40343,39.07812,,,350000,4313735.881650767,3502943.618463522,3781214.0651259706,483.57892469089734
2023-02-01 13:25:02,-0.081538345,34.40467,39.07694,,,350000,4313744.366262037,3502803.086553216,3781333.8060413403,483.4634674523461
2023-02-01 13:25:07,0.024776648,34.40591,39.07576,,,350000,4313752.844890518,3502662.5541357794,3781453.5452050595,483.34804931503317
