Time,dTEC,ipplat,ipplon,anomaly,forecast,IPP_alt,IPP_x,IPP_y,IPP_z,distance_to_earthquake
2023-02-01 16:57:47,-0.00014051,38.55167,29.16108,,,350000,4600484.240583201,2567024.1698244982,4171643.6440609386,886.5928015356474
2023-02-01 16:57:52,0.013062118,38.54997,29.16223,,,350000,4600541.06703425,2567176.968488914,4171487.939523892,886.4742409771833
2023-02-01 16:57:57,0.004511737,38.54827,29.16338,,,350000,4600597.885140704,2567329.768200636,4171332.231348401,886.3557142586058
2023-02-01 16:58:02,0.017676747,38.54657,29.16453,,,350000,4600654.6949024955,2567482.5689592576,4171176.519534603,886.2372213946132
2023-02-01 16:58:07,0.022130336,38.54486,29.16568,,,350000,4600712.133572367,2567635.7264121557,4171019.888098627,886.1186155355783
2023-02-01 16:58:12,0.026566584,38.54316,29.16683,,,350000,4600768.926613591,2567788.5292628026,4170864.1689872327,886.0001906398535
2023-02-01 16:58:17,0.026794462,38.53069,29.1823,,,350000,4600869.836107831,2569474.299984898,4169721.81230073,884.560677032062
2023-02-01 16:58:22,0.039891231,38.52898,29.18344,,,350000,4600927.62623219,2569626.6712095058,4169565.146686809,884.4431869823283
2023-02-01 16:58:27,0.026891841,38.52728,29.18458,,,350000,4600984.771113999,2569778.687734249,4169409.3935986413,884.3258762638358
2023-02-01 16:58:32,0.03561103,38.52557,29.18572,,,350000,4601042.544560516,2569931.060999116,4169252.7206470915,884.2084550566925
2023-02-01 16:58:37,0.035622127,38.52386,29.18685,,,350000,4601100.758216562,2570082.6322395885,4169096.044016174,884.0918813962664
2023-02-01 16:58:42,0.044467947,38.52215,29.18799,,,350000,4601158.514980439,2570235.007532249,4168939.363706036,883.9745293316569
2023-02-01 16:58:47,0.039949396,38.52044,29.18912,,,350000,4601216.712006761,2570386.5807794654,4168782.679716815,883.8580248898521
2023-02-01 16:58:52,0.035728164,38.508,29.20454,,,350000,4601316.684031577,2572067.4758446654,4167642.7158780303,882.426095629518
2023-02-01 16:58:57,0.027147731,38.50629,29.20567,,,350000,4601374.793313096,2572219.0646383315,4167486.001450354,882.3098617548217
2023-02-01 16:59:02,0.014052964,38.50458,29.20679,,,350000,4601433.343255522,2572369.8513237336,4167329.283344902,882.194475804865
2023-02-01 16:59:07,-0.016440386,38.50286,29.20792,,,350000,4601492.072358488,2572521.7978808037,4167171.645049348,882.0781696753511
2023-02-01 16:59:12,-0.038096279,38.50115,29.20904,,,350000,4601550.605744142,2572672.586520131,4167014.9195672665,881.9628536351369
