Time,dTEC,ipplat,ipplon,IPP_alt,IPP_x,IPP_y,IPP_z,distance_to_earthquake
2023-02-01 00:56:17,-0.001857964,40.56747,-3.60597,350000,5107707.773435718,-321884.04861434223,4353674.197608773,3663.066860877969
2023-02-01 00:56:22,-0.00607925,40.57037,-3.60546,350000,5107490.116902896,-321824.68884616223,4353932.277873264,3662.9819909987204
2023-02-01 00:56:27,-0.005611785,40.5826,-3.59034,350000,5106644.714289225,-320418.479986702,4355020.542953289,3661.555912946403
2023-02-01 00:56:32,-0.018317746,40.58548,-3.58983,350000,5106428.493751709,-320359.28098369826,4355276.786075205,3661.4715119161824
2023-02-01 00:56:37,-0.021164005,40.58837,-3.58933,350000,5106211.442967262,-320300.9285253856,4355533.907961008,3661.387814626795
2023-02-01 00:56:42,-0.007569634,40.59126,-3.58882,350000,5105994.434397948,-320241.6878972177,4355791.0188579615,3661.3033206481387
2023-02-01 00:56:47,-0.035116902,40.59415,-3.58831,350000,5105777.412131018,-320182.4503394814,4356048.118765404,3661.2188538181445
2023-02-01 00:56:52,-0.041052576,40.60632,-3.57317,350000,5104935.781872137,-318775.4467326519,4357130.664564541,3659.793311405208
2023-02-01 00:56:57,-0.031017321,40.60921,-3.57266,350000,5104718.674811794,-318716.2744109917,4357387.707194116,3659.7090182717084
2023-02-01 00:57:02,-0.026131201,40.61209,-3.57214,350000,5104502.370795308,-318656.26177582867,4357643.849466196,3659.6240748571036
2023-02-01 00:57:07,-0.038242877,40.61497,-3.57163,350000,5104285.997550606,-318597.14315057517,4357899.980819943,3659.539982102974
2023-02-01 00:57:12,-0.042811809,40.61785,-3.57111,350000,5104069.666299963,-318537.13676592585,4358156.1012547,3659.4550927597434
2023-02-01 00:57:17,-0.022948255,40.62998,-3.55596,350000,5103230.234565189,-317130.1330702334,4359234.710867825,3658.0306077495097
2023-02-01 00:57:22,-0.00121477,40.63285,-3.55544,350000,5103014.580223807,-317070.2393420624,4359489.8852937855,3657.94603689852
2023-02-01 00:57:27,0.015572791,40.63573,-3.55492,350000,5102798.150850944,-317010.301447198,4359745.937925148,3657.861347611579
