Time,dTEC,ipplat,ipplon,IPP_alt,IPP_x,IPP_y,IPP_z,distance_to_earthquake
2023-02-04 05:53:17,0.073216185,38.81808,2.65855,350000,5243061.757511035,243455.17416794735,4195999.323755298,3163.6764586854765
2023-02-04 05:53:22,0.068208444,38.82146,2.65832,350000,5242814.843001339,243422.61761309145,4196307.753072512,3163.6448956929635
2023-02-04 05:53:27,0.076829558,38.83769,2.65511,350000,5241637.893908917,243073.6767375273,4197788.559720211,3163.673344749567
2023-02-04 05:53:32,0.009253075,38.84106,2.65488,350000,5241391.60470193,243041.16987976636,4198095.992825599,3163.642155607981
2023-02-04 05:53:37,0.043767866,38.84443,2.65464,350000,5241145.339533117,243007.74940706327,4198403.411539882,3163.6118579186996
2023-02-04 05:53:42,0.025272451,38.86063,2.65143,350000,5239969.968476981,242659.0528529531,4199881.009798717,3163.641977230749
2023-02-04 05:53:47,0.026835855,38.864,2.6512,350000,5239723.553008124,242626.5628366236,4200188.344920842,3163.611049336385
2023-02-04 05:53:52,0.046314792,38.86736,2.65096,350000,5239477.895685376,242593.193491977,4200494.7537349155,3163.5811624623643
2023-02-04 05:53:57,0.042790351,38.88353,2.64775,350000,5238304.106125696,242244.74109654574,4201969.145931094,3163.612945019212
2023-02-04 05:54:02,0.010416949,38.88689,2.64751,350000,5238058.3414143035,242211.38769086826,4202275.471529185,3163.583278881009
2023-02-04 05:54:07,0.036487852,38.89025,2.64728,350000,5237812.516168028,242178.94968317755,4202581.78280692,3163.5527998195016
2023-02-04 05:54:12,0.002923181,38.9064,2.64406,350000,5236639.618960958,241829.79338273115,4204053.882679288,3163.5869419287787
2023-02-04 05:54:17,-0.017013162,38.90975,2.64382,350000,5236394.463593315,241796.49109382863,4204359.199412243,3163.557683530761
2023-02-04 05:54:22,-0.000523768,38.91311,2.64358,350000,5236148.55516089,241763.1561011527,4204665.413232153,3163.5283156575065
2023-02-04 05:54:27,-0.017755129,38.92922,2.64037,350000,5234977.938562741,241415.191967542,4206133.400069459,3163.563403988556
2023-02-04 05:54:32,-0.010641756,38.93257,2.64013,350000,5234732.65835756,241381.90685034273,4206438.61976286,3163.5344036705487
