Time,dTEC,forecast,upper_MSE,ipplat,ipplon,Error_count,Error_RM,dTEC_x,upper_MSE_x,ipplat_x,ipplon_x,forecast_x,dTEC_y,upper_MSE_y,ipplat_y,ipplon_y,forecast_y,phaseRA_NICOgrp7,anomaly,ipp_dist
2023-02-06 10:30:02,-0.037618012,-0.023869965,,35.56348,39.41948,0,,-0.037618012,,35.56348,39.41948,-0.023869965,-0.078017461,,35.78041,37.48393,0.017828751,,,176.49383220038553
2023-02-06 10:30:07,-0.02056642,-0.023576392,,35.56341,39.42026,0,,-0.02056642,,35.56341,39.42026,-0.023576392,0.015819727,,35.77844,37.48594,0.0024535628,,,176.3572220586359
2023-02-06 10:30:12,-0.057863843,-0.020929974,,35.56334,39.42104,0,,-0.057863843,,35.56334,39.42104,-0.020929974,-0.001770272,,35.77647,37.48796,0.0065119048,,,176.21992855045127
2023-02-06 10:30:17,-0.03669349,-0.024929905,,35.56326,39.42182,0,,-0.03669349,,35.56326,39.42182,-0.024929905,0.006941139,,35.77449,37.48996,0.0032328572,,,176.0846590974027
2023-02-06 10:30:22,-0.020980533,-0.023121033,,35.56319,39.4226,0,,-0.020980533,,35.56319,39.4226,-0.023121033,-0.096006946,,35.77252,37.49197,0.0025564278,,,175.94868559567757
2023-02-06 10:30:27,-0.014482709,-0.020877637,,35.56312,39.42338,0,,-0.014482709,,35.56312,39.42338,-0.020877637,-0.002254834,,35.77054,37.49398,-0.010299636,,,175.8127902792236
2023-02-06 10:30:32,-0.033179523,-0.018597059,,35.57655,39.44692,0,,-0.033179523,,35.57655,39.44692,-0.018597059,-0.085732737,,35.76857,37.49598,-0.006143728,,,177.51531344212094
2023-02-06 10:30:37,-0.015019849,-0.019332957,,35.57647,39.4477,0,,-0.015019849,,35.57647,39.4477,-0.019332957,0.041123934,,35.76659,37.49798,-0.016427107,,,177.3828735155866
2023-02-06 10:30:42,-0.001836436,-0.016365426,,35.5764,39.44849,0,,-0.001836436,,35.5764,39.44849,-0.016365426,-0.101143642,,35.76461,37.49998,-0.0071435515,,,177.2514039723112
2023-02-06 10:30:47,-0.026765506,-0.013104515,,35.57632,39.44928,0,,-0.026765506,,35.57632,39.44928,-0.013104515,-0.066448185,,35.76263,37.50198,-0.020550238,,,177.1202942664645
2023-02-06 10:30:52,-0.028226462,-0.01436447,,35.57624,39.45006,0,,-0.028226462,,35.57624,39.45006,-0.01436447,0.007484275,,35.76064,37.50398,-0.02098049,,,176.98838634286162
2023-02-06 10:30:57,-0.031235086,-0.014254258,,35.57616,39.45085,0,,-0.031235086,,35.57616,39.45085,-0.014254258,-0.115314498,,35.75866,37.50598,-0.015432477,,,176.8577119689367
