Time,dTEC,forecast,upper_MSE,ipplat,ipplon,Error_count,Error_RM,dTEC_x,upper_MSE_x,ipplat_x,ipplon_x,forecast_x,dTEC_y,upper_MSE_y,ipplat_y,ipplon_y,forecast_y,phaseRA_GRACgrp1,anomaly,ipp_dist
2023-02-01 08:35:02,-0.706145131,-0.636257,,45.41208,8.53072,0,,-0.706145131,,45.41208,8.53072,-0.636257,-0.324045997,,44.22498,9.17225,-0.30667275,,,141.36456667372434
2023-02-01 08:35:07,-0.713508219,-0.63731813,,45.41412,8.53294,0,,-0.713508219,,45.41412,8.53294,-0.63731813,-0.328359233,,44.22678,9.1727,-0.31616622,,,141.33898929572058
2023-02-01 08:35:12,-0.71757529,-0.641999,,45.41617,8.53516,0,,-0.71757529,,45.41617,8.53516,-0.641999,-0.344492136,,44.22858,9.17316,-0.32398006,,,141.31487516596334
2023-02-01 08:35:17,-0.721047832,-0.6432308,,45.41821,8.53738,0,,-0.721047832,,45.41821,8.53738,-0.6432308,-0.357059486,,44.23038,9.17362,-0.34035704,,,141.28986744387015
2023-02-01 08:35:22,-0.725264374,-0.6459837,,45.42026,8.5396,0,,-0.725264374,,45.42026,8.5396,-0.6459837,-0.368683819,,44.23217,9.17408,-0.3574023,,,141.2670829701511
2023-02-01 08:35:27,-0.729032325,-0.64804727,,45.4223,8.54182,0,,-0.729032325,,45.4223,8.54182,-0.64804727,-0.375622534,,44.23397,9.17454,-0.37354934,,,141.2423631938635
2023-02-01 08:35:32,-0.725123208,-0.6498545,,45.42433,8.54404,0,,-0.725123208,,45.42433,8.54404,-0.6498545,-0.396487616,,44.23576,9.175,-0.384267,,,141.21779011086284
2023-02-01 08:35:37,-0.7234437,-0.6474526,,45.43284,8.55279,0,,-0.7234437,,45.43284,8.55279,-0.6474526,-0.409527845,,44.23756,9.17547,-0.40389335,,,141.68719593171576
2023-02-01 08:35:42,-0.724943667,-0.6474399,,45.43488,8.55503,0,,-0.724943667,,45.43488,8.55503,-0.6474399,-0.423419718,,44.23935,9.17593,-0.420513,,,141.66414840794573
2023-02-01 08:35:47,-0.724537405,-0.6480846,,45.43692,8.55727,0,,-0.724537405,,45.43692,8.55727,-0.6480846,-0.429451866,,44.24114,9.1764,-0.4361266,,,141.64151979991172
2023-02-01 08:35:52,-0.72453868,-0.64780927,,45.43896,8.55951,0,,-0.72453868,,45.43896,8.55951,-0.64780927,-0.435213468,,44.24294,9.17686,-0.44332278,,,141.61772033998668
2023-02-01 08:35:57,-0.725119766,-0.6483672,,45.441,8.56175,0,,-0.725119766,,45.441,8.56175,-0.6483672,-0.456986976,,44.24473,9.17733,-0.44766155,,,141.59538364895278
2023-02-01 08:36:02,-0.739888687,-0.6483437,,45.44303,8.564,0,,-0.739888687,,45.44303,8.564,-0.6483437,-0.457962329,,44.24652,9.1778,-0.4655338,,,141.5718798190744
2023-02-01 08:36:07,-0.72131376,-0.65731037,,45.44506,8.56624,0,,-0.72131376,,45.44506,8.56624,-0.65731037,-0.481278477,,44.24831,9.17827,-0.46978664,,,141.5487912844
2023-02-01 08:36:12,-0.712600335,-0.6424674,,45.44709,8.56849,0,,-0.712600335,,45.44709,8.56849,-0.6424674,-0.4825184,,44.2501,9.17874,-0.49074224,,,141.52557995069716
2023-02-01 08:36:17,-0.705745137,-0.6436152,,45.44912,8.57074,0,,-0.705745137,,45.44912,8.57074,-0.6436152,-0.49628253,,44.25189,9.17921,-0.49463594,,,141.50251530933318
2023-02-01 08:36:22,-0.693913111,-0.6356667,,45.45115,8.573,0,,-0.693913111,,45.45115,8.573,-0.6356667,-0.500198074,,44.25368,9.17968,-0.5065907,,,141.47933097953162
