Time,dTEC,forecast,upper_MSE,ipplat,ipplon,Error_count,Error_RM,dTEC_x,upper_MSE_x,ipplat_x,ipplon_x,forecast_x,dTEC_y,upper_MSE_y,ipplat_y,ipplon_y,forecast_y,phaseRA_MATZgrp2,anomaly,ipp_dist
2023-02-02 11:50:02,-0.487713839,-0.4547798,,40.5661,12.28615,0,,,,,,,,,,,,,,
2023-02-02 11:50:07,-0.484037635,-0.47506574,,40.56809,12.2877,0,,,,,,,,,,,,,,
2023-02-02 11:50:12,-0.49400509,-0.47974047,,40.57009,12.28925,0,,,,,,,,,,,,,,
2023-02-02 11:50:17,-0.516355032,-0.48990268,,40.57208,12.2908,0,,,,,,,,,,,,,,
2023-02-02 11:50:22,-0.520326122,-0.5104974,,40.57408,12.29235,0,,,,,,,,,,,,,,
2023-02-02 11:50:27,-0.534772873,-0.5201936,,40.57668,12.3112,0,,,,,,,,,,,,,,
2023-02-02 11:50:32,-0.548961679,-0.5341369,,40.57867,12.31276,0,,,,,,,,,,,,,,
2023-02-02 11:50:37,-0.546571833,-0.5487869,,40.58065,12.31431,0,,,,,,,,,,,,,,
2023-02-02 11:50:42,-0.555212556,-0.5495834,,40.58263,12.31586,0,,,,,,,,,,,,,,
2023-02-02 11:50:47,-0.55933902,-0.55461234,,40.58461,12.31742,0,,,,,,,,,,,,,,
2023-02-02 11:50:52,-0.561567374,-0.55741245,,40.58659,12.31898,0,,,,,,,,,,,,,,
2023-02-02 11:50:57,-0.574607771,-0.55937546,,40.58857,12.32054,0,,,,,,,,,,,,,,
2023-02-02 11:51:02,-0.584930398,-0.5703332,,40.59055,12.3221,0,,,,,,,,,,,,,,
2023-02-02 11:51:07,-0.584751502,-0.5819249,,40.59253,12.32366,0,,,,,,,,,,,,,,
2023-02-02 11:51:12,-0.595629419,-0.5839707,,40.5945,12.32522,0,,,,,,,,,,,,,,
2023-02-02 11:51:17,-0.600619604,-0.5927369,,40.59648,12.32679,0,,,,,,,,,,,,,,
2023-02-02 11:51:22,-0.610724663,-0.59759945,,40.59846,12.32836,0,,,,,,,,,,,,,,
2023-02-02 11:51:27,-0.622816382,-0.6076428,,40.60043,12.32993,0,,,,,,,,,,,,,,
2023-02-02 11:51:32,-0.607379759,-0.6200627,,40.6024,12.3315,0,,,,,,,,,,,,,,
2023-02-02 11:51:37,-0.619038038,-0.607183,,40.60488,12.35029,0,,,,,,,,,,,,,,
2023-02-02 11:51:42,-0.63417374,-0.61261296,,40.60684,12.35186,0,,,,,,,,,,,,,,
2023-02-02 11:51:47,-0.624668698,-0.6262315,,40.6088,12.35343,0,,,,,,,,,,,,,,
2023-02-02 11:51:52,-0.633505088,-0.62196094,,40.61076,12.355,0,,,,,,,,,,,,,,
2023-02-02 11:51:57,-0.630391469,-0.6275134,,40.61272,12.35657,0,0.0,,,,,,,,,,,,,
2023-02-02 11:52:02,-0.630210811,-0.6232988,,40.61468,12.35814,0,0.0,,,,,,,,,,,,,
2023-02-02 11:52:07,-0.618508537,-0.62231165,,40.61664,12.35972,0,0.0,,,,,,,,,,,,,
2023-02-02 11:52:12,-0.617154555,-0.6087923,,40.6186,12.3613,0,0.0,,,,,,,,,,,,,
2023-02-02 11:52:17,-0.612315294,-0.6038587,,40.62056,12.36288,0,0.0,,,,,,,,,,,,,
2023-02-02 11:52:22,-0.617634743,-0.59712744,,40.62251,12.36446,0,0.0,,,,,,,,,,,,,
2023-02-02 11:52:27,-0.607792487,-0.6023311,,40.62447,12.36604,0,0.0,,,,,,,,,,,,,
2023-02-02 11:52:32,-0.597675741,-0.59470016,,40.62642,12.36762,0,0.0,,,,,,,,,,,,,
2023-02-02 11:52:37,-0.602637394,-0.5833695,,40.62837,12.36921,0,0.0,,,,,,,,,,,,,
2023-02-02 11:52:42,-0.596895041,-0.58455265,,40.63072,12.38795,0,0.0,,,,,,,,,,,,,
2023-02-02 11:52:47,-0.584780021,-0.58052796,,40.63267,12.38953,0,0.0,,,,,,,,,,,,,
2023-02-02 11:52:52,-0.567832459,-0.56945693,,40.63461,12.39111,0,0.0,,,,,,,,,,,,,
2023-02-02 11:52:57,-0.5603223,-0.55037284,,40.63655,12.3927,0,0.0,,,,,,,,,,,,,
2023-02-02 11:53:02,-0.548888348,-0.53885716,,40.63849,12.39429,0,0.0,,,,,,,,,,,,,
2023-02-02 11:53:07,-0.538021306,-0.5271713,,40.64043,12.39588,0,0.0,,,,,,,,,,,,,
2023-02-02 11:53:12,-0.512187811,-0.51652575,,40.64237,12.39747,0,0.0,,,,,,,,,,,,,
2023-02-02 11:53:17,-0.510500473,-0.49229482,,40.64431,12.39906,0,0.0,,,,,,,,,,,,,
2023-02-02 11:53:22,-0.496160913,-0.48556057,,40.64624,12.40065,0,0.0,,,,,,,,,,,,,
2023-02-02 11:53:27,-0.479561799,-0.47323167,,40.64818,12.40225,0,0.0,,,,,,,,,,,,,
2023-02-02 11:53:32,-0.465977884,-0.45910785,,40.65012,12.40384,0,0.0,,,,,,,,,,,,,
2023-02-02 11:53:37,-0.441587046,-0.44509152,,40.65205,12.40544,0,0.0,,,,,,,,,,,,,
2023-02-02 11:53:42,-0.422377317,-0.42253187,,40.65398,12.40704,0,0.0,,,,,,,,,,,,,
2023-02-02 11:53:47,-0.391580927,-0.40141496,,40.65592,12.40864,0,0.0,,,,,,,,,,,,,
2023-02-02 11:53:52,-0.369843332,-0.3716543,,40.65813,12.42732,0,0.0,,,,,,,,,,,,,
2023-02-02 11:53:57,-0.352858256,-0.34616664,,40.66005,12.42892,0,0.0,,,,,,,,,,,,,
2023-02-02 11:54:02,-0.321727721,-0.32621893,,40.66198,12.43052,0,0.0,,,,,,,,,,,,,
