Time,dTEC,forecast,upper_MSE,ipplat,ipplon,Error_count,Error_RM,dTEC_x,upper_MSE_x,ipplat_x,ipplon_x,forecast_x,dTEC_y,upper_MSE_y,ipplat_y,ipplon_y,forecast_y,phaseRA_MATZgrp2,anomaly,ipp_dist
2023-02-02 11:45:02,-0.170898396,-0.17335287,,38.78203,20.91799,0,,-0.170898396,,38.78203,20.91799,-0.17335287,-0.343196397,,38.90956,19.6228,-0.33701092,,,113.05880706038448
2023-02-02 11:45:07,-0.181453113,-0.16065353,,38.78554,20.91715,0,,-0.181453113,,38.78554,20.91715,-0.16065353,-0.331419065,,38.91206,19.6227,-0.33028805,,,112.97649243087896
2023-02-02 11:45:12,-0.156525601,-0.16412438,,38.78904,20.91631,0,,-0.156525601,,38.78904,20.91631,-0.16412438,-0.310649112,,38.91456,19.62259,-0.31687704,,,112.89528107041428
2023-02-02 11:45:17,-0.132890105,-0.14571878,,38.79254,20.91547,0,,-0.132890105,,38.79254,20.91547,-0.14571878,-0.316134374,,38.91706,19.62249,-0.29053208,,,112.81330738986937
2023-02-02 11:45:22,-0.110154422,-0.119832344,,38.79605,20.91463,0,,-0.110154422,,38.79605,20.91463,-0.119832344,-0.303684186,,38.91956,19.62238,-0.2975348,,,112.73214696061035
2023-02-02 11:45:27,-0.109913913,-0.09256276,,38.80555,20.90103,0,,-0.109913913,,38.80555,20.90103,-0.09256276,-0.301966398,,38.92206,19.62228,-0.28615856,,,111.46962772572623
2023-02-02 11:45:32,-0.102983518,-0.08197948,,38.80904,20.90019,0,,-0.102983518,,38.80904,20.90019,-0.08197948,-0.279248403,,38.92456,19.62217,-0.28784242,,,111.38947685925274
2023-02-02 11:45:37,-0.07943677,-0.07375011,,38.81254,20.89935,0,,-0.07943677,,38.81254,20.89935,-0.07375011,-0.274775155,,38.92706,19.62206,-0.2570402,,,111.30928856938392
2023-02-02 11:45:42,-0.062819812,-0.056804173,,38.81604,20.89851,0,,-0.062819812,,38.81604,20.89851,-0.056804173,-0.256580195,,38.92956,19.62196,-0.2516908,,,111.22833994180745
2023-02-02 11:45:47,-0.045153405,-0.041693382,,38.81954,20.89766,0,,-0.045153405,,38.81954,20.89766,-0.041693382,-0.235470666,,38.93206,19.62185,-0.23015144,,,111.14749115932256
2023-02-02 11:45:52,-0.055238947,-0.027064286,,38.82303,20.89682,0,,-0.055238947,,38.82303,20.89682,-0.027064286,-0.230482341,,38.93456,19.62175,-0.2091275,,,111.06687429288286
2023-02-02 11:45:57,-0.049102482,-0.029043708,,38.83246,20.88322,0,,-0.049102482,,38.83246,20.88322,-0.029043708,-0.206829639,,38.93706,19.62164,-0.20171896,,,109.8131626453862
2023-02-02 11:46:02,-0.013709713,-0.027649622,,38.83595,20.88238,0,,-0.013709713,,38.83595,20.88238,-0.027649622,-0.18331365,,38.94642,19.61035,-0.17946224,,,110.77316821395459
2023-02-02 11:46:07,0.001123988,-0.010098207,,38.83944,20.88153,0,,0.001123988,,38.83944,20.88153,-0.010098207,-0.174271151,,38.94891,19.61025,-0.1539717,,,110.69177451296677
2023-02-02 11:46:12,0.003954563,0.006089863,,38.84293,20.88069,0,,0.003954563,,38.84293,20.88069,0.006089863,-0.135987631,,38.9514,19.61014,-0.14163682,,,110.61220198327148
2023-02-02 11:46:17,0.034278266,0.014906121,,38.84642,20.87984,0,,0.034278266,,38.84642,20.87984,0.014906121,-0.139912306,,38.9539,19.61003,-0.10525853,,,110.5319828547122
2023-02-02 11:46:22,0.053951645,0.040138926,,38.84991,20.87899,0,,0.053951645,,38.84991,20.87899,0.040138926,-0.123059141,,38.95639,19.60993,-0.10233482,,,110.45089111195374
2023-02-02 11:46:27,0.0600495389999999,0.06486802,,38.85926,20.8654,0,,0.0600495389999999,,38.85926,20.8654,0.06486802,-0.109403868,,38.95888,19.60982,-0.09211378,,,109.20223723160233
2023-02-02 11:46:32,0.087006063,0.075944774,,38.86274,20.86455,0,,0.087006063,,38.86274,20.86455,0.075944774,-0.077329006,,38.96138,19.60971,-0.08188223,,,109.12298416648638
2023-02-02 11:46:37,0.098427605,0.09922891,,38.86623,20.8637,0,,0.098427605,,38.86623,20.8637,0.09922891,-0.070787875,,38.96387,19.60961,-0.05963391,0.8161563036772319,0.098427605,109.04274832319564
2023-02-02 11:46:42,0.129133817,0.11156051,,38.86971,20.86285,0,,0.129133817,,38.86971,20.86285,0.11156051,-0.025622615,,38.96637,19.6095,-0.05016881,0.854543623871103,0.129133817,108.96369652039378
2023-02-02 11:46:47,0.135531608,0.13725963,,38.8732,20.862,0,,0.135531608,,38.8732,20.862,0.13725963,-0.001066203,,38.96886,19.60939,-0.020486876,0.8749008882364192,0.135531608,108.88452739567194
2023-02-02 11:46:52,0.156332137,0.14717712,,38.87668,20.86114,0,,0.156332137,,38.87668,20.86114,0.14717712,0.029196532,,38.97136,19.60928,0.012385371,0.9011332110926548,0.156332137,108.80481675099618
2023-02-02 11:46:57,0.189967809,0.16392145,,38.88596,20.84756,0,0.0,0.189967809,,38.88596,20.84756,0.16392145,0.036954893,,38.97385,19.60918,0.05111288,0.9191849940701312,0.189967809,107.56419147958992
2023-02-02 11:47:02,0.206851271,0.1943095,,38.88943,20.8467,0,0.0,0.206851271,,38.88943,20.8467,0.1943095,0.074377303,,38.98309,19.59789,0.069470756,0.9411297621494225,0.206851271,108.51272023171133
2023-02-02 11:47:07,0.235768408,0.21727788,,38.89291,20.84585,0,0.0,0.235768408,,38.89291,20.84585,0.21727788,0.0963282869999999,,38.98557,19.59778,0.10549937,0.9518574558325676,0.235768408,108.4338760737714
2023-02-02 11:47:12,0.2438213399999999,0.24678865,,38.89639,20.845,0,0.0,0.2438213399999999,,38.89639,20.845,0.24678865,0.1159584659999999,,38.98806,19.59767,0.1295587,0.962993742550075,0.2438213399999999,108.35523407902879
2023-02-02 11:47:17,0.27944842,0.26231286,,38.89986,20.84414,0,0.0,0.27944842,,38.89986,20.84414,0.26231286,0.15088454,,38.99054,19.59756,0.14351697,0.9722398632046365,0.27944842,108.27584944097624
2023-02-02 11:47:22,0.273363233,0.29057556,,38.90908,20.83055,0,0.0,0.273363233,,38.90908,20.83055,0.29057556,0.183467278,,38.99303,19.59745,0.17111944,0.9802276535421284,0.273363233,107.03860446462508
2023-02-02 11:47:27,0.286650597,0.2946007,,38.91255,20.8297,0,0.0,0.286650597,,38.91255,20.8297,0.2946007,0.200296509,,38.99552,19.59734,0.20192297,0.9855615407385857,0.286650597,106.96094149544608
2023-02-02 11:47:32,0.294191565,0.29117844,,38.91602,20.82884,0,0.0,0.294191565,,38.91602,20.82884,0.29117844,0.245073114,,38.99801,19.59724,0.22424161,0.9857020308643218,0.294191565,106.88165912018736
2023-02-02 11:47:37,0.320293421,0.3014614,,38.91948,20.82799,0,0.0,0.320293421,,38.91948,20.82799,0.3014614,0.254795015,,39.0005,19.59713,0.2574245,0.9850560204458987,0.320293421,106.80430475343528
