Time,dTEC,forecast,upper_MSE,ipplat,ipplon,Error_count,Error_RM,dTEC_x,upper_MSE_x,ipplat_x,ipplon_x,forecast_x,dTEC_y,upper_MSE_y,ipplat_y,ipplon_y,forecast_y,phaseRA_NICOgrp8,anomaly,ipp_dist
2023-02-06 10:35:02,0.921452223,0.42774573,0.921452223,37.05903,36.46706,1,,0.921452223,0.921452223,37.05903,36.46706,0.42774573,-0.008703639,,35.6664,37.66337,-0.07138511,,,188.28939944205865
2023-02-06 10:35:07,1.441782396,0.6334735,1.441782396,37.06142,36.46766,1,,1.441782396,1.441782396,37.06142,36.46766,0.6334735,-0.091520217,,35.66593,37.68071,-0.05296894,,,189.40572662108573
2023-02-06 10:35:12,1.935410101,0.8153049,1.935410101,37.0638,36.46825,1,,1.935410101,1.935410101,37.0638,36.46825,0.8153049,-0.1216784169999999,,35.66384,37.68266,-0.060306292,,,189.88270289514708
2023-02-06 10:35:17,2.232345327,0.9152224,2.232345327,37.06618,36.46884,1,,2.232345327,2.232345327,37.06618,36.46884,0.9152224,0.011754289,,35.66176,37.6846,-0.06536789,,,190.35843086873663
2023-02-06 10:35:22,2.295462973,0.9549204,2.295462973,37.06856,36.46944,1,,2.295462973,2.295462973,37.06856,36.46944,0.9549204,0.066696746,,35.65967,37.68654,-0.042672414,,,190.83474302323557
2023-02-06 10:35:27,2.220317855,0.9682938,2.220317855,37.07094,36.47003,1,,2.220317855,2.220317855,37.07094,36.47003,0.9682938,0.010008419,,35.65758,37.68848,-0.022759708,,,191.31174572644167
2023-02-06 10:35:32,2.044024709,0.9674473,2.044024709,37.07332,36.47063,1,,2.044024709,2.044024709,37.07332,36.47063,0.9674473,0.097869987,,35.65549,37.69042,-0.01875838,,,191.78841581565445
2023-02-06 10:35:37,1.904967203,0.9565918,1.904967203,37.0757,36.47123,1,,1.904967203,1.904967203,37.0757,36.47123,0.9565918,0.12650985,,35.6534,37.69236,0.004227255,,,192.26526322887008
2023-02-06 10:35:42,1.55320494,0.9418307,1.55320494,37.07808,36.47183,1,,1.55320494,1.55320494,37.07808,36.47183,0.9418307,0.056911224,,35.65131,37.6943,0.022932548,,,192.74228664843338
2023-02-06 10:35:47,1.185559468,0.8763018,1.185559468,37.08728,36.48377,1,,1.185559468,1.185559468,37.08728,36.48377,0.8763018,0.07239584,,35.64921,37.69623,0.022630738,,,193.27019678568257
2023-02-06 10:35:52,1.071677288,0.7074333,1.071677288,37.08966,36.48438,1,,1.071677288,1.071677288,37.08966,36.48438,0.7074333,0.126552153,,35.64712,37.69817,0.02985197,,,193.74825682440766
2023-02-06 10:35:57,0.47608086,0.6391413,0.47608086,37.09204,36.48498,1,,0.47608086,0.47608086,37.09204,36.48498,0.6391413,0.18233543,,35.64502,37.7001,0.04319365,,,194.22740947586445
2023-02-06 10:36:02,0.161077614,0.11557325,,37.09442,36.48559,0,,0.161077614,,37.09442,36.48559,0.11557325,0.125663062,,35.64293,37.70202,0.06363576,,,194.70480250982635
2023-02-06 10:36:07,0.106567958,-0.03056396,,37.0968,36.4862,0,,0.106567958,,37.0968,36.4862,-0.03056396,0.220109959,0.220109959,35.64234,37.71942,0.064577535,,,195.82148663414813
2023-02-06 10:36:12,-0.176853717,-0.096498445,,37.09918,36.48681,0,,-0.176853717,,37.09918,36.48681,-0.096498445,0.16342635,,35.64023,37.72136,0.09363115,,,196.3009135646009
2023-02-06 10:36:17,-0.49198502,-0.40636057,,37.10156,36.48742,0,,-0.49198502,,37.10156,36.48742,-0.40636057,0.218373089,,35.63812,37.72329,0.095209986,,,196.7800071538874
2023-02-06 10:36:22,-0.727662561,-0.5416566,-0.727662561,37.10393,36.48803,1,,-0.727662561,-0.727662561,37.10393,36.48803,-0.5416566,0.404455454,0.404455454,35.63601,37.72522,0.117800705,,,197.25835487762032
2023-02-06 10:36:27,-0.862382933,-0.59909594,-0.862382933,37.1063,36.48864,1,,-0.862382933,-0.862382933,37.1063,36.48864,-0.59909594,0.394040145,0.394040145,35.6339,37.72714,0.2032299,,,197.73636837412639
2023-02-06 10:36:32,-1.066325709,-0.63881147,-1.066325709,37.11558,36.50062,1,,-1.066325709,-1.066325709,37.11558,36.50062,-0.63881147,0.442131995,0.442131995,35.63179,37.72907,0.26020426,,,198.2829591544979
2023-02-06 10:36:37,-1.12173043,-0.6227477,-1.12173043,37.11796,36.50124,1,,-1.12173043,-1.12173043,37.11796,36.50124,-0.6227477,0.529926261,0.529926261,35.62968,37.73099,0.32659456,0.923097039632872,-1.12173043,198.76289070485575
2023-02-06 10:36:42,-1.123970597,-0.6366187,-1.123970597,37.12034,36.50186,1,,-1.123970597,-1.123970597,37.12034,36.50186,-0.6366187,0.571634735,0.571634735,35.62756,37.73292,0.4161121,0.9241678464583132,-1.123970597,199.2444099919693
2023-02-06 10:36:47,-1.152997663,-0.6513849,-1.152997663,37.12272,36.50248,1,,-1.152997663,-1.152997663,37.12272,36.50248,-0.6513849,0.626482443,,35.62544,37.73484,0.48353863,0.9309282341962515,-1.152997663,199.72559571550238
2023-02-06 10:36:52,-1.171507022,-0.6391008,-1.171507022,37.12509,36.5031,1,,-1.171507022,-1.171507022,37.12509,36.5031,-0.6391008,0.635474446,,35.62333,37.73676,0.55280215,0.9300991430069452,-1.171507022,200.20508774703885
2023-02-06 10:36:57,-1.191104002,-0.6391292,-1.191104002,37.12747,36.50372,1,20.0,-1.191104002,-1.191104002,37.12747,36.50372,-0.6391292,0.660638147,,35.62121,37.73867,0.58662033,0.9315253700206222,-1.191104002,200.68610027492304
2023-02-06 10:37:02,-1.134540857,-0.647593,-1.134540857,37.12984,36.50434,1,20.0,-1.134540857,-1.134540857,37.12984,36.50434,-0.647593,0.70554929,,35.62051,37.75613,0.61872834,0.9283140763748164,-1.134540857,201.80363115865856
2023-02-06 10:37:07,-1.180152758,-0.6423938,-1.180152758,37.13222,36.50497,1,20.0,-1.180152758,-1.180152758,37.13222,36.50497,-0.6423938,0.707634566,,35.61838,37.75805,0.66270673,0.9306105322971133,-1.180152758,202.28477482516385
2023-02-06 10:37:12,-1.082205786,-0.64454615,-1.082205786,37.13459,36.50559,1,20.0,-1.082205786,-1.082205786,37.13459,36.50559,-0.64454615,0.637765117,,35.61625,37.75997,0.6755072,0.923937888659494,-1.082205786,202.7656562087793
