Time,dTEC,forecast,upper_MSE,ipplat,ipplon,Error_count,Error_RM,dTEC_x,upper_MSE_x,ipplat_x,ipplon_x,forecast_x,dTEC_y,upper_MSE_y,ipplat_y,ipplon_y,forecast_y,phaseRA_NICOgrp2,anomaly,ipp_dist
2023-02-06 10:35:02,0.921452223,0.42774573,0.921452223,37.05903,36.46706,1,,0.921452223,0.921452223,37.05903,36.46706,0.42774573,0.177390781,,37.34963,35.09168,0.055435278,,,126.02224140404282
2023-02-06 10:35:07,1.441782396,0.6334735,1.441782396,37.06142,36.46766,1,,1.441782396,1.441782396,37.06142,36.46766,0.6334735,0.194462404,,37.34855,35.09524,0.09630233,,,125.66928581329964
2023-02-06 10:35:12,1.935410101,0.8153049,1.935410101,37.0638,36.46825,1,,1.935410101,1.935410101,37.0638,36.46825,0.8153049,0.260530889,,37.34746,35.09881,0.12873136,,,125.31538247064795
2023-02-06 10:35:17,2.232345327,0.9152224,2.232345327,37.06618,36.46884,1,,2.232345327,2.232345327,37.06618,36.46884,0.9152224,0.27225095,,37.34638,35.10238,0.19283219,,,124.96250359213309
2023-02-06 10:35:22,2.295462973,0.9549204,2.295462973,37.06856,36.46944,1,,2.295462973,2.295462973,37.06856,36.46944,0.9549204,0.490708217,0.490708217,37.34528,35.10594,0.22818643,,,124.61156356413706
2023-02-06 10:35:27,2.220317855,0.9682938,2.220317855,37.07094,36.47003,1,,2.220317855,2.220317855,37.07094,36.47003,0.9682938,0.883532243,0.883532243,37.34419,35.10951,0.3956706,,,124.25994556775419
2023-02-06 10:35:32,2.044024709,0.9674473,2.044024709,37.07332,36.47063,1,,2.044024709,2.044024709,37.07332,36.47063,0.9674473,1.238378507,1.238378507,37.3431,35.11307,0.67080736,,,123.91082040602696
2023-02-06 10:35:37,1.904967203,0.9565918,1.904967203,37.0757,36.47123,1,,1.904967203,1.904967203,37.0757,36.47123,0.9565918,1.609452416,1.609452416,37.342,35.11663,0.86657083,,,123.56221955204353
2023-02-06 10:35:42,1.55320494,0.9418307,1.55320494,37.07808,36.47183,1,,1.55320494,1.55320494,37.07808,36.47183,0.9418307,1.741120312,1.741120312,37.34883,35.12662,1.0137427,,,122.8683006086433
2023-02-06 10:35:47,1.185559468,0.8763018,1.185559468,37.08728,36.48377,1,,1.185559468,1.185559468,37.08728,36.48377,0.8763018,1.655024475,1.655024475,37.34772,35.1302,1.0686882,,,123.3056762113305
2023-02-06 10:35:52,1.071677288,0.7074333,1.071677288,37.08966,36.48438,1,,1.071677288,1.071677288,37.08966,36.48438,0.7074333,1.284854125,1.284854125,37.34661,35.13377,1.0692619,,,122.95919894254459
2023-02-06 10:35:57,0.47608086,0.6391413,0.47608086,37.09204,36.48498,1,,0.47608086,0.47608086,37.09204,36.48498,0.6391413,1.488587433,1.488587433,37.3455,35.13734,0.8969824,,,122.61267777038096
2023-02-06 10:36:02,0.161077614,0.11557325,,37.09442,36.48559,0,,0.161077614,,37.09442,36.48559,0.11557325,1.271943519,1.271943519,37.34438,35.14091,1.0382555,,,122.26759751071371
2023-02-06 10:36:07,0.106567958,-0.03056396,,37.0968,36.4862,0,,0.106567958,,37.0968,36.4862,-0.03056396,1.120452465,1.120452465,37.34326,35.14448,0.9199098,,,121.92335461566276
2023-02-06 10:36:12,-0.176853717,-0.096498445,,37.09918,36.48681,0,,-0.176853717,,37.09918,36.48681,-0.096498445,0.8494563129999999,,37.34214,35.14805,0.89792943,,,121.57995617150357
2023-02-06 10:36:17,-0.49198502,-0.40636057,,37.10156,36.48742,0,,-0.49198502,,37.10156,36.48742,-0.40636057,0.627617077,,37.34101,35.15161,0.5941202,,,121.23803660009285
2023-02-06 10:36:22,-0.727662561,-0.5416566,-0.727662561,37.10393,36.48803,1,,-0.727662561,-0.727662561,37.10393,36.48803,-0.5416566,0.302061743,0.302061743,37.33989,35.15518,0.49905917,,,120.89660088630076
2023-02-06 10:36:27,-0.862382933,-0.59909594,-0.862382933,37.1063,36.48864,1,,-0.862382933,-0.862382933,37.1063,36.48864,-0.59909594,0.1237352809999999,,37.33876,35.15874,0.045781344,,,120.5566594929167
2023-02-06 10:36:32,-1.066325709,-0.63881147,-1.066325709,37.11558,36.50062,1,,-1.066325709,-1.066325709,37.11558,36.50062,-0.63881147,-0.082072352,,37.33762,35.1623,-0.09474312,,,121.0370639576702
2023-02-06 10:36:37,-1.12173043,-0.6227477,-1.12173043,37.11796,36.50124,1,,-1.12173043,-1.12173043,37.11796,36.50124,-0.6227477,-0.200519207,-0.200519207,37.33649,35.16586,-0.34747022,0.9623169376818022,-1.12173043,120.70212023569982
